Name,BSE Code,NSE Code,Industry,Current Price,Return over 3months,Return over 6months,Volume 1month average,Volume 1week average,Volume,High price,Low price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization
Indo Tech.Trans.,532717,INDOTECH,Electric Equipment,2345.70,49.81,160.92,32888,23498,35079,2345.70,382.75,2345.70,42.50,5.00,14.17,31.79,1813.62,1264.20,1791.91,1253.34,69.36,127.79,111.13,104.43,98.59,392.85,113.36,95.12,31572,42.13,27.17,2491.13
Indo Thai Sec.,533676,INDOTHAI,Finance & Investments,272.15,-17.72,-16.60,18214,13606,3892,373.30,189.00,496.20,8.10,-0.17,-1.22,-4.32,286.67,285.89,287.26,286.02,43.17,-4.69,-4.84,-4.54,-4.51,12.64,56.91,67.73,13708,32.55,31.10,272.15
Indo US Bio-Tech,541304,,Miscellaneous,236.00,7.27,-5.22,4107,4500,4000,303.95,137.50,303.95,0.00,3.51,0.43,10.90,220.12,206.21,219.47,205.91,61.15,3.35,2.37,1.14,0.59,40.41,92.03,45.52,7502,,,473.23
Indo-City Info.,532100,,Finance & Investments,15.53,-2.94,60.77,12302,9813,23078,17.75,6.15,17.95,1.00,4.30,5.07,4.02,14.40,12.19,14.35,12.16,58.22,0.22,0.18,0.21,0.20,112.74,46.20,32.80,8501,26.97,10.98,16.15
Indoco Remedies,532612,INDOCO,Pharmaceuticals - Indian - Bulk Drugs & Formln,325.75,-2.92,-9.98,147328,122436,91508,416.95,286.50,530.25,13.86,-1.54,0.88,-6.11,329.03,338.66,329.16,338.79,46.79,-0.60,-0.38,-0.16,-0.05,0.45,-10.68,16.75,179672,7.21,3.79,3002.84
Indokem,504092,,Dyes And Pigments,86.85,-8.28,-9.28,4152,2398,2746,132.30,66.04,155.90,0.58,-0.82,-0.21,-4.05,90.82,96.61,90.98,96.71,43.32,-1.47,-1.51,-1.53,-1.54,-8.49,31.49,67.84,6990,14.38,33.45,242.21
Indong Tea Co,543769,,Tea,29.50,29.27,49.82,51733,32000,8000,29.50,15.00,31.10,11.88,2.61,13.46,9.67,25.35,22.77,25.18,22.71,62.45,0.62,0.42,0.54,0.52,18.00,,,40951,,,44.25
Indostar Capital,541336,INDOSTAR,Finance & Investments,242.85,-2.65,27.71,204033,255188,137145,280.00,156.00,607.80,103.15,-0.04,-2.64,-2.49,244.07,215.72,244.12,215.45,46.24,1.32,2.04,1.50,1.54,48.26,-13.57,-3.66,168020,,,3304.69
Indowind Energy,532894,INDOWIND,Power Generation And Supply,29.69,43.71,1.82,707339,509574,820351,32.67,11.73,193.37,1.46,4.84,3.05,3.88,26.52,22.02,26.39,21.94,57.51,0.76,0.73,1.05,1.13,130.69,68.01,60.36,447971,29.24,20.87,382.41
Indra Industries,539175,,Fertilizers,12.49,-10.79,41.61,13817,31606,124049,20.14,3.27,47.95,2.72,1.96,-5.74,-28.71,14.64,11.33,14.73,11.32,24.35,-1.03,-1.01,-0.73,-0.65,299.04,25.10,-14.57,52979,-7.71,,8.09
Indrapr.Medical,532150,INDRAMEDCO,Healthcare,267.45,5.63,41.40,469455,509714,347625,282.80,139.90,282.80,18.00,1.91,-1.40,5.58,248.31,210.72,247.53,210.15,60.93,6.24,6.04,4.30,3.81,99.59,48.39,49.39,303382,25.30,20.17,2451.71
Indraprastha Gas,532514,IGL,Miscellaneous,538.10,21.48,18.56,2196312,1434924,584300,559.85,375.70,604.00,17.24,-0.66,-0.44,3.03,507.24,463.51,505.99,462.76,56.42,12.63,13.79,14.55,15.04,18.17,-0.09,11.64,2886511,12.49,22.08,37667.04
Indrayani Biotec,526445,,Hotels,57.75,9.87,-25.06,66572,115729,30009,99.70,44.40,115.70,1.43,-0.70,5.29,1.48,55.34,58.50,55.25,58.51,58.57,0.55,0.43,0.07,-0.05,-6.69,58.00,63.78,84796,34.94,,262.97
Indsil Hydro,522165,,Mining / Minerals / Metals,53.11,1.63,-14.44,39117,36840,37253,73.95,37.70,226.85,6.30,-3.91,-3.72,-10.38,56.07,52.83,56.19,52.83,37.45,-0.90,-0.75,-0.55,-0.46,25.53,26.08,13.10,51088,-5.45,4.05,147.60
Inducto Steel,532001,,Miscellaneous,101.65,55.83,67.46,29062,18367,13916,136.66,30.11,136.66,7.00,-3.24,-4.13,64.99,83.51,63.56,82.77,63.18,56.63,8.94,9.78,10.99,11.50,228.43,75.67,46.55,4483,20.44,9.41,40.86
Indus Finance,531841,,Finance & Investments,24.50,40.80,20.69,4701,2818,1770,30.18,14.00,203.00,3.33,1.74,1.03,0.86,23.07,20.26,23.01,20.22,53.02,0.27,0.26,0.30,0.30,67.69,48.51,16.43,4811,5.45,-4.05,22.69
Indus Towers,534816,INDUSTOWER,Transmisson Line Towers / Equipment,421.10,19.92,90.54,20078547,13103072,8029898,453.45,157.35,505.00,120.05,-1.78,-5.34,6.43,384.82,298.35,383.34,297.12,56.85,17.20,19.02,18.53,18.86,143.41,25.18,11.34,21329280,0.50,5.23,113483.79
IndusInd Bank,532187,INDUSINDBK,Banks - Private Sector,1404.30,-6.22,-7.09,3777261,4157105,3649390,1694.50,1359.05,2038.00,26.15,-1.10,0.03,-2.09,1447.11,1454.21,1448.85,1454.71,41.57,-13.31,-12.90,-14.06,-14.25,-0.38,12.07,-0.18,3675135,-2.40,9.82,109356.35
Inertia Steel,512025,,Trading,214.70,,47.05,305,57,100,214.70,138.70,214.70,79.80,4.94,15.65,,138.88,101.04,135.79,99.90,81.50,18.78,16.59,14.14,12.98,40.69,,,277,,,5.37
Infibeam Avenues,539807,INFIBEAM,Computers - Software - Medium / Small,32.31,-2.24,-10.99,21015495,31482454,79973690,42.50,13.70,58.48,6.37,4.29,3.03,8.86,30.84,28.81,30.78,28.77,62.85,0.18,0.02,-0.18,-0.26,113.97,13.79,26.61,52418455,-0.76,,8988.65
Infinium Pharma,,INFINIUM,Pharmaceuticals - Indian - Bulk Drugs,183.05,-13.66,-20.07,21368,27900,30500,315.70,178.05,315.70,70.75,-5.03,-16.34,-20.14,220.65,218.07,222.19,218.42,17.02,-7.55,-5.44,-2.90,-1.73,-14.71,,,12657,,,254.73
Inflame Applian.,541083,,Domestic Appliances,418.55,-11.89,-24.39,15224,15150,3500,730.00,346.00,730.00,19.43,-3.27,-0.13,-12.67,445.63,495.47,446.73,496.25,42.02,-6.93,-6.25,-6.71,-6.66,-38.53,20.38,28.82,16688,,,307.26
Info Edg.(India),532777,NAUKRI,Miscellaneous,7220.50,20.62,34.82,320053,458696,1494095,7327.75,3972.05,7465.40,94.05,4.58,0.46,6.04,6622.97,5704.17,6598.58,5688.93,63.44,142.45,131.32,147.30,148.51,47.76,10.52,27.40,317156,31.99,25.56,93421.80
InfoBeans Tech.,543644,INFOBEAN,Computers - Software - Medium / Small,430.55,12.74,2.15,34154,19416,18520,511.60,361.65,875.00,50.25,-1.54,-1.78,-8.50,440.60,435.26,441.01,435.30,40.20,-3.54,-2.75,-1.45,-0.92,-8.68,0.82,47.60,42952,30.44,,1049.20
Infollion Resea.,,INFOLLION,Miscellaneous,293.50,40.43,30.39,32800,33600,4000,338.85,153.00,338.85,153.00,-3.72,-4.52,-1.84,260.20,227.25,258.84,226.58,56.24,16.42,17.97,15.43,15.19,60.03,,,54589,,,284.43
Infomedia Press,509069,INFOMEDIA,Printing & Stationery,6.51,11.28,0.93,18385,6001,6001,8.92,4.40,211.44,1.26,-4.26,-4.26,-14.34,6.49,5.96,6.49,5.95,46.79,0.30,0.38,0.40,0.42,40.00,7.64,20.34,32623,7.59,6.71,32.67
Informed Techn.,504810,,Computers - Software - Medium / Small,92.05,-5.69,34.99,1097,2914,1317,130.86,40.20,130.86,5.43,-2.98,7.59,6.66,87.78,76.99,87.61,76.84,55.60,1.26,1.16,0.35,0.12,102.09,32.41,27.80,2425,18.65,16.04,38.38
Infosys,500209,INFY,Computers - Software - Large,1821.20,27.72,5.31,9190233,5655166,7978108,1903.00,1351.65,1953.90,117.26,-1.69,-3.07,10.55,1664.61,1552.17,1658.22,1549.47,66.86,74.19,80.02,76.59,77.19,32.13,3.27,18.65,7132166,20.56,15.30,756167.43
Infronics Sys.,537985,,Computers - Software - Medium / Small,54.09,-4.27,1.96,10927,23199,27301,92.80,29.00,92.80,5.24,-2.72,0.35,1.96,54.51,51.73,54.52,51.71,51.01,0.14,0.14,-0.27,-0.38,74.54,113.99,,6360,32.87,15.91,42.87
Ingersoll-Rand,500210,INGERRAND,Compressors / Drilling Equipment,4289.95,7.22,25.78,18002,14786,15813,5000.00,2760.00,5000.00,200.15,-2.71,1.24,-5.99,4370.97,3809.19,4374.28,3804.36,44.77,-38.99,-36.86,-53.02,-56.53,46.09,63.27,48.60,27768,26.13,22.10,13542.51
Inland Printers,530787,,Printing & Stationery,110.00,53.93,355.86,1051,254,502,133.95,19.23,133.95,11.60,0.00,4.76,-9.43,105.31,64.44,105.12,63.98,42.61,-0.66,-0.29,2.65,3.48,156.11,,,1174,,13.80,54.38
Innocorp,531929,,Plastics Products,6.20,27.57,-3.13,5300,11681,1338,7.35,4.61,70.00,0.84,-1.59,7.08,16.10,5.56,5.69,5.53,5.68,61.05,0.17,0.14,0.07,0.05,7.08,30.19,,5982,21.79,8.43,4.92
Innokaiz India,543905,,Miscellaneous,56.67,-6.13,-39.71,19244,11360,20800,170.60,41.00,170.60,41.00,4.98,3.04,0.25,53.43,75.62,53.30,75.81,55.77,0.86,0.71,1.23,1.33,-58.15,,,27049,,,57.94
Innova Captab,544067,INNOVACAP,Pharmaceuticals - Indian - Bulk Drugs & Formln,620.80,35.12,14.75,226630,106195,136040,649.80,421.35,649.80,421.35,-1.01,1.81,22.34,539.48,519.29,536.16,518.27,72.26,34.22,35.06,28.92,27.60,,,,337570,,,3552.52
Innovana Think.,,INNOVANA,Computers - Software - Medium / Small,496.00,-21.33,-14.63,2400,2200,5200,799.95,392.00,799.95,15.00,-0.80,-0.67,-2.38,519.91,521.26,520.89,521.51,43.72,-5.53,-5.01,-5.03,-4.91,28.55,71.17,59.40,6454,,,1016.80
Innovassynth Inv,533315,,Finance & Investments,27.44,-9.47,20.25,3605,3386,983,36.01,19.50,36.01,1.92,-0.33,5.09,0.40,27.16,26.51,27.14,26.50,55.41,-0.23,-0.35,-0.49,-0.55,22.28,26.30,35.53,13432,14.79,16.61,66.62
Innovative Ideal,541983,,Trading,24.50,-25.83,-9.26,29824,68200,72000,40.41,5.91,187.00,2.39,0.00,-7.34,-9.96,27.08,25.55,27.18,25.56,41.48,-0.84,-0.85,-0.84,-0.84,318.09,51.04,-30.34,81192,,,27.88
Innovative Tech,523840,,Plastics Products,39.08,32.70,28.81,68025,29166,41332,41.78,17.01,116.40,0.63,4.05,1.80,27.34,32.82,28.69,32.57,28.59,63.01,2.16,2.14,2.08,2.06,130.42,28.78,26.55,22801,-11.82,-4.02,87.79
Innovators,541353,,Construction,224.70,29.44,-0.97,23368,22880,26400,288.50,141.05,288.50,13.25,-0.47,-0.20,-1.90,215.23,196.40,214.84,196.11,52.16,2.52,2.83,4.04,4.42,48.81,58.44,43.52,28989,,,423.96
Innovatus Enter.,543951,,Miscellaneous,54.00,42.11,13.80,16105,6600,9000,68.85,26.50,68.85,26.50,4.29,11.34,-15.62,47.91,42.76,47.66,42.64,55.18,1.48,1.48,2.33,2.54,10.29,,,26204,,,21.37
