Name,BSE Code,NSE Code,Industry,Current Price,Return over 3months,Return over 6months,Volume 1month average,Volume 1week average,Volume,High price,Low price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization
Explicit Finance,530571,,Finance & Investments,5.64,-19.89,-19.08,2209,748,350,8.81,2.95,29.00,1.51,0.00,-4.57,-2.76,6.19,6.08,6.22,6.09,41.71,-0.20,-0.20,-0.16,-0.15,62.07,20.05,19.14,2329,12.39,0.78,5.23
Expo Gas Contain,526614,,Packaging,40.14,28.41,111.15,23445,52361,151170,41.87,10.00,46.65,1.65,0.65,22.27,14.26,33.29,25.60,33.01,25.45,71.39,1.26,0.96,0.64,0.49,277.97,88.85,60.92,30341,20.98,20.83,91.50
Exxaro Tiles,543327,EXXARO,Ceramics - Tiles / Sanitaryware,88.81,-9.15,-24.26,80436,71880,124366,152.00,82.20,172.70,82.20,-1.82,-3.01,-3.38,93.12,103.97,93.30,104.13,38.93,-0.80,-0.69,-0.94,-0.98,-31.84,,,237110,,,397.35
F A C T,590024,FACT,Fertilizers,996.85,44.15,23.54,1399848,466874,325609,1187.00,413.00,1187.00,14.00,-1.49,-1.60,-2.01,945.36,763.18,943.26,760.84,48.90,17.52,21.73,32.55,36.31,109.36,95.97,93.44,1531695,58.77,40.40,64503.37
F Mec Intl. Fin.,539552,,Finance & Investments,103.95,-1.19,-1.42,567,729,156,118.85,46.08,118.85,3.05,4.00,11.93,14.22,97.53,86.13,97.27,85.95,57.30,1.22,0.77,0.44,0.24,130.08,,,809,,,92.43
Faalcon Concepts,544164,FAALCON,Construction,59.05,-28.44,,20632,20800,8000,95.00,48.80,95.00,48.80,0.00,-3.20,-12.78,65.82,78.30,66.10,78.49,37.09,-2.05,-2.04,-1.80,-1.73,,,,84147,,,40.33
Fabino Enter,543444,,Trading,26.86,-7.73,-3.38,5000,3000,3000,43.84,25.05,48.95,22.50,-4.99,-4.99,-15.11,30.10,31.47,30.23,31.52,41.34,0.09,0.43,0.37,0.44,-0.52,,,7957,,,5.64
Facor Alloys,532656,,Mining / Minerals / Metals,6.97,-9.95,-34.55,270347,274483,242905,12.25,6.50,21.75,0.70,-0.43,-0.14,-8.89,7.27,7.81,7.29,7.81,42.34,-0.10,-0.10,-0.11,-0.11,2.20,7.50,46.02,573796,8.10,14.89,136.30
Fairchem Organic,543252,FAIRCHEMOR,Chemicals,1344.85,-4.65,6.70,21879,28302,29175,1553.00,999.00,2449.90,511.00,1.95,-2.62,-6.54,1363.76,1308.89,1364.53,1308.53,45.18,-4.90,-3.16,1.04,2.53,10.82,-14.22,,30141,,,1751.12
Falcon,,FALCONTECH,Engineering - Turnkey Services,62.10,,,24758,26160,33600,91.85,61.50,91.85,61.50,-4.39,-8.88,-20.18,77.65,84.77,78.29,84.99,11.41,-4.74,-4.51,-4.30,-4.18,,,,56622,,,33.27
Family Care,516110,,Healthcare,8.12,6.42,-14.62,323125,458754,1237176,10.39,6.55,53.36,1.01,9.43,6.28,7.12,7.65,8.29,7.63,8.29,62.35,0.02,-0.03,0.00,-0.01,20.65,-24.54,2.55,290681,-9.36,,43.86
Faze Three,530079,FAZE3Q,Textiles - Processing,546.45,27.60,31.00,164417,105813,158439,574.00,340.00,574.00,3.26,8.25,1.67,20.84,468.98,427.56,465.82,426.36,61.65,21.18,19.59,20.82,20.73,48.84,53.72,74.06,62201,25.54,53.76,1328.91
FCS Software,532666,FCSSOFT,Computers - Software - Medium / Small,3.77,-3.33,-39.68,7265611,6343382,7733705,6.69,2.20,15.45,0.05,-1.05,-2.84,-9.81,3.95,3.87,3.96,3.87,36.73,-0.05,-0.04,-0.03,-0.03,60.43,23.53,65.90,21946646,52.12,26.47,644.50
FDC,531599,FDC,Pharmaceuticals - Indian - Bulk Drugs & Formln,508.55,13.36,17.48,292228,630768,145204,547.80,343.30,547.80,21.70,1.22,1.28,-1.31,483.21,436.75,482.17,436.02,57.09,9.34,9.72,9.85,9.97,34.75,12.43,25.57,334999,16.35,13.79,8279.71
Fedbank Financi.,544027,FEDFINA,Finance & Investments,125.12,-1.48,-4.16,663434,1023035,388313,153.60,108.75,153.60,108.75,-0.39,1.74,-1.94,124.42,128.30,124.40,128.33,51.11,0.22,0.24,0.38,0.42,,,,1069212,,,4639.99
Fedders Holding,511628,,Finance & Investments,895.75,1.24,53.49,8562,10144,14424,999.00,400.00,999.00,15.40,-2.82,0.67,2.45,859.74,715.04,858.27,713.23,53.13,15.83,17.69,17.98,18.51,91.34,158.84,121.77,8899,45.62,28.67,1468.73
Federal Bank,500469,FEDERALBNK,Banks - Private Sector,197.71,20.78,34.59,19835989,13525067,5647659,205.15,130.50,205.15,10.24,-1.51,-0.15,6.19,183.75,162.04,183.18,161.68,59.51,5.90,6.42,6.49,6.63,46.89,32.01,17.53,15445146,8.15,12.96,48404.33
Federal-Mogul Go,505744,FMGOETZE,Auto Ancillaries,433.00,18.61,10.42,139066,179544,206016,458.60,313.05,666.45,27.50,-1.02,0.08,0.34,418.92,383.83,418.34,383.33,53.78,3.13,3.24,2.80,2.71,16.65,12.71,-3.27,198399,-2.73,5.49,2408.78
Felix Industries,,FELIX,Engineering,288.20,-19.94,-12.93,41737,59700,34500,454.90,87.50,454.90,10.80,-4.55,-8.25,-10.32,329.34,289.53,331.02,289.55,40.09,-10.20,-9.45,-13.19,-13.94,190.52,86.47,76.14,31710,,,358.61
Fermenta Biotec.,506414,,Pharmaceuticals - Indian - Bulk Drugs,256.15,57.53,56.09,90062,124058,13986,267.00,143.55,442.00,7.76,-0.39,-0.12,24.16,204.00,176.69,201.87,175.89,72.60,20.79,21.26,19.46,19.13,61.56,-6.15,3.02,29843,21.64,16.23,753.87
Fervent Synerg.,533896,,Trading,18.42,6.97,-17.95,14056,33143,10944,27.79,14.60,95.00,7.22,2.73,17.93,13.01,16.51,17.87,16.43,17.86,65.47,0.39,0.26,0.04,-0.05,3.89,1.63,-6.11,11557,-1.24,-7.11,55.26
FGP,500142,,Miscellaneous,8.73,16.71,28.38,6457,10721,2507,9.32,4.65,19.10,0.67,-4.90,4.30,14.87,7.84,7.12,7.81,7.11,60.37,0.34,0.34,0.22,0.19,81.88,63.16,26.93,5845,26.23,11.16,10.39
Fiberweb (India),507910,FIBERWEB,Textiles - Products,59.45,70.59,53.02,1241597,4078134,858900,66.60,28.00,194.51,1.41,-0.60,35.54,34.96,44.08,38.41,43.45,38.20,72.65,4.10,3.59,2.18,1.71,100.84,5.59,39.71,322162,-12.57,30.34,171.17
Fidel Softech,,FIDEL,Computers - Software - Medium / Small,114.25,4.53,-3.67,27947,81200,38000,149.95,86.15,149.95,48.60,-4.75,5.98,-3.18,111.08,107.03,110.96,106.96,51.57,1.94,2.17,1.52,1.42,23.85,,,17905,,,157.10
Fiem Industries,532768,FIEMIND,Auto Ancillaries,1349.10,16.25,14.35,146654,171440,107334,1408.55,821.90,1408.55,18.25,-1.11,1.56,0.58,1298.58,1157.95,1296.52,1156.03,53.89,15.77,16.83,17.38,17.78,44.10,49.88,48.10,111745,17.32,15.97,3550.79
Filatex Fash.,532022,FILATFASH,Textiles - Products,6.96,-46.25,-64.63,21517934,38936373,16115347,21.50,6.43,114.80,1.72,-1.69,5.61,-9.84,8.79,12.08,8.87,12.13,38.87,-0.53,-0.55,-0.67,-0.70,-47.71,36.78,25.45,3907050,9.75,7.40,1160.10
Filatex India,526227,FILATEX,Textiles - Manmade,59.35,0.25,-3.96,3672627,4532701,2194222,78.00,38.50,78.00,0.75,-0.12,-0.29,5.85,57.94,55.62,57.88,55.58,52.55,1.09,1.21,0.95,0.91,49.87,4.12,24.24,2816059,23.25,38.65,2634.28
Filmcity Media,531486,,Entertainment / Electronic Media Software,2.31,,,42369,75061,6028,2.31,1.21,4.57,0.15,10.00,39.16,,1.09,0.83,1.05,0.82,97.05,0.36,0.32,0.26,0.24,,,,42369,16.15,8.20,7.06
Filtra Consult.,539098,,Trading,87.00,26.09,37.77,18000,8000,2000,115.70,27.75,115.70,5.28,0.00,-7.74,-3.74,86.37,62.45,86.35,62.21,45.00,0.94,1.60,3.10,3.64,201.25,96.88,72.66,15452,31.24,,95.39
Fine Line Cir.,517264,,Electronics - Components,96.53,2.69,70.25,3713,1350,1350,108.15,45.25,108.15,3.56,-5.00,-5.00,8.58,85.71,71.22,85.27,70.97,56.29,5.22,5.62,4.23,3.98,107.59,72.21,47.66,2616,40.28,22.91,46.43
Fine Organic,541557,FINEORG,Chemicals,5461.00,27.85,21.49,79792,193443,36676,5958.85,4005.00,7328.75,735.00,-1.07,5.21,2.21,5036.26,4692.86,5018.92,4685.14,58.28,151.70,157.95,147.47,146.42,18.67,22.28,30.84,40921,,,16743.41
Finelistings,544173,,Computers - Software - Medium / Small,53.70,,,10789,14000,6000,162.05,52.47,162.05,52.47,-1.76,-4.09,-8.36,69.92,106.35,70.58,106.88,31.18,-3.44,-3.55,-4.25,-4.45,,,,54125,,,19.53
Fineotex Chem,533333,FCL,Chemicals,373.65,2.62,15.34,265630,341084,256902,458.85,273.50,458.85,1.56,-0.44,0.57,-3.52,372.73,356.68,372.69,356.51,49.89,0.61,0.74,-0.03,-0.19,26.13,47.73,73.16,589033,43.58,46.33,4138.73
Finkurve Fin.,508954,,Finance & Investments,74.77,12.45,23.44,13520,33168,8480,98.00,46.60,103.90,0.33,1.31,14.48,28.18,62.43,63.81,61.93,63.70,76.82,3.52,3.08,2.12,1.77,4.57,13.34,14.47,35302,7.52,17.04,948.52
Fino Payments,543386,FINOPB,Banks - Private Sector,335.85,17.06,-6.30,352564,809355,1069715,384.00,249.40,583.35,180.20,3.47,11.69,8.04,301.77,294.05,300.37,293.63,67.07,5.57,3.62,2.38,1.58,-0.93,,,274810,,,2794.75
Finolex Cables,500144,FINCABLES,Cables - Power,1533.40,48.57,39.05,181606,175318,109929,1700.00,831.25,1700.00,17.00,0.61,-1.77,-7.99,1487.95,1200.22,1486.09,1196.87,47.39,0.22,2.25,11.46,14.27,52.35,44.19,32.87,482127,17.95,22.40,23451.72
Finolex Inds.,500940,FINPIPE,Plastics Products,310.45,13.97,40.54,1007985,1141020,329447,355.90,185.70,355.90,5.00,-1.19,-2.34,-3.93,315.21,266.06,315.40,265.62,41.74,-1.76,-1.06,-0.69,-0.42,51.29,21.32,24.02,1362991,14.94,19.41,19262.71
First Custodian,511122,,Finance & Investments,105.06,72.03,75.72,557,965,1043,141.23,32.87,141.23,5.86,5.00,13.33,-10.81,98.17,72.04,97.88,71.71,53.70,-3.09,-3.95,-2.58,-2.45,192.16,40.60,23.89,624,22.76,23.87,15.76
First Fintec,532379,,Computers - Software - Medium / Small,10.00,19.05,32.45,6190,3067,1508,10.89,4.00,71.80,1.48,0.40,4.17,1.94,9.05,7.52,9.01,7.50,55.78,0.30,0.31,0.34,0.35,102.43,20.19,2.06,4572,-6.11,1.88,10.40
Firstsour.Solu.,532809,FSL,Computers - Software - Medium / Small,297.35,50.52,41.63,8422387,18276156,7928479,309.50,144.05,309.50,5.55,-1.21,16.03,26.15,233.78,199.07,231.18,198.08,80.02,17.45,15.83,13.49,12.50,99.43,13.76,44.10,3437058,36.23,22.73,20960.71
Fischer Medical,524743,,Trading,623.40,17.41,86.98,4612,4096,3833,792.65,66.80,792.65,1.57,-1.04,2.29,0.85,609.86,444.69,609.31,442.89,50.60,0.28,0.11,0.71,0.81,442.32,120.82,50.50,918,133.44,69.21,3335.19
Five-Star Bus.Fi,543663,FIVESTAR,Finance & Investments,777.55,-0.46,-0.24,551105,519421,448022,876.55,600.05,876.55,448.20,1.72,2.60,-2.70,771.40,736.05,771.15,735.63,51.07,-7.45,-9.20,-6.98,-6.86,5.10,,,738419,,,22740.43
Flair Writing,544030,FLAIR,Printing & Stationery,322.15,10.80,0.34,136715,162721,112836,514.40,246.10,514.40,246.10,1.61,5.29,-2.73,307.28,331.99,306.67,332.08,57.63,3.88,3.58,3.42,3.31,,,,453161,,,3395.31
Flex Foods,523672,,Food - Processing - Indian,152.35,17.42,28.62,25315,64718,27527,164.00,85.64,169.15,14.05,-2.62,8.01,25.29,129.39,117.06,128.45,116.71,69.07,6.36,5.60,3.12,2.31,60.94,4.57,24.96,21220,1.98,10.21,189.68
Flexituff Vent.,533638,FLEXITUFF,Packaging,75.84,118.87,71.20,116450,171219,300079,78.96,24.15,384.55,3.05,-2.00,19.10,135.53,45.69,40.28,44.46,39.92,91.92,10.68,10.31,8.13,7.50,143.86,53.67,40.10,52613,-2.04,-10.30,203.88
Flomic Global,504380,,Miscellaneous,68.84,-4.14,-12.82,2312,1678,2109,97.30,65.50,216.30,0.19,-1.19,-2.23,-5.07,71.08,77.76,71.17,77.85,44.18,-0.65,-0.63,-0.69,-0.70,-24.67,53.46,185.96,3366,121.88,,125.07
Flora Corporatio,540267,,Trading,11.39,20.02,-11.36,6773,6465,12288,16.09,6.87,22.99,6.00,4.02,4.40,1.70,10.76,10.67,10.73,10.66,55.09,0.00,-0.05,-0.01,-0.02,9.52,,3.70,7266,8.71,,9.95
Flora Textiles,530705,,Textiles - Processing,41.86,349.62,318.60,3962,1330,2550,41.86,9.00,45.00,5.80,2.00,10.33,45.25,26.79,16.57,26.18,16.31,99.28,4.87,4.84,4.76,4.73,345.32,81.51,,3787,26.45,12.68,25.12
Fluidomat,522017,,Engineering,648.05,1.23,-1.80,7073,10012,2062,738.80,305.10,738.80,4.81,-0.75,-3.84,-6.59,646.31,561.06,646.24,560.18,46.57,5.50,7.71,8.81,9.64,91.65,65.08,48.76,8450,20.07,14.31,319.49
Foce India,,FOCE,Trading,1069.00,17.09,52.71,7211,8120,14200,1230.00,670.00,1230.00,185.10,3.89,3.31,7.33,989.72,866.23,986.49,864.19,70.81,14.71,12.18,14.07,13.90,27.36,,,2272,,,523.05
Focus Business,543312,,Miscellaneous,95.76,45.11,44.76,1800,2025,1350,95.99,0.00,95.99,0.00,5.00,-0.24,60.75,66.33,37.00,65.13,36.41,68.81,7.82,7.24,5.37,4.75,79.56,91.86,,4766,,,44.05
Focus Lighting,,FOCUS,Electric Equipment,118.15,-26.84,-41.84,816283,1402530,450131,217.80,115.20,217.80,3.10,1.46,-12.18,-18.94,143.75,155.34,144.80,155.71,20.21,-7.69,-7.26,-5.88,-5.43,-24.70,126.63,65.35,274367,27.02,,783.10
Fone4 Communica.,543521,,Trading,4.36,-23.51,-27.69,80714,92500,140000,7.60,3.41,10.00,3.10,4.81,9.82,-2.46,4.59,5.02,4.60,5.03,49.67,-0.19,-0.22,-0.20,-0.21,33.74,,,51368,,,7.43
Fonebox,,FONEBOX,Trading,195.00,14.84,2.88,32632,15200,17000,217.00,116.00,217.00,116.00,-2.99,-2.50,0.13,182.85,181.82,182.36,181.69,53.12,5.68,6.39,7.25,7.64,,,,45434,,,200.07
Foods & Inns,507552,FOODSIN,Food - Processing - Indian,157.54,3.17,7.87,348139,737899,656898,222.35,126.30,222.35,1.70,-1.56,2.91,0.51,151.17,153.84,150.91,153.80,58.09,2.31,2.21,1.19,0.90,-16.60,34.46,29.56,511838,22.91,33.55,921.57
Forbes & Co,502865,,Engineering,626.25,-5.71,72.51,1810,1693,1284,796.25,241.28,796.25,7.36,-0.29,2.88,-1.79,618.50,497.50,618.19,496.20,52.07,-2.92,-3.80,-4.88,-5.37,126.90,91.37,63.08,8863,44.41,41.60,807.86
Forbes Precision,544186,,Engineering,343.05,,,56134,61249,19218,416.75,209.00,416.75,209.00,-1.55,-11.25,-5.00,325.67,259.14,324.96,258.30,46.15,9.96,13.00,18.61,20.77,,,,96457,,,1769.95
Force Motors,500033,FORCEMOT,Automobiles - LCVs / HCVs,9051.95,-7.32,119.30,43785,121077,30115,10277.85,2660.50,10277.85,54.50,-1.41,6.84,6.48,8629.33,6757.97,8612.08,6734.91,57.69,98.37,81.83,-13.95,-42.04,238.39,82.80,53.92,57550,12.37,30.10,11930.47
Fortis Health.,532843,FORTIS,Healthcare,505.70,9.60,10.72,1800687,1509006,2071767,532.25,308.25,532.25,46.07,0.13,-0.80,9.54,477.33,426.67,476.18,425.87,61.45,8.87,8.68,7.31,6.91,49.39,27.62,33.18,1638875,17.21,15.96,38178.23
Fortis Malar,523696,,Healthcare,63.69,-25.66,10.15,39414,50967,41806,107.94,44.00,107.94,7.67,-1.92,0.71,-2.02,65.44,63.42,65.51,63.42,46.86,-0.54,-0.53,-0.55,-0.55,9.62,0.31,4.96,45122,-1.19,4.89,119.37
Fortune Interntl,530213,,Trading,56.11,-1.27,-13.85,3039,1647,1753,78.80,28.79,83.65,5.01,-4.02,-10.44,14.09,54.69,50.02,54.64,49.96,49.10,2.18,2.63,2.80,2.96,87.60,-4.78,,3225,,9.82,39.50
Foseco India,500150,FOSECOIND,Chemicals,5003.15,47.39,37.06,10249,17967,56702,5072.15,2852.05,5072.15,191.10,7.57,6.50,14.82,4190.03,3650.32,4156.84,3636.72,69.33,198.01,175.00,158.53,148.65,52.07,46.94,33.12,5969,20.23,20.57,3197.01
Foundry Fuel,513579,,Miscellaneous,11.33,5.30,31.13,2020,2408,1725,14.58,2.59,46.85,1.10,1.98,17.65,19.26,10.53,8.37,10.50,8.35,61.13,-0.04,-0.15,-0.39,-0.48,289.35,78.56,26.12,979,11.17,4.84,9.09
Fourth Gen.,532403,,Computers - Software - Medium / Small,5.43,-0.91,4.02,642,617,617,6.00,3.10,48.95,0.00,-4.74,-4.74,-0.37,4.87,3.96,4.85,3.95,56.33,0.26,0.29,0.28,0.29,48.36,16.89,11.02,1508,14.23,-0.31,1.93
Franklin Indust.,540190,,Trading,3.61,-61.55,-54.93,10555951,2980689,3172467,11.80,2.12,11.80,1.18,4.64,0.84,-26.33,5.09,6.09,5.15,6.12,30.41,-0.55,-0.58,-0.63,-0.65,69.48,27.54,9.43,1073908,0.73,,52.20
Franklin Leasing,539839,,Finance & Investments,13.21,3.77,-4.90,5000,6000,4000,17.15,7.26,61.50,5.48,-4.96,-6.64,-11.34,13.90,12.96,13.92,12.95,43.30,-0.06,0.04,0.04,0.07,33.43,13.65,,15650,-6.47,,20.85
Fraser & Company,539032,,Trading,4.76,-6.48,-18.63,6614,7571,6120,7.95,4.25,66.95,2.06,-1.65,0.00,-2.26,4.92,5.35,4.93,5.36,46.86,-0.04,-0.03,-0.04,-0.04,-16.78,-21.87,-14.39,13534,-11.30,,3.87
Fredun Pharma,539730,,Pharmaceuticals - Indian - Formulations,837.70,-14.66,4.08,6758,9490,5197,1110.00,650.00,1428.00,12.50,0.53,-2.71,-2.55,851.88,858.75,852.46,858.96,46.70,-1.86,-0.60,-1.21,-1.04,-23.86,26.52,26.68,7543,45.39,,392.39
Freshtrop Fruits,530077,,Food - Processing - Indian,130.70,-10.20,-18.31,5936,5507,5909,284.75,121.00,284.75,6.25,-0.23,-0.08,-3.44,135.40,145.90,135.59,146.05,44.68,-1.33,-1.39,-1.34,-1.35,-17.62,-0.11,6.93,15281,3.67,12.42,104.17
Frog Cellsat,,FROG,Telecommunications - Equipment,342.50,73.51,79.60,77516,54560,69200,400.70,131.50,400.70,131.50,4.84,2.12,-8.56,318.42,250.55,317.44,249.62,52.01,1.78,1.57,4.68,5.41,16.44,,,63476,,,528.67
Frontier Capital,508980,,Finance & Investments,22.22,-1.94,-12.28,15778,1210,1311,40.58,3.32,40.58,2.16,-1.99,-9.56,-15.61,23.59,19.86,23.64,19.83,39.54,0.12,0.34,0.98,1.20,486.28,,,28124,,,37.25
Frontier Springs,522195,,Auto Ancillaries,1505.60,22.65,26.11,3378,2897,2282,1669.00,601.00,1669.00,3.00,0.41,1.54,-5.91,1480.30,1213.22,1479.27,1210.28,49.72,-10.94,-12.73,-7.45,-6.57,106.27,76.08,56.26,4295,53.12,49.86,593.21
Frontline Corp.,532042,,Trading,68.48,77.18,60.41,21388,3644,4609,81.19,27.00,81.19,6.87,-3.43,-2.39,77.87,49.27,40.65,48.48,40.37,70.13,8.35,8.57,7.04,6.71,144.57,54.55,41.67,6007,27.87,,34.24
Fruition Venture,538568,,Finance & Investments,50.00,-18.03,25.75,659,330,510,70.14,26.89,70.14,6.50,0.00,2.04,-28.57,56.76,50.62,57.04,50.63,38.57,-3.36,-3.45,-3.08,-3.02,61.29,87.38,35.74,2353,20.57,12.37,20.00
FSN E-Commerce,543384,NYKAA,Trading,200.12,18.55,24.72,11348289,24628308,32909838,204.44,130.00,429.00,114.25,4.03,9.37,12.93,178.23,167.94,177.33,167.62,69.26,5.38,4.59,3.63,3.19,35.63,,,7503779,,,57174.41
Fundviser Capit.,530197,,Finance & Investments,154.35,15.01,235.11,3072,4185,996,163.90,10.65,163.90,2.10,-1.12,14.29,2.22,139.59,99.75,138.99,99.21,58.86,2.53,1.98,1.39,1.10,1280.59,110.70,57.95,4074,56.54,38.37,70.46
Fusion Microfin.,543652,FUSION,Finance & Investments,435.85,-16.28,-25.51,252860,193978,229741,674.85,416.20,691.00,321.10,-0.54,-0.50,-3.17,453.30,498.49,454.01,499.12,43.47,-6.06,-6.47,-6.99,-7.22,-29.62,,,390631,,,4385.99
Future Consumer,533400,FCONSUMER,Trading,0.76,-27.62,-33.91,7951473,11605198,11605198,1.26,0.55,79.45,0.40,-6.17,-6.17,-20.83,1.00,1.00,1.01,1.00,29.25,-0.05,-0.03,0.00,0.02,-5.00,-54.18,-51.07,6079609,-43.48,-22.60,151.77
Future Ent. DVR,570002,FELDVR,Trading,5.46,12.58,-10.49,32103,42250,49775,6.87,4.10,58.05,3.13,-1.09,2.06,-11.22,5.54,5.62,5.54,5.62,47.33,-0.08,-0.08,-0.07,-0.07,-1.62,-23.92,-24.93,26436,-22.06,-3.24,21.50
Future Enterp.,523574,FEL,Trading,0.78,4.00,-2.50,439254,832402,1382333,1.10,0.60,70.80,0.45,1.30,-2.50,-4.88,0.79,0.99,0.79,0.99,41.07,0.00,0.00,0.00,0.01,-13.33,-57.62,-49.11,669528,-42.58,-26.56,56.98
Future Lifestyle,536507,FLFL,Trading,2.33,10.95,-15.27,179225,222374,89370,5.35,1.80,504.35,1.80,0.00,-1.69,-16.79,2.37,3.08,2.37,3.09,43.52,-0.02,-0.01,0.00,0.01,-58.39,-67.44,-64.56,306894,-50.37,-30.85,47.01
Future Market,533296,FMNL,Miscellaneous,6.51,9.41,-24.30,125771,101254,92760,11.00,4.78,372.70,3.80,1.24,0.77,-6.73,6.68,6.53,6.68,6.53,44.43,-0.09,-0.09,-0.07,-0.06,30.20,-19.54,-22.44,139030,-28.85,-7.34,37.46
Future Retail,540064,FRETAIL,Trading,2.28,3.64,-24.00,416664,624062,884645,3.86,1.90,650.67,1.90,-5.00,-9.88,-23.23,2.60,4.47,2.61,4.49,39.88,0.04,0.08,0.10,0.11,-34.86,-66.07,-64.30,1121527,-52.14,,123.64
Future Supply,540798,FSC,Miscellaneous,3.53,-38.07,-64.70,206133,14213,14213,14.37,2.85,760.00,2.85,-5.11,-5.11,18.06,4.28,8.67,4.31,8.72,44.08,-0.15,-0.16,-0.26,-0.29,-65.22,-65.00,-63.08,99789,,,15.49
Futuristic Sec.,523113,,Finance & Investments,24.35,26.30,-3.75,318,15,18,27.82,15.35,31.10,0.00,1.46,3.40,21.75,22.08,19.94,21.99,19.90,67.52,0.69,0.65,0.55,0.51,29.52,31.01,,275,13.56,13.16,4.75
Futuristic Solu,534063,,Finance & Investments,93.62,4.59,-11.90,1485,1533,1517,132.00,44.54,132.00,14.75,1.03,-4.47,-6.38,98.09,90.12,98.27,90.08,47.29,-1.81,-1.87,-1.59,-1.53,59.87,57.42,18.96,660,9.36,7.60,98.02
G G Automotive,531399,,Engineering,153.70,25.21,30.59,6200,3613,4359,179.50,54.65,179.50,9.80,-1.98,-1.41,-11.77,147.88,116.77,147.64,116.40,49.27,1.31,1.63,2.24,2.47,181.40,,,15426,,,128.05
G G Dandekar,505250,,Miscellaneous,142.75,25.94,0.74,7271,10867,27763,162.80,56.71,184.40,23.80,13.47,23.07,32.79,112.53,106.12,111.29,105.75,75.55,5.12,3.30,3.18,2.70,137.96,39.13,21.94,6055,14.10,9.08,67.97
G G Engineering,540614,,Trading,2.11,-2.31,-23.83,12510947,10839319,11064000,2.97,1.07,12.51,0.74,1.44,-1.40,-19.77,2.15,2.01,2.16,2.01,45.53,-0.02,-0.02,-0.01,0.00,97.20,-39.05,-0.83,17189221,11.10,,323.78
G K Consultants,531758,,Finance & Investments,16.05,-0.93,106.03,10850,2727,3006,20.38,6.55,153.90,1.77,-1.95,-9.48,-9.73,16.43,12.60,16.45,12.56,35.96,0.07,0.22,0.57,0.70,105.77,68.08,18.05,7188,18.47,-3.76,8.52
G K P Printing,542666,,Trading,9.25,-11.14,-24.92,22548,28278,30922,16.60,9.00,206.80,5.87,-1.60,-3.85,-5.03,9.82,11.89,9.84,11.91,30.68,-0.10,-0.08,-0.07,-0.07,-21.94,-26.82,-5.34,39978,,,20.35
G M Breweries,507488,GMBREW,Breweries & Distilleries,793.65,28.14,56.17,175089,80363,73437,950.00,440.00,950.00,8.08,-0.86,-3.05,-12.22,747.25,619.48,745.35,617.73,50.67,18.42,21.67,29.00,31.65,69.27,20.49,20.53,159433,16.67,30.77,1813.25
G M D C,532181,GMDCLTD,Mining / Minerals / Metals,395.35,-7.77,-20.23,3245608,1470757,910337,506.00,166.70,506.00,23.50,-1.29,-1.78,-1.52,401.85,375.06,402.12,374.86,44.83,-0.90,-0.31,0.76,1.17,132.08,78.98,43.29,5554601,16.29,10.17,12572.13
G M Polyplast,543239,,Plastics Products,186.90,-2.91,3.69,36437,26320,28700,215.50,114.05,240.90,20.00,-1.71,0.27,-6.67,189.04,173.72,189.13,173.59,45.15,0.15,0.56,1.24,1.52,59.74,92.38,,40651,,,251.56
G N F C,500670,GNFC,Chemicals,679.45,0.12,-5.10,1913192,1848384,1842624,814.90,532.00,912.00,48.00,-3.41,-0.52,-4.85,686.66,672.52,686.96,672.45,46.72,0.91,2.13,-0.33,-0.64,16.00,22.48,27.70,1496029,12.51,22.34,9983.88
G R Infraproject,543317,GRINFRA,Construction,1680.55,22.68,25.41,66506,85164,159136,1860.00,1024.95,2277.00,930.00,-5.06,-1.71,-6.05,1669.78,1433.47,1669.34,1430.98,45.31,7.42,12.77,12.49,13.76,27.57,-0.50,,118823,,,16249.07
G S Auto Intl.,513059,,Auto Ancillaries,46.00,17.14,3.95,27842,56958,29104,48.67,18.20,105.20,2.40,2.40,7.03,9.68,39.80,33.68,39.55,33.55,64.52,2.04,1.93,1.35,1.18,139.09,56.03,50.14,22932,17.64,14.51,66.77
G S F C,500690,GSFC,Fertilizers,236.90,-0.59,-16.88,5128213,2635275,1449427,322.45,146.15,322.45,12.20,-1.54,0.37,-2.70,238.76,223.71,238.84,223.57,45.96,-0.18,0.25,1.07,1.38,44.41,25.19,25.27,5992607,8.22,11.87,9439.93
G V Films,523277,,Entertainment / Electronic Media Software,0.91,26.39,-9.00,8189841,19503880,76902965,1.20,0.40,16.36,0.22,2.25,12.35,2.25,0.81,0.75,0.81,0.75,65.93,0.01,0.00,0.00,0.00,116.67,-10.52,19.72,3845425,-0.76,3.58,83.23
G-Tec Janix,,GTECJAINX,Miscellaneous,75.36,-3.82,-9.15,1825,794,843,140.65,56.75,140.65,9.51,0.11,-4.35,-11.23,76.54,74.98,76.59,74.97,47.31,0.41,0.64,1.18,1.38,20.58,57.61,23.95,4348,,,76.79
