Name,BSE Code,NSE Code,Industry,Current Price,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1807.30,122.50,49.19,3.20,52.39,8.44,43.95,0.42,43.53,11.42,32.11,0.00,32.11,40.16,26.21,14.93,21.51,2698.30
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.60,,,,,,,,,,,,,,,,,598.88
Accord Synergy,,ACCORD,Telecommunications - Service Provider,25.00,13.57,0.29,,,,,,,,,,0.37,,,,1.07,8.68
Accuracy Shippi.,,ACCURACY,Miscellaneous,12.24,177.55,12.03,-0.24,11.79,3.14,8.65,2.21,6.44,0.73,5.71,0.00,5.71,6.78,3.22,15.06,0.38,184.29
ACE EduTremd Ltd,530093,,Miscellaneous,3.22,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,,,9.16,-0.01,2.95
Ace Integrated,,ACEINTEG,Computers - Software - Medium / Small,36.81,2.21,0.38,0.06,0.44,0.04,0.40,0.01,0.39,0.15,0.24,0.00,0.24,17.19,10.86,10.20,0.24,37.55
Ace Men,539661,,Trading,56.00,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,,,,-0.06,17.35
Ace Soft. Exp.,531525,,Computers - Software - Medium / Small,339.00,1.90,-0.27,0.08,-0.19,0.08,-0.27,0.00,-0.27,0.00,-0.27,0.00,-0.27,-14.21,-14.21,,-0.58,216.96
Achyut Healthcar,543499,,Trading,55.20,0.81,-0.29,,,,,,,,,,-0.01,,,,-0.01,92.88
ACI Infocom,517356,,Computers - Software - Medium / Small,2.34,0.14,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.04,0.02,0.00,0.02,42.86,14.29,11.05,0.00,25.85
Acknit Indus.,530043,,Textiles - Products,317.45,52.98,4.52,0.04,4.56,0.86,3.70,0.59,3.11,0.85,2.26,0.00,2.26,8.53,4.27,3.04,7.43,96.50
Acme Resources,539391,,Finance & Investments,38.50,20.59,12.39,0.02,12.41,0.00,12.41,0.10,12.31,2.86,9.45,0.00,9.45,60.17,45.90,25.74,3.67,99.11
Acrow India,513149,,Diversified - Medium / Small,675.00,0.00,-0.10,0.54,0.44,0.04,0.40,0.00,0.40,0.11,0.28,0.00,0.28,,,,4.37,43.20
Action Const.Eq.,532762,ACE,Engineering,1343.55,651.61,81.65,16.24,97.89,5.21,92.68,3.14,89.54,21.97,67.55,0.00,67.57,12.53,10.37,,5.67,15999.42
Active Clothing,541144,,Textiles - Products,92.26,43.91,2.34,-0.01,2.33,0.45,1.88,1.38,0.50,0.11,0.39,0.00,0.39,5.33,0.89,15.51,0.25,143.12
AD Manum Finance,511359,,Finance & Investments,77.99,1.81,1.37,0.00,1.37,0.01,1.36,0.27,1.09,0.27,0.82,0.00,0.82,75.69,45.30,,1.09,58.49
Adani Energy Sol,539254,ADANIENSOL,Power Generation And Supply,1261.80,3663.91,1269.30,108.34,1377.64,418.88,958.76,615.67,343.09,161.11,175.06,0.00,181.98,34.64,4.97,,1.57,140752.87
Adani Enterp.,512599,ADANIENT,Trading,3160.90,22644.47,2525.25,370.36,2896.72,713.86,2182.86,1102.86,1078.89,360.73,675.04,-1.11,676.93,11.15,2.99,,5.91,360342.95
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1881.40,2162.00,2081.00,178.00,2309.00,451.00,1858.00,1393.00,415.00,142.00,354.79,-50.00,323.00,96.25,16.46,,2.03,298019.87
Adani Ports,532921,ADANIPORTS,Miscellaneous,1588.00,6247.55,3689.33,383.68,4073.01,949.58,3123.43,632.69,2490.74,371.36,2114.72,0.00,2119.38,59.05,33.92,,9.79,343030.06
Adani Power,533096,ADANIPOWER,Power Generation And Supply,726.35,11005.54,3514.23,7103.47,10617.70,934.59,9683.11,883.49,8799.62,40.20,8759.42,0.00,8759.42,31.93,79.59,,22.71,280148.76
Adani Total Gas,542066,ATGL,Miscellaneous,908.90,1056.06,247.74,10.02,257.76,32.75,225.01,23.69,201.32,51.10,150.22,0.00,150.22,23.46,14.22,,1.37,99961.74
Adani Wilmar,543458,AWL,Solvent Extraction,383.15,12378.83,121.91,64.66,186.57,82.87,103.70,152.91,-49.21,-10.77,-38.44,0.00,-38.44,0.98,-0.31,,-0.30,49797.19
Adarsh Plant,526711,,Packaging,32.50,3.83,0.13,0.00,0.13,0.02,0.11,0.04,0.07,0.00,0.08,0.00,0.08,3.39,2.09,,0.08,32.21
ADC India,523411,,Telecommunications - Equipment,1872.35,34.52,-1.13,0.19,-0.94,0.05,-0.99,0.08,-1.07,-0.23,-0.84,0.00,-0.84,-3.27,-2.43,4.60,-1.83,861.28
Adcon Capital,539506,,Finance & Investments,0.82,0.33,-0.41,0.00,-0.41,0.00,-0.41,0.00,-0.41,0.01,-0.42,0.00,-0.42,-124.24,-127.27,3.55,-0.01,16.26
Add-Shop E-Reta.,541865,,Trading,14.19,46.89,7.09,0.00,7.09,0.11,6.98,0.05,6.93,4.47,2.46,0.00,2.46,15.12,5.25,19.26,0.87,40.18
Addi Industries,507852,,Textiles - Products,49.02,0.00,-0.11,1.10,0.99,0.07,0.92,0.01,0.91,0.15,0.76,0.00,0.76,,,5.40,0.70,52.92
Addictive Learn,,LAWSIKHO,Miscellaneous,273.70,16.43,-2.32,,,,,,,,,,-1.66,,,,-1660.00,435.45
Adeshwar Meditex,543309,,Healthcare,25.81,36.30,2.46,,,,,,,,,,0.99,,,,0.69,37.25
ADF Foods,519183,ADFFOODS,Food - Processing - Indian,228.67,112.42,21.93,2.45,24.38,3.58,20.80,0.51,20.29,5.55,14.73,0.00,14.73,19.51,13.10,,1.37,2512.25
