Name,BSE Code,NSE Code,Industry,Current Price,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Indo Borax & Ch.,524342,INDOBORAX,Chemicals,188.59,55.94,15.40,2.39,17.79,0.61,17.18,0.00,17.18,4.54,12.65,0.00,12.65,27.53,22.61,3.21,3.94,605.19
Indo Cotspin,538838,,Textiles - Cotton/Blended,93.60,3.24,0.17,0.06,0.23,0.20,0.03,0.00,0.03,0.00,0.04,0.00,0.04,5.25,1.23,,0.10,39.32
Indo Count Inds.,521016,ICIL,Textiles - Cotton/Blended,381.05,741.43,124.96,5.26,130.22,18.70,111.52,14.52,97.00,23.26,73.74,0.00,73.74,16.85,9.95,,3.72,7546.86
Indo Credit Cap.,526887,,Finance & Investments,2.14,0.00,-0.08,0.00,-0.08,0.00,-0.08,0.00,-0.08,0.00,-0.08,0.00,-0.08,,,,-0.11,1.55
Indo Euro Indch.,524458,,Trading,14.75,2.78,-0.89,0.13,-0.76,0.02,-0.78,0.01,-0.79,-0.23,-0.56,0.00,-0.56,-32.01,-20.14,9.03,-0.62,13.36
Indo National,504058,NIPPOBATRY,Dry Cells,577.05,143.19,4.56,2.36,6.92,4.55,2.37,3.17,-0.80,0.82,-1.62,0.00,-1.62,3.18,-1.13,3.75,-3.47,432.79
Indo Rama Synth.,500207,INDORAMA,Textiles - Manmade,46.89,880.01,22.81,5.03,27.84,7.63,20.21,20.10,0.11,-1.51,1.62,0.00,1.62,2.59,0.18,261.11,0.06,1224.36
Indo Tech.Trans.,532717,INDOTECH,Electric Equipment,2345.70,144.67,21.74,0.73,22.47,2.00,20.47,1.17,19.30,0.00,19.30,0.00,19.30,15.03,13.34,10.62,18.17,2491.13
Indo Thai Sec.,533676,INDOTHAI,Finance & Investments,272.15,2.17,-10.19,0.24,-9.95,0.14,-10.09,0.09,-10.18,-2.53,-7.65,0.00,-7.65,-469.59,-352.53,10.00,-7.65,272.15
Indo US Bio-Tech,541304,,Miscellaneous,236.00,18.11,3.09,0.02,3.11,0.21,2.90,0.27,2.63,-0.14,2.77,0.00,2.77,17.06,15.30,,1.38,473.23
Indo-City Info.,532100,,Finance & Investments,15.53,5.35,0.01,-0.09,0.07,0.00,0.07,0.00,-0.08,0.08,-0.10,-0.15,-0.17,0.19,-1.87,10.40,-0.16,16.15
Indoco Remedies,532612,INDOCO,Pharmaceuticals - Indian - Bulk Drugs & Formln,325.75,426.50,61.17,0.41,61.58,19.88,41.70,7.79,33.91,9.73,24.18,0.00,24.18,14.34,5.67,,2.65,3002.84
Indokem,504092,,Dyes And Pigments,86.85,40.71,0.81,0.13,0.94,0.57,0.37,0.91,-0.54,0.00,-0.54,0.00,-0.54,1.99,-1.33,,-0.22,242.21
Indong Tea Co,543769,,Tea,29.50,7.85,-1.49,,,,,,,,,,-0.92,,,,-0.61,44.25
Indostar Capital,541336,INDOSTAR,Finance & Investments,242.85,299.09,203.61,0.28,203.89,7.87,196.02,154.38,41.64,2.71,38.93,0.00,38.93,68.08,13.02,,2.86,3304.69
Indowind Energy,532894,INDOWIND,Power Generation And Supply,29.69,4.51,0.24,-6.62,0.48,0.03,0.45,0.43,-6.84,18.10,-36.09,-6.86,-24.93,5.32,-801.77,89.74,-1.93,382.41
Indra Industries,539175,,Fertilizers,12.49,0.71,0.26,0.89,1.15,0.17,0.98,0.75,0.23,0.73,-0.49,0.00,-0.49,36.62,-69.01,6.48,-0.76,8.09
Indrapr.Medical,532150,INDRAMEDCO,Healthcare,267.45,274.05,33.14,4.79,37.93,9.86,28.07,0.87,27.20,7.36,19.84,0.00,19.84,12.09,7.24,91.67,2.16,2451.71
Indraprastha Gas,532514,IGL,Miscellaneous,538.10,3406.99,642.38,45.66,688.04,98.93,589.11,2.37,586.74,148.34,438.40,0.00,438.40,18.85,12.87,,6.26,37667.04
Indrayani Biotec,526445,,Hotels,57.75,49.25,3.18,2.05,5.23,1.15,4.08,2.23,1.85,0.40,1.08,0.00,1.44,6.46,2.92,34.23,0.32,262.97
Indsil Hydro,522165,,Mining / Minerals / Metals,53.11,58.79,-0.21,1.24,1.03,1.03,0.00,1.67,-1.67,3.17,-4.85,0.00,-4.85,-0.36,-8.25,42.79,-1.75,147.60
Inducto Steel,532001,,Miscellaneous,101.65,14.72,1.12,0.03,1.15,0.07,1.08,0.62,0.46,0.15,0.30,0.00,0.30,7.61,2.04,4.02,0.75,40.86
Indus Finance,531841,,Finance & Investments,24.50,0.42,0.09,0.25,0.34,0.01,0.33,0.10,0.23,0.00,0.23,0.00,0.23,21.43,54.76,,0.25,22.69
Indus Towers,534816,INDUSTOWER,Transmisson Line Towers / Equipment,421.10,7075.90,3479.50,56.50,3536.00,1374.10,2161.90,351.60,1810.30,462.40,1347.90,0.00,1347.90,49.17,19.05,,5.00,113483.79
IndusInd Bank,532187,INDUSINDBK,Banks - Private Sector,1404.30,10729.65,6491.26,2209.77,8701.03,0.00,8701.03,5862.54,2838.49,714.87,2123.62,0.00,2123.62,60.50,19.79,,27.37,109356.35
Inertia Steel,512025,,Trading,214.70,0.09,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,11.11,0.00,,,5.37
Infibeam Avenues,539807,INFIBEAM,Computers - Software - Medium / Small,32.31,742.36,48.83,3.43,52.26,16.47,35.79,0.63,35.16,9.70,25.46,0.00,25.46,6.58,3.43,,0.10,8988.65
Infinium Pharma,,INFINIUM,Pharmaceuticals - Indian - Bulk Drugs,183.05,,,,,,,,,,,,,,,,,254.73
Inflame Applian.,541083,,Domestic Appliances,418.55,40.60,7.94,,,,,,,,,,2.81,,,,3.83,307.26
Info Edg.(India),532777,NAUKRI,Miscellaneous,7220.50,604.78,107.31,-532.58,-327.79,20.20,-347.99,1.49,-446.96,56.23,-226.83,-97.48,-503.20,17.74,-69.17,128.71,-21.12,93421.80
InfoBeans Tech.,543644,INFOBEAN,Computers - Software - Medium / Small,430.55,91.60,12.14,2.77,14.91,7.58,7.33,1.47,5.86,2.40,3.46,0.00,3.46,13.25,3.78,,1.42,1049.20
Infollion Resea.,,INFOLLION,Miscellaneous,293.50,19.63,2.33,,,,,,,,,,1.86,,,,2.49,284.43
Infomedia Press,509069,INFOMEDIA,Printing & Stationery,6.51,0.00,0.00,-0.39,0.00,0.00,0.00,0.69,-1.08,0.00,-0.70,-0.39,-1.09,,,,-0.22,32.67
Informed Techn.,504810,,Computers - Software - Medium / Small,92.05,0.60,-0.39,-0.18,-0.57,0.10,-0.67,0.01,-0.68,-0.09,-0.59,0.00,-0.59,-65.00,-98.33,4.17,-1.42,38.38
Infosys,500209,INFY,Computers - Software - Large,1821.20,37933.00,9064.00,561.00,9625.00,1173.00,8452.00,90.00,8362.00,2417.00,5945.00,0.00,5945.00,23.89,15.67,,14.32,756167.43
Infronics Sys.,537985,,Computers - Software - Medium / Small,54.09,1.05,0.54,0.06,0.60,0.01,0.59,0.09,0.50,0.21,0.28,0.00,0.28,51.43,26.67,7.93,0.35,42.87
Ingersoll-Rand,500210,INGERRAND,Compressors / Drilling Equipment,4289.95,304.40,90.48,4.34,94.82,4.31,90.51,0.20,90.31,23.20,67.11,0.00,67.11,29.72,22.05,31.57,21.26,13542.51
Inland Printers,530787,,Printing & Stationery,110.00,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,,,5.03,-0.06,54.38
Innocorp,531929,,Plastics Products,6.20,0.01,-0.59,0.03,-0.56,0.01,-0.57,0.00,-0.57,1.52,-2.09,0.00,-2.09,-5900.00,-20900.00,7.94,-2.63,4.92
Innokaiz India,543905,,Miscellaneous,56.67,75.59,4.78,,,,,,,,,,3.64,,,,4.85,57.94
Innova Captab,544067,INNOVACAP,Pharmaceuticals - Indian - Bulk Drugs & Formln,620.80,240.95,26.80,2.62,29.42,2.94,26.48,5.23,21.25,4.00,17.25,0.00,17.25,11.12,7.16,,3.59,3552.52
Innovana Think.,,INNOVANA,Computers - Software - Medium / Small,496.00,26.19,11.08,1.45,12.53,1.02,11.51,0.32,11.19,1.16,9.96,0.00,9.96,42.31,38.03,,4.86,1016.80
Innovassynth Inv,533315,,Finance & Investments,27.44,0.00,-0.08,4.38,4.30,0.00,4.30,0.08,4.22,0.00,4.22,0.00,4.22,,,24.28,1.74,66.62
Innovative Ideal,541983,,Trading,24.50,0.76,-3.86,,,,,,,,,,-7.24,,,,-6.36,27.88
Innovative Tech,523840,,Plastics Products,39.08,39.07,2.40,0.69,3.09,1.47,1.62,1.34,0.28,0.00,0.27,0.00,0.27,6.14,0.69,2.25,0.12,87.79
Innovators,541353,,Construction,224.70,109.10,10.79,,,,,,,,,,7.26,,,,3.85,423.96
Innovatus Enter.,543951,,Miscellaneous,54.00,4.10,0.33,,,,,,,,,,0.18,,,,0.75,21.37
Inox Green,543667,INOXGREEN,Engineering - Turnkey Services,179.92,56.80,6.17,14.49,20.68,13.75,6.93,7.90,-0.99,0.83,-0.82,-0.02,-1.82,10.86,-4.63,235.02,-0.02,5282.56
Inox India,544046,INOXINDIA,Packaging,1292.75,235.30,40.10,6.48,46.58,3.47,43.11,2.08,41.03,10.42,30.61,0.00,30.61,17.04,13.01,,3.37,11733.45
Inox Wind,539083,INOXWIND,Electric Equipment,179.38,190.75,-27.40,-0.45,-24.32,25.72,-50.04,65.04,-118.61,0.43,-113.82,-3.53,-119.04,-14.36,-60.56,221.92,-0.90,23387.46
Inox Wind Energy,543297,IWEL,Power Generation And Supply,8564.00,186.19,-31.93,-0.65,-29.17,22.56,-51.73,62.84,-117.98,-5.08,-71.36,-3.41,-112.90,-17.15,-58.81,10.99,-65.57,10317.54
Insecticid.India,532851,INSECTICID,Pesticides / Agrochemicals - Indian,759.50,301.90,-28.32,0.41,-27.91,6.65,-34.56,4.47,-39.03,-10.02,-29.01,0.00,-29.01,-9.38,-9.61,19.73,-9.80,2247.96
Insolation Ener,543620,,Electric Equipment,3126.00,163.71,10.12,,,,,,,,,,6.08,,,,2.92,6512.08
Inspire,,INSPIRE,Entertainment / Electronic Media Software,31.85,35.28,5.65,,,,,,,,,,3.34,,,,3150.94,43.35
Inspirisys Sol.,532774,INSPIRISYS,Computers - Software - Medium / Small,184.55,100.92,12.39,-6.35,13.74,1.71,12.03,1.89,2.44,1.88,8.26,-7.70,0.56,12.28,8.18,39.62,0.14,731.13
Intec Capital,526871,,Finance & Investments,17.10,4.22,-13.85,1.60,-12.25,0.14,-12.39,0.02,-12.41,9.11,-21.52,0.00,-21.52,-328.20,-509.95,18.37,-11.72,31.41
Integ. Capital,539149,,Miscellaneous,4.16,0.50,0.33,0.01,0.34,0.04,0.30,0.00,0.30,0.08,0.22,0.00,0.22,66.00,44.00,3.56,0.06,14.80
Integ. Hitech,532303,,Computers - Software - Medium / Small,6.99,0.02,-0.10,0.00,-0.10,0.03,-0.13,0.00,-0.13,0.00,-0.13,0.00,-0.13,-500.00,-650.00,10.00,-0.13,6.99
Integ. Industrie,531889,,Trading,264.10,0.04,0.01,0.00,0.01,0.00,0.01,0.00,0.01,7.25,-7.24,0.00,-7.24,25.00,-18100.00,,-7.54,505.96
Integ. Proteins,519606,,Solvent Extraction,32.35,0.17,0.00,0.04,0.04,-0.01,0.05,0.00,0.05,0.01,0.04,0.00,0.04,0.00,23.53,,0.11,11.89
Integra Capital,531314,,Finance & Investments,20.70,0.19,-0.12,0.00,-0.12,0.00,-0.12,0.00,-0.12,0.00,-0.12,0.00,-0.12,-63.16,-63.16,4.85,-0.26,9.73
Integra Engg.,505358,,Engineering,272.15,38.24,6.71,0.20,6.91,0.64,6.27,0.30,5.97,1.80,4.18,0.00,4.18,17.55,10.93,,1.22,935.25
Integra Essentia,535958,ESSENTIA,Trading,3.98,55.00,1.28,1.47,2.75,0.88,1.87,0.03,1.84,0.66,1.18,0.00,1.18,2.33,2.15,,0.01,424.94
Integra Switch,517423,,Electric Equipment,151.50,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,,,,-0.16,48.29
Integra Tele.,536868,,Computers - Software - Medium / Small,5.60,0.24,0.17,0.04,0.21,0.00,0.21,0.01,0.20,0.00,0.20,0.00,0.20,70.83,83.33,,0.19,5.91
Integrated Perso,,IPSL,Miscellaneous,184.00,105.15,4.69,,,,,,,,,,2.83,,,,3.93,132.60
Intellect Design,538835,INTELLECT,Computers - Software - Medium / Small,946.15,639.38,147.64,13.38,161.02,33.97,127.05,0.51,126.54,32.90,93.47,0.00,93.64,23.09,14.65,,6.87,12984.10
Intense Tech.,532326,INTENTECH,Computers - Software - Medium / Small,152.43,33.34,4.97,0.52,5.49,0.48,5.01,0.03,4.98,0.42,4.55,0.00,4.55,14.91,13.65,4.49,1.94,357.71
Inter Globe Fin,511391,,Finance & Investments,116.90,6.93,0.02,0.06,0.08,0.02,0.06,0.36,-0.30,0.15,-0.44,0.00,-0.44,0.29,-6.35,6.82,-0.64,79.73
Inter State Oil,530259,,Miscellaneous,36.99,14.89,0.43,0.13,0.56,0.98,-0.42,0.42,-0.84,-0.64,-0.20,0.00,-0.20,2.89,-1.34,4.99,-0.40,18.46
Interactive Fin,539692,,Finance & Investments,23.96,0.10,-0.60,0.15,-0.45,0.00,-0.45,0.00,-0.45,-0.10,-0.35,0.00,-0.35,-600.00,-350.00,3.01,-1.16,7.22
Interglobe Aviat,539448,INDIGO,Transport - Airlines,4312.50,16683.10,4967.80,477.40,5445.20,1404.30,4040.90,953.70,3087.20,0.00,3087.20,0.00,3087.20,29.78,18.50,,80.07,166534.92
Interiors,,INM,Miscellaneous,270.95,,,,,,,,,,,,,,,,,189.54
Interworld Digi.,532072,,Computers - Software - Medium / Small,0.54,0.01,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,0.00,-0.05,-500.00,-500.00,47.84,0.00,25.83
Intl. Combustion,505737,,Engineering,1262.85,68.80,11.00,0.32,11.32,1.09,10.23,0.84,9.39,3.67,5.72,0.00,5.72,15.99,8.31,,23.93,301.82
Intl. Conveyors,509709,INTLCONV,Miscellaneous,82.68,48.83,9.16,4.02,13.18,0.57,12.61,1.20,11.41,3.54,7.87,0.00,7.87,18.76,16.12,6.75,1.19,524.02
Intl. Data Mgt.,517044,,Computers - Software - Medium / Small,25.04,0.00,-1.58,0.00,-1.58,0.00,-1.58,0.00,-1.58,0.00,-1.58,0.00,-1.58,,,2.20,-7.18,5.51
Intl. Travel Hse,500213,,Travel Agencies,619.40,51.94,9.06,0.61,9.67,1.77,7.90,0.01,7.89,2.07,5.81,0.00,5.81,17.44,11.19,,7.27,494.90
Intrasoft Tech.,533181,ISFT,Miscellaneous,128.91,118.01,4.09,1.75,5.84,0.27,5.57,2.82,2.75,0.31,2.45,0.00,2.45,3.47,2.08,14.73,1.66,210.27
Inv.& Prec.Cast.,504786,,Castings & Forgings,715.30,44.47,7.70,0.07,7.77,1.83,5.94,1.90,4.04,1.14,2.89,0.00,2.89,17.32,6.50,5.00,5.78,357.65
Inventure Grow.,533506,INVENTURE,Finance & Investments,2.83,9.91,1.39,0.66,2.05,0.18,1.87,0.41,1.46,0.73,0.73,0.00,0.73,14.03,7.37,,0.01,297.15
Invigorated Bus.,511716,,Finance & Investments,7.71,0.00,-0.11,0.06,-0.05,0.00,-0.05,0.02,-0.07,0.00,-0.07,0.00,-0.07,,,,-0.02,31.03
IOL Chemicals,524164,IOLCP,Pharmaceuticals - Indian - Bulk Drugs & Formln,427.25,587.21,95.79,8.72,104.51,12.10,92.41,4.88,87.53,22.26,65.27,0.00,65.27,16.31,11.12,58.71,11.12,2508.19
ION Exchange,500214,IONEXCHANG,Engineering,706.95,479.22,48.78,8.69,57.47,7.87,49.60,2.05,47.55,14.23,33.27,0.00,33.32,10.18,6.95,,2.27,10368.59
IP Rings,523638,,Auto Ancillaries,185.35,76.32,5.10,0.32,5.42,4.23,1.19,3.08,-1.89,-0.56,-1.33,0.00,-1.33,6.68,-1.74,12.68,-1.05,234.95
Ipca Labs.,524494,IPCALAB,Pharmaceuticals - Indian - Bulk Drugs & Formln,1300.30,1511.63,181.04,36.39,217.43,69.54,147.89,18.45,129.44,48.37,76.52,0.00,78.14,11.98,5.17,25.37,3.02,32989.16
IRB Infra.Devl.,532947,IRB,Construction,64.49,1619.98,721.96,78.94,800.90,222.13,578.77,373.28,205.49,75.35,130.15,0.00,130.15,44.57,8.03,603.90,0.22,38945.51
IRB InvIT Fund,540526,IRBINVIT,Construction,64.67,268.09,226.38,0.60,226.98,56.78,170.20,67.73,102.47,1.88,100.59,0.00,100.59,84.44,37.52,,1.73,3754.09
Ircon Intl.,541956,IRCON,Construction,286.00,3780.66,183.15,186.47,369.62,35.69,333.93,33.22,300.71,44.23,256.48,0.00,256.48,4.84,6.78,188.10,2.73,26898.75
IRIS Business,540735,IRIS,Computers - Software - Medium / Small,270.00,20.56,2.85,0.54,3.39,1.16,2.23,0.29,1.94,0.36,1.58,0.00,1.58,13.86,7.68,19.22,0.82,522.75
Iris Clothings,,IRISDOREME,Textiles - Products,64.39,24.16,6.34,0.02,6.36,1.40,4.96,0.83,4.13,1.05,3.08,0.00,3.08,26.24,12.75,,0.38,525.23
IRM Energy,544004,IRMENERGY,Miscellaneous,450.75,243.15,14.60,1.49,16.09,5.64,10.45,5.34,5.11,1.71,4.04,0.00,4.04,6.00,1.66,,1.34,1850.76
Ironwood Educa,508918,,Miscellaneous,25.14,0.52,-0.42,0.01,-0.41,0.13,-0.54,0.17,-0.71,-0.03,-0.67,0.00,-0.67,-80.77,-128.85,7.91,-0.85,19.88
ISF,526859,,Finance & Investments,1.94,0.51,0.11,0.00,0.11,0.00,0.11,0.09,0.02,0.00,0.01,0.00,0.01,21.57,1.96,,0.00,18.43
ISGEC Heavy,533033,ISGEC,Engineering - Turnkey Services,1460.20,2042.74,164.39,5.67,170.06,26.77,143.29,17.49,125.80,32.64,86.13,0.00,93.16,8.05,4.56,7.35,11.71,10736.78
Ishaan Infrastru,540134,,Construction,7.40,0.00,-0.08,0.06,-0.02,0.00,-0.02,0.01,-0.03,-0.01,-0.02,0.00,-0.02,,,6.47,-0.03,4.79
Ishan Dyes & Ch.,531109,,Dyes And Pigments,61.59,14.26,-3.02,0.53,-2.49,0.70,-3.19,0.55,-3.74,-0.74,-3.01,0.00,-3.01,-21.18,-21.11,16.97,-1.44,129.14
Ishan Internat.,,ISHAN,Engineering,2.15,22.34,0.56,,,,,,,,,,0.97,,,,0.04,46.49
Ishita Drugs,524400,,Pharmaceuticals - Indian - Bulk Drugs,83.27,2.63,0.23,0.09,0.32,0.03,0.29,0.04,0.25,0.07,0.18,0.00,0.18,8.75,6.84,2.99,0.60,24.90
ISL Consulting,511609,,Finance & Investments,25.80,3.08,-1.77,0.26,-1.51,0.02,-1.53,0.00,-1.53,-0.01,-1.52,0.00,-1.52,-57.47,-49.35,12.00,-0.63,61.92
ISMT,532479,ISMTLTD,Steel - Medium / Small,127.30,657.36,79.91,3.11,83.02,12.73,70.29,3.62,66.67,26.00,40.67,0.00,40.67,12.16,6.19,,1.35,3825.38
IST,508807,,Auto Ancillaries,898.25,37.07,19.53,9.80,29.33,1.27,28.06,0.86,27.20,8.36,18.84,0.00,18.84,52.68,50.82,5.85,16.15,1047.73
iStreet Network,524622,,Trading,3.88,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,,,8.52,-0.01,8.26
Italian,,ITALIANE,Food - Processing - Indian,34.40,32.11,3.83,,,,,,,,,,1.59,,,,,50.83
ITC,500875,ITC,Cigarettes,489.10,17164.46,6670.07,722.30,7392.37,442.46,6949.91,9.90,6940.01,1759.89,5104.93,0.00,5189.61,38.86,30.23,,4.10,611173.19
ITCONS E-Soluti.,543806,,Miscellaneous,175.45,12.75,0.87,,,,,,,,,,0.67,,,,1.33,88.23
ITD Cem,509496,ITDCEM,Construction,520.40,1631.41,140.09,7.28,147.37,30.87,116.50,51.13,65.37,27.71,37.66,0.00,37.66,8.59,2.31,17.18,2.20,8939.83
ITI,523610,ITI,Telecommunications - Equipment,300.85,775.26,-6.22,9.93,3.71,13.42,-9.71,63.17,-72.88,0.00,-72.88,0.00,-72.88,-0.80,-9.40,933.52,-0.77,28908.28
ITL Industries,522183,,Engineering,451.95,40.89,2.92,1.50,4.42,0.17,4.25,0.50,3.75,1.25,2.44,0.00,2.51,7.14,6.14,3.20,7.61,144.82
IVP,507580,IVP,Chemicals,198.14,175.45,14.83,0.82,15.65,1.29,14.36,2.94,11.42,2.88,8.54,0.00,8.54,8.45,4.87,10.33,8.27,204.68
Iykot Hitech,522245,,Engineering,15.75,0.17,-0.32,0.00,-0.32,0.05,-0.37,0.00,-0.37,0.00,-0.37,0.00,-0.37,-188.24,-217.65,3.04,-0.18,29.03
IZMO,532341,IZMO,Computers - Software - Medium / Small,485.85,43.66,12.16,0.35,12.51,3.53,8.98,0.17,8.81,0.51,8.29,0.00,8.29,27.85,18.99,13.36,6.19,687.38
J & K Bank,532209,J&KBANK,Banks - Private Sector,116.96,2657.21,1594.90,230.31,1825.21,0.00,1825.21,1373.61,451.60,124.93,331.24,0.00,331.24,60.02,12.47,,3.21,12879.43
J A Finance,543860,,Finance & Investments,29.35,0.44,0.13,0.00,0.13,0.00,0.13,0.21,-0.08,0.04,-0.12,0.00,-0.12,29.55,-27.27,10.65,,31.25
J B Chemicals &,506943,JBCHEPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1927.35,762.32,163.64,4.58,168.22,31.80,136.42,13.96,122.46,34.83,87.63,0.00,87.63,21.47,11.50,15.46,5.66,29914.99
J J Finance Corp,523062,,Finance & Investments,30.72,0.05,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.05,-0.05,0.00,-0.05,-20.00,-100.00,2.82,-0.18,8.66
J K Cements,532644,JKCEMENT,Cement - North India,4284.60,2762.63,407.79,16.59,439.38,134.76,304.62,109.04,180.58,67.11,122.90,-15.00,113.47,14.76,4.45,,14.84,33106.35
J Kumar Infra,532940,JKIL,Construction,842.85,1134.21,159.45,9.32,168.77,41.31,127.46,27.28,100.18,26.31,73.87,0.00,73.87,14.06,6.51,37.83,9.76,6377.47
J Taparia Proj,538539,,Trading,28.09,0.00,-4.98,0.90,-4.08,0.00,-4.08,0.00,-4.08,0.00,-4.08,0.00,-4.08,,,,-2.52,45.51
J.G.Chemicals,544138,JGCHEM,Chemicals,300.00,194.25,15.54,3.28,18.82,1.08,17.74,1.62,16.12,4.36,11.31,0.00,11.75,8.00,6.05,,3.57,1175.58
Jackson Invest,538422,,Finance & Investments,0.79,0.14,-0.02,0.21,0.19,0.00,0.19,0.00,0.19,0.03,0.15,0.00,0.15,-14.29,107.14,29.07,0.01,22.97
Jagan Lamps,530711,,Auto Ancillaries,95.78,14.15,1.38,0.36,1.74,0.34,1.40,0.10,1.30,0.31,1.00,0.00,1.00,9.75,7.07,7.16,1.37,69.92
Jagatjit Inds.,507155,,Breweries & Distilleries,190.95,130.86,0.17,16.31,16.55,2.46,14.09,7.51,6.51,0.00,6.49,-0.07,6.42,0.13,4.96,46.15,1.39,893.31
Jagjanani Text.,532825,,Textiles - Cotton/Blended,16.74,0.00,-0.03,0.07,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.00,0.04,,,15.60,0.03,26.11
Jagran Prakashan,532705,JAGRAN,Entertainment / Electronic Media Software,99.94,459.38,8.67,52.87,61.54,25.71,35.83,10.63,25.20,1.93,23.27,0.00,23.27,1.89,5.07,52.73,0.93,2175.24
Jagsonpal Fin.,530601,,Finance & Investments,19.81,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00,10.90
Jagsonpal Pharma,507789,JAGSNPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,383.05,55.45,5.44,2.56,8.00,0.48,7.52,0.20,7.32,1.72,5.60,0.00,5.60,9.81,10.10,13.10,2.14,1013.44
Jai Balaji Inds.,532976,JAIBALAJI,Steel - Large,911.20,1482.56,205.18,7.82,213.00,21.39,191.61,21.18,170.43,0.00,170.43,0.00,170.43,13.84,11.50,,10.96,15714.37
Jai Corp,512237,JAICORPLTD,Plastics Products,369.65,124.79,11.34,-42.96,19.21,3.18,16.03,0.06,-34.86,4.21,7.16,-50.83,-39.07,9.09,5.74,,-2.19,6596.38
Jai Mata Glass,523467,,Trading,2.01,0.14,0.05,0.02,0.07,0.00,0.07,0.14,-0.07,0.00,-0.07,0.00,-0.07,35.71,-50.00,,-0.01,20.10
Jaihind Synth,514312,,Textiles - Processing,27.90,0.05,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.01,20.00,20.00,8.51,0.01,23.85
Jain Irrigat-DVR,570004,JISLDVREQS,Plastics Products,38.80,1013.65,155.80,7.97,163.77,46.16,117.61,99.02,18.59,2.47,16.12,0.00,16.12,15.37,1.59,,8.35,74.86
Jain Irrigation,500219,JISLJALEQS,Plastics Products,70.02,1701.04,215.09,3.91,219.00,59.01,159.99,105.23,54.76,18.12,35.43,0.00,36.64,12.64,2.15,,0.57,4748.47
Jain Marmo Inds,539119,,Miscellaneous,23.00,0.68,0.08,0.00,0.08,0.02,0.06,0.04,0.02,0.01,0.01,0.00,0.01,11.76,1.47,3.13,0.03,7.20
Jainam Ferro,,JAINAM,Mining / Minerals / Metals,148.00,,,,,,,,,,,,,,,,,156.31
Jainco Projects,526865,,Construction,6.11,0.21,0.13,0.03,0.16,0.07,0.09,0.08,0.01,0.00,0.01,0.00,0.01,61.90,4.76,10.00,0.01,6.11
Jainex Aamcol,505212,,Auto Ancillaries,145.35,5.17,0.50,0.02,0.52,0.21,0.31,0.09,0.22,0.04,0.18,0.00,0.18,9.67,3.48,1.50,1.20,21.80
Jaipan Industrie,505840,,Trading,37.70,8.38,0.35,1.22,1.57,0.07,1.50,0.15,1.35,0.00,1.35,0.00,1.35,4.18,16.11,6.10,2.21,23.00
Jalan Transol.,,JALAN,Miscellaneous,3.20,6.76,2.48,,,,,,,,,,-11.50,,,,-7.91,4.65
James Warren Tea,538564,,Tea,216.65,9.34,-17.50,3.77,-13.73,0.64,-14.37,0.00,-14.37,-1.34,-13.02,0.00,-13.02,-187.37,-139.40,4.40,-29.59,80.16
Jamna Auto Inds.,520051,JAMNAAUTO,Auto Ancillaries,139.72,633.89,79.49,2.49,81.98,10.56,71.42,0.70,70.72,18.23,52.49,0.00,52.49,12.54,8.28,39.85,1.32,5574.01
Jamshri Realty,502901,,Construction,19144.50,1.01,0.10,-0.03,0.10,0.14,-0.04,0.73,-0.80,0.00,-0.77,-0.03,-0.80,9.90,-76.24,6.99,-114.45,133.75
Jana Small Finan,544118,JSFB,Banks - Private Sector,640.95,884.91,325.32,188.08,513.40,0.00,513.40,423.04,90.36,0.00,90.36,0.00,90.36,36.76,10.21,,17.81,6703.71
Janus Corporatio,542924,,Construction,10.12,22.25,0.45,,,,,,,,,,0.28,,,,0.21,13.55
Jasch Gauging,544112,,Electronics - Components,694.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,314.72
Jasch Industries,500220,,Plastics Products,169.90,55.76,9.66,0.78,10.44,0.84,9.60,0.29,9.31,2.38,6.93,0.00,6.93,17.32,12.43,,6.13,115.50
