Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Dividend yield,Net Profit latest quarter,YOY Quarterly profit growth,Sales latest quarter,YOY Quarterly sales growth,Return on capital employed,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back
Asian Petroprod.,524434,,Trading,24.00,,20.80,0.00,-0.39,-181.25,0.00,-100.00,-770.37,3.72,8.67,0.00,-11.62,0.00,2.39,3.79,1.87,0.00,1.48,1.93,0.00,0.00,1.86,3.02,0.00,0.00,0.00,3.79,-1.16,0.00,0.00,1.19,10.00,0.40,0.13,1.07,0.77,2.39,0.09,0.39,1.87,0.00,1.14,-0.15,-2.11,-0.20,5.71,4.98,3.36,3.47,0.45,0.51,0.57
Asian Star Co.,531847,,Diamond Cutting / Jewellery,844.95,17.52,1352.76,0.18,18.58,4.68,986.34,-8.53,6.25,741.41,16.01,0.00,1492.93,497.49,130.73,2712.65,352.41,0.00,134.69,222.53,0.00,79.84,2466.99,1095.43,0.00,36.93,3.32,2712.65,2059.58,0.00,920.72,1086.62,10.00,315.52,0.00,381.76,1.60,628.22,1824.95,217.72,352.41,0.54,1472.95,1466.46,1514.72,1374.06,549.05,690.31,977.82,1002.13,253.03,278.81,310.19
Asian Tea & Exp,519532,,Trading,15.70,314.00,31.40,0.00,-1.08,-100.00,18.56,66.16,2.61,24.57,20.00,0.00,40.28,21.66,3.84,93.93,13.75,2.41,4.44,14.30,0.00,28.44,50.56,30.25,0.03,0.00,156.42,93.93,41.55,0.00,1.78,24.56,10.00,0.35,3.74,8.29,2.00,25.50,45.86,9.31,13.75,0.22,39.87,43.18,12.53,12.36,32.08,42.11,6.85,5.31,9.79,10.30,10.80
Asian Warehous.,543927,,Miscellaneous,60.13,139.80,20.97,0.00,0.06,160.00,0.39,2.63,2.95,7.56,3.49,0.00,22.83,5.93,1.77,35.26,38.20,23.08,3.79,34.18,0.00,0.00,0.89,4.21,0.00,0.00,0.00,35.26,0.73,0.00,0.00,0.53,10.00,0.34,0.00,0.09,,7.70,0.52,34.40,38.20,0.00,1.34,,,,8.96,,,,0.00,,
Asit C Mehta Fin,530723,,Finance & Investments,145.30,,119.81,0.00,0.07,105.07,14.03,52.33,0.02,92.88,8.25,0.00,20.93,57.47,58.81,192.11,67.51,0.00,12.03,57.34,12.22,9.20,105.54,100.88,0.00,4.14,8.70,192.11,38.17,0.37,0.02,11.12,10.00,43.30,0.00,63.40,0.82,116.28,31.61,55.47,67.51,11.20,23.35,43.21,19.93,-9.17,71.60,92.75,71.48,20.99,62.70,68.53,71.79
ASK Automotive,544022,ASKAUTOLTD,Auto Ancillaries,396.75,39.95,7821.63,0.25,56.83,63.12,862.20,31.33,24.24,345.87,39.43,0.00,777.31,343.11,2.76,1568.44,1332.32,0.00,340.11,992.21,64.20,20.50,458.30,425.87,0.00,0.00,341.00,1568.44,109.05,2.76,176.78,213.97,2.00,12.65,15.40,247.75,19.71,327.88,144.53,725.82,1020.29,118.25,110.63,36.75,,,84.17,306.63,,,603.39,559.80,
ASM Technologies,526433,,Computers - Software - Medium / Small,1449.90,,1706.86,0.07,-3.39,-1229.63,44.59,-14.15,-0.91,82.42,11.77,0.00,96.56,66.12,16.30,238.17,79.88,0.00,30.88,49.00,0.00,27.59,132.02,61.38,0.00,11.45,22.71,238.17,116.03,13.43,3.50,51.81,10.00,73.00,0.64,4.61,1.10,74.06,49.63,48.00,67.88,1.02,46.68,25.20,25.47,32.14,35.33,14.71,0.75,44.31,16.32,10.80,9.73
Aspinwall & Co,,ASPINWALL,Miscellaneous,283.35,20.44,221.53,2.12,5.64,273.51,77.89,18.86,6.81,23.49,7.82,0.00,175.44,20.27,3.22,250.67,110.55,0.00,23.51,87.04,1.15,0.97,152.03,61.52,0.00,0.00,8.19,250.67,111.02,2.74,70.52,25.60,10.00,35.58,1.91,9.57,0.78,16.73,101.12,81.22,99.97,1.07,85.21,113.99,78.09,74.10,33.70,67.39,25.95,40.89,71.51,75.42,51.92
Aspira Pathlab,540788,,Healthcare,30.99,,31.90,0.00,-0.50,-92.31,3.82,12.02,-15.87,2.78,10.29,0.00,-0.15,0.00,2.35,14.71,16.88,0.00,8.88,6.79,0.00,0.00,4.36,2.07,0.00,0.00,0.00,14.71,2.99,1.71,0.45,2.24,10.00,1.38,0.00,0.73,1.03,8.24,4.95,8.01,16.88,0.00,2.70,0.05,1.84,,7.01,12.52,7.29,,7.75,8.90,7.79
Aspire & Innovat,,ASPIRE,Trading,94.95,15.48,144.12,0.00,5.38,,207.41,,55.76,13.05,1.11,0.00,25.77,2.89,5.92,116.94,1.21,0.00,0.79,1.37,0.00,0.24,107.50,73.10,0.00,0.00,0.00,116.94,40.80,0.00,26.95,60.24,10.00,12.79,0.00,44.99,0.11,8.81,19.79,0.42,1.21,0.00,4.50,,,,0.56,,,,0.55,,
Assam Entrade,542911,,Finance & Investments,336.25,36.13,48.41,0.00,0.52,-20.31,2.20,9.45,4.02,0.00,1.44,0.00,60.79,0.00,1.85,65.92,2.78,0.00,0.55,2.12,1.33,17.84,4.06,0.92,17.84,0.00,0.01,65.92,3.14,0.00,3.35,0.00,10.00,0.56,0.00,0.00,0.14,1.85,2.45,2.23,2.78,1.33,6.66,7.48,35.74,31.24,0.04,3.09,2.65,0.00,1.85,1.82,1.85
Assoc.Alcohols,507526,ASALCBR,Breweries & Distilleries,833.10,26.90,1506.18,0.24,17.72,43.48,251.78,61.04,14.63,107.99,18.08,0.00,393.95,103.66,4.33,618.78,350.56,0.00,98.20,252.37,63.25,45.74,231.78,134.00,0.00,27.21,50.80,618.78,152.46,4.33,104.01,34.96,10.00,40.86,0.98,37.35,1.81,100.05,158.25,110.43,194.78,110.49,141.01,51.64,28.42,48.21,11.24,28.43,31.59,91.55,110.58,116.40,85.97
Associated,544183,,Miscellaneous,207.00,51.83,27.99,0.00,,,,,139.62,0.10,0.03,0.00,0.67,0.00,0.10,2.96,0.55,0.00,0.08,0.48,0.00,0.00,2.48,2.15,0.00,0.00,0.00,2.96,0.33,0.00,0.04,1.51,10.00,0.67,0.01,1.02,0.00,0.10,-0.25,0.52,0.56,0.00,,,,,,,,,,,
Associated Cera.,531168,,Refractories / Intermediates,325.40,113.70,97.78,0.00,0.28,-36.36,10.13,-46.06,6.35,7.04,2.28,0.00,19.18,1.84,4.51,47.53,41.17,0.00,15.88,25.07,0.00,1.80,20.66,24.97,0.00,1.49,0.00,47.53,2.73,0.00,7.10,6.05,10.00,4.66,0.25,3.54,0.30,8.33,10.23,25.29,41.17,0.00,15.26,4.78,13.16,,7.55,3.50,13.79,,10.77,10.14,12.66
Astal Lab,512600,,Pharmaceuticals - Indian - Bulk Drugs & Formln,90.94,32.27,89.39,0.00,1.69,16800.00,13.15,866.91,7.63,0.31,9.85,0.00,13.49,0.31,0.00,36.61,0.79,0.00,0.10,0.69,0.00,0.00,26.73,13.01,0.00,0.00,0.00,36.61,13.77,0.00,1.06,15.82,10.00,6.08,0.00,11.52,0.40,0.00,1.38,0.01,0.08,0.00,-0.01,5.05,5.11,5.19,0.00,0.00,0.00,0.00,0.05,0.08,0.10
Astec Lifescienc,533138,ASTEC,Pesticides / Agrochemicals - Indian,1212.90,,2378.53,0.12,-39.71,-385.45,69.37,-51.44,-4.48,493.90,19.61,0.00,349.68,11.94,481.96,974.92,592.35,0.00,206.39,385.96,165.03,0.01,398.49,397.16,0.00,0.00,212.48,974.92,296.22,0.00,195.85,169.00,10.00,2.43,0.03,89.28,1.96,341.18,302.97,318.47,488.06,126.60,155.35,175.35,130.65,74.94,187.20,175.67,126.56,82.78,212.68,166.95,102.94
Aster DM Health.,540975,ASTERDM,Healthcare,372.15,98.83,18589.38,0.54,5152.20,633.41,1001.87,19.10,4.38,1383.75,499.52,0.00,4060.27,2274.48,3425.82,17991.31,12322.56,0.00,3270.15,3175.39,170.06,17.04,14165.30,11288.26,0.00,0.00,174.29,17991.31,3124.31,714.43,110.52,233.35,10.00,112.65,110.61,458.70,49.95,6074.68,1488.62,9052.41,12322.56,278.96,1183.20,1588.62,1080.12,806.05,4803.65,2788.44,2757.69,885.86,6748.93,4288.57,3519.69
Astra Microwave,532493,ASTRAMICRO,Telecommunications - Equipment,879.05,68.94,8346.14,0.23,54.40,302.37,353.96,36.96,18.73,237.64,18.99,0.00,947.20,185.46,0.00,1474.14,340.64,0.00,173.81,170.23,13.05,23.81,1234.66,433.97,0.00,0.00,23.66,1474.14,1022.86,0.00,514.58,505.17,2.00,130.91,69.87,83.84,8.66,185.46,696.13,166.83,340.64,2.17,484.32,276.10,313.06,166.76,121.55,16.80,137.80,60.81,152.72,178.17,149.73
Astral,532830,ASTRAL,Plastics Products,2130.45,107.50,57229.64,0.18,181.30,-9.69,1625.10,7.89,23.16,119.40,26.90,0.00,3161.20,66.40,53.00,4495.80,3239.70,1.20,940.30,2299.40,150.60,0.00,1985.60,1121.20,0.00,0.00,119.70,4495.80,926.90,23.00,913.40,375.80,1.00,609.60,12.30,871.90,26.86,87.10,966.10,1950.50,2705.10,126.10,636.20,314.60,263.67,162.12,80.20,275.30,228.97,141.95,1314.50,1105.40,741.20
Astrazeneca Phar,506820,ASTRAZEN,Pharmaceuticals - Multinational,7039.80,118.07,17599.50,0.34,39.48,-19.63,383.20,34.60,31.13,4.59,5.00,0.00,706.92,0.00,4.59,1078.03,187.13,0.00,120.45,66.68,0.27,0.00,932.71,357.12,0.00,0.00,137.64,1078.03,577.40,4.59,227.88,153.13,2.00,505.84,0.56,196.51,2.50,7.21,455.06,68.86,179.12,1.33,318.77,145.74,61.21,31.12,12.14,0.00,0.00,0.00,80.96,74.83,86.84
Astron Paper,540824,ASTRON,Paper,24.00,,111.60,0.00,-4.98,-227.63,78.40,-14.35,-0.72,80.00,46.50,0.00,105.64,76.26,0.00,292.87,178.55,0.00,44.77,129.32,0.28,5.17,135.96,139.74,1.14,0.23,18.94,292.87,75.79,0.00,40.02,53.18,10.00,10.01,0.14,58.10,4.65,76.26,88.98,133.78,178.55,0.27,78.13,63.65,49.03,34.19,45.10,56.70,89.20,72.27,126.40,121.20,78.89
Atal Realtech,543911,ATALREAL,Construction,7.88,27.25,58.32,0.00,1.23,30.85,24.54,44.69,10.35,9.21,14.80,0.00,22.91,8.72,2.50,57.56,7.13,0.00,3.67,3.90,0.00,0.00,47.52,17.65,0.00,0.00,9.90,57.56,37.45,0.00,32.99,7.88,2.00,0.22,0.76,1.47,7.40,11.22,41.87,3.47,7.13,0.00,30.14,23.03,10.68,2.03,10.30,14.90,6.27,1.37,4.24,3.23,1.02
Atam Valves,543236,ATAM,Engineering,179.31,34.72,205.54,0.84,0.93,10.71,11.48,10.38,24.11,12.87,11.46,0.00,19.58,5.84,1.33,49.77,4.44,0.00,1.32,2.74,0.00,0.00,46.37,17.74,0.00,0.00,0.03,49.77,40.89,0.27,21.23,14.44,10.00,10.20,0.10,2.31,1.05,7.17,28.57,3.12,4.44,0.00,10.83,11.84,12.51,9.48,4.55,10.72,11.80,9.67,3.47,2.49,1.73
Atharv Enter,530187,,Trading,2.72,25.67,4.62,0.00,0.04,0.00,0.27,-94.09,1.34,0.27,17.00,0.00,2.85,0.39,0.00,32.69,0.40,0.00,0.04,0.44,0.00,8.24,10.82,12.57,0.00,0.00,0.00,32.69,-1.75,0.00,0.75,8.37,10.00,0.06,0.00,11.95,1.70,0.39,-1.77,0.37,0.40,0.00,5.03,3.95,12.30,15.09,0.80,0.64,0.90,0.10,0.11,0.17,0.26
Athena Construc.,539099,,Construction,8.95,,6.71,0.00,-0.35,,0.00,,1.72,3.40,7.50,0.00,-0.23,2.72,6.10,12.11,0.00,0.00,0.00,0.01,0.00,6.97,3.36,1.44,15.48,0.00,0.00,12.11,1.92,0.00,3.05,0.00,10.00,0.03,0.00,0.22,0.75,8.82,-1.02,0.00,0.00,0.00,4.47,4.01,2.07,1.93,4.56,3.47,3.13,2.15,0.00,0.00,0.00
Athena Global,517429,,Computers - Software - Medium / Small,114.45,0.78,160.80,0.00,220.60,3041.33,3.92,88.46,127.62,74.82,14.05,0.00,184.56,73.88,0.44,326.06,42.61,0.00,4.33,305.17,0.00,2.55,16.85,41.73,6.00,0.00,4.29,326.06,-18.66,0.00,0.01,2.48,10.00,0.37,0.04,0.86,1.34,74.32,8.12,38.27,42.61,24.76,-2.70,2.56,-2.74,-0.27,9.66,2.65,4.42,3.08,29.31,5.68,5.66
Atishay,538713,,Computers - Software - Medium / Small,138.85,23.35,152.48,0.72,1.08,881.82,10.07,49.85,19.12,2.13,10.98,0.00,31.39,1.19,0.94,48.25,33.14,0.00,9.82,23.32,1.00,0.00,13.88,5.07,0.00,0.00,0.14,48.25,10.18,0.94,1.07,6.65,10.00,3.26,0.17,1.84,1.10,2.60,13.49,21.89,30.90,2.03,11.73,11.10,3.99,2.24,0.65,4.95,4.29,1.95,23.66,22.91,23.92
Atlantaa,532759,ATLANTAA,Engineering - Turnkey Services,49.60,4.90,404.24,0.00,223.84,313.88,91.37,2260.98,21.14,241.54,16.30,0.00,141.49,816.68,2.88,464.37,382.51,0.00,218.51,128.78,0.00,0.38,236.52,251.73,0.00,0.00,142.37,464.37,217.62,1.51,56.81,126.86,2.00,50.75,0.48,10.15,8.15,819.56,210.71,164.00,382.51,0.69,55.01,-17.09,-9.99,186.77,1104.18,1128.14,1018.58,735.87,521.56,606.89,662.97
Atmastco Ltd,,ATMASTCO,Engineering - Turnkey Services,287.90,43.55,712.11,0.00,10.09,,147.84,,27.74,70.90,14.81,0.00,83.23,52.44,18.81,290.87,53.38,0.00,23.74,26.65,0.00,0.00,260.91,122.69,0.00,0.00,57.26,290.87,184.48,0.00,91.19,84.23,10.00,58.41,0.15,47.32,1.48,71.25,121.72,29.64,53.38,0.00,67.06,,,,54.30,,,,30.24,,
Atul,500027,ATUL,Chemicals,7790.95,69.18,22937.92,0.26,112.07,9.63,1322.05,11.85,8.74,236.55,29.46,0.00,5084.88,227.35,9.20,6455.03,3905.79,0.00,1113.61,2792.18,280.75,1392.07,1849.21,888.41,0.00,0.00,14.76,6455.03,983.35,4.70,618.26,927.04,10.00,72.30,37.84,579.31,2.95,52.24,1079.44,1769.66,2662.69,1032.85,1046.09,885.55,681.16,527.29,132.93,54.67,167.69,367.08,1418.38,1104.29,1026.03
Atul Auto,531795,ATULAUTO,Automobiles - Scooters And 3 - Wheelers,702.00,275.55,1948.14,0.00,4.88,46.11,160.14,6.57,4.37,144.46,13.89,0.00,405.99,0.00,137.08,655.32,352.81,0.00,94.41,250.12,0.14,23.05,262.11,156.98,0.00,0.00,131.87,655.32,191.36,0.21,75.79,48.11,5.00,22.26,5.51,39.58,2.39,170.75,119.38,258.40,352.81,1.29,18.54,90.10,73.54,,15.69,0.00,0.00,,90.06,93.71,87.15
ATV Projects,500028,,Engineering,33.02,27.15,175.40,0.00,1.52,-14.12,19.20,40.76,2.59,50.60,52.56,0.00,146.00,3.12,47.48,267.40,312.24,0.00,98.19,214.05,0.00,0.00,52.49,16.42,0.00,0.00,26.22,267.40,36.07,0.00,33.67,7.16,10.00,3.25,0.00,1.66,5.31,54.49,33.74,213.95,311.00,0.00,29.92,25.41,54.38,23.54,62.10,69.81,126.29,487.38,216.43,222.12,179.66
AU Small Finance,540611,AUBANK,Banks - Private Sector,637.60,27.66,47383.83,0.16,502.57,29.90,3769.04,53.32,7.71,92661.49,669.16,0.00,11890.37,5479.37,87182.12,109425.67,1587.06,0.00,802.93,784.13,67.46,27133.37,8161.99,4204.65,4701.52,0.00,4533.48,109425.67,3957.34,0.00,0.00,0.00,10.00,6376.33,0.00,196.62,66.67,75663.64,7314.48,707.29,1340.48,32.85,3276.96,760.31,118.44,43.70,43009.01,28035.80,7119.89,2130.05,477.37,439.68,35.98
Aurangabad Dist.,,AURDIS,Breweries & Distilleries,305.00,11.95,250.10,0.00,11.63,,67.29,,29.72,62.46,8.20,0.00,79.20,40.86,0.85,184.12,81.75,0.00,29.96,47.49,0.83,0.00,111.09,62.46,0.00,0.00,17.96,184.12,85.34,0.00,39.72,2.05,10.00,0.74,1.57,8.50,0.82,41.71,48.67,51.79,81.75,0.87,23.31,11.61,25.19,6.23,34.78,29.70,29.29,14.28,48.66,52.58,28.51
Aurionpro Sol.,532668,AURIONPRO,Computers - Software - Medium / Small,1710.50,61.89,9444.27,0.07,44.60,37.48,261.62,31.67,22.31,81.25,24.72,0.00,905.17,50.93,37.38,1397.60,370.10,0.00,157.36,470.05,1.29,0.09,895.70,407.32,0.10,0.00,23.66,1397.60,559.72,12.06,32.95,290.85,10.00,268.71,1.26,146.16,4.56,88.31,323.04,212.75,370.10,6.24,256.15,172.98,60.25,237.53,124.08,114.64,109.72,180.57,143.11,296.04,369.56
Auro Impex,,AUROIMPEX,Electrodes - Welding Equipment,77.05,16.18,94.01,0.00,2.45,,110.41,,23.16,29.36,9.28,0.00,24.09,27.50,9.12,77.28,13.53,0.00,4.78,9.42,5.53,0.00,61.65,28.91,0.00,0.00,0.06,77.28,53.08,0.00,28.53,14.32,10.00,9.01,4.59,4.19,,36.62,39.76,8.74,13.53,2.75,15.69,16.18,,,15.90,18.50,,,6.33,6.54,
Auro Labs.,530233,,Pharmaceuticals - Indian - Bulk Drugs,170.75,13.66,106.38,0.00,2.32,30.34,12.06,-10.80,20.38,26.25,6.23,0.00,35.73,26.18,0.07,85.73,36.10,0.00,13.95,22.15,32.68,0.05,30.85,23.93,0.00,0.01,1.92,85.73,14.79,0.00,8.24,13.39,10.00,1.65,0.00,6.21,0.62,6.41,21.93,12.62,25.47,7.67,19.57,12.25,7.54,10.12,3.16,8.09,4.95,14.80,13.56,14.59,13.00
Aurobindo Pharma,524804,AUROPHARMA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1443.30,25.76,84568.52,0.31,907.35,92.29,7580.15,17.10,14.17,6647.63,58.59,0.00,29784.21,2557.37,2728.84,45071.51,18143.23,0.00,7119.54,15622.12,2739.39,372.23,24205.63,12199.13,81.86,290.10,158.53,45071.51,16266.70,332.41,9808.23,4816.74,1.00,6278.30,0.00,4454.16,58.59,5286.21,14251.49,11023.69,18143.23,5390.01,13917.68,9884.92,5503.28,3765.67,5339.08,6966.76,3364.14,3769.14,9373.58,8474.85,4833.78
Aurum Proptech,539289,AURUM,Computers - Software - Medium / Small,186.99,,1148.82,0.00,-10.70,15.53,64.89,46.94,-11.99,318.92,19.93,0.00,160.45,4.72,93.85,644.45,288.34,0.00,53.45,473.20,0.00,25.12,105.44,237.23,0.00,0.00,0.00,644.45,-21.77,125.02,0.00,23.23,5.00,22.94,0.00,34.69,7.16,98.57,34.82,234.89,288.34,2.20,-2.10,382.45,154.94,,0.00,3.82,85.37,,8.69,338.28,261.30
Ausom Enter.,509009,AUSOMENT,Finance & Investments,93.50,13.90,127.35,0.53,2.82,164.83,707.68,446.72,8.50,3.30,13.62,0.00,111.26,6.66,47.55,130.15,8.43,0.00,0.27,7.96,0.00,56.98,34.55,5.22,0.00,0.00,28.02,130.15,32.63,0.00,0.27,0.00,10.00,1.72,0.00,0.14,1.36,54.21,75.76,8.16,8.43,0.00,218.03,370.79,64.71,,161.84,341.41,38.95,,2.43,0.15,0.01
Austin Engg Co,522005,,Bearings,212.30,20.08,73.88,0.00,1.60,29.03,31.01,21.80,8.95,1.34,3.48,0.00,57.28,0.00,0.00,94.36,48.87,0.00,37.67,12.12,0.72,14.69,78.18,23.96,0.00,0.00,5.47,94.36,55.35,0.21,28.06,22.91,10.00,7.81,2.01,14.07,0.35,0.00,48.02,11.20,48.87,0.00,52.41,55.94,51.23,48.89,5.80,7.56,7.54,6.29,10.42,10.29,11.42
Australian Prem,,APS,Electric Equipment,458.60,147.20,905.28,0.00,3.55,,68.52,,50.96,9.51,0.02,0.00,28.34,1.85,0.38,80.38,12.54,0.00,5.61,19.15,0.00,0.00,61.22,21.74,2.58,0.00,1.23,80.38,39.82,0.00,4.27,16.47,10.00,20.61,1.11,16.40,0.00,2.23,7.44,6.92,12.54,0.00,2.94,,,,3.29,,,,8.02,,
Authum Invest,539177,AIIL,Finance & Investments,1049.90,4.22,17832.04,0.00,1537.12,3715.14,1338.56,1753.16,52.58,637.09,16.98,0.00,10328.13,1167.92,536.14,11621.19,420.04,0.00,103.17,357.04,0.00,8940.39,699.09,63.08,261.26,0.00,0.00,11621.19,636.01,0.00,0.00,60.19,1.00,455.16,0.73,10.65,16.98,1704.06,-780.90,316.87,420.04,0.00,,,,,,,,,,,
Auto Pins (I),531994,,Auto Ancillaries,138.75,76.88,79.19,0.00,-0.07,-115.56,18.05,9.00,21.99,3.90,5.71,0.00,2.54,1.09,1.48,21.19,7.19,0.00,2.07,5.74,0.00,0.04,15.11,12.03,0.00,0.00,0.02,21.19,6.51,0.00,8.07,5.82,10.00,0.94,0.61,7.31,0.57,2.57,4.18,5.12,7.19,0.00,2.92,1.28,2.85,0.83,2.58,2.32,2.06,6.65,4.95,4.65,2.79
Auto.Corp.of Goa,505036,,Auto Ancillaries,3363.25,44.33,2047.76,0.59,17.92,77.43,203.33,34.66,18.67,62.56,6.09,0.00,212.86,0.00,62.56,372.91,145.38,0.00,93.91,51.48,0.66,0.00,311.78,140.87,0.00,0.00,8.30,372.91,232.82,0.68,49.18,76.60,10.00,41.38,4.45,65.39,0.61,72.48,212.71,49.13,138.81,0.45,118.49,147.58,134.90,106.84,17.43,0.00,2.39,2.47,54.97,55.68,62.95
Autoline Industr,532797,AUTOIND,Auto Ancillaries,143.35,35.24,558.54,0.00,7.08,432.33,189.42,27.35,11.13,194.45,38.96,0.00,96.69,123.31,49.89,575.10,419.29,0.91,278.09,199.81,1.89,0.10,317.35,320.34,0.00,0.00,14.72,575.10,137.41,2.28,162.13,114.10,10.00,19.07,2.67,79.29,3.90,173.20,132.55,141.20,419.29,10.68,80.32,54.61,56.70,174.20,197.23,219.86,224.22,266.21,169.23,205.49,239.55
Automotive Axles,505010,AUTOAXLES,Auto Ancillaries,2065.10,18.86,3120.37,1.55,44.10,-13.21,571.52,-17.53,26.67,21.78,15.11,0.00,860.83,6.25,15.53,1229.73,506.12,0.00,278.88,227.24,5.71,20.99,949.00,331.76,0.00,0.00,2.25,1229.73,622.31,15.54,250.23,364.50,10.00,83.28,14.43,281.68,1.51,28.06,516.08,245.44,478.18,6.47,265.69,322.43,215.71,139.95,29.49,73.00,0.00,51.20,245.28,108.85,145.77
Automotive Stamp,520119,ASAL,Auto Ancillaries,1004.05,79.50,1592.42,0.00,7.62,126.11,232.48,10.65,46.18,104.71,15.86,0.00,-23.23,1.99,102.72,284.98,198.79,0.00,83.72,115.07,2.89,0.00,160.46,230.80,0.00,0.00,3.73,284.98,-22.39,58.72,66.33,71.51,10.00,1.88,19.04,151.83,1.59,82.67,-39.85,93.26,163.88,0.38,-15.66,-16.41,-13.09,-3.21,158.50,145.84,92.93,61.06,83.57,104.64,109.85
Autoriders Intl.,512277,,Miscellaneous,83.54,0.43,4.09,0.60,0.27,124.77,21.56,9.55,26.88,16.75,0.49,0.00,31.93,18.00,13.26,71.07,53.58,0.00,15.12,44.60,1.25,0.01,19.81,17.91,0.00,0.00,14.58,71.07,1.90,0.00,0.00,13.99,10.00,4.30,0.03,5.21,0.05,31.26,10.54,38.46,53.58,4.74,7.53,3.55,0.84,-23.22,15.01,16.80,18.06,20.08,19.38,22.17,22.42
Avadh Sugar,540649,AVADHSUGAR,Sugar,630.10,9.85,1261.36,1.59,55.29,-30.09,619.80,-26.76,12.93,1317.33,20.02,0.00,1008.31,1220.75,96.58,2853.95,1559.50,0.00,372.37,1187.13,9.62,79.83,1561.00,1484.64,0.00,0.00,48.14,2853.95,1131.22,1.58,1494.97,47.84,10.00,2.10,4.30,379.39,2.00,1068.05,759.83,1165.43,1486.11,13.23,775.81,966.61,559.33,,1375.00,1552.32,1363.35,,1084.88,974.40,987.60
Available Fin.,531310,,Finance & Investments,229.50,1.97,234.09,0.00,32.91,-14.56,0.14,27.27,0.03,0.00,10.20,0.00,1071.50,0.00,0.00,1081.88,0.00,0.00,0.00,0.00,0.00,1075.59,0.03,0.04,935.29,0.00,0.06,1081.88,-0.01,0.00,0.00,0.00,10.00,0.02,0.00,0.00,1.02,0.00,0.00,0.00,0.00,0.00,1.17,0.54,7.04,,1.90,3.65,7.26,,0.00,0.00,0.00
Avalon Tech,543896,AVALON,Electronics - Components,514.55,121.04,3387.96,0.00,7.06,-68.91,216.81,-20.23,6.66,208.59,13.14,0.00,534.20,0.00,303.70,930.76,169.28,0.00,41.75,146.97,19.65,75.49,708.79,280.39,0.00,0.00,7.75,930.76,549.09,44.45,316.34,186.86,2.00,106.55,43.55,97.40,5.80,341.97,724.74,127.53,169.28,15.28,219.96,,,,316.29,,,,104.09,,
Avance Tech.,512149,,Trading,0.91,36.96,180.35,0.00,2.09,3085.71,105.75,18132.76,1.35,0.00,198.19,0.00,177.96,,,489.15,,,,0.00,0.00,250.29,86.15,113.00,,,,489.15,-26.85,0.00,19.55,12.14,1.00,14.80,,112.46,198.19,0.00,-15.98,0.00,,0.00,,,-33.26,,,,0.00,,,,0.00
Avantel,532406,AVANTEL,Telecommunications - Equipment,198.00,87.83,4816.74,0.10,8.08,-7.02,51.65,-25.04,47.50,17.50,48.65,0.00,122.76,11.50,6.00,222.97,68.79,0.00,24.63,44.16,15.92,17.00,142.97,44.95,0.00,0.00,34.58,222.97,109.52,6.00,45.82,64.10,2.00,12.28,0.00,5.84,24.35,30.34,95.54,25.54,43.78,8.66,48.13,31.38,16.11,14.17,3.06,0.00,10.44,10.53,16.03,11.66,13.30
Avanti Feeds,512573,AVANTIFEED,Food - Processing - Indian,700.25,28.34,9540.60,0.96,112.60,7.52,1283.51,17.43,20.01,16.53,13.62,0.00,2351.86,13.94,2.59,3098.18,766.70,0.00,269.71,496.99,8.81,745.54,1797.24,350.49,209.73,0.00,0.00,3098.18,1447.49,2.59,885.18,143.47,1.00,737.09,14.25,321.28,13.62,3.05,921.21,397.57,616.74,33.79,438.66,435.16,150.42,112.00,3.91,9.34,19.26,56.12,292.43,292.53,160.47
Avasara Finance,511730,,Finance & Investments,31.14,70.77,15.57,0.00,0.23,228.57,1.15,505.26,9.36,0.00,5.00,0.00,-2.55,0.00,0.00,3.06,0.00,0.00,0.00,0.00,0.00,0.00,1.94,0.35,0.00,0.00,0.00,3.06,1.59,0.00,0.00,1.48,10.00,0.02,0.00,0.35,0.50,0.00,0.81,0.00,0.00,0.00,1.08,0.73,1.62,2.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Aveer Foods,543737,,Food - Processing - Indian,485.00,156.30,195.37,0.00,0.07,-93.86,25.40,5.39,10.27,5.11,4.03,0.00,13.44,7.92,0.00,32.70,25.34,0.00,15.97,10.42,0.00,0.00,21.90,13.11,0.00,0.00,0.00,32.70,13.39,2.40,19.99,0.74,10.00,0.31,1.23,3.51,0.40,7.92,16.57,9.36,25.34,0.00,5.60,,,,6.60,,,,0.00,,
