Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
Samor Reality,543376,,Construction,82.16,176.64,,0.00,3.63,-0.47,0.49,-0.79,57.90,0.39,0.00,42.24,199.55,2.15,22.66,-0.18,0.29,0.00,3.00,4.00,0.00,1.31,455.00,57.90,1.21,0.00,3.59,,322720.83,0.90,,0.00,,0.00,,42.10,0.00,0.00,0.00,0.00,12.80,3.02,0.49,0.67,276.00
Sampann Utpadan,534598,SAMPANN,Miscellaneous,34.72,141.00,,0.00,27.33,-0.83,18.81,-15.55,40.50,0.05,0.00,55.63,237.97,4.06,1.27,9.03,0.73,0.00,7.00,5.00,0.68,20.29,15116.00,40.50,0.16,55.32,3.12,,70.34,0.11,,61.74,42.87,55.32,49.28,47.29,12.21,0.00,0.00,0.00,1.48,-1.23,-1.73,-24.60,14789.00
Sampre Nutrition,530617,,Food - Processing - Indian,84.86,76.12,245.55,0.00,2.74,0.70,0.78,1.50,28.36,2.66,0.00,41.69,93.51,0.90,31.02,1.30,0.67,0.00,4.00,4.00,0.57,1.96,4585.00,28.36,4.15,97.53,3.84,,166.46,5.55,17.25,308.94,78.90,97.53,290.31,71.63,0.00,-0.41,0.00,0.00,27.39,6.80,0.86,2.34,4565.00
Samrat Forgings,543229,,Castings & Forgings,308.00,154.00,51.85,0.00,4.88,2.14,2.48,9.89,74.98,4.45,0.00,33.47,230.91,0.50,63.14,1.61,0.36,0.00,4.00,2.00,1.16,4.41,2002.00,74.98,7.54,47.60,3.79,,91.28,6.82,91.86,132.76,154.61,47.60,239.78,21.72,0.00,0.00,3.30,0.00,57.00,14.80,4.20,18.79,2042.00
Samrat Pharma,530125,,Pharmaceuticals - Indian - Bulk Drugs,373.55,115.43,53.44,0.27,1.78,1.82,0.13,3.37,48.64,2.81,0.00,36.38,114.15,0.31,210.38,10.16,1.45,0.00,5.00,3.00,2.37,1.83,7169.00,48.64,4.21,89.80,3.45,,58.19,2.64,181.91,53.36,64.37,89.80,27.92,48.13,3.24,0.00,0.00,0.00,204.36,34.91,16.57,30.25,7478.00
Samsrita Labs,539267,,Trading,16.55,24.51,,0.00,1.99,-1.60,0.18,-2.01,52.87,-0.94,5.11,38.53,26.71,1.48,8.33,,1.72,0.00,3.00,5.00,0.00,1.27,2201.00,50.17,-3.21,,3.35,,,-1.60,,,,,,47.12,0.00,0.00,0.00,0.00,8.50,-4.56,-4.33,-5.48,2115.00
Samtex Fashion,521206,,Textiles - Products,2.71,20.19,,0.00,,-1.32,,,49.11,-0.82,24.46,31.84,582.07,7.45,-32.13,0.00,0.01,,3.00,1.00,0.00,-1.51,13452.00,37.10,-15.69,,5.07,,,-1.33,,,,,,50.82,0.00,0.00,0.07,0.00,-31.50,-1.69,-1.52,,13264.00
Samvardh. Mothe.,517334,MOTHERSON,Auto Ancillaries,193.25,130954.34,45.68,0.41,5.01,4.36,0.76,11.80,60.35,4.10,1.98,38.32,143890.40,677.64,38.60,6.42,0.75,0.00,6.00,5.00,1.35,2.80,1083236.00,59.16,12.62,57.83,3.96,,-1.54,6.94,59.00,-32.58,151.71,57.83,61.30,8.68,12.88,0.44,18.04,-0.11,33.13,8.76,2.94,7.16,1039407.00
Samyak Internati,530025,,Trading,48.73,30.46,7.95,0.00,0.45,4.55,0.05,5.68,14.01,29.93,0.00,38.53,15.30,0.62,108.13,2.58,1.09,0.00,7.00,5.00,0.45,1.25,2542.00,14.01,10.81,23.02,3.35,,-83.43,5.07,121.65,-54.23,246.77,23.02,169.52,85.99,0.00,0.00,0.00,0.00,107.70,4.94,3.78,4.53,2420.00
Sanathnagar Ent.,509423,,Construction,62.68,19.74,6.85,0.00,,48.24,,,74.99,9.47,0.00,29.62,33.69,0.32,-28.79,0.00,2.29,0.00,7.00,1.00,0.63,-0.67,11489.00,74.99,231.50,114.96,2.84,,21.08,46.23,,114.96,,114.96,,23.84,0.00,0.00,0.15,0.00,-38.13,-6.65,-4.95,,11550.00
Sanblue Corp.,521222,,Trading,51.76,25.88,103.52,0.00,0.46,0.45,0.00,0.51,66.81,1.40,0.00,38.53,24.25,0.50,112.93,,64.67,0.00,4.00,4.00,0.03,0.98,8282.00,66.81,10.33,44.32,3.35,,73.00,0.52,35.64,44.32,,44.32,0.00,33.20,0.00,0.00,0.00,0.00,81.59,1.66,1.46,1.68,8371.00
Sanchay Finvest,511563,,Finance & Investments,33.10,10.43,,0.00,,4.73,0.00,7.18,59.68,-1.32,0.00,15.74,9.82,,,,6.34,0.00,4.00,2.00,0.10,1.47,6355.00,59.68,10.67,225.21,2.79,,1079.47,-3.02,,225.21,,225.21,,40.32,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,6341.00
Sanco Industries,,SANCO,Plastics Products,6.85,8.96,,0.00,,-0.87,,,42.50,-0.86,0.00,35.04,64.07,1.31,-4.24,0.00,0.02,0.00,2.00,3.00,0.00,-11.40,7695.00,42.50,-1.09,,3.92,,,-0.88,,,,,,57.50,0.00,0.00,0.00,0.00,-3.82,-32.41,-27.21,-408.55,7977.00
Sanco Trans,523116,,Miscellaneous,760.00,136.80,118.96,0.20,1.30,0.83,0.12,1.10,72.42,2.06,0.00,40.29,144.40,0.18,584.89,0.00,1.18,0.00,6.00,3.00,0.71,1.31,1639.00,72.42,1.50,95.01,3.26,,30.56,2.08,289.96,95.01,,95.01,,27.58,0.00,0.00,0.00,0.00,580.00,2.25,0.75,0.98,1684.00
Sancode Tech.,543897,,Computers - Software - Medium / Small,64.90,26.41,,0.00,4.55,-28.90,0.24,-39.59,71.53,-6.39,0.00,36.72,26.13,0.41,14.28,,4.65,0.00,2.00,6.00,0.79,1.04,244.00,71.53,-38.26,26.84,3.82,,180.97,-19.26,,26.84,,26.84,,28.47,0.00,0.00,0.00,0.00,,-7.56,7.99,9.49,218.00
Sandesh,526725,SANDESH,Entertainment / Electronic Media Software,1728.45,1308.44,6.94,0.29,1.04,15.34,0.00,16.33,74.81,19.38,0.00,16.06,1243.57,0.76,1662.05,6.09,17.20,0.00,6.00,5.00,0.26,0.98,6343.00,74.81,19.92,54.02,1.40,,881.39,17.92,3053.21,82.57,32.79,54.02,61.34,25.14,0.05,0.04,0.00,0.00,1388.67,12.86,9.19,9.77,6443.00
