Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,DII holding,Change in DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
Delhivery,543529,DELHIVERY,Miscellaneous,416.10,30758.09,,0.00,3.35,-2.01,0.13,-2.48,0.00,0.08,0.00,40.29,31524.21,73.92,124.12,0.00,4.41,0.00,6.00,5.00,0.72,1.24,128985.00,0.00,-1.59,64.10,3.26,,201.11,0.22,,64.10,,64.10,,16.81,61.16,-2.47,22.03,2.41,125.94,-11.40,-10.52,-13.50,92984.00
Delphi World,533452,DELPHIFX,Finance & Investments,225.55,250.99,16.52,0.00,1.13,4.85,0.14,7.09,75.00,11.01,0.00,23.21,226.21,1.11,199.22,0.00,4.66,0.00,4.00,1.00,0.26,1.41,11233.00,75.00,6.10,264.27,1.89,,976.26,7.78,247.36,264.27,,264.27,,24.99,0.00,0.00,0.00,0.00,185.75,11.17,4.95,7.54,11034.00
Delta Corp,532848,DELTACORP,Recreation / Amusement Parks,133.87,3584.65,22.67,0.93,1.42,7.71,0.02,8.76,33.26,6.45,0.00,22.67,3504.89,26.78,94.03,0.92,1.39,0.00,3.00,4.00,0.34,1.07,398348.00,33.26,15.77,4.04,1.42,,1.73,7.92,125.08,-97.15,213.40,4.04,112.22,56.49,1.45,-0.46,8.80,-0.13,82.92,16.29,10.94,12.37,410860.00
Delta Industrial,539596,,Trading,25.89,13.96,,0.00,2.84,-0.37,0.16,-0.41,17.89,-0.14,0.00,38.53,14.35,0.54,9.10,,48.33,,2.00,5.00,0.00,1.10,1699.00,17.89,-0.70,,3.35,,,-0.35,,,,,,74.44,7.86,7.86,0.01,0.01,9.14,3.70,2.65,2.67,1442.00
Delta Manufact.,504286,DELTAMAGNT,Electronics - Components,93.33,101.27,,0.00,3.77,-10.34,1.48,-32.20,72.12,-4.09,0.00,73.32,139.99,1.09,24.75,2.53,0.48,0.00,6.00,2.00,0.83,3.73,12566.00,72.12,-8.39,83.42,7.16,,87.96,-6.02,,113.34,159.12,83.42,189.04,27.81,0.00,0.00,0.08,0.00,34.60,-9.97,-12.75,-32.30,12748.00
Delton Cables,504240,,Cables - Power,530.00,457.92,47.06,0.00,6.42,4.31,1.59,15.20,73.57,5.27,0.00,38.33,562.57,0.86,82.56,3.09,0.63,0.00,5.00,3.00,1.78,3.17,5734.00,73.57,14.47,87.19,5.56,,129.93,11.08,177.53,131.44,88.17,87.19,132.41,26.41,0.00,0.00,0.02,0.00,65.64,13.80,0.33,1.01,5232.00
Den Networks,533137,DEN,Entertainment / Electronic Media Software,55.12,2630.46,12.34,0.00,0.77,5.54,0.01,6.42,74.90,18.45,0.00,41.62,1368.97,47.72,71.67,,7.64,0.00,8.00,3.00,0.28,1.12,139856.00,74.90,6.63,36.87,2.64,,487.01,6.43,85.74,36.87,,36.87,,23.87,0.96,-0.15,0.18,0.00,67.21,2.97,5.10,6.01,123334.00
Denis Chem Lab,537536,,Pharmaceuticals - Indian - Bulk Drugs & Formln,182.20,252.83,22.68,1.37,3.15,8.03,0.01,11.33,38.98,6.84,0.00,37.69,229.20,1.39,57.92,9.94,2.18,0.00,9.00,4.00,1.64,1.35,6021.00,38.98,11.62,71.00,4.03,,43.73,14.34,102.33,31.41,79.00,71.00,39.41,61.02,0.00,0.00,0.00,0.00,47.89,13.75,6.62,9.75,4834.00
Desh Rakshak,531521,,Pharmaceuticals - Indian - Formulations,10.20,4.53,10.53,0.00,0.48,2.68,0.29,4.62,64.28,11.99,0.00,29.20,7.17,0.44,21.36,4.54,1.40,0.00,6.00,3.00,0.37,1.69,2351.00,64.28,7.53,311.56,3.76,,107.50,5.27,21.58,-196.84,551.85,311.56,43.45,35.71,0.00,0.00,0.00,0.00,20.57,7.08,2.89,5.00,2352.00
Destiny Logistic,,DESTINY,Construction,27.10,41.70,19.67,0.00,1.58,5.24,0.11,8.02,64.76,8.78,0.00,42.24,44.31,1.54,17.19,25.80,1.92,0.00,4.00,3.00,1.43,1.53,240.00,64.76,12.96,151.95,3.59,,100.31,9.61,23.08,95.72,70.37,151.95,14.15,35.18,0.00,0.00,0.06,0.06,17.19,13.64,6.16,9.60,244.00
Dev Information,543462,DEVIT,Computers - Software - Medium / Small,134.42,302.24,32.53,0.19,5.45,11.62,0.26,19.15,70.20,4.48,0.00,36.72,310.76,2.25,24.66,12.55,1.89,20.83,4.00,3.00,2.00,1.47,9229.00,70.20,16.21,114.47,3.82,,82.58,14.57,47.88,94.32,52.73,114.47,32.58,29.80,0.00,0.00,0.00,0.00,18.79,15.22,6.96,12.49,8419.00
Dev Labtech,543848,,Diamond Cutting / Jewellery,95.00,84.83,63.31,0.00,3.89,5.65,0.04,7.10,63.00,2.27,0.00,26.39,85.76,0.89,24.43,4.52,2.28,0.00,6.00,3.00,1.82,1.26,557.00,63.00,7.15,39.69,2.43,,84.45,6.80,29.84,98.10,22.31,39.69,80.73,37.00,0.00,0.00,0.00,0.00,22.83,11.69,5.51,8.61,469.00
Devine Impex,531585,,Trading,12.46,11.87,296.75,0.00,0.87,0.29,0.00,0.29,34.54,0.42,0.00,38.53,11.86,0.95,14.34,0.14,16.62,0.00,4.00,0.00,0.13,1.00,2583.00,34.54,0.32,219.83,3.35,,2557.07,0.36,3.68,2798.08,0.00,219.83,2578.25,65.45,0.00,0.00,0.02,0.00,14.30,0.37,0.37,0.37,2450.00
Devyani Intl.,543330,DEVYANI,Hotels,177.85,21453.05,,0.00,20.31,-28.89,2.75,-112.91,62.73,1.22,0.00,221.36,24177.90,120.62,8.76,9.96,0.39,0.00,2.00,4.00,0.90,3.75,301376.00,62.73,-18.91,5.41,8.84,,-28.81,6.00,8.79,-79.09,129.77,5.41,45.27,11.41,11.68,-0.76,14.19,1.99,8.05,18.43,10.69,33.86,334075.00
Dhabriya Poly.,538715,,Plastics Products,479.10,518.59,36.83,0.10,6.30,9.09,0.64,18.63,67.75,4.36,0.00,35.04,564.58,1.08,76.08,2.36,0.65,1.14,8.00,3.00,1.37,1.88,5574.00,67.75,13.38,41.44,3.92,,94.36,14.97,149.22,157.57,39.27,41.44,155.40,31.71,0.00,-0.05,0.52,-0.11,63.56,12.46,6.17,13.16,4733.00
Dhampur Bio,543593,DBOL,Sugar,133.18,884.15,26.04,1.88,0.87,1.67,1.04,3.67,50.78,5.29,0.00,15.92,1907.63,6.64,152.36,1.45,0.16,0.00,2.00,5.00,0.85,2.17,52118.00,50.78,3.27,17.14,1.28,,203.50,4.36,132.40,268.87,36.54,17.14,288.28,47.51,1.26,-0.69,0.45,0.00,148.93,10.00,5.45,11.90,54291.00
Dhampur Sugar,500119,DHAMPURSUG,Sugar,210.54,1376.67,15.21,2.37,1.25,6.01,0.89,12.54,49.12,7.29,0.00,15.92,2338.16,6.54,168.28,2.03,0.27,0.00,2.00,4.00,0.97,2.04,90194.00,49.12,7.62,27.50,1.28,,165.89,7.23,228.24,209.35,25.94,27.50,207.80,44.92,5.50,-0.52,0.46,0.00,157.01,15.22,7.50,16.64,85141.00
Dhampur.Spl.Sug.,531923,,Sugar,89.54,71.02,71.74,0.00,2.66,2.93,0.00,3.78,56.27,1.20,0.00,15.92,68.97,0.79,33.63,4.27,2.64,1.67,8.00,3.00,0.86,1.27,5397.00,56.27,3.39,42.71,1.28,,161.71,2.30,29.79,72.12,71.45,42.71,100.87,43.74,0.00,0.00,0.00,0.00,32.42,1.63,0.96,1.25,5415.00
Dhanalaxmi Roto,521216,,Trading,215.00,83.85,6.91,0.70,1.71,17.19,0.03,28.43,47.64,36.73,0.00,38.53,46.55,0.39,125.50,480.40,2.25,0.00,8.00,6.00,2.79,1.44,5010.00,47.64,29.06,51.45,3.35,,1.97,21.19,307.61,-3.62,56.45,51.45,1.38,52.36,0.00,0.00,0.01,0.00,93.25,28.70,12.20,20.04,5034.00
Dhanashree Elect,542679,,Electric Equipment,73.99,104.99,26.85,0.00,2.73,3.54,1.63,10.72,70.20,7.01,0.00,58.55,167.55,1.42,27.10,1.38,1.51,0.00,6.00,4.00,0.75,2.88,1871.00,70.20,8.73,150.82,9.25,,412.91,9.50,40.99,343.14,88.17,150.82,280.49,29.79,0.00,0.00,0.00,0.00,24.33,10.80,2.93,8.17,1676.00
Dhani Services,532960,DHANI,Finance & Investments,53.18,3207.99,,0.00,0.93,-7.60,0.20,-10.30,29.13,-7.40,0.00,23.21,3261.29,60.32,57.11,0.13,3.38,0.00,4.00,5.00,0.09,1.43,194452.00,29.13,-16.23,74.75,1.89,,359.85,-5.34,,2658.63,220.17,74.75,2804.05,47.95,16.60,1.97,1.49,0.02,63.22,-5.05,-6.65,-10.41,211898.00
Dhanlaxmi Bank,532180,DHANBANK,Banks - Private Sector,45.81,1159.05,20.05,0.00,1.21,0.38,14.40,6.02,0.00,5.79,0.00,12.02,14156.45,25.30,37.99,,4.48,0.00,6.00,3.00,0.08,15.74,200558.00,0.00,5.53,0.00,1.76,,88.21,5.41,44.20,0.00,,0.00,,93.99,5.93,-0.17,0.07,0.00,37.99,4.56,0.34,5.22,212869.00
Dhanlaxmi Cotex,512485,,Finance & Investments,68.05,33.15,11.47,0.00,0.46,4.74,0.00,4.78,68.58,10.59,0.00,23.21,32.47,0.49,147.08,0.82,177.14,0.00,9.00,3.00,0.43,0.85,1845.00,68.58,5.53,11.33,1.89,,707.89,4.79,140.12,437.85,2.05,11.33,428.56,31.32,0.00,0.00,0.10,0.00,101.37,0.77,0.52,0.52,1855.00
Dhanlaxmi Fabric,521151,,Textiles - Products,70.34,60.35,,0.00,1.27,-11.33,0.03,-13.62,74.91,-10.41,0.00,34.69,61.58,0.86,55.27,1.90,2.58,0.00,5.00,3.00,0.32,1.30,2416.00,74.91,-22.39,81.50,2.47,,251.45,-12.16,,138.81,57.10,81.50,114.41,25.08,0.00,0.00,0.00,0.00,64.04,3.38,0.46,0.62,2641.00
Dhanuka Agritech,507717,DHANUKA,Pesticides / Agrochemicals - Indian,1821.45,8301.86,32.55,0.77,6.61,15.93,0.02,20.51,70.18,4.12,0.00,38.82,8327.53,4.56,275.54,2.59,1.93,0.00,7.00,4.00,1.18,1.19,32777.00,70.18,23.58,71.98,3.09,,140.94,21.71,589.02,171.71,55.55,71.98,155.28,9.00,1.53,0.04,19.29,0.39,232.85,27.01,15.86,21.32,33812.00
Dhanuka Realty,,DRL,Construction,21.60,16.72,16.39,0.00,1.86,4.60,1.04,12.80,66.93,9.47,0.00,42.24,25.77,0.77,11.61,0.08,0.21,0.00,6.00,3.00,0.07,2.78,168.00,66.93,10.22,62.50,3.59,,3820.00,11.86,18.56,4326.49,147.13,62.50,4411.12,33.07,0.00,0.00,0.00,0.00,10.30,-0.05,-3.74,-11.18,139.00
Dhanvantri Jeev.,531043,,Healthcare,23.10,9.47,33.82,0.00,1.00,1.18,0.00,1.81,19.65,4.27,0.00,47.90,6.32,0.41,23.11,38.15,1.27,0.00,7.00,4.00,1.42,1.52,1540.00,19.65,1.82,31.38,7.10,,-35.13,1.80,18.85,-16.10,56.70,31.38,9.21,80.36,0.00,0.00,0.00,0.00,22.69,-1.49,-1.56,-2.34,1478.00
Dharani Finance,511451,,Finance & Investments,7.90,3.95,,0.00,0.46,-3.19,0.02,-3.59,28.24,-6.90,0.00,23.21,4.06,0.50,17.28,,4.42,0.00,5.00,3.00,0.08,1.09,9137.00,28.24,-19.44,73.99,1.89,,631.35,-3.05,,73.99,,73.99,,71.76,0.00,0.00,0.00,0.00,16.22,-1.33,-1.36,-1.59,9196.00
Dharmaj Crop,543687,DHARMAJ,Pesticides / Agrochemicals - Indian,329.75,1114.47,25.11,0.00,3.10,8.86,0.31,13.04,70.40,4.98,0.00,38.82,1223.36,3.38,106.33,6.25,1.20,5.69,4.00,5.00,1.31,1.39,40676.00,70.40,10.04,66.23,3.09,,84.48,10.82,177.24,84.46,47.40,66.23,65.64,22.48,6.97,1.47,0.14,0.00,95.11,18.87,10.06,16.29,44014.00
Dharni Capital,543753,,Finance & Investments,44.40,90.44,30.97,0.00,5.28,20.41,0.00,20.56,73.64,4.38,0.00,23.21,89.50,2.04,8.41,,30.37,0.00,7.00,4.00,0.57,1.01,114.00,73.64,23.78,0.45,1.89,,13.35,22.62,16.47,0.45,,0.45,,26.37,0.00,0.00,0.00,0.00,6.97,19.31,14.19,14.45,113.00
Dhatre Udyog,540080,,Steel - Medium / Small,16.68,181.74,16.26,0.00,2.58,15.99,0.00,17.01,73.42,8.63,0.00,27.97,180.38,10.90,6.47,29.98,7.32,0.00,7.00,5.00,2.97,0.99,47866.00,73.42,21.86,63.18,2.86,,71.59,20.37,12.22,64.69,8.87,63.18,10.39,26.58,0.00,0.00,0.00,0.00,5.60,16.30,11.45,12.05,12125.00
Dhenu Buildcon,501945,,Finance & Investments,2.84,5.20,,0.00,1.74,-3.28,0.00,-3.32,11.53,-2.50,0.00,23.21,5.19,1.83,1.63,,40.00,,5.00,4.00,0.00,1.02,1338.00,11.53,-1300.00,,1.89,,,-4.28,,,,,,88.24,0.00,0.00,0.22,0.00,1.66,-14.31,-10.86,-10.98,1330.00
Dhoot Indl.Fin,526971,,Trading,312.85,197.66,1.33,0.00,0.46,33.87,0.15,42.11,69.07,69.52,0.00,38.53,259.38,0.63,674.79,,1.97,0.00,6.00,6.00,0.07,1.03,3192.00,69.07,111.93,48.73,3.35,,1439.83,35.50,1886.27,48.73,,48.73,0.00,30.90,0.00,0.00,0.02,0.00,438.18,0.01,0.32,0.42,2863.00
DHP India,531306,,Engineering,705.05,211.52,55.52,0.57,0.98,1.84,0.02,1.96,73.42,2.13,0.00,47.31,214.06,0.30,722.87,1.11,1.37,86.19,4.00,2.00,0.26,0.95,5522.00,73.42,6.69,51.78,6.08,,206.30,1.96,1196.36,361.17,21.50,51.78,330.89,26.57,0.00,0.00,0.00,0.00,576.17,19.65,13.71,14.52,5602.00
Dhruv Consultanc,541302,DHRUV,Miscellaneous,124.00,197.02,33.45,0.20,2.97,5.29,0.31,9.55,59.10,4.66,0.00,33.53,210.82,1.59,41.71,,2.37,0.00,5.00,3.00,0.73,1.68,5583.00,59.10,9.90,107.93,3.44,,291.19,8.57,58.99,107.93,,107.93,,39.85,1.04,-0.33,0.00,0.00,37.78,11.10,4.99,9.37,5994.00
Dhruv Wellness,540695,,Trading,8.73,9.20,,0.00,,0.32,,,73.24,0.00,0.00,38.53,27.87,1.05,-13.50,,0.16,0.00,5.00,0.00,0.06,-0.43,341.00,73.24,0.45,2592.44,3.35,,935.90,0.00,,2592.44,,2592.44,0.00,26.76,0.00,0.00,0.00,0.00,-13.52,0.37,0.32,,343.00
Dhruva Cap.Serv.,531237,,Finance & Investments,315.00,127.94,25.23,0.00,10.52,58.08,0.00,60.14,54.18,4.13,0.00,23.21,127.71,0.41,29.94,,1.60,0.00,5.00,6.00,0.13,0.72,1050.00,54.18,3370.58,0.00,1.89,,-25.39,42.47,84.05,0.00,,0.00,,45.80,0.00,0.00,0.00,0.00,14.41,1.49,1.20,1.28,1085.00
Dhunseri Invest.,533336,DHUNINV,Finance & Investments,1478.85,901.68,18.46,0.17,0.35,2.73,0.15,2.02,74.95,17.70,0.00,23.21,1004.65,0.61,4196.16,19.55,2.95,0.00,6.00,4.00,0.11,1.64,10908.00,74.95,12.95,3.28,1.89,,46.76,4.02,2750.61,-19.70,60.99,3.28,38.01,24.91,0.09,0.00,0.04,0.00,3722.86,23.34,15.31,13.91,11026.00
Dhunseri Tea,538902,DTIL,Tea,222.38,233.66,,1.35,0.45,-14.70,0.49,-25.02,68.90,-33.73,0.00,30.32,475.68,1.05,496.79,1.26,0.23,0.00,3.00,4.00,0.38,1.99,16684.00,68.90,-21.25,17.38,1.38,,31.15,-16.84,,227.71,424.80,17.38,635.13,29.06,0.00,0.00,2.03,0.00,663.43,-2.10,-1.98,-2.96,17055.00
Dhunseri Vent.,523736,DVL,Trading,439.75,1540.00,10.12,1.14,0.52,4.08,0.13,5.44,75.00,12.70,0.00,38.53,1646.77,3.50,845.48,19.42,5.07,0.00,4.00,5.00,0.11,1.26,26424.00,75.00,17.54,2.27,3.35,,37.84,5.33,912.16,-21.35,61.78,2.27,38.16,22.73,0.53,-0.07,1.73,0.00,753.51,27.92,18.11,23.08,24331.00
Dhyaani Trade,543516,,Trading,20.50,8.72,10.90,0.00,1.76,4.82,0.61,18.78,32.96,11.60,0.00,38.53,11.64,0.43,11.63,132.10,1.04,0.00,6.00,3.00,1.79,3.90,473.00,32.96,27.71,163.00,3.35,,19.31,3.60,20.60,6.95,158.82,163.00,2.76,67.04,0.00,0.00,0.00,0.00,9.91,-2.28,-0.50,-2.61,469.00
Diamant Infra.,508860,,Construction,1.29,4.54,,0.00,0.42,-0.58,1.02,-1.19,18.32,-0.38,77.52,29.62,15.61,3.52,3.10,0.00,1.57,,5.00,3.00,0.00,2.05,5895.00,4.12,0.05,,2.84,,,-0.27,,,,,,81.42,0.25,0.00,0.00,0.00,3.13,0.00,-0.35,-0.72,5722.00
Diamines & Chem.,500120,DIAMINESQ,Chemicals,581.00,568.45,36.89,0.43,3.84,9.82,0.00,10.90,54.87,4.20,0.00,42.78,530.55,0.98,151.38,3.15,5.61,0.00,5.00,2.00,0.66,1.06,15175.00,54.87,12.27,58.63,3.90,,94.37,13.71,232.07,153.56,40.49,58.63,135.42,45.10,0.00,-0.04,0.03,0.00,137.50,48.22,32.08,35.76,15481.00
Diamond Power,522163,DIACABS,Cables - Power,1597.95,8420.73,485.90,0.00,15.51,,2.94,,90.00,0.24,0.00,38.33,9985.20,5.27,103.02,,0.59,,0.00,2.00,,,18569.00,90.00,,,5.56,,,1.03,86.55,,,,,9.93,0.08,0.05,0.00,0.00,,,,,17569.00
Diana Tea Co,530959,,Tea,31.01,46.49,,0.00,0.68,0.21,0.46,0.35,61.34,0.04,0.00,30.32,77.39,1.50,45.90,0.04,0.75,0.00,8.00,4.00,0.65,1.63,7063.00,61.34,1.53,3.70,1.38,,111.72,0.03,,3.70,,3.70,,38.57,0.00,0.00,0.00,0.00,45.05,-1.35,-2.49,-3.86,7108.00
DIC India,500089,DICIND,Chemicals,597.00,547.98,130.78,0.00,1.38,0.18,0.05,0.27,71.75,0.39,0.00,42.78,520.57,0.92,431.78,5.85,1.64,0.00,5.00,2.00,1.35,1.55,6975.00,71.75,-0.08,96.95,3.90,,82.64,0.35,,89.72,67.96,96.95,60.73,28.24,0.00,0.00,0.00,0.00,460.02,3.60,1.67,2.61,6918.00
Diensten Tech,,DTL,Computers - Software - Medium / Small,167.40,138.28,,0.00,,-15.75,4.89,-55.76,69.97,-1.50,0.00,36.72,147.09,0.83,,,0.83,0.00,2.00,2.00,2.72,3.54,,69.97,-29.06,47.57,3.82,,19.60,-5.68,,47.57,,47.57,,,,,,,,9.70,1.87,5.66,
Diggi Multitrade,540811,,Construction,20.64,19.97,,0.00,1.94,-2.70,0.00,-2.74,44.64,-1.50,0.00,29.62,19.96,0.97,10.66,,32.55,0.00,3.00,3.00,0.00,1.01,171.00,44.64,-2.99,,2.84,,,-2.83,,,,,,55.35,0.00,0.00,0.00,0.00,10.95,-0.75,-0.74,-0.75,159.00
Digicontent,542685,DGCONTENT,Entertainment / Electronic Media Software,32.21,187.42,34.45,0.00,162.97,2.47,136.49,,66.81,9.00,0.00,41.62,338.83,5.82,0.20,,1.56,0.00,9.00,4.00,1.78,202.30,20908.00,66.81,11.35,63.41,2.64,,36.51,12.76,2.04,63.41,,63.41,,32.78,0.06,0.00,0.05,0.00,-1.02,2.98,-6.44,,21548.00
Digidrive Dist.,544079,DIGIDRIVE,Trading,35.60,137.28,33.81,0.00,0.61,2.04,0.00,2.52,58.83,4.70,0.00,44.48,121.38,3.86,58.56,7.16,4.04,0.00,5.00,2.00,0.24,0.88,45509.00,58.83,17.07,30.73,6.88,,59.39,2.27,37.25,42.79,38.92,30.73,50.98,36.02,3.62,-1.59,1.29,0.22,,,,,49693.00
Digikore Studios,,DIGIKORE,Entertainment / Electronic Media Software,477.80,302.58,31.72,0.00,7.13,49.87,0.21,161.42,66.55,4.53,0.00,41.62,311.21,0.63,67.05,,5.88,0.00,4.00,3.00,2.35,3.24,867.00,66.55,134.63,48.63,2.64,,31.66,24.55,150.75,48.63,,48.63,0.00,33.44,0.01,-2.78,0.00,-7.89,,75.72,31.92,117.47,1007.00
DigiSpice Tech.,517214,DIGISPICE,Computers - Software - Medium / Small,40.16,933.57,57.84,0.00,3.80,2.40,0.11,6.76,72.89,5.70,0.00,36.72,584.52,23.25,10.57,2.18,1.18,0.00,7.00,4.00,0.65,2.77,38150.00,72.89,10.14,17.93,3.82,,-228.62,5.13,10.93,17.93,,17.93,,27.11,0.00,-0.06,0.00,0.00,10.01,-4.13,-2.50,-7.00,34060.00
Digjam,539979,DIGJAMLMTD,Textiles - Products,81.12,162.24,,0.00,10.24,-16.23,3.21,-83.72,90.00,-7.27,0.00,34.69,207.27,2.00,7.92,1.13,0.44,0.00,3.00,2.00,0.20,7.15,34684.00,90.00,-21.53,97.98,2.47,,82.69,-18.05,,260.77,70.05,97.98,232.83,8.56,0.00,0.00,1.24,0.00,14.04,-4.27,-6.17,-26.23,35447.00
Diksat Transworl,540151,,Entertainment / Electronic Media Software,141.30,247.88,238.35,0.00,9.83,2.68,0.22,4.21,71.49,0.42,0.00,41.62,251.53,1.75,14.37,0.00,2.25,0.00,6.00,0.00,0.49,1.54,71.00,71.49,4.03,212.98,2.64,,365.39,3.23,13.91,212.98,,212.98,,28.51,0.00,0.00,0.00,0.00,13.77,6.17,4.66,8.32,74.00
Diksha Greens,542155,,Miscellaneous,3.50,3.45,,0.00,,-26.08,,,18.19,-0.61,0.00,33.53,27.94,0.99,-29.06,,0.03,,4.00,2.00,0.00,-0.44,840.00,18.19,,,3.44,,,-1.51,,,,,,81.80,0.00,0.00,0.00,0.00,-26.05,-63.16,-26.17,,699.00
Diligent Indust.,531153,,Solvent Extraction,5.42,61.98,30.53,0.00,3.46,1.97,3.18,12.00,61.33,4.32,0.00,21.51,118.61,11.44,1.57,5.57,1.32,0.00,6.00,4.00,1.19,5.74,12562.00,61.33,5.33,141.06,2.81,,172.99,4.43,2.50,209.40,4.03,141.06,72.37,38.67,0.00,0.00,0.00,0.00,1.39,8.96,2.93,14.57,11766.00
Diligent Media,540789,DNAMEDIA,Entertainment / Electronic Media Software,6.76,79.57,11.86,0.00,,2.36,,,62.16,1.73,12.07,16.06,515.32,11.77,-21.87,,1.59,0.00,5.00,0.00,0.03,-1.10,82601.00,54.66,7.20,463.59,1.40,,3535.23,2.62,,463.59,,463.59,,33.84,4.00,-0.52,0.00,0.00,-33.49,,25.18,,82036.00
Dilip Buildcon,540047,DBL,Construction,514.90,7528.61,109.61,0.02,1.72,0.44,1.66,1.64,70.15,8.46,15.52,25.97,14032.48,14.62,298.85,2.94,0.81,0.00,8.00,4.00,0.75,3.67,73669.00,59.26,8.23,38.87,3.06,,110.29,7.13,298.72,60.24,104.88,38.87,126.25,17.87,2.80,-0.09,9.17,0.09,273.68,5.34,-1.78,-7.47,80122.00
Dindigul Farm,544201,,Food - Processing - Indian,104.30,254.80,49.28,0.00,,19.16,,,59.36,2.78,0.00,41.69,278.74,2.44,,9.04,0.26,7.10,9.00,1.00,3.02,-1.65,,59.36,120.31,7.87,3.84,,-28.54,26.77,,-58.89,123.45,7.87,56.69,,,,,,,-49.21,-21.49,,
Dipna Pharmachem,543594,,Trading,7.43,17.87,16.39,0.00,0.48,1.41,0.52,4.47,9.98,14.59,0.00,38.53,23.44,2.40,15.60,8.34,1.15,0.00,3.00,4.00,2.12,3.18,1807.00,9.98,6.46,63.37,3.35,,76.71,2.57,12.62,23.28,83.86,63.37,43.78,90.02,0.00,0.00,0.00,0.00,9.78,9.00,1.60,6.97,1078.00
Disa India,500068,,Engineering,19930.20,2898.26,66.84,1.00,12.12,11.42,0.01,19.14,74.82,2.21,0.00,47.31,2674.04,0.15,1644.00,2.84,1.60,17.16,8.00,6.00,0.84,1.59,4126.00,74.82,19.29,33.27,6.08,,-44.65,14.36,3250.60,105.84,87.16,33.27,159.74,17.15,0.02,0.00,8.01,-0.01,1471.05,18.45,8.35,13.64,4065.00
Dish TV India,532839,DISHTV,Entertainment / Electronic Media Software,15.98,2942.38,,0.00,,-87.64,,,4.04,10.86,11.68,41.62,2771.85,184.13,-14.97,1.45,0.15,0.00,5.00,3.00,0.51,-1.31,370522.00,3.57,,12.94,2.64,,-941.74,11.11,,12.94,,12.94,,83.85,9.78,-1.09,2.33,0.02,-4.28,70.50,5.67,429.80,357591.00
Disha Resources,531553,,Trading,18.19,13.32,4.41,0.00,0.35,7.60,0.06,8.29,48.10,18.83,0.00,38.53,15.51,0.73,52.23,,5.71,0.00,5.00,5.00,0.04,1.04,3568.00,48.10,137.74,28.48,3.35,,533.26,7.14,69.65,28.48,,28.48,0.00,51.90,0.00,0.00,0.00,0.00,47.31,1.31,1.11,1.23,3455.00
Dishman Carbogen,540701,DCAL,Pharmaceuticals - Indian - Bulk Drugs & Formln,195.29,3061.82,,0.00,0.54,-1.58,0.41,-2.63,59.32,0.08,0.00,37.69,4961.07,15.68,358.94,0.71,0.41,0.00,3.00,3.00,0.28,1.69,53683.00,59.32,0.04,64.34,4.03,,103.34,0.04,,454.76,149.21,64.34,539.62,31.17,8.05,-0.65,1.47,-0.89,370.55,1.03,-0.09,-0.15,50656.00
Divgi Torq,543812,DIVGIITTS,Auto Ancillaries,666.70,2038.96,51.36,0.39,3.51,6.15,0.00,7.02,60.48,3.04,0.00,38.32,1776.22,3.06,189.76,3.01,6.28,0.00,5.00,1.00,0.39,1.11,22343.00,60.48,7.22,90.88,3.96,,91.91,8.39,235.54,94.87,129.32,90.88,133.31,11.94,2.69,-0.25,24.90,-0.52,180.26,15.48,9.70,11.48,20671.00
Divi's Lab.,532488,DIVISLAB,Pharmaceuticals - Indian - Bulk Drugs,4991.25,132502.00,79.15,0.60,9.76,10.73,0.00,12.17,51.90,1.77,0.00,36.38,128525.00,26.55,511.21,1.19,5.08,0.00,5.00,4.00,0.53,1.10,298310.00,51.90,12.22,100.31,3.45,,205.55,14.73,851.65,370.26,94.25,100.31,364.20,10.17,16.16,1.48,21.66,-0.44,480.92,19.36,13.13,14.90,347629.00
Divine Power,,DPEL,Mining / Minerals / Metals,90.50,194.28,30.31,0.00,,8.84,2.47,33.28,73.50,5.63,0.00,35.09,240.59,2.15,,6.46,0.68,0.00,4.00,2.00,3.06,3.77,,73.50,16.22,45.51,5.12,,91.91,18.68,,95.45,6.55,45.51,56.49,,,,,,,14.74,4.21,17.92,
Divyashakti,526315,,Miscellaneous,79.48,81.62,35.18,2.52,0.66,1.65,0.03,1.88,74.80,4.36,0.00,33.53,76.46,1.03,120.44,7.62,6.36,0.00,4.00,3.00,0.50,1.14,5448.00,74.80,1.85,511.64,3.44,,497.77,2.32,78.25,492.45,68.77,511.64,49.58,25.19,0.00,0.00,0.00,0.00,120.20,9.19,5.79,6.50,5210.00
