Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,403.40,43.36,12.57,147.67,52.43,-2.35,0.02,11.67,-1.83,215.86,92.35,11.21,20.64,147.67,52.43,37.20,14.83,37.20,14.83,0.00,11.26,-28.05,31.72,-4.50,1858.81
7NR Retail Ltd,540615,,Trading,7.61,61.47,-2.55,,,-10.44,-10.44,0.35,8.76,,,,,,,,,,,-18.90,-0.10,-0.02,-0.02,0.06,21.31
7Seas Enter.,540874,,Computers - Software - Medium / Small,70.00,738.48,125.99,-18.60,15.83,-60.00,113.59,8.34,21.16,-10.53,16.69,-12.92,13.02,-31.52,15.44,-8.44,7.69,-1.41,8.49,-18.72,0.33,-2.65,0.52,-2.20,130.62
A B B,500002,ABB,Electric Equipment,7578.80,21.52,9.32,92.69,19.98,6.22,19.12,2.75,3.07,68.31,17.85,12.22,13.78,92.69,19.98,19.52,21.40,19.52,21.40,0.00,592.76,478.20,828.37,715.94,160601.12
A B Infrabuild,,ABINFRA,Construction,63.25,43.83,27.34,96.64,32.57,-1.87,15.90,14.81,8.38,75.57,22.46,20.09,12.07,29.82,-5.19,20.39,-4.07,81.57,27.90,-22.37,4.57,3.00,10.04,8.59,314.63
A B M Internatl.,,ABMINTLLTD,Trading,60.05,-10.04,3.89,,-34.47,-1.27,9.69,-5.78,,,,,,,,,,,,0.00,-0.84,-0.10,-0.25,0.10,56.50
A F Enterprises,538351,,Trading,16.57,-39.13,,,,-50.00,-50.00,,,-26.67,,,,12.55,,,,,,-2.77,,,,,60.80
A G Universal,,AGUL,Trading,61.00,26.80,,151.98,,32.09,32.09,,,73.61,,,,-10.59,,,,,,,0.59,,1.76,,33.45
A K Spintex,539300,,Textiles - Processing,200.10,34.67,14.28,163.86,46.09,5.72,5.72,12.03,11.48,58.32,23.05,17.94,16.72,163.86,46.09,22.43,34.69,22.43,34.69,5.44,3.99,2.71,6.20,4.69,100.69
A R C Finance,540135,,Finance & Investments,1.12,30.16,14.82,14.47,19.78,-22.83,33.53,2.49,97.96,30.06,27.76,16.99,36.22,14.48,19.78,9.84,-12.36,9.84,39.04,0.00,0.26,0.15,0.67,0.41,56.55
A-1 Acid,542012,,Trading,348.70,12.40,7.89,-25.50,-23.47,6.52,6.52,10.01,,-7.15,-2.31,-1.76,,-25.50,-23.47,-37.29,,-13.39,,0.03,3.40,2.72,5.75,5.13,401.01
A.K.Capital Serv,530499,,Finance & Investments,1033.75,21.69,4.23,7.22,5.09,3.96,11.97,6.40,7.91,20.24,5.30,7.40,11.37,7.22,5.09,6.91,10.00,6.91,10.00,0.99,77.35,66.17,225.89,208.09,682.28
A2Z Infra Engg.,533292,A2ZINFRA,Engineering - Turnkey Services,20.44,-2.17,-14.87,12.55,,-14.93,-14.84,-12.58,-5.70,,,,2.56,12.55,,8.84,6.75,8.49,6.14,0.00,-86.30,-120.61,-40.87,-16.12,359.99
AA Plus Trade,543319,,Trading,25.31,31.72,34.40,59.75,39.59,22.24,22.57,,,51.17,28.14,,,31.61,8.02,,,,,,0.24,,0.35,,61.57
AAA Technologies,543671,AAATECH,Computers - Software - Medium / Small,113.85,29.24,18.13,41.21,9.28,-1.06,23.39,10.14,6.04,44.51,10.87,47.48,30.51,41.11,-37.26,6.36,2.93,58.10,35.84,0.00,2.65,1.67,3.59,2.32,146.03
Aadhar Hsg. Fin.,544176,AADHARHFC,Finance - Housing,427.15,17.98,15.37,30.10,34.27,13.52,13.52,,,16.01,14.73,,,30.10,-22.59,,,,,,458.15,,1414.24,,18218.74
Aadi Industries,530027,,Plastics Products,5.80,,,5.73,10.20,-100.00,-100.00,,,3.23,9.98,4.46,7.15,5.73,10.20,4.92,7.15,4.92,7.15,0.00,0.10,0.21,0.10,-0.02,5.80
Aakash Explor.,,AAKASH,Oil Drilling / Allied Services,13.92,15.56,12.29,15.12,13.41,21.98,20.42,15.53,,10.15,12.11,14.58,,15.14,13.42,22.67,,28.22,,-6.66,5.21,3.42,8.91,6.22,140.94
Aananda Lakshmi,539096,,Construction,19.00,-32.57,-7.19,51.40,34.95,-30.22,-30.22,-33.87,-32.75,304.12,70.42,14.95,0.33,51.40,34.95,13.04,7.59,13.04,22.24,0.00,-1.23,-3.89,0.41,-1.32,6.65
Aanchal Ispat,538812,,Steel - Medium / Small,5.53,-3.25,-20.89,-5.63,,0.30,-28.87,-12.54,-5.38,,,,,-5.63,,,,,,-33.29,-9.64,-4.14,-5.81,0.56,11.53
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,49.57,4.33,2.22,-10.42,-6.47,1.47,-5.56,-0.01,7.07,-0.69,-1.35,-1.78,14.65,-12.84,-8.00,-6.83,11.43,-2.20,16.12,-4.10,5.46,4.79,9.56,8.78,125.83
Aarnav Fashions,539562,,Textiles - Products,48.70,12.73,195.58,5.11,99.02,68.30,68.30,147.88,,16.62,153.91,112.55,,-25.56,17.31,21.89,12.54,77.81,,40.51,4.51,2.30,14.62,7.38,205.70
Aaron Industries,,AARON,Engineering,277.15,36.32,29.22,48.32,43.23,45.02,21.94,44.53,,47.07,40.45,72.28,,46.27,41.91,25.25,,99.69,,-1.91,3.74,,5.76,,290.27
Aartech Solonics,542580,AARTECH,Electric Equipment,219.06,44.02,18.45,302.07,31.55,32.74,32.74,,,76.36,27.13,,,302.20,31.57,,,,,0.30,0.82,,1.52,,231.99
Aarti Drugs,524348,AARTIDRUGS,Pharmaceuticals - Indian - Bulk Drugs,511.40,5.79,9.28,-18.02,10.86,10.96,12.42,11.05,8.84,-13.02,5.66,5.95,6.05,-17.65,11.43,10.32,9.34,9.74,8.78,-4.47,175.31,125.26,261.54,204.72,4701.56
Aarti Industries,524208,AARTIIND,Chemicals,738.40,12.25,8.86,-7.08,-3.07,7.64,7.64,10.53,9.30,0.24,0.48,6.07,9.39,-8.30,-3.92,2.72,10.19,4.18,10.44,-1.66,640.53,479.40,881.39,716.11,26768.27
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,647.75,,,,,-4.76,-4.76,,,,,,,,,,,,,,,,,,5870.30
Aarti Surfactant,543210,AARTISURF,Chemicals,637.20,8.19,17.42,0.96,40.25,23.28,23.28,,,11.48,64.64,,,1.13,,,,,,2.53,12.84,,29.27,,538.98
Aarvee Denims,514274,AARVEEDEN,Textiles - Cotton/Blended,38.05,-31.62,-35.37,10.02,,-9.13,-38.04,-28.00,-18.86,-20.14,,,,10.02,,,,,,0.00,-52.32,-24.31,-33.73,6.12,89.27
Aarvi Encon,,AARVI,Miscellaneous,140.77,26.26,14.54,2.73,6.72,13.24,5.83,14.95,15.21,7.25,4.29,6.14,3.35,2.73,6.72,-35.90,-25.75,11.33,9.28,0.07,11.29,8.65,13.12,11.20,208.11
Aashka Hospitals,543346,,Healthcare,111.50,-17.47,-3.74,-16.77,11.75,-1.59,-1.59,,,-4.11,-1.85,,,-23.74,6.04,,,,,,1.53,,5.17,,260.91
AastamangalamFin,511764,,Finance & Investments,42.93,125.88,45.99,95.74,52.25,-1.85,106.56,26.72,10.29,128.35,58.64,38.43,11.95,53.28,31.48,16.60,0.84,29.48,8.52,-19.59,1.14,0.82,2.08,1.37,38.25
Aatmaj Health,,AATMAJ,Healthcare,27.20,0.54,,-40.22,,17.18,17.18,,,-13.70,,,,-76.63,,,,,,,3.14,,4.81,,61.47
AAVAS Financiers,541988,AAVAS,Finance - Housing,1673.40,22.29,23.23,19.22,22.76,27.09,23.30,30.98,43.55,21.30,23.22,30.28,43.55,18.90,22.44,30.10,40.15,35.95,54.47,-23.60,363.13,219.36,998.84,629.35,13243.24
Aayush Art,540718,,Trading,146.40,43.90,-1.18,120.13,91.86,20.14,16.59,-5.78,41.99,196.25,26.58,1.77,,60.09,44.54,-22.62,,9.25,,-32.16,-0.02,0.00,0.01,0.03,190.50
Aayush Wellness,539528,,Trading,293.70,-84.18,-65.98,10.72,-1.02,-3.27,-53.37,-51.85,34.93,-34.40,-14.75,0.24,50.34,10.72,-1.02,8.12,,8.12,,-51.28,-0.17,0.08,0.53,0.57,95.31
AB Cotspin,,ABCOTS,Textiles - Cotton/Blended,220.00,30.40,16.16,19.97,39.68,20.19,21.96,13.12,,38.96,28.56,16.48,,-25.45,4.99,12.61,,38.08,,,4.03,,9.14,,226.43
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,66.08,-27.97,-13.97,10.33,11.84,-17.48,0.74,-19.07,-20.45,22.83,14.51,,,10.33,11.84,-4.11,,-4.11,,0.00,-3142.23,-2433.82,-2095.23,-1274.78,385.68
ABans Enterprise,512165,,Trading,132.00,-24.15,,-34.37,,-29.00,-29.00,,,-10.64,,,,-34.37,,,,,,0.00,22.71,,35.95,,184.14
Abans Holdings,543712,AHL,Finance & Investments,571.75,1.21,-20.62,24.96,18.27,-36.70,-36.70,,,23.18,21.69,,,21.72,-78.48,,,,,,55.96,,100.94,,2867.09
Abate As Indust,531658,,Trading,27.44,,,,,-100.00,-100.00,,,,,,,,,,,,,10.99,-0.31,-0.17,-0.33,-0.18,13.77
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,28227.70,10.71,9.72,20.24,22.01,11.02,9.35,10.53,9.90,19.27,19.15,20.73,18.76,20.24,22.01,23.33,20.21,23.33,20.21,0.00,846.72,583.92,1155.04,827.49,59983.86
ABC Gas (Int.),513119,,Trading,96.15,-71.23,-58.05,-16.84,,-50.00,-50.00,-57.43,-42.78,-17.20,,,,-16.84,,,,,,-33.09,-0.52,-0.27,-0.48,-0.24,19.04
ABC India,520123,,Miscellaneous,108.70,-0.53,-1.44,-3.79,-15.38,-7.70,7.72,3.51,0.12,-2.61,-6.62,44.39,3.79,-3.79,-15.38,13.00,8.02,13.00,8.02,4.64,2.82,-1.59,5.66,1.96,58.89
Abhinav Capital,532057,,Finance & Investments,193.85,67.56,31.02,93.40,28.82,16.36,16.45,19.48,47.67,96.65,30.62,18.99,40.93,93.40,28.82,16.34,68.56,16.34,68.56,0.00,5.19,3.89,7.42,5.58,134.23
Abhinav Leasing,538952,,Finance & Investments,2.07,-23.19,39.92,23.61,60.04,44.40,35.92,38.33,61.47,67.83,34.08,20.31,34.17,23.61,60.04,35.76,5.45,,32.75,0.00,0.09,0.05,1.26,0.84,10.35
Abhishek Finle.,538935,,Finance & Investments,33.00,17.88,4.29,24.05,39.33,25.00,29.31,9.29,12.99,32.15,27.23,13.99,11.61,24.05,39.33,16.99,13.35,16.99,13.35,0.00,0.09,0.07,0.12,0.10,14.07
Abhishek Infra.,539544,,Construction,6.74,,,5.90,,-99.43,-99.43,,,5.90,,,,13.89,,,,,,-3.24,,,,,3.40
Abhishek Integr.,,AILIMITED,Construction,92.90,121.24,235.36,85.82,,221.92,221.92,,,109.10,,,,62.14,,,,,,,0.42,,0.82,,55.94
Abirami Fin.,511756,,Finance & Investments,58.06,,,141.49,135.54,-39.47,,,,383.46,49.23,26.01,7.27,148.93,140.56,60.01,20.97,57.62,19.71,6.57,3.18,1.68,3.92,2.07,31.35
ABM Knowledge,531161,,Computers - Software - Medium / Small,159.80,2.21,7.40,-8.76,-1.17,6.05,13.48,-2.67,-0.29,-9.54,-3.46,-5.89,-1.05,-8.76,-1.17,-2.94,0.27,-2.94,0.27,0.00,15.50,16.11,20.37,22.65,319.64
ABS Marine,,ABSMARINE,Shipping,317.05,15.14,,164.55,,21.13,21.13,,,23.64,,,,,,,,,,,,,,,778.36
ACC,500410,ACC,Cement - North India,2435.30,13.13,6.16,11.85,7.24,5.28,5.78,8.90,6.08,11.49,10.10,12.19,6.67,11.85,7.24,18.13,7.33,18.13,7.33,2.16,1578.88,1286.34,2135.81,1686.06,45731.83
Accedere,531533,,Computers - Software - Medium / Small,87.03,64.99,10.84,,,49.12,49.12,,,2.50,6.96,,,,,,,,,8.76,-0.03,,-0.05,,43.78
Accel,517494,,Computers - Software - Medium / Small,23.15,33.13,89.99,39.74,23.70,40.28,57.69,61.42,,67.90,63.09,41.99,,39.62,23.62,11.72,,16.41,,-0.79,0.36,,6.45,,133.28
AccelerateBS Ind,543938,,Computers - Software - Medium / Small,335.00,,,,,142.14,142.14,,,,,,,,,,,,,,,,,,71.98
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1807.30,20.74,3.37,40.45,1.83,7.75,8.90,4.83,4.90,28.11,2.44,2.93,3.61,40.45,1.83,2.66,3.36,2.66,3.36,0.00,87.90,88.30,125.30,131.41,2698.30
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.60,22.80,,86.23,,20.23,20.23,,,49.35,,,,9.70,,,,,,,11.78,,17.24,,598.88
Accord Synergy,,ACCORD,Telecommunications - Service Provider,25.00,-6.55,-16.29,-25.94,-35.00,-12.89,-19.27,-9.49,,-34.43,-35.95,-26.05,,-25.94,-35.00,-28.57,,-25.14,,0.00,-0.57,0.87,0.06,2.20,8.68
Accuracy Shippi.,,ACCURACY,Miscellaneous,12.24,23.65,15.91,-61.63,-42.65,6.46,6.46,,,-7.34,-3.47,,,-61.63,-42.65,,,,,0.29,7.89,,20.87,,184.29
ACE EduTremd Ltd,530093,,Miscellaneous,3.22,,,14.47,11.02,-55.56,-55.56,,,,,,,14.47,11.02,8.05,,8.05,,0.00,-0.33,-0.47,-0.27,-0.46,2.95
Ace Integrated,,ACEINTEG,Computers - Software - Medium / Small,36.81,11.24,12.60,43.07,2.64,7.52,31.63,-9.83,-4.24,-7.85,-16.11,-22.65,-11.09,43.07,2.64,-18.57,,-14.91,-10.11,0.00,0.61,0.88,0.88,1.48,37.55
Ace Men,539661,,Trading,56.00,,,-27.89,,-58.54,53.13,,,-24.86,55.18,,,-27.89,28.47,3.66,,,,-8.47,0.17,0.08,0.22,0.11,17.35
Ace Soft. Exp.,531525,,Computers - Software - Medium / Small,339.00,38.91,24.28,111.68,52.86,5.52,10.51,15.93,17.57,209.28,69.09,21.85,21.56,95.51,46.03,19.83,19.49,25.31,23.29,7.12,0.33,0.42,0.23,0.42,216.96
Achyut Healthcar,543499,,Trading,55.20,183.31,55.75,284.85,126.03,-18.18,-18.18,,,321.72,137.14,,,10.66,27.39,,,,,,0.17,,0.24,,92.88
ACI Infocom,517356,,Computers - Software - Medium / Small,2.34,164.95,-25.27,-20.63,55.18,-73.93,-95.19,-32.14,,-10.37,,-6.12,-3.61,-20.63,55.18,-11.40,-4.98,-11.40,-4.98,0.00,0.08,0.09,0.12,0.15,25.85
Acknit Indus.,530043,,Textiles - Products,317.45,8.70,5.13,13.42,12.71,1.30,1.30,4.81,5.09,6.30,4.74,5.22,7.88,13.42,12.71,12.18,11.16,15.23,13.27,-0.01,7.04,5.20,12.82,11.24,96.50
Acme Resources,539391,,Finance & Investments,38.50,13.44,2.89,28.50,16.67,-15.71,18.66,-16.84,-10.86,29.14,19.40,-25.02,-17.49,28.50,16.67,-24.83,-16.69,-24.83,-16.69,0.00,0.63,1.67,2.09,6.60,99.11
Acrow India,513149,,Diversified - Medium / Small,675.00,,,68.18,33.56,-100.00,-100.00,,,70.26,14.62,37.09,16.49,68.18,33.56,26.51,13.73,26.51,13.73,0.04,-0.14,-0.09,-0.26,-0.33,43.20
Action Const.Eq.,532762,ACE,Engineering,1343.55,33.41,16.76,62.97,42.56,17.84,32.53,21.37,16.81,55.04,35.02,39.57,32.09,60.38,42.13,57.40,56.77,57.73,59.71,-4.64,143.49,84.88,204.87,128.05,15999.42
Active Clothing,541144,,Textiles - Products,92.26,42.66,6.57,332.67,9.69,6.05,5.92,8.50,,25.50,5.25,6.51,,332.67,9.69,-37.69,,17.10,,0.00,1.71,1.87,9.31,8.94,143.12
AD Manum Finance,511359,,Finance & Investments,77.99,5.44,2.04,36.16,48.28,-5.24,-0.40,-2.96,-8.01,28.55,13.02,9.21,-4.29,36.16,48.28,37.23,3.04,37.23,3.04,4.24,4.54,2.48,7.05,6.78,58.49
Adani Energy Sol,539254,ADANIENSOL,Power Generation And Supply,1261.80,18.71,17.85,-5.05,13.38,31.08,18.08,28.47,,6.86,14.70,17.45,,-5.50,13.05,13.86,,14.09,,0.02,1088.45,791.27,4010.27,2756.87,140752.87
Adani Enterp.,512599,ADANIENT,Trading,3160.90,34.60,19.02,48.28,42.77,7.42,7.49,14.87,5.78,58.42,37.79,25.53,2.20,46.52,41.75,20.61,4.65,21.24,5.02,-0.20,1777.20,1422.59,5218.66,4488.78,360342.95
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1881.40,43.44,34.98,67.90,36.08,39.03,23.86,51.57,,48.13,40.80,55.00,,67.19,35.89,40.05,,43.70,,0.04,628.41,,3598.80,,298019.87
Adani Ports,532921,ADANIPORTS,Miscellaneous,1588.00,28.63,19.58,21.06,17.00,18.72,21.81,17.89,18.65,17.02,16.50,15.01,17.20,18.61,16.01,11.88,17.71,12.56,18.21,2.10,5840.42,4602.80,9148.07,7241.00,343030.06
Adani Power,533096,ADANIPOWER,Power Generation And Supply,726.35,24.29,16.09,153.37,88.46,10.82,10.82,12.11,12.63,38.35,30.39,23.55,19.27,153.37,88.46,42.50,55.22,42.50,59.76,-2.27,7321.02,3072.44,11496.93,7893.68,280148.76
Adani Total Gas,542066,ATGL,Miscellaneous,908.90,38.19,21.09,12.13,22.74,9.05,9.05,,,15.92,17.05,,,12.13,22.74,,,,,0.00,525.37,,764.28,,99961.74
Adani Wilmar,543458,AWL,Solvent Extraction,383.15,9.91,11.32,-23.22,-3.99,9.29,5.66,11.51,12.79,-0.55,2.93,8.70,12.69,-65.86,-40.96,-26.51,19.27,4.00,52.77,,552.66,,1319.08,,49797.19
Adarsh Plant,526711,,Packaging,32.50,13.87,12.52,30.59,20.16,8.34,8.43,8.33,9.05,18.22,26.55,3.43,8.38,30.59,20.16,29.55,12.32,29.55,12.32,21.57,0.19,-0.18,0.39,0.15,32.21
ADC India,523411,,Telecommunications - Equipment,1872.35,44.00,15.86,79.12,28.70,8.77,18.39,17.01,13.93,69.38,25.47,22.95,20.89,79.12,28.70,27.01,19.97,27.01,19.97,0.00,8.95,6.83,12.17,9.49,861.28
Adcon Capital,539506,,Finance & Investments,0.82,81.71,47.58,95.74,71.88,7.69,8.33,45.79,29.16,95.74,77.26,94.42,27.85,136.93,92.74,65.44,38.83,,31.10,0.00,0.15,0.09,0.21,0.12,16.26
Add-Shop E-Reta.,541865,,Trading,14.19,37.39,55.34,-25.62,29.43,86.62,65.43,72.05,,-12.86,33.50,62.84,,-17.53,37.49,,,54.56,,-35.79,10.09,,14.78,,40.18
Addi Industries,507852,,Textiles - Products,49.02,,,61.44,57.38,-69.70,-100.00,,,264.32,81.21,,55.59,61.44,57.38,,26.31,,26.31,0.00,1.33,,1.49,,52.92
Addictive Learn,,LAWSIKHO,Miscellaneous,273.70,111.30,,768.45,,90.75,90.75,,,756.35,,,,34.08,,,,,,,1.70,,3.10,,435.45
Adeshwar Meditex,543309,,Healthcare,25.81,6.57,8.58,4.13,-2.32,-1.83,6.05,,,1.89,-1.51,,,-6.25,-21.04,,,,,,1.75,,4.60,,37.25
ADF Foods,519183,ADFFOODS,Food - Processing - Indian,228.67,12.05,17.59,12.20,22.19,6.90,15.56,14.57,9.62,14.91,20.59,21.55,19.75,8.78,19.94,24.45,32.35,25.09,32.33,4.91,52.81,33.64,72.13,47.91,2512.25
Adhbhut Infra.,539189,,Construction,27.08,231.93,84.42,74.86,46.87,-19.42,20.75,34.00,,518.85,160.73,42.40,13.30,74.86,46.87,22.88,,22.88,5.08,-1.33,0.08,0.05,0.33,0.27,29.79
Adinath Exim Res,532056,,Finance & Investments,23.49,5.39,9.64,5.27,8.06,6.56,4.62,10.56,13.13,3.89,10.96,12.72,15.18,5.27,8.06,8.02,14.28,8.82,14.87,0.00,0.49,0.37,0.66,0.47,10.15
Adinath Textiles,514113,,Textiles - Spinning - Synthetic / Blended,30.67,,,14.47,24.93,-3.97,-100.00,,,7.84,32.70,3.54,5.83,14.47,24.93,9.15,8.11,9.15,8.11,-0.06,0.31,0.18,0.39,0.26,20.89
Adit.Birla Money,532974,BIRLAMONEY,Finance & Investments,165.60,27.04,18.13,49.79,39.67,12.72,14.27,17.88,19.03,47.64,28.94,39.88,62.33,49.61,39.57,35.83,24.55,36.22,24.74,-0.27,28.16,17.22,82.91,51.43,935.79
Aditya AMC,543374,ABSLAMC,Finance & Investments,686.00,10.82,3.05,14.03,11.80,6.32,-2.67,7.08,,12.36,8.92,17.21,,-54.75,-35.79,-19.53,,19.58,,-25.00,614.05,,815.93,,19763.64
Aditya Bir. Fas.,535755,ABFRL,Textiles - Products,335.50,38.67,11.51,2.26,,12.71,12.71,,,37.67,21.05,,,6.96,,,,,,-4.15,-332.52,,158.43,,34090.21
Aditya Birla Cap,540691,ABCAPITAL,Finance & Investments,211.59,21.48,17.88,44.49,32.67,31.59,15.35,28.77,,30.51,17.44,20.25,,40.98,28.33,16.89,,30.05,,-1.80,2353.76,1465.91,7941.48,5683.41,55060.03
Aditya Consumer,540146,,Trading,79.99,-0.12,2.09,291.49,-20.03,9.69,0.63,4.86,5.86,21.82,-10.67,2.60,7.49,291.49,-20.03,-1.14,-44.03,-1.14,5.84,0.00,0.87,1.37,1.66,2.50,117.06
Aditya Ispat,513513,,Steel - Medium / Small,11.20,7.65,9.38,,,6.21,16.28,8.62,7.85,-10.40,-4.07,-2.55,2.09,,,,,,,0.00,-0.20,0.10,1.94,1.78,5.99
Aditya Spinners,521141,,Textiles - Spinning - Synthetic / Blended,24.95,22.40,0.13,84.94,15.37,5.96,-6.41,2.02,4.03,24.18,7.69,6.45,11.04,84.94,15.37,15.46,5.39,15.46,5.39,0.00,2.50,1.65,3.68,3.01,41.77
Aditya Vision,540205,,Trading,4448.15,32.58,25.33,56.80,68.75,31.84,31.84,25.19,30.20,45.60,58.91,65.72,57.66,53.50,72.03,75.24,-14.43,72.85,59.71,-20.45,42.53,22.52,81.68,44.01,5723.13
Adjia Tech,543269,,Computers - Software - Medium / Small,45.10,14.47,,33.30,,66.67,66.67,49.25,,51.83,,,,33.30,,10.51,,,,0.00,-0.07,,-0.07,,3.97
Adline Chem Lab,524604,,Pharmaceuticals - Indian - Formulations,15.59,,,23.48,,-3.95,-88.31,,,10.46,,,,23.48,,,,,,-1.85,-1.14,-0.56,-1.09,-0.37,9.12
Ador Fontech,530431,,Electrodes - Welding Equipment,141.20,12.01,2.42,33.54,17.23,2.22,-1.91,5.28,4.14,20.99,12.27,13.56,4.60,33.54,17.23,18.68,7.01,18.68,7.01,-0.05,16.18,12.75,23.65,19.07,494.20
Ador Multi Prod.,523120,,Personal Care - Indian,34.55,-29.66,-1.56,,,-1.79,-9.45,0.09,,,-40.80,-22.21,,,,-7.81,,,,-0.29,-4.81,,-4.40,,16.15
Ador Welding,517041,ADORWELD,Electrodes - Welding Equipment,1433.45,25.49,11.53,60.28,21.34,5.23,13.78,10.43,9.15,52.19,13.55,14.41,9.86,60.28,21.34,19.44,22.33,19.44,22.33,0.04,40.40,30.01,57.56,45.29,1949.49
Adroit Info.,532172,ADROITINFO,Computers - Software - Medium / Small,17.75,59.04,9.61,29.23,37.49,-4.55,3.07,-10.24,90.26,27.28,76.79,-16.23,60.72,108.27,34.83,-23.01,33.61,-20.98,36.22,-15.56,1.84,3.65,2.28,4.46,68.68
Advait Infratech,543230,,Construction,2007.40,47.03,49.42,69.92,57.47,47.60,47.60,,,81.54,54.58,,,69.92,48.07,,,,,-4.08,8.05,,13.71,,2049.08
Advance Lifes.,521048,,Textiles - Jute - Yarn / Products,44.17,,,58.06,16.91,-100.00,-100.00,,,119.52,-9.83,27.05,-6.42,57.95,16.90,15.26,16.29,15.33,16.32,0.00,-0.61,-0.53,-0.40,1.43,27.50
Advance Meter.,534612,,Electric Equipment,38.31,1.82,-28.34,20.71,,8.82,-10.36,-9.21,0.97,-11.33,-21.84,3.35,11.22,20.71,,8.07,6.29,8.07,6.29,0.00,-7.73,-7.69,-3.62,-2.78,61.53
Advance Petroch.,506947,,Chemicals,200.45,26.36,10.57,-6.60,14.87,-5.12,25.47,21.80,10.87,13.29,12.05,11.01,10.13,-6.60,14.87,13.62,6.25,13.62,6.25,-5.75,0.37,0.22,1.28,1.00,18.04
