Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Average return on equity 3Years,Number of equity shares 10years back,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization
K Z Leasing,511728,,Finance & Investments,33.51,2.99,3.69,0.30,54.12,37.39,27.36,,,,,0.00,0.00,0.00,5.38,4.75,4.26,4.20,2.44,2.61,68.42,11.20,22.68,3857.00,0.00,14.67,22.29,0.00,1.86,2.43,5.42,12.16,9.35,7.57,2.86,3.07,2.89,0.87,-117.94,0.00,0.00,10.19
K-Lifestyle,514221,,Textiles - Products,0.37,,,102.24,-1.60,-1.05,5.49,3.95,49.30,8.75,4.95,0.00,0.00,0.00,-21.98,-18.53,-26.47,-19.61,,,,1.88,-4.59,,0.00,551.46,219.26,1.49,-17.27,-17.86,,,,,16.36,20.45,27.60,106.33,-8586.18,,,37.83
K.P. Energy,539686,,Engineering - Turnkey Services,401.20,27.10,34.67,1.95,9.85,8.94,,0.40,0.80,3.98,,0.00,0.00,1.11,36.51,25.82,25.03,33.07,,26.98,-2.04,16.79,17.96,14258.00,4.72,88.55,21.36,63.59,6.60,10.05,17.66,17.19,16.94,16.21,62.80,223.11,109.69,,39.05,0.37,0.00,2675.60
K&R Rail Engine.,514360,,Construction,466.30,,,,,,,,,,,,,,16.99,16.99,16.99,16.99,,,,,,18938.00,,77.78,,,,,148.73,148.73,148.73,148.73,22.09,14.20,14.20,3.95,39.60,0.00,0.00,987.20
K2 Infragen,,K2INFRA,Engineering - Turnkey Services,252.00,,91.54,,,,,,,,,0.00,,,34.46,34.46,34.46,34.46,,,,,,,0.00,133.61,82.12,,,12.11,11.21,11.21,11.21,11.21,,,,,97.85,,,317.98
Kaarya Facilit.,540756,,Miscellaneous,5.60,-16.23,-34.56,0.02,11.90,11.73,,0.36,0.00,0.01,1.47,0.00,0.00,0.00,-18.39,-9.08,-1.68,5.09,-6.43,-8.56,,-0.45,4.51,156.00,0.00,74.00,76.29,118.11,-8.09,-14.35,88.97,3.82,3.82,57.06,12.83,9.40,,,105.94,0.00,0.00,5.24
Kabra Drugs,524322,,Pharmaceuticals - Indian - Formulations,8.30,,,0.44,-0.48,-0.07,5.95,,,12.64,10.31,,,0.00,-41.44,-32.18,-31.97,-20.84,,,,,,7420.00,0.00,0.00,,-11406.25,-22.09,-31.16,,60.84,24.93,,1.98,0.25,2.83,4.12,0.00,0.00,0.00,3.64
Kabra Extrusion,524109,KABRAEXTRU,Engineering,401.45,8.35,9.26,3.19,87.27,72.98,44.70,1.51,1.18,2.01,2.93,0.00,0.00,8.93,12.96,10.78,11.01,12.42,9.36,8.60,-5.71,11.15,11.00,27493.00,32.01,56.51,29.14,52.75,5.11,5.74,40.29,17.87,26.34,36.89,565.15,273.40,354.12,100.33,120.77,2.69,0.00,1403.98
Kabsons Industri,524675,,Trading,40.31,14.78,16.73,1.75,3.94,3.30,,36.10,38.20,48.00,21.75,0.00,0.00,0.00,16.46,14.74,17.73,19.32,,16.12,6.33,8.52,8.16,20331.00,0.00,8.07,21.29,14.63,8.76,10.57,17.66,14.48,13.56,14.84,9.29,6.81,8.16,,-20.23,0.00,-1.17,70.39
Kachchh Minerals,531778,,Mining / Minerals / Metals,29.29,15.15,16.37,0.53,2.32,2.08,3.49,0.24,-0.08,0.05,-0.10,0.00,0.00,0.00,13.86,12.02,7.43,0.46,-0.92,10.62,3.43,19.64,4.58,3444.00,0.00,198.13,211.16,122.99,9.78,10.70,39.09,37.41,37.41,38.06,3.54,1.01,1.54,2.62,291.05,0.00,0.00,15.53
Kahan Packaging,543979,,Packaging,74.00,,62.91,,,,,4.54,,,,0.00,0.00,0.00,18.92,16.95,16.95,16.95,,,,7.97,,,0.00,62.40,70.77,,,5.85,9.56,9.56,9.56,9.56,,,,,74.70,,,20.13
Kaira Can,504840,,Packaging,1929.00,9.00,9.21,0.09,734.30,672.92,526.41,2.95,2.89,3.47,2.97,0.00,1.32,1.03,13.56,12.77,12.06,11.38,7.86,8.62,-6.44,6.37,6.92,1606.00,17.93,24.84,19.96,26.43,6.24,6.77,28.47,23.75,23.22,23.96,96.78,91.96,78.93,33.31,53.62,0.00,0.00,177.47
Kaiser Corporat.,531780,,Printing & Stationery,9.90,3.74,4.91,5.26,1.20,1.03,1.12,5.11,3.72,6.33,8.97,0.00,0.00,0.00,11.31,9.25,7.60,8.47,3.26,2.42,-11.89,5.57,5.26,13541.00,0.00,260.96,298.38,279.42,1.39,1.83,52.03,55.38,42.54,51.39,2.05,11.58,30.26,15.52,224.60,0.00,0.00,52.09
Kaizen Agro,538833,,Trading,20.05,0.05,0.14,2.14,32.51,32.52,32.46,,,,,0.00,0.00,0.00,0.24,0.11,0.09,0.23,0.14,0.05,49.81,0.54,0.77,1350.00,0.00,83.07,518.68,1184.53,0.04,0.12,249.17,105.89,251.08,249.17,8.03,23.56,23.56,,517.04,9.72,0.00,103.09
Kajaria Ceramics,500233,KAJARIACER,Ceramics - Tiles / Sanitaryware,1460.60,16.96,17.20,15.89,117.48,107.84,46.63,3.52,3.39,3.84,4.92,0.00,0.00,143.27,21.64,20.86,21.73,25.02,18.49,16.95,1.40,15.53,16.31,67854.00,44.44,50.01,56.66,58.65,12.17,12.56,48.55,40.38,44.39,47.74,14745.22,9375.68,9274.03,2640.41,54.58,-8.88,12.94,23261.27
Kaka Industries,543939,,Plastics Products,262.75,,55.20,,,,,5.64,,,,0.00,0.00,0.00,28.25,28.92,28.92,28.92,,,,9.48,,,0.00,41.29,67.30,,,14.88,21.48,21.48,21.48,21.48,,,,,75.75,,,358.92
Kakatiya Cement,500234,KAKATCEM,Cement - South India,233.99,1.93,1.96,0.78,281.12,282.51,234.04,1.41,1.71,1.53,1.07,0.00,0.00,2.33,4.19,4.47,4.56,7.45,4.79,2.39,,0.72,6.19,23748.00,-71.39,39.64,35.13,35.24,1.44,1.51,19.86,10.98,18.71,20.07,131.46,135.73,241.92,58.77,176.50,0.00,0.00,181.81
Kakatiya Textile,521054,,Textiles - Cotton/Blended,22.64,,,0.58,-28.53,-27.59,-13.34,3.42,6.50,13.94,5.58,0.00,0.00,0.00,-1.11,-6.10,-6.59,-10.23,,,,1.78,-2.43,10503.00,0.00,47.53,14.73,15.54,-1.62,1.89,6.06,6.89,6.06,6.06,0.38,1.78,2.91,2.03,-2736.33,0.00,0.00,13.15
Kalahridhaan,,KTL,Textiles - Products,43.00,,39.80,,,,,3.60,,,,0.00,0.00,0.00,18.32,16.42,16.42,16.42,,,,5.67,,,0.00,102.08,57.58,,,5.54,9.24,9.24,9.24,9.24,,,,,136.05,,,73.90
Kallam Textiles,530201,,Textiles - Cotton/Blended,8.13,-5.73,-6.37,5.25,37.64,38.99,13.21,1.83,2.28,2.23,3.04,0.00,0.00,0.17,2.62,2.27,3.72,5.57,-0.44,-2.52,,7.58,11.65,8980.00,2.42,18.42,29.11,26.16,-2.08,-2.34,6.57,7.98,8.09,7.41,48.10,79.62,88.39,26.72,123.72,0.00,-0.14,42.93
Kalpataru Proj.,522287,KPIL,Transmisson Line Towers / Equipment,1350.95,10.80,9.56,15.35,251.06,217.07,144.44,4.29,4.64,3.98,2.40,0.00,0.00,108.70,14.43,16.21,16.85,15.40,10.11,11.41,-8.52,10.10,10.82,64671.00,23.07,112.74,141.41,141.87,2.58,2.33,19.96,23.37,18.60,14.91,5613.88,7224.16,4952.17,1464.01,101.24,2.76,17.21,21945.66
Kalyan Capitals,538778,,Finance & Investments,15.82,9.09,10.85,,6.49,6.42,,,,,,0.00,0.00,0.00,14.38,12.00,11.82,11.82,,,13.45,88.70,,3993.00,0.00,0.00,0.00,0.00,3.74,3.58,29.99,25.28,25.28,21.89,32.30,37.83,4.67,,24.97,0.00,0.00,83.08
Kalyan Jewellers,543278,KALYANKJIL,Diamond Cutting / Jewellery,559.75,9.61,12.40,,27.44,,,1.43,1.83,,,0.00,0.00,35.02,12.03,10.82,10.26,10.26,,,138.43,7.74,,253152.00,10.86,5.61,4.80,5.48,2.77,4.07,30.18,31.66,31.66,31.66,7014.66,,,,121.98,17.15,10.13,57688.58
Kalyani Cast-Tec,544023,,Castings & Forgings,424.35,,62.64,,,,,1.38,,,,0.00,0.00,0.00,58.72,45.22,45.22,45.22,,,,12.62,,,0.00,20.14,75.93,,,29.08,30.60,30.60,30.60,30.60,,,,,24.53,,,304.70
Kalyani Forge,513509,KALYANIFRG,Castings & Forgings,558.25,0.58,3.73,0.36,275.40,280.70,267.78,2.62,2.79,3.29,4.28,0.00,0.00,0.84,6.65,3.79,5.52,5.15,1.83,2.27,-5.25,6.00,6.74,4949.00,29.71,102.57,135.32,95.96,0.32,1.90,36.18,35.57,29.10,33.56,71.40,101.48,136.04,58.57,120.19,0.00,0.00,203.20
Kalyani Invest.,533302,KICL,Finance & Investments,6066.70,0.76,0.73,0.44,10294.21,4354.68,716.63,,,,,0.00,0.00,0.00,0.95,0.94,0.94,2.76,0.99,0.80,1.56,91.83,91.76,16702.00,0.00,0.00,0.00,0.00,0.78,0.70,28.74,27.73,27.12,25.79,686.84,694.02,710.47,207.53,-12.03,-2.00,-0.13,2651.15
Kalyani Steels,500235,KSL,Steel - Medium / Small,880.10,15.66,15.33,4.37,264.41,220.82,109.03,5.55,4.99,6.83,4.13,0.00,0.00,37.16,17.19,18.60,18.92,20.37,16.63,15.55,0.93,17.78,17.54,41836.00,20.61,81.75,76.53,80.15,10.37,9.73,8.43,8.43,8.60,8.30,1391.01,937.23,1577.40,270.43,69.95,-0.47,2.90,3842.52
Kama Holdings,532468,,Finance & Investments,2791.75,19.47,19.55,3.23,1162.91,866.21,418.36,3.68,3.54,3.93,3.94,0.00,0.00,124.84,19.94,18.26,16.52,15.43,19.22,18.56,-0.91,23.48,21.81,8424.00,18.84,49.48,55.10,52.63,10.55,11.14,8.40,6.82,8.15,7.66,3916.15,3887.92,1973.17,258.53,56.62,0.14,-0.01,8958.89
Kamadgiri Fash.,514322,,Textiles - Processing,74.78,-6.37,-0.15,0.51,56.70,65.94,51.49,1.71,3.34,3.94,2.76,0.00,0.00,0.00,8.15,5.07,8.51,10.39,1.69,-0.40,,4.02,5.04,1393.00,0.00,68.94,128.41,64.09,-1.54,-0.09,46.67,14.55,15.54,36.13,17.46,49.83,39.85,6.28,98.03,0.00,0.00,43.89
Kamanwala Housin,511131,,Construction,16.90,-1.28,-2.02,1.41,56.76,56.83,64.43,0.25,0.24,0.55,0.33,0.00,0.00,0.00,-2.14,-1.37,-0.90,-0.49,-2.35,-0.93,,-80.30,-22.42,4205.00,0.00,67.13,188.75,35.23,-1.24,-1.94,57.61,59.06,59.06,67.94,6.45,14.60,19.45,31.71,4310.12,0.00,0.00,23.81
Kamat Hotels,526668,KAMATHOTEL,Hotels,224.36,,,2.36,-67.31,-52.15,23.72,5.76,11.71,8.65,7.69,0.00,0.00,0.00,16.90,12.39,12.09,9.43,,,,29.83,28.02,15260.00,0.00,15.43,31.42,19.54,1.35,4.26,12.78,12.72,12.72,7.82,69.46,116.39,79.01,130.07,-186.58,0.00,0.00,581.24
Kamdhenu,532741,KAMDHENU,Steel - Medium / Small,506.30,17.22,19.83,2.34,72.41,68.18,42.53,6.06,10.87,15.23,13.75,0.00,0.00,3.12,25.20,20.67,19.93,17.78,14.73,16.45,12.81,7.46,5.33,15310.00,10.22,63.07,116.62,65.99,9.90,12.90,18.13,9.85,11.13,10.37,191.15,226.33,105.86,25.01,62.62,6.11,-0.60,1363.74
Kamdhenu Venture,543747,KAMOPAINTS,Trading,40.04,,,,,,,,,,,,,,2.67,2.67,2.67,2.67,,,,,,15242.00,0.00,162.88,,,,,97.70,97.70,97.70,97.70,,,,,150.43,,,1258.68
Kanani Industrie,506184,KANANIIND,Diamond Cutting / Jewellery,3.05,1.75,1.95,19.79,2.85,2.85,2.32,12.40,12.10,15.05,15.34,0.00,0.00,0.00,2.52,2.47,2.50,2.76,2.04,1.73,-25.33,0.67,0.56,26018.00,0.00,126.52,128.06,115.17,0.74,0.90,79.80,72.55,82.60,60.00,40.57,54.03,151.00,92.22,108.36,0.00,0.00,60.35
Kanchi Karpooram,538896,,Chemicals,522.20,,,,,,,,,,,,,,0.71,0.71,0.71,0.71,,,,,,16092.00,,39.78,,,,,47.56,47.56,47.56,47.56,364.63,131.72,23.65,,190.31,-0.47,-0.10,226.84
Kanco Tea,541005,,Tea,74.38,6.89,4.12,,120.75,101.66,,6.23,5.05,3.12,,0.00,0.00,0.31,6.24,7.85,7.60,7.56,,6.03,,7.63,,8772.00,6.44,4.34,7.15,7.22,4.05,2.67,3.55,3.39,3.39,2.93,24.08,19.31,,,20.04,0.00,0.00,38.10
Kandagiri Spinng,521242,,Trading,24.37,,,0.38,-16.89,-14.44,133.76,6.38,3.78,1.99,3.34,0.00,0.00,0.00,15.41,5.20,0.42,0.35,,,,-31.06,0.24,2429.00,0.00,384.85,162.38,15.06,-9.32,-2.22,16.01,16.64,16.01,16.01,3.18,8.35,15.78,24.42,-745.02,0.00,0.00,9.38
Kandarp Digi,,KANDARP,Computers - Software - Medium / Small,40.55,8.22,7.98,,,,,,,,,0.00,0.00,0.00,12.07,12.41,12.41,12.41,,,,13.23,,422.00,0.00,228.13,290.67,122.99,4.88,4.47,15.94,15.94,15.94,15.94,,,,,113.91,,,36.39
Kanel Indust.,500236,,Trading,1.50,,,1.84,-3.77,-3.67,-2.31,1.08,0.36,285.67,1510.67,0.00,0.00,0.00,-3.99,-5.05,-6.36,-11.16,,,,,,31909.00,0.00,0.00,11315.00,29.18,-2.17,-2.74,150.00,150.00,150.00,150.00,2.14,3.87,7.36,26.24,292.00,0.00,0.00,2.76
Kanishk Steel,513456,,Steel - Medium / Small,28.30,9.88,11.04,2.84,20.80,18.80,14.96,5.03,4.81,4.34,6.12,0.00,0.00,0.00,14.52,12.12,13.01,12.26,7.21,9.08,-20.52,0.94,1.51,6431.00,0.00,19.67,26.60,33.85,5.87,7.52,5.33,8.37,7.82,7.37,26.13,23.74,18.80,20.68,67.47,0.00,0.00,80.49
Kanoria Chem.,506525,KANORICHEM,Chemicals,127.25,-1.99,-2.83,4.37,134.41,130.12,112.98,4.37,3.88,4.87,4.34,0.00,0.00,0.87,1.91,1.89,2.14,1.84,-1.23,-1.49,,4.83,4.86,13621.00,21.33,45.77,67.74,49.63,-1.18,-1.69,61.62,35.29,33.13,52.99,397.83,272.65,304.98,127.15,55.18,0.16,0.01,556.08
Kanoria Energy,539620,,Cement Products,33.56,10.20,10.81,8.52,7.05,6.43,,2.32,2.17,2.18,2.53,0.00,0.00,0.38,12.25,11.64,10.67,9.82,7.46,9.32,-1.35,7.10,6.64,3559.00,3.87,18.20,18.27,25.54,2.93,3.34,24.58,24.14,24.15,24.40,96.22,106.88,42.34,,115.58,0.00,0.00,286.24
Kanpur Plastipa.,507779,KANPRPLA,Packaging,125.01,,6.15,,73.24,59.80,,3.64,,,,0.00,0.00,2.13,8.24,11.01,11.01,11.01,,,,7.01,,10202.00,15.87,42.86,44.99,,,2.69,17.87,27.81,27.81,27.81,206.77,165.12,224.01,30.08,96.17,0.00,0.00,268.36
Kansai Nerolac,500165,KANSAINER,Paints / Varnishes,302.60,11.76,10.70,80.84,50.13,46.52,19.81,2.56,2.81,3.79,3.63,0.00,0.00,206.67,14.07,15.58,17.62,20.03,13.78,12.47,-0.68,12.98,13.99,93871.00,31.03,61.67,68.79,50.84,8.76,7.68,54.69,53.11,55.10,55.85,32392.59,24710.36,20406.44,6376.74,91.71,1.37,-0.86,24461.57
Kanungo Financi.,540515,,Finance & Investments,6.89,-12.32,-17.66,,10.77,9.62,,,,,1.43,0.00,0.00,0.00,-2.64,-0.65,-0.31,-4.66,-7.88,-9.02,80.97,-198.40,-111.89,634.00,0.00,0.00,0.00,0.00,-3.81,-5.89,12.55,14.81,14.81,14.07,6.49,5.84,,,12202.07,0.00,0.00,3.19
Kapil Cotex,512036,,Textiles - Processing,168.00,6.97,10.40,0.10,30.96,21.63,17.21,,,,,,,0.00,8.19,4.07,3.33,2.56,4.57,5.41,128.29,,,310.00,0.00,0.00,,,2.82,6.10,10.17,10.17,10.17,10.17,2.08,3.22,15.08,10.30,0.00,0.00,0.00,17.47
Kapil Raj Financ,539679,,Finance & Investments,22.50,1.93,0.73,0.51,12.24,11.42,,,,,,0.00,0.00,0.00,0.95,2.62,1.98,2.77,1.79,1.44,13.92,41.01,32.63,1939.00,0.00,0.00,0.00,0.00,1.67,0.48,22.88,23.40,19.55,19.82,5.14,4.23,17.48,,1391.56,0.00,0.00,24.62
Kapston Services,,KAPSTON,Miscellaneous,460.70,14.24,11.59,0.07,50.18,44.13,,0.07,0.06,0.14,,0.00,0.00,0.20,9.00,12.03,15.64,22.59,17.86,16.67,-7.19,5.14,5.72,2650.00,0.00,102.83,109.39,102.96,5.45,3.73,28.81,24.39,24.39,25.27,98.40,80.08,,,118.17,0.00,0.00,467.34
Karma Energy Ltd,533451,KARMAENG,Power Generation And Supply,86.32,-4.24,2.36,1.16,28.14,39.60,37.25,0.01,0.00,0.00,0.03,0.00,0.00,0.00,3.66,2.00,1.94,2.14,-4.30,-3.49,28.92,17.78,22.66,7630.00,0.00,234.43,107.43,124.26,-0.59,1.89,23.86,30.39,28.21,24.52,15.85,19.50,50.21,13.36,212.49,0.00,0.00,99.87
Karnataka Bank,532652,KTKBANK,Banks - Private Sector,230.75,11.20,13.18,31.10,213.67,192.06,108.97,,,,,0.00,0.00,108.82,5.90,5.91,5.96,6.53,10.59,10.30,13.30,59.39,62.29,242125.00,17.86,0.00,0.00,0.00,0.85,1.04,5.07,5.83,5.06,4.53,1899.41,3777.43,3976.72,2698.37,306.05,4.73,17.00,8711.35
Karnavati Financ,538928,,Finance & Investments,2.45,-0.91,-2.08,8.36,1.26,1.25,0.87,0.00,,,,0.00,0.00,0.00,3.99,2.69,4.81,4.44,1.40,0.88,,17.36,35.15,4916.00,0.00,3.04,2.99,0.00,-0.10,-0.49,84.39,49.43,47.86,75.61,15.58,31.76,10.37,,-78.50,0.00,0.00,24.62
Karnika Industri,,KARNIKA,Textiles - Products,297.45,,48.13,,,,,,,,,0.00,,,28.99,28.99,28.99,28.99,,,,,,,0.00,111.38,129.35,,,10.16,27.04,27.04,27.04,27.04,,,,,179.06,,,368.82
Karnimata Cold,537784,,Miscellaneous,10.26,4.92,6.48,0.51,14.50,14.06,12.69,27.00,58.67,21.78,26.12,0.00,0.00,0.00,7.99,7.82,7.96,7.98,3.60,4.46,33.96,32.34,33.25,266.00,0.00,51.05,41.91,47.10,2.11,2.88,7.70,110.25,10.35,8.08,3.05,3.66,5.29,11.26,657.71,0.00,0.00,5.22
Kartik Invest.,501151,,Finance & Investments,824.50,-0.60,-0.62,0.02,134.02,106.15,47.13,,,,,0.00,0.00,0.00,-0.66,-0.61,-0.31,1.30,0.08,-0.32,,-34.48,10.39,139.00,0.00,0.00,0.00,0.00,-0.53,-0.57,,780.49,780.49,,16.93,14.09,6.84,5.37,-161.64,0.00,0.00,20.12
Karur Vysya Bank,590003,KARURVYSYA,Banks - Private Sector,219.27,10.48,13.68,78.05,87.07,82.57,54.40,,,,,0.00,0.00,104.29,5.86,5.72,5.78,6.49,9.79,9.07,38.98,54.68,58.50,207639.00,15.18,0.00,0.00,0.00,0.93,1.27,8.88,11.50,10.78,9.80,4444.17,5699.09,7418.05,4373.62,-16.14,-6.00,15.61,17642.72
Kashyap TeleMed.,531960,,Computers - Software - Medium / Small,2.31,-1.58,-4.92,4.77,0.50,0.50,0.47,,,,,0.00,0.00,0.00,-5.90,-2.74,-1.25,-0.30,0.16,-0.49,,-12.24,3.98,5582.00,,19.21,268.95,219.00,-2.14,-3.84,,,,,3.25,3.25,3.25,1.19,-76.84,0.00,0.00,11.02
Katare Spinning,502933,,Textiles - Cotton/Blended,232.40,-2.92,-1.63,0.28,3.37,9.44,38.46,4.78,11.94,12.31,13.71,0.00,0.00,0.00,0.99,-1.15,0.19,0.48,-4.23,-3.74,,-10.77,-2.79,2246.00,0.00,147.45,65.19,22.93,-3.16,-1.37,12.67,12.18,11.68,11.53,3.78,2.62,5.61,5.56,205.11,0.00,0.00,66.23
Kataria,,KATARIA,Steel - Medium / Small,219.70,,24.59,,,,,,,,,0.00,,,16.00,16.00,16.00,16.00,,,,,,,0.00,56.21,109.30,,,6.10,35.94,35.94,35.94,35.94,,,,,100.46,,,473.04
Kaushalya,,KLL,Trading,102.10,,37.58,,,,,,,,,0.00,0.00,0.00,21.58,22.03,22.03,22.03,,,,1.16,,,0.00,29.29,42.78,,,5.81,0.30,0.30,0.30,0.30,,,,,33.09,,,189.19
Kaushalya Infra.,532925,KAUSHALYA,Hotels,965.00,10.59,19.44,0.03,1308.67,1295.67,2822.00,2.20,0.15,0.06,1.83,0.00,0.00,0.00,14.55,8.63,8.92,1.12,-4.18,15.66,-17.58,-433.33,-845.61,22238.00,0.00,7633.13,755.73,22878.86,6.76,12.97,1.55,1.63,1.63,1.63,4.95,1.95,15.90,15.78,5792.20,0.00,0.00,33.42
Kaveri Seed Co.,532899,KSCL,Miscellaneous,1109.00,20.24,18.10,6.89,206.27,158.91,109.55,0.80,0.80,0.94,0.88,1.53,0.00,17.58,19.13,21.52,21.24,23.06,20.94,20.07,4.39,25.09,25.18,56829.00,6.40,40.96,37.33,38.22,13.16,11.83,12.95,14.90,13.89,12.38,3095.18,2902.99,3854.66,4394.74,175.71,4.05,-6.01,5704.59
Kavveri Telecom,590041,KAVVERITEL,Telecommunications - Equipment,34.51,-13.22,13.72,2.01,14.26,7.89,56.01,0.04,0.02,0.03,0.10,0.00,0.00,0.00,7.35,3.91,1.36,0.20,-27.77,-20.65,,-1108.11,-130.65,10454.00,0.00,1448.06,3432.23,3468.48,0.17,3.67,0.76,0.76,0.76,0.76,3.72,10.36,25.96,28.27,2047.90,-1.53,-13.77,69.43
Kay Cee,,KCEIL,Construction,329.75,,27.11,,,,,,,,,0.00,,,27.81,27.81,27.81,27.81,,,,,,,0.00,45.65,76.74,,,7.31,1.35,1.35,1.35,1.35,,,,,119.08,,,361.41
Kay Power &Paper,530255,,Paper,41.78,41.02,66.89,1.06,0.43,0.38,5.23,3.87,6.09,14.85,5.89,0.00,0.00,0.00,3.60,1.30,15.91,12.41,,,46.39,1.01,0.72,6026.00,0.00,28.18,48.79,32.69,1.01,2.71,13.52,9.74,8.35,12.03,2.92,3.12,4.16,17.56,7.84,0.00,0.00,44.45
Kaya Ltd,539276,KAYA,Miscellaneous,563.80,,,,41.70,62.49,,0.35,0.42,0.28,,0.00,0.00,0.00,-48.95,-32.08,-24.77,-20.42,,,,2.59,2.70,23034.00,0.00,3.76,4.39,4.67,-22.80,-30.08,,130.31,,,387.02,938.13,1015.24,,-128.15,0.52,2.15,736.55
Kaycee Inds.,504084,,Electric Equipment,1988.75,14.42,17.64,0.30,49.47,47.30,39.87,3.79,3.52,2.85,1.85,1.37,0.00,0.34,21.37,17.43,16.32,11.60,9.51,13.46,13.48,10.66,7.05,1462.00,13.90,118.52,164.65,120.65,9.63,12.20,19.59,19.33,18.30,17.95,16.20,19.63,10.82,7.76,108.84,0.00,0.00,631.13
Kaynes Tech,543664,KAYNES,Electronics - Components,4353.40,,12.94,,,,,1.84,,,,0.00,0.00,0.00,20.56,18.78,18.78,18.78,,,,13.66,,60583.00,0.00,82.59,105.65,,,8.38,118.95,118.95,118.95,118.95,,,,,133.46,,,27866.45
KBC Global,541161,KBCGLOBAL,Construction,1.87,-0.30,-2.23,,2.00,1.68,,0.00,0.00,0.00,,0.00,0.00,0.12,4.69,9.73,11.94,12.87,,0.94,,8.85,,118933.00,0.00,691.67,163.05,39.00,2.00,-0.04,37.84,22.11,22.11,38.75,744.76,238.01,,,6968.85,-6.18,-2.11,279.25
KBS India,530357,,Finance & Investments,9.01,0.56,0.74,8.52,2.89,2.89,2.85,,,,,0.00,0.00,0.00,1.21,1.01,1.23,1.06,0.52,0.70,-17.61,-38.13,-31.25,3285.00,0.00,30.96,22.29,0.00,0.54,0.74,23.08,15.86,18.50,23.50,3.83,3.92,2.73,5.28,632.08,4.39,0.00,97.50
KCD Industries,540696,,Construction,8.92,,,,,,,,,,,,,,15.43,15.43,15.43,15.43,,,,,,2558.00,,135.79,,,,,15.85,15.85,15.85,15.85,18.80,9.58,,,560.30,0.00,0.00,22.56
KCK Industries,,KCK,Food - Processing - Indian,204.95,15.37,16.88,0.02,,,,16.73,0.00,,,0.00,0.00,0.00,10.49,10.31,9.89,8.45,,15.41,-4.25,3.68,,254.00,0.00,19.54,140.33,102.08,2.13,2.76,11.89,11.89,11.89,11.89,,,,,131.31,,,188.96
KCL Infra,531784,,Construction,1.44,2.02,2.20,26.33,0.73,0.73,0.69,0.72,2.56,4.16,1.16,0.00,0.00,0.00,4.61,4.11,4.00,3.55,1.65,1.90,3.26,-1.59,-2.64,11119.00,0.00,225.78,1116.52,200.27,1.27,1.44,45.38,50.00,39.00,37.40,13.43,12.11,13.43,15.27,765.06,0.00,0.00,24.32
KCP Sugar &Inds.,533192,KCPSUGIND,Sugar,50.80,5.34,6.79,11.34,27.63,25.51,20.42,0.85,0.83,1.37,1.40,0.00,0.00,1.59,7.84,6.55,6.32,6.44,5.34,4.92,21.58,2.56,2.93,47389.00,13.02,30.74,51.44,28.87,2.76,3.77,8.30,9.18,9.18,9.18,166.68,185.95,431.43,204.09,261.74,0.01,-0.01,576.00
KDDL Ltd,532054,KDDL,Miscellaneous,3408.90,12.53,16.11,0.99,146.47,146.27,52.05,1.37,1.56,1.57,1.60,0.00,0.00,3.10,17.32,13.72,14.23,13.64,12.13,12.71,4.60,14.95,12.84,13917.00,7.21,19.73,27.15,18.19,4.85,7.84,34.39,31.76,34.09,34.26,334.41,551.51,226.50,72.27,102.08,-7.92,-7.63,4273.78
Keerthi Indus,518011,,Cement - South India,120.40,2.26,-3.37,0.80,91.85,68.81,38.62,5.79,6.18,4.58,5.86,0.00,0.00,0.63,1.89,8.60,8.56,12.45,11.19,3.55,,7.55,10.74,12967.00,2.56,9.79,8.41,6.95,1.57,-1.06,9.18,10.84,11.72,9.57,75.08,48.62,148.99,5.77,7.23,0.00,0.00,96.56
KEI Industries,517569,KEI,Cables - Power,4246.20,19.66,19.97,7.72,196.84,168.34,39.34,3.42,4.01,4.03,3.58,0.00,0.00,22.51,25.63,25.18,25.51,25.17,20.24,20.42,-5.09,10.35,10.27,108749.00,5.70,76.86,117.80,94.52,11.09,12.80,33.30,19.05,23.43,28.86,4709.60,3357.88,1421.36,92.54,88.65,12.66,-9.36,38318.32
Kellton Tech,519602,KELLTONTEC,Computers - Software - Medium / Small,155.52,16.69,15.94,8.28,43.63,43.20,5.17,0.00,0.00,0.00,26.52,0.00,0.00,0.48,15.76,17.29,21.27,23.64,20.34,18.97,-9.63,12.19,12.92,116164.00,0.00,99.46,96.87,80.88,10.66,10.68,10.54,9.80,8.22,8.95,693.95,385.05,627.57,31.52,167.27,-0.11,-0.30,1514.79
