Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Average return on equity 3Years,Number of equity shares 10years back,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization
Bohra Industries,,BOHRAIND,Fertilizers,13.11,,-6.74,0.90,-9.59,-7.79,,0.00,1.73,1.98,1.77,,0.00,0.00,-4.62,-12.64,-10.50,-3.22,,,14.07,,,,0.00,0.00,,270.96,-11.78,-4.06,,9.91,6.23,0.91,2.51,17.53,,,0.00,,,18.74
Bombay Burmah,501425,BBTC,Auto Ancillaries,2196.55,-6.49,-17.57,6.98,784.90,730.13,224.48,7.85,8.44,8.72,9.60,0.00,0.00,8.38,19.76,21.29,22.06,24.52,1.02,-2.16,1.99,13.79,13.55,40495.00,4.64,9.44,8.52,14.68,4.07,-0.91,16.89,15.83,20.11,15.75,7747.47,9065.46,5953.99,684.81,1.29,1.17,0.30,15325.75
Bombay Cycle,501430,,Diversified - Medium / Small,1923.45,10.48,10.28,0.04,529.50,484.50,259.50,14.80,12.40,40.80,13.15,0.00,0.00,0.20,13.44,13.81,14.70,16.19,11.56,11.15,-3.61,24.92,21.83,1325.00,8.38,14.88,144.77,19.02,8.17,7.99,13.72,15.90,13.85,13.12,17.47,36.10,30.70,19.90,120.07,0.00,-0.46,76.94
Bombay Dyeing,500020,BOMDYEING,Textiles - Manmade,223.73,,,20.65,-9.49,2.86,76.13,0.30,0.51,3.07,1.64,0.00,0.00,5.78,2.62,3.34,11.59,10.31,,,,4.47,14.97,140726.00,0.28,33.82,200.07,90.00,-6.95,-10.06,,20.32,6.08,1.34,1449.87,2787.19,1714.24,1143.17,134.60,0.70,-2.33,4620.81
Bombay Metrics,,BMETRICS,Trading,122.00,28.87,25.23,,,,,93.21,176.86,,,0.00,0.00,0.13,32.33,48.24,61.77,61.77,,,-22.01,4.71,,309.00,9.02,96.97,27.18,68.73,10.01,7.68,54.30,54.30,54.30,54.30,,,,,38.99,,,75.11
Bombay Oxygen,509470,,Finance & Investments,31486.55,8.01,8.30,0.01,20142.00,11573.33,13274.00,,34.00,1.83,6.17,0.00,0.00,0.27,9.31,8.41,6.18,4.89,5.14,6.44,32.02,81.27,53.03,2906.00,2.10,24.33,2.82,18.57,6.76,7.52,5.68,6.84,6.78,6.74,165.37,331.87,85.21,76.49,297.39,0.00,0.00,472.30
Bombay Super Hyb,,BSHSL,Miscellaneous,196.61,29.30,33.12,3.20,2.76,2.22,,2.71,3.23,6.51,,0.00,0.00,0.00,21.58,18.53,17.07,16.08,,27.97,18.74,8.27,6.86,14706.00,0.00,19.59,16.01,14.83,11.55,13.98,102.47,51.27,51.27,43.42,146.76,84.63,,,156.82,0.00,0.00,2063.17
Bombay Talkies,511246,,Finance & Investments,8.00,-1.88,-2.35,,1.05,1.06,,0.03,0.04,-0.97,,0.00,0.00,0.00,-2.21,-1.81,-0.48,-0.56,,-0.52,,-56.84,,1630.00,0.00,506.28,2433.33,202.78,-1.89,-2.35,,,,,9.34,9.34,9.34,1.08,6650.26,0.00,0.00,43.20
Bombay Wire,504648,,Steel - Medium / Small,76.23,-8.88,-13.48,0.53,12.79,,,,,,,,,0.00,-4.34,-2.96,-1.89,-2.23,-5.84,-6.25,,,,1916.00,0.00,0.00,,,-8.36,-13.35,838.75,350.75,350.75,350.75,1.16,,,,121.67,0.00,-3.37,40.70
Bondada Engineer,543971,,Engineering - Turnkey Services,2817.45,28.26,29.62,,,,,1.61,2.17,,,0.00,0.00,0.14,25.34,23.35,23.35,23.35,,,,7.55,,,1.16,102.15,107.57,74.28,8.07,8.91,74.60,74.60,74.60,74.60,,,,,92.77,,,6086.27
