Name,BSE Code,NSE Code,Industry,Current Price,Sales,OPM,Profit after tax,Return on capital employed,EPS,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year,Dividend last year,Material cost last year,Employee cost last year,OPM last year,NPM last year,Operating profit,Interest,Depreciation,EPS last year,EBIT,Net profit,Current Tax,Tax,Other income,Last annual result date,Sales preceding year,Operating profit preceding year,Other income preceding year,EBIDT preceding year,Depreciation preceding year,EBIT preceding year,Interest preceding year,Profit before tax preceding year,Tax preceding year,Profit after tax preceding year,Extraordinary items preceding year,Net Profit preceding year,Dividend preceding year,OPM preceding year,NPM preceding year,EPS preceding year,Sales preceding 12months,Net profit preceding 12months,Market Capitalization
Gemstone Invest.,531137,,Finance & Investments,2.04,2.11,23.70,0.35,2.06,0.05,0.00,2.11,0.50,0.00,0.50,0.00,0.50,0.01,0.49,0.13,0.35,0.00,0.35,0.00,0.00,0.05,23.70,16.59,0.50,0.01,0.00,0.05,0.50,0.35,0.13,0.13,0.00,202403.00,1.19,0.28,0.00,0.28,0.01,0.27,0.00,0.27,0.04,0.23,0.00,0.23,0.00,23.53,19.33,0.03,1.87,0.61,15.25
General Insuranc,540755,GICRE,Finance & Investments,409.85,45374.94,14.86,6685.88,15.78,38.11,0.00,45374.94,6742.98,1181.93,7924.91,0.00,7924.91,0.00,7924.91,1416.76,6685.88,0.00,6685.88,1754.40,0.00,223.17,14.86,14.73,6742.98,0.00,0.00,38.11,7924.91,6685.88,1416.76,1416.76,1181.93,202403.00,46638.29,6928.70,1112.17,8040.87,9.69,8031.18,0.00,8031.18,1454.02,6907.31,0.00,6907.31,1263.17,14.86,14.81,39.37,45776.66,6834.63,71904.08
Generic Engineer,539407,GENCON,Construction,53.36,289.36,9.68,11.14,6.62,2.10,0.00,289.36,28.02,3.94,31.96,10.77,21.19,9.94,11.25,0.11,11.14,0.00,11.14,0.00,85.56,3.79,9.68,3.85,28.02,9.94,10.77,2.10,21.19,11.14,2.85,0.11,3.94,202403.00,272.54,41.45,1.37,42.82,11.37,31.45,11.41,20.04,4.73,15.31,0.00,15.31,0.27,15.21,5.62,2.89,235.77,13.68,283.00
Genesis IBRC,514336,,Miscellaneous,15.10,0.00,,-3.80,-54.83,-2.92,0.00,0.00,-3.80,0.00,-3.80,0.00,-3.80,0.00,-3.80,0.00,-3.80,0.00,-3.80,0.00,,0.04,,,-3.80,0.00,0.00,-2.92,-3.80,-3.80,0.00,0.00,0.00,202403.00,0.00,-0.14,0.00,-0.14,0.00,-0.14,0.00,-0.14,0.00,-0.14,0.00,-0.14,0.00,,,-0.11,0.00,-0.15,19.63
Genesys Intl.,506109,GENESYS,Computers - Software - Medium / Small,721.20,198.24,40.63,21.61,8.40,5.58,-0.05,198.24,80.54,5.03,85.57,44.48,41.09,3.91,37.18,15.56,21.61,0.00,21.61,0.00,0.00,45.05,40.63,10.90,80.54,3.91,44.48,5.58,41.09,21.61,10.32,15.56,5.03,202403.00,181.13,58.64,6.50,63.20,37.21,25.99,2.94,24.99,10.06,13.74,1.94,14.93,0.00,32.37,7.59,5.05,173.70,8.84,2855.85
Gennex Lab.,531739,,Pharmaceuticals - Indian - Bulk Drugs,14.24,91.62,23.95,13.18,13.83,0.58,0.00,91.62,21.94,0.00,21.94,2.37,19.57,3.08,16.49,3.32,13.18,0.00,13.18,0.00,53.32,7.79,23.95,14.39,21.94,3.08,2.37,0.58,19.57,13.18,3.41,3.32,0.00,202403.00,65.61,4.69,3.95,8.59,0.92,7.67,1.35,6.37,1.45,4.88,0.05,4.92,0.00,7.15,7.44,0.28,76.89,10.72,323.89
Genomic Valley,539206,,Miscellaneous,54.43,0.27,48.15,0.13,0.57,0.43,-0.06,0.17,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.02,0.00,0.00,0.04,11.76,11.76,0.13,0.00,0.00,0.07,0.13,0.13,0.00,0.00,0.00,202403.00,2.72,0.88,-0.22,0.92,0.01,0.91,0.00,0.65,0.00,0.91,-0.26,0.65,0.00,32.35,33.46,2.13,0.17,0.03,16.63
Genpharmasec,531592,,Trading,2.25,30.41,0.13,-0.13,1.52,0.00,0.00,30.41,0.04,0.66,0.70,0.04,0.66,0.41,0.25,0.42,-0.13,0.00,-0.17,0.00,79.68,0.78,0.13,-0.56,0.04,0.41,0.04,0.00,0.66,-0.17,0.00,0.42,0.66,202403.00,25.52,0.26,0.10,0.36,0.02,0.34,0.06,0.28,-0.84,1.12,0.00,1.12,0.00,1.02,4.39,0.02,,,124.59
Gensol Engineer.,542851,GENSOL,Engineering - Turnkey Services,1002.90,963.10,23.63,53.52,14.56,15.73,0.15,963.10,227.60,32.70,260.39,74.25,186.14,108.15,77.90,24.44,53.52,-0.09,53.46,0.00,67.15,40.86,23.63,5.56,227.60,108.15,74.25,15.73,186.14,53.46,0.04,24.44,32.70,202403.00,392.65,58.46,4.37,63.15,11.35,51.80,16.86,34.62,9.83,25.02,-0.32,24.79,0.00,14.89,6.37,6.79,728.21,40.70,3798.27
Genus Paper & Bo,538961,GENUSPAPER,Paper,22.79,711.84,8.26,3.46,4.34,0.13,0.01,711.84,58.77,1.80,60.57,26.03,34.54,31.62,2.92,-0.54,3.46,0.00,3.46,0.00,70.19,26.66,8.26,0.49,58.77,31.62,26.03,0.13,34.54,3.46,0.12,-0.54,1.80,202403.00,721.65,32.28,2.28,34.56,27.26,7.30,18.65,-11.35,0.41,-11.76,0.00,-11.76,0.00,4.47,-1.63,-0.46,750.77,2.82,585.99
Genus Power,530343,GENUSPOWER,Electronics - Components,380.25,1353.02,12.65,98.29,9.74,3.38,0.00,1200.58,134.98,55.88,190.86,21.25,169.61,57.69,111.92,36.74,75.17,0.00,75.17,0.00,59.76,165.06,11.24,6.26,171.10,66.17,22.53,2.47,207.46,98.29,46.05,42.98,58.89,202403.00,808.39,78.96,18.22,97.33,18.73,78.60,28.18,50.27,15.28,35.08,-0.15,34.98,19.32,9.77,4.34,1.36,1199.97,75.16,11550.27
Genus Prime,532425,,Construction,30.08,0.23,-869.57,-2.00,-2.80,-1.34,0.00,0.23,-2.00,0.00,-2.00,0.00,-2.00,0.00,-2.00,0.00,-2.00,0.00,-2.00,0.00,0.00,0.10,-869.57,-869.57,-2.00,0.00,0.00,-1.34,-2.00,-2.00,0.00,0.00,0.00,202403.00,0.22,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-4.55,-4.55,-0.01,0.24,-1.99,44.90
Geojit Fin. Ser.,532285,GEOJITFSL,Finance & Investments,110.80,685.36,39.59,168.34,18.79,7.04,0.00,623.29,237.16,0.68,237.61,28.97,208.64,16.89,191.98,48.76,144.69,0.23,149.38,35.86,0.00,220.78,38.05,23.94,271.35,23.39,29.21,6.06,245.96,173.11,56.29,55.69,3.82,202403.00,446.89,155.29,0.56,156.03,28.84,127.19,8.07,118.94,22.48,97.32,-0.18,100.97,35.86,34.75,22.63,4.06,614.14,149.38,2649.72
Getalong Enterp.,543372,,Miscellaneous,191.00,1.68,280.95,1.26,32.49,-9.50,-2.66,1.68,4.72,-6.43,4.94,0.02,4.92,0.09,-1.82,0.09,1.26,-6.65,-1.90,0.00,0.00,0.27,280.95,75.00,4.72,0.09,0.02,-9.50,4.92,-1.90,0.07,0.09,-6.43,202403.00,0.67,0.10,0.72,0.29,0.01,0.28,0.08,0.73,0.14,0.36,0.53,0.59,0.00,14.93,53.73,3.23,,,38.20
GFL,500173,GFLLIMITED,Finance & Investments,77.64,3.20,-271.88,-7.57,-0.31,-0.69,0.00,3.20,-8.70,0.54,-8.16,0.02,-8.18,0.00,-8.18,-0.61,-7.57,0.00,-7.57,0.00,0.00,0.63,-271.88,-236.56,-8.70,0.00,0.02,-0.69,-8.18,-7.57,0.31,-0.61,0.54,202403.00,2453.72,2419.77,-47.36,-30.48,0.02,-30.50,0.00,2372.39,137.40,-30.50,2402.89,2234.99,0.00,98.62,-1.24,204.58,3.20,2271.13,852.88
GHCL,500171,GHCL,Chemicals,628.45,3257.74,23.47,518.18,20.63,54.15,0.00,3446.54,850.58,269.61,876.37,102.10,774.27,26.63,991.46,197.56,598.75,243.82,793.90,114.86,37.30,115.25,24.68,17.37,764.47,22.44,105.14,82.94,719.91,518.18,172.81,179.29,60.58,202403.00,4550.89,1502.74,118.92,1524.49,94.22,1430.27,38.67,1488.77,347.20,1087.13,97.17,1141.57,167.28,33.02,23.89,119.41,3445.87,793.88,6017.71
GHCL Textiles,543918,GHCLTEXTIL,Textiles - Spinning - Synthetic / Blended,104.62,1078.52,8.88,32.69,5.71,3.42,0.00,1053.87,84.20,5.63,88.94,47.36,41.58,7.92,34.55,9.50,24.40,0.89,25.05,4.78,69.21,62.15,7.99,2.32,95.72,6.77,49.36,2.62,51.37,32.69,1.02,11.91,5.01,202403.00,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,,,,1053.87,25.05,1000.02
Gian Lifecare,542918,,Healthcare,24.28,13.12,47.10,4.30,29.13,4.16,-15.65,13.12,6.18,0.64,6.82,0.46,6.36,0.45,5.91,1.61,4.30,0.00,4.30,0.00,13.41,0.91,47.10,32.77,6.18,0.45,0.46,4.16,6.36,4.30,1.61,1.61,0.64,202403.00,11.92,2.02,0.69,2.71,0.50,2.21,0.43,1.78,0.53,1.26,0.00,1.26,0.00,16.95,10.57,1.22,10.07,1.19,25.11
GIC Housing Fin,511676,GICHSGFIN,Finance - Housing,251.20,1059.87,86.79,146.43,8.54,28.07,0.00,1059.87,919.85,9.77,923.25,15.02,908.23,710.69,203.91,52.75,146.43,6.37,151.16,24.25,0.00,63.70,86.79,13.82,919.85,710.69,15.02,28.07,908.23,151.16,42.50,52.75,9.77,202403.00,1122.76,996.55,6.12,998.44,9.94,988.50,702.93,289.80,76.60,210.09,4.23,213.20,24.25,88.76,18.71,39.59,1078.30,149.86,1352.71
Gilada Finance,538788,,Finance & Investments,10.49,6.25,53.92,1.70,11.90,1.21,0.00,6.25,3.37,0.28,3.65,0.03,3.62,1.29,2.33,0.63,1.70,0.00,1.70,0.00,0.00,1.31,53.92,27.20,3.37,1.29,0.03,1.21,3.62,1.70,0.63,0.63,0.28,202403.00,5.57,2.54,0.24,2.78,0.03,2.75,0.70,2.05,0.53,1.52,0.00,1.52,0.00,45.60,27.29,1.08,5.52,2.14,14.74
Gillanders Arbut,532716,GILLANDERS,Diversified - Medium / Small,87.48,360.45,-10.06,-53.18,-8.24,-24.92,0.00,363.28,-33.53,13.55,-19.90,11.76,-31.66,14.28,-46.02,2.60,-48.54,-0.08,-48.62,0.00,29.93,133.53,-9.23,-13.36,-36.25,13.77,11.40,-22.78,-36.87,-53.18,0.00,2.54,10.78,202403.00,449.03,11.95,30.25,31.13,11.97,19.16,18.04,12.19,-2.63,3.75,11.07,14.82,0.00,2.66,0.84,6.94,363.28,-48.62,186.68
Gillette India,507815,GILLETTE,Personal Care - Multinational,7981.90,2607.19,22.88,387.48,52.01,118.91,0.00,2477.05,539.70,21.66,561.88,80.69,481.19,7.77,472.90,117.22,356.06,-0.52,355.68,277.02,47.97,170.56,21.79,14.37,596.55,9.11,83.08,109.15,539.77,387.48,153.93,143.18,26.30,202306.00,2256.16,482.86,7.36,490.60,68.36,422.24,10.53,411.33,122.00,289.60,-0.38,289.33,224.87,21.40,12.84,88.79,2545.52,391.09,26013.01
Gini Silk Mills,531744,,Textiles - Processing,124.50,43.73,5.88,2.75,7.23,5.44,0.00,43.73,2.57,3.07,5.27,1.39,3.88,0.77,3.48,0.45,2.75,0.37,3.04,0.00,31.81,4.50,5.88,6.29,2.57,0.77,1.39,5.44,3.88,3.04,0.70,0.45,3.07,202403.00,46.18,2.25,1.69,3.93,1.37,2.56,0.69,1.88,0.35,1.52,0.01,1.53,0.00,4.87,3.29,2.74,44.45,3.41,69.60
Ginni Filaments,590025,GINNIFILA,Textiles - Cotton/Blended,30.78,491.70,2.25,-10.26,2.02,-8.83,0.00,350.87,22.28,-83.14,23.10,14.94,8.16,12.45,-88.25,-3.76,-0.53,-83.96,-84.49,0.00,55.79,27.64,6.35,-0.15,11.06,16.09,18.87,-9.86,-3.63,-75.63,-0.48,-9.46,-61.19,202403.00,953.17,22.48,3.65,26.06,29.14,-3.08,22.72,-25.73,-11.40,-14.40,0.07,-14.33,0.00,2.36,-1.51,-1.67,496.79,-84.49,263.63
Giriraj Civil,,GIRIRAJ,Construction,379.00,134.67,10.76,10.12,19.75,4.23,0.00,134.67,14.49,2.47,16.96,1.12,15.84,2.66,13.18,3.04,10.12,0.00,10.12,0.00,56.59,6.35,10.76,7.51,14.49,2.66,1.12,4.23,15.84,10.12,3.00,3.04,2.47,202403.00,95.13,7.33,1.17,7.78,0.48,7.30,2.11,5.91,1.41,3.94,0.72,4.50,0.00,7.71,4.14,2.23,,,906.59
Gita Renewable,539013,,Power Generation And Supply,176.60,0.87,42.53,0.36,2.71,0.88,0.00,0.87,0.37,0.00,0.37,0.00,0.37,0.01,0.36,0.00,0.36,0.00,0.36,0.00,0.00,0.23,42.53,41.38,0.37,0.01,0.00,0.88,0.37,0.36,0.00,0.00,0.00,202403.00,0.21,-0.79,8.66,1.96,0.00,1.96,0.01,7.86,0.00,1.95,5.91,7.86,0.00,-376.19,928.57,19.11,0.66,0.15,72.62
GKB Ophthalmics,533212,,Personal Care - Indian,114.65,88.25,0.58,-2.85,-1.19,-5.57,0.02,88.25,0.51,1.51,1.98,2.90,-0.92,1.90,-2.78,0.21,-2.85,0.04,-2.98,0.00,67.68,13.80,0.58,-3.42,0.51,1.90,2.90,-5.57,-0.92,-2.98,0.17,0.21,1.51,202403.00,75.47,3.68,0.96,4.58,2.83,1.75,1.67,0.14,0.02,0.13,0.06,0.11,0.00,4.88,0.17,-0.34,86.66,-4.17,57.79
GKW,,GKWLIMITED,Finance & Investments,3375.15,38.77,51.33,13.84,0.84,23.08,0.00,38.77,19.90,0.33,20.22,1.13,19.09,0.01,19.09,5.24,13.84,0.01,13.85,0.00,0.00,2.71,51.33,35.70,19.90,0.01,1.13,23.08,19.09,13.85,3.32,5.24,0.33,202403.00,20.33,13.56,0.36,13.92,1.00,12.92,0.01,12.91,4.15,8.77,0.00,8.77,0.00,66.70,43.14,14.62,33.68,17.93,2014.96
Glance Finance,531199,,Finance & Investments,111.50,24.07,47.15,2.37,10.95,10.51,0.00,23.23,10.55,0.00,10.55,6.11,4.44,1.12,3.32,1.38,1.94,0.00,1.94,0.00,50.41,0.47,45.42,8.35,11.35,0.95,6.38,8.60,4.97,2.37,2.39,1.66,0.00,202403.00,8.21,4.98,0.08,5.06,4.36,0.70,1.02,-0.32,-0.03,-0.29,0.00,-0.29,0.00,60.66,-3.53,-1.29,23.23,1.95,25.15
Gland Pharma,543245,GLAND,Pharmaceuticals - Indian - Formulations,2126.65,5664.72,23.53,772.46,13.58,46.90,-6.03,5664.72,1333.07,170.24,1503.31,344.57,1158.74,26.20,1132.54,360.08,772.46,0.00,772.46,329.40,38.36,1256.89,23.53,13.64,1333.07,26.20,344.57,46.90,1158.74,772.46,345.75,360.08,170.24,202403.00,3624.60,1024.85,183.92,1262.46,146.74,1115.72,7.45,1054.58,273.54,820.62,-53.69,781.04,0.00,28.27,22.64,47.42,4912.28,658.72,35036.93
Glaxosmi. Pharma,500660,GLAXO,Pharmaceuticals - Multinational,2820.25,3506.70,28.38,770.22,51.33,37.78,0.00,3453.71,908.69,-21.02,981.62,69.68,911.94,1.80,816.19,226.23,656.56,-93.95,589.96,542.11,38.64,626.04,26.31,19.01,995.35,1.89,69.73,34.83,1047.41,640.04,247.92,244.57,-39.12,202403.00,3251.72,804.28,102.74,874.14,65.77,808.37,1.81,839.44,228.76,589.64,32.88,610.69,542.11,24.73,18.13,36.05,3453.71,589.96,47776.74
Gleam Fabmat,542477,,Trading,5.41,0.65,-9.23,0.08,0.60,0.08,0.00,0.65,-0.06,0.17,0.11,0.02,0.09,0.00,0.09,0.01,0.08,0.00,0.08,0.00,95.38,0.01,-9.23,12.31,-0.06,0.00,0.02,0.08,0.09,0.08,0.01,0.01,0.17,202403.00,0.00,-0.04,0.00,-0.04,0.00,-0.04,0.00,-0.04,0.01,-0.06,0.00,-0.06,0.00,,-0.24,-0.06,,,5.42
Glenmark Life,543322,GLS,Pharmaceuticals - Indian - Bulk Drugs & Formln,884.00,2293.38,27.93,446.93,28.08,36.48,0.00,2283.21,674.25,12.04,686.29,53.45,632.84,1.55,631.29,160.40,470.89,0.00,470.89,275.74,43.89,258.16,29.53,20.62,640.57,1.50,55.23,38.43,601.02,446.93,146.13,152.61,15.68,202403.00,2161.22,642.85,28.40,671.81,42.09,629.72,0.55,628.61,161.65,467.37,-0.56,466.96,514.71,29.74,21.63,38.11,2283.21,470.90,10831.40
Glenmark Pharma.,532296,GLENMARK,Pharmaceuticals - Indian - Bulk Drugs & Formln,1443.05,11813.10,10.12,-2797.24,12.35,-53.22,0.01,11813.10,1195.34,336.36,2035.33,581.91,1453.42,515.97,433.82,1867.34,-2797.24,-503.63,-1433.52,70.55,37.36,2868.14,10.12,-23.68,1195.34,515.97,581.91,-53.22,1453.42,-1433.52,1115.55,1867.34,336.36,202403.00,12990.11,2278.37,-449.07,2589.43,611.27,1978.16,349.58,868.45,491.05,505.13,-760.13,377.41,70.55,17.54,4.94,10.53,11750.66,-622.39,40721.16
Glittek Granites,513528,,Miscellaneous,4.88,6.93,-59.16,-6.14,-15.19,-2.37,0.00,6.93,-4.10,0.13,-3.97,0.46,-4.43,1.71,-6.14,0.00,-6.14,0.00,-6.14,0.00,79.65,2.07,-59.16,-88.60,-4.10,1.71,0.46,-2.37,-4.43,-6.14,0.00,0.00,0.13,202403.00,13.42,1.27,0.41,1.62,0.85,0.77,1.69,-0.86,-0.08,-0.84,0.06,-0.78,0.00,9.46,-6.26,-0.30,11.21,-2.54,12.67
Global Cap.Mkt.,530263,,Finance & Investments,0.92,1.20,6.67,0.01,0.02,0.00,0.00,1.20,0.08,0.00,0.08,0.07,0.01,0.01,0.00,0.00,0.01,0.00,0.01,0.00,19.17,0.35,6.67,0.83,0.08,0.01,0.07,0.00,0.01,0.01,0.00,0.00,0.00,202403.00,19.48,0.00,0.01,0.01,0.07,-0.06,0.03,-0.09,0.08,-0.18,0.00,-0.18,0.00,0.00,-0.92,0.00,-1.14,-1.24,36.64
Global Education,,GLOBAL,Miscellaneous,187.54,71.64,60.25,30.41,54.60,14.96,0.00,71.64,43.16,2.32,45.43,4.18,41.25,0.01,41.29,10.85,30.41,0.05,30.45,10.18,15.31,4.37,60.25,42.45,43.16,0.01,4.18,14.96,41.25,30.45,11.11,10.85,2.32,202403.00,61.99,34.48,2.23,36.71,6.29,30.42,0.01,30.41,7.73,22.69,0.00,22.69,5.09,55.62,36.60,11.14,76.20,34.77,381.84
Global Health,543654,MEDANTA,Healthcare,1210.05,3275.11,24.40,478.06,19.32,17.81,0.00,3275.11,799.08,74.66,873.74,172.73,701.01,73.91,627.10,149.04,478.06,0.00,478.06,0.00,23.19,734.86,24.40,14.60,799.08,73.91,172.73,17.81,701.01,478.06,178.97,149.04,74.66,202403.00,2694.25,621.31,64.23,686.22,149.91,536.31,86.33,449.30,123.21,326.57,-0.68,326.08,0.00,23.06,12.12,12.16,3160.49,451.78,32495.58
Global Longlife,543520,,Healthcare,31.05,13.51,-2.29,-2.19,-2.04,-2.09,0.00,13.51,-0.31,0.06,-0.25,1.25,-1.50,0.77,-2.27,-0.08,-2.19,0.00,-2.19,0.00,9.03,3.34,-2.29,-16.21,-0.31,0.77,1.25,-2.09,-1.50,-2.19,0.00,-0.08,0.06,202403.00,23.38,4.08,0.24,4.32,1.17,3.15,0.45,2.70,0.88,1.83,0.00,1.83,0.00,17.45,7.83,1.74,,,32.60
Global Offshore,501848,,Shipping,92.77,39.21,-3.32,-13.60,-5.63,14.49,-0.82,39.21,-1.30,61.62,6.38,14.67,-8.29,6.00,39.65,1.98,-13.60,53.94,37.67,0.00,0.00,5.12,-3.32,-36.47,-1.30,6.00,14.67,14.49,-8.29,37.67,1.98,1.98,61.62,202403.00,51.01,-13.35,437.32,-13.17,31.15,-44.32,8.89,383.93,1.36,-44.80,437.14,382.57,0.00,-26.17,-106.43,127.65,43.38,599.94,229.42
Global Pet Indus,,GLOBALPET,Engineering,94.00,39.15,4.57,1.82,27.29,2.10,0.00,39.15,1.79,1.20,2.65,0.15,2.50,0.00,2.84,0.78,1.82,0.34,2.06,0.00,64.09,6.19,4.57,4.65,1.79,0.00,0.15,2.10,2.50,2.06,0.85,0.78,1.20,202403.00,34.37,1.77,1.19,2.50,0.23,2.27,0.04,2.69,0.69,1.66,0.46,2.00,0.00,5.15,4.83,2.82,,,92.00
Global Surfaces,543829,GSLSU,Miscellaneous,204.47,225.29,15.52,18.70,6.58,4.41,0.00,225.29,34.96,3.72,38.68,8.93,29.75,4.50,25.25,5.48,18.70,0.00,19.78,0.00,52.63,15.41,15.52,8.78,34.96,4.50,8.93,4.41,29.75,19.78,5.26,5.48,3.72,202403.00,178.07,35.51,2.78,38.23,9.43,28.80,3.57,25.29,1.06,24.19,0.06,24.23,0.00,19.94,13.58,5.72,156.27,14.70,866.58
Global Vectra,532773,GLOBALVECT,Transport - Airlines,292.10,502.73,17.06,1.21,7.33,0.86,0.00,502.73,85.77,21.94,107.71,71.75,35.96,33.62,2.34,1.13,1.21,0.00,1.21,0.00,0.00,113.04,17.06,0.24,85.77,33.62,71.75,0.86,35.96,1.21,0.00,1.13,21.94,202403.00,411.12,41.73,36.16,69.31,75.41,-6.10,20.90,-18.42,-1.79,-25.21,8.58,-16.63,0.00,10.15,-6.13,-11.88,462.87,5.12,408.94
Globalspace Tech,540654,,Computers - Software - Medium / Small,22.97,29.05,16.52,0.33,2.84,-1.03,-0.02,29.05,4.80,-3.74,4.92,3.11,1.81,1.76,-3.81,-0.28,0.33,-3.86,-3.53,0.00,64.44,1.09,16.52,1.14,4.80,1.76,3.11,-1.03,1.81,-3.53,0.00,-0.28,-3.74,202403.00,19.27,6.12,0.22,6.19,3.65,2.54,2.19,0.50,-0.02,0.40,0.15,0.52,0.00,31.76,2.08,0.15,29.14,0.60,78.95
Globe Commercial,540266,,Trading,22.10,162.36,2.55,3.05,33.59,5.08,0.00,162.36,4.14,0.04,4.18,0.00,4.18,0.00,4.18,1.13,3.05,0.00,3.05,0.00,96.70,0.40,2.55,1.88,4.14,0.00,0.00,5.08,4.18,3.05,1.13,1.13,0.04,202403.00,139.72,3.22,0.04,3.26,0.00,3.26,0.00,3.26,0.88,2.38,0.00,2.38,0.00,2.30,1.70,3.97,144.80,2.86,13.26
Globe Intl. Car.,538385,GICL,Miscellaneous,74.80,114.50,4.86,2.47,10.98,0.99,-12.64,114.50,5.57,0.02,5.59,0.28,5.31,2.02,3.29,0.82,2.47,0.00,2.47,0.00,0.00,1.95,4.86,2.16,5.57,2.02,0.28,0.99,5.31,2.47,0.83,0.82,0.02,202403.00,113.71,4.91,0.17,5.08,0.28,4.80,2.23,2.57,0.70,1.86,0.00,1.86,0.50,4.32,1.64,0.75,,,186.40
Globe Textiles,,GLOBE,Textiles - Products,5.73,428.22,4.69,5.75,12.27,0.19,0.00,428.22,20.09,2.78,22.87,2.79,20.08,11.84,8.24,2.48,5.75,0.00,5.75,0.00,86.87,19.45,4.69,1.34,20.09,11.84,2.79,0.19,20.08,5.75,2.27,2.48,2.78,202403.00,399.42,17.69,2.41,20.05,2.88,17.17,11.56,5.66,1.16,4.47,0.05,4.51,0.00,4.43,1.12,0.15,437.66,5.21,172.06
Globesecure Tech,,GSTL,Computers - Software - Medium / Small,61.90,23.89,10.13,1.01,9.11,0.64,-0.01,23.89,2.42,1.13,3.55,1.06,2.49,1.01,1.48,0.47,1.01,0.00,1.01,0.00,72.62,2.40,10.13,4.23,2.42,1.01,1.06,0.64,2.49,1.01,0.62,0.47,1.13,202403.00,25.83,3.40,0.02,3.42,0.51,2.91,0.71,2.20,0.55,1.66,0.00,1.66,0.00,13.16,6.43,1.04,,,98.67
Globus Power,526025,,Miscellaneous,25.79,0.03,-1800.00,-0.54,-25.78,0.68,0.00,0.03,-0.54,7.29,-0.54,0.00,-0.54,0.00,6.75,0.00,-0.54,7.29,6.75,0.00,33.33,0.32,-1800.00,-1800.00,-0.54,0.00,0.00,0.68,-0.54,6.75,0.00,0.00,7.29,202403.00,0.00,-0.49,-11.96,-0.49,0.00,-0.49,0.00,-12.45,0.00,-0.49,-11.96,-12.45,0.00,,,-1.26,0.04,-11.54,255.19
Globus Spirits,533104,GLOBUSSPR,Breweries & Distilleries,980.10,2414.68,7.01,96.04,,33.47,-0.08,2414.68,169.37,13.53,182.90,65.60,117.30,26.59,90.71,-5.33,96.04,0.00,96.04,10.09,68.25,79.61,7.01,3.98,169.37,26.59,65.60,33.47,117.30,96.04,21.01,-5.33,13.53,202403.00,2109.06,245.58,7.83,253.41,56.33,197.08,17.01,180.07,57.87,122.20,0.00,122.20,0.00,11.64,5.79,42.43,,,2829.46
Gloster Ltd,542351,GLOSTERLTD,Textiles - Jute - Yarn / Products,814.80,646.40,10.04,24.30,3.28,22.25,0.00,646.40,64.93,13.76,78.58,38.35,40.23,2.53,37.81,13.46,24.30,0.11,24.35,21.88,50.56,120.34,10.04,3.76,64.93,2.53,38.35,22.25,40.23,24.35,21.42,13.46,13.76,202403.00,710.18,83.67,25.42,109.58,35.61,73.97,2.10,71.38,17.00,54.70,-0.49,54.39,76.58,11.78,7.70,49.70,639.72,25.03,891.66
GMM Pfaudler,505255,GMMPFAUDLR,Engineering,1451.10,3446.48,13.83,173.77,19.08,39.80,0.00,3446.48,476.81,20.01,496.29,146.65,349.64,94.77,255.40,81.30,173.77,0.53,174.10,8.99,40.02,903.59,13.83,5.04,476.81,94.77,146.65,39.80,349.64,174.10,94.56,81.30,20.01,202403.00,3177.55,429.39,30.04,458.32,121.79,336.53,66.57,271.07,60.70,162.90,1.11,210.37,8.99,13.51,6.60,36.37,3571.70,185.85,6523.74
GMR Airports Inf,532754,GMRINFRA,Engineering - Turnkey Services,98.00,8754.56,33.88,-614.44,6.39,-0.93,-9.19,8754.56,2965.80,794.03,3643.36,1465.92,2177.44,2928.78,-634.87,192.63,-614.44,116.47,-827.50,0.00,2.45,1242.16,33.88,-10.38,2965.80,2928.78,1465.92,-0.93,2177.44,-827.50,192.63,192.63,794.03,202403.00,6693.40,1744.67,915.02,2426.23,1042.44,1383.79,2343.11,-725.86,114.07,-229.09,233.46,-839.93,0.00,26.07,-16.04,-0.30,8197.50,-1296.65,70053.95
GMR Urban,543490,GMRP&UI,Engineering - Turnkey Services,93.99,4488.98,20.17,-431.30,11.56,-1.71,-9.31,4488.98,905.57,785.46,1251.26,305.46,945.80,1479.41,-93.84,33.63,-431.30,439.77,-127.47,0.00,33.23,150.80,20.17,-11.89,905.57,1479.41,305.46,-1.71,945.80,-127.47,33.63,33.63,785.46,202403.00,5524.69,392.80,2340.82,1448.35,151.39,1296.96,1350.25,1231.98,92.74,-53.50,1285.27,1139.24,0.00,7.11,-0.97,19.60,4277.87,-768.77,6718.75
GNA Axles,540124,GNA,Auto Ancillaries,421.60,1531.86,12.59,94.63,15.34,22.04,0.00,1506.26,197.32,2.40,199.72,53.34,146.38,11.54,134.84,34.82,100.02,0.00,100.02,8.59,66.31,70.90,13.10,6.64,192.88,12.48,54.90,23.30,140.05,94.63,33.55,32.94,2.07,202403.00,1582.93,232.70,1.41,234.12,48.51,185.61,10.96,174.64,44.41,130.24,-0.01,130.23,12.88,14.70,8.23,30.36,1506.26,100.01,1809.96
