Name,BSE Code,NSE Code,Industry,Current Price,Sales,OPM,Profit after tax,Return on capital employed,EPS,Change in promoter holding,Sales last year,Operating profit last year,Other income last year,EBIDT last year,Depreciation last year,EBIT last year,Interest last year,Profit before tax last year,Tax last year,Profit after tax last year,Extraordinary items last year,Net Profit last year,Dividend last year,Material cost last year,Employee cost last year,OPM last year,NPM last year,Operating profit,Interest,Depreciation,EPS last year,EBIT,Net profit,Current Tax,Tax,Other income,Last annual result date,Sales preceding year,Operating profit preceding year,Other income preceding year,EBIDT preceding year,Depreciation preceding year,EBIT preceding year,Interest preceding year,Profit before tax preceding year,Tax preceding year,Profit after tax preceding year,Extraordinary items preceding year,Net Profit preceding year,Dividend preceding year,OPM preceding year,NPM preceding year,EPS preceding year,Sales preceding 12months,Net profit preceding 12months,Market Capitalization
Ramco Inds.,532369,RAMCOIND,Cement Products,242.42,1557.52,10.23,105.45,3.15,12.15,0.00,1501.32,156.69,13.81,170.73,36.98,133.75,25.01,108.51,35.55,105.87,-0.23,105.71,6.51,56.53,133.81,10.44,7.05,159.41,22.63,36.83,12.18,135.32,105.45,33.88,36.14,12.74,202403.00,1457.52,152.43,24.11,173.78,33.89,139.89,20.97,121.68,14.06,121.89,2.76,124.00,8.68,10.46,8.36,14.28,1501.32,105.61,2104.43
Ramco Systems,532370,RAMCOSYS,Computers - Software - Medium / Small,357.30,523.27,-23.98,-214.42,-47.13,-60.79,1.70,525.83,-152.69,4.01,-148.61,87.22,-235.83,7.83,-243.73,-2.06,-241.61,-0.07,-241.67,0.00,0.62,306.82,-29.04,-45.95,-125.48,6.08,87.09,-68.30,-207.58,-214.42,5.51,0.75,4.99,202403.00,492.22,-134.02,5.39,-128.57,80.82,-209.39,11.22,-220.67,-13.81,-206.78,-0.06,-206.86,0.00,-27.23,-42.01,-58.71,525.83,-241.67,1268.02
Ramdevbaba Sol.,,RBS,Solvent Extraction,89.15,686.44,3.66,13.03,18.63,8.04,-19.93,686.44,25.11,6.55,31.66,4.26,27.40,9.68,17.72,4.68,13.03,0.00,13.03,0.00,82.21,9.56,3.66,1.90,25.11,9.68,4.26,8.04,27.40,13.03,2.80,4.68,6.55,202403.00,697.75,18.53,8.65,27.01,2.23,24.78,5.67,19.28,4.59,14.56,0.17,14.69,0.00,2.66,2.09,320.25,,,197.25
Ramgopal Polytex,514223,,Trading,5.32,11.00,-19.00,-1.67,-12.11,-1.15,0.00,11.00,-2.09,0.57,-1.52,0.00,-1.52,0.14,-1.66,0.00,-1.67,0.00,-1.67,0.00,106.55,0.58,-19.00,-15.18,-2.09,0.14,0.00,-1.15,-1.52,-1.67,0.00,0.00,0.57,202403.00,6.97,-1.77,0.65,-1.12,0.01,-1.13,0.15,-1.28,0.00,-1.28,0.00,-1.28,0.00,-25.39,-18.36,-0.88,11.53,-1.55,7.71
Ramkrishna Forg.,532527,RKFORGE,Castings & Forgings,887.20,4067.56,21.01,343.81,18.66,19.47,0.00,3954.88,839.34,28.92,868.26,257.57,610.69,151.64,459.05,117.62,341.44,0.00,341.44,36.16,45.80,207.76,21.22,8.63,854.78,153.58,262.90,18.89,625.10,343.81,125.73,127.73,33.22,202403.00,3192.90,693.87,3.96,697.38,201.64,495.74,121.75,374.44,126.33,247.81,0.45,248.11,31.98,21.73,7.76,15.52,3954.88,341.44,16039.88
Ramky Infra,533262,RAMKY,Construction,751.65,2160.52,23.61,307.79,21.09,44.48,0.00,2160.52,510.06,160.21,670.27,48.38,621.89,158.46,463.43,142.36,307.79,0.00,321.07,0.00,66.19,88.72,23.61,14.86,510.06,158.46,48.38,44.48,621.89,321.07,83.85,142.36,160.21,202403.00,1705.13,338.06,1455.83,494.78,41.78,453.00,362.93,1389.18,236.54,74.21,1299.11,1152.64,0.00,19.83,4.40,164.83,2155.76,1341.38,5201.25
Ramsons Projects,530925,,Finance & Investments,28.31,0.53,49.06,1.51,14.89,10.71,0.00,0.53,0.26,3.08,1.60,0.01,1.59,0.08,3.25,0.04,1.51,1.74,3.22,0.00,0.00,0.13,49.06,284.91,0.26,0.08,0.01,10.71,1.59,3.22,0.04,0.04,3.08,202403.00,0.52,0.10,-0.07,0.10,0.00,0.10,0.08,-0.05,0.00,0.03,-0.07,-0.05,0.00,19.23,5.77,-0.17,0.52,0.07,8.52
Rana Sugars,507490,RANASUG,Sugar,24.90,1592.63,5.20,27.97,7.06,1.82,0.00,1592.63,82.78,17.90,100.68,35.34,65.34,28.36,36.98,9.01,27.97,0.00,27.97,0.00,80.82,67.21,5.20,1.76,82.78,28.36,35.34,1.82,65.34,27.97,5.70,9.01,17.90,202403.00,1627.48,113.33,23.40,127.96,31.34,96.62,22.91,82.48,19.08,56.66,8.77,63.40,0.00,6.96,3.48,4.13,1628.85,51.63,382.38
Rander Corpn.,531228,,Finance & Investments,11.13,3.96,63.38,1.84,11.07,1.49,0.00,3.96,2.51,0.00,2.51,0.06,2.45,0.00,2.45,0.62,1.84,0.00,1.84,0.00,25.25,0.14,63.38,46.46,2.51,0.00,0.06,1.49,2.45,1.84,0.62,0.62,0.00,202403.00,3.32,0.73,0.17,0.76,0.01,0.75,0.01,0.88,0.22,0.56,0.14,0.66,0.00,21.99,16.87,0.53,4.41,1.01,13.73
Rane (Madras),532661,RML,Auto Ancillaries,883.10,2172.62,6.64,107.99,6.36,12.85,0.00,2238.95,146.86,-101.23,151.26,91.03,60.23,57.11,-102.51,-105.53,108.65,-105.63,3.02,0.00,58.31,251.64,6.56,4.85,144.25,56.80,87.85,1.86,60.88,20.90,-1.34,-103.94,-82.64,202403.00,2354.44,183.62,6.20,201.33,96.60,104.73,34.76,58.46,28.44,34.69,-11.51,30.02,0.00,7.80,1.47,18.46,2238.95,3.02,1436.39
Rane Brake Lin.,532987,RBL,Auto Ancillaries,933.70,668.43,12.16,44.82,20.51,56.83,0.00,660.83,75.38,0.92,77.52,21.84,55.68,0.03,54.43,14.15,41.18,-1.22,40.28,23.19,54.80,87.41,11.41,6.23,81.28,0.03,22.82,52.11,60.44,43.93,14.31,15.26,0.76,202403.00,598.80,56.36,8.27,64.63,20.00,44.63,0.05,44.58,11.12,33.46,0.00,33.46,19.32,9.41,5.59,43.29,660.83,40.28,721.74
Rane Engine Val.,532988,RANEENGINE,Auto Ancillaries,397.90,565.86,7.58,14.90,13.18,16.74,0.00,566.75,47.31,-1.83,50.90,19.02,31.88,10.78,15.68,4.22,15.42,-5.42,11.46,3.62,38.22,139.12,8.35,2.72,42.90,9.99,19.18,15.84,30.69,12.11,4.34,4.55,2.93,202403.00,497.57,34.60,-4.61,36.61,19.28,17.33,10.55,0.16,0.22,-7.09,-6.62,-0.06,0.00,6.95,-1.42,-0.08,566.75,11.46,287.86
Rane Holdings,505800,RANEHOLDIN,Finance & Investments,1651.25,3466.21,9.15,186.29,12.95,86.93,0.00,3537.23,328.89,-44.85,392.21,137.00,255.21,71.34,75.70,-73.91,177.68,-108.17,149.61,35.70,53.07,512.01,9.30,6.07,317.02,70.23,135.14,86.69,250.06,157.01,35.57,-66.18,-20.82,202403.00,3510.57,320.80,8.57,347.40,141.73,205.67,49.82,137.82,50.51,69.66,-18.03,87.31,24.28,9.14,2.78,43.61,3529.82,149.61,2357.99
Ranjeet Mechatr.,541945,,Engineering,32.94,16.89,9.71,0.13,5.84,0.13,0.00,16.89,1.64,0.00,1.64,0.14,1.50,1.34,0.16,0.04,0.13,0.00,0.13,0.00,82.12,0.67,9.71,0.77,1.64,1.34,0.14,0.13,1.50,0.13,0.04,0.04,0.00,202403.00,37.73,0.72,1.92,2.64,0.15,2.49,1.50,0.99,0.28,0.71,0.00,0.71,0.00,1.91,1.88,1.08,,,32.94
Rap Media,531583,,Construction,27.60,0.00,,-0.79,-9.34,-1.34,0.00,0.00,-0.82,0.01,-0.81,0.25,-1.06,0.00,-1.06,-0.27,-0.79,0.00,-0.79,0.00,,0.17,,,-0.82,0.00,0.25,-1.34,-1.06,-0.79,0.00,-0.27,0.01,202403.00,0.00,-0.51,0.00,-0.51,0.25,-0.76,0.00,-0.76,0.08,-0.83,0.00,-0.83,0.00,,,-1.41,0.00,-1.46,16.23
Rapicut Carbides,500360,,Engineering,175.80,60.16,2.41,0.49,4.33,0.91,0.00,60.16,1.45,0.12,1.57,0.53,1.04,0.48,0.56,0.07,0.49,0.00,0.49,0.00,76.91,5.20,2.41,0.81,1.45,0.48,0.53,0.91,1.04,0.49,0.00,0.07,0.12,202403.00,39.57,-0.24,0.01,-0.23,0.60,-0.83,0.29,-1.12,0.23,-1.35,0.00,-1.35,0.00,-0.61,-3.41,-2.51,58.94,-0.38,94.40
Ras Resorts,507966,,Hotels,44.00,13.48,12.17,0.56,3.43,1.41,0.00,13.12,1.26,0.17,1.43,0.55,0.88,0.59,0.29,0.11,0.18,0.00,0.18,0.00,3.51,1.11,9.60,1.37,1.64,0.55,0.57,0.45,1.07,0.56,0.00,-0.02,0.00,202403.00,12.87,1.00,0.32,1.31,0.48,0.83,0.70,0.14,0.14,-0.01,0.01,-0.01,0.00,7.77,-0.08,-0.03,13.29,0.20,17.47
Rasandik Engg.,522207,,Auto Ancillaries,163.30,85.99,-8.99,-21.79,-8.27,11.93,0.00,85.99,-7.73,29.96,-6.69,6.15,-12.84,9.44,6.64,-0.48,-21.79,28.92,7.13,0.00,75.43,10.34,-8.99,-25.34,-7.73,9.44,6.15,11.93,-12.84,7.13,0.00,-0.48,29.96,202403.00,149.55,8.58,4.47,9.11,7.09,2.02,10.68,-4.72,-1.42,-7.24,3.94,-3.30,0.00,5.74,-4.84,-5.52,94.03,-9.25,97.57
Rashi Peripheral,544119,RPTECH,Trading,394.10,11094.70,2.64,133.57,14.37,21.43,0.00,11094.70,292.90,24.78,307.30,18.88,288.42,107.14,191.66,47.80,133.57,10.38,143.86,6.59,94.65,151.73,2.64,1.23,292.90,107.14,18.88,21.43,288.42,143.86,45.85,47.80,24.78,202403.00,9454.28,256.18,14.67,270.85,16.67,254.18,89.55,164.63,41.28,123.34,0.00,123.34,2.09,2.71,1.30,,,,2597.11
Rasi Electrodes,531233,,Electrodes - Welding Equipment,32.45,83.83,4.86,3.20,13.05,1.03,0.00,83.83,4.07,1.05,5.12,0.78,4.34,0.18,4.16,0.95,3.20,0.00,3.20,0.00,81.38,4.52,4.86,3.82,4.07,0.18,0.78,1.03,4.34,3.20,1.13,0.95,1.05,202403.00,87.53,3.89,1.42,5.31,0.68,4.63,0.46,4.17,1.17,3.01,0.00,3.01,0.00,4.44,3.44,0.97,83.97,2.89,101.02
Rategain Travel,543417,RATEGAIN,Computers - Software - Medium / Small,801.75,957.03,19.82,145.39,17.34,12.34,-3.00,957.03,189.72,41.56,231.28,41.04,190.24,1.37,188.87,43.48,145.39,0.00,145.39,0.00,0.00,379.91,19.82,15.19,189.72,1.37,41.04,12.34,190.24,145.39,48.08,43.48,41.56,202403.00,565.13,86.62,19.93,105.41,35.81,69.60,3.48,67.26,-1.15,67.43,1.14,68.40,0.00,15.33,11.93,6.31,884.15,129.16,9453.32
Rathi Bars,532918,,Steel - Medium / Small,45.01,614.04,2.33,3.57,6.30,2.19,0.00,614.04,14.33,0.34,14.67,4.49,10.18,6.13,4.05,0.48,3.57,0.00,3.57,0.00,94.17,6.06,2.33,0.58,14.33,6.13,4.49,2.19,10.18,3.57,0.82,0.48,0.34,202403.00,482.36,14.97,0.28,15.25,6.54,8.71,5.39,3.32,0.73,2.58,0.00,2.58,0.00,3.10,0.53,1.58,674.63,3.73,73.50
Rathi Steel,504903,,Steel - Medium / Small,75.90,492.83,4.22,3.75,17.63,2.77,0.00,492.83,20.80,23.29,24.25,8.74,15.51,11.74,23.61,0.07,3.75,19.84,23.53,0.00,76.11,9.51,4.22,0.76,20.80,11.74,8.74,2.77,15.51,23.53,0.07,0.07,23.29,202403.00,726.55,31.66,76.24,32.68,8.33,24.35,12.10,87.47,0.25,12.00,75.22,87.22,0.00,4.36,1.65,27.86,541.24,83.49,645.63
