Name,BSE Code,NSE Code,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Current ratio,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,52w Index,Down from 52w high,Up from 52w low,From 52w high,Mkt Cap To Debt Cap,Dividend Payout Ratio,Graham,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Altman Z Score,Market cap to quarterly profit,Market Capitalization
Elgi Rubber Co,,ELGIRUBCO,Miscellaneous,90.00,1.17,-137.90,15.48,0.83,1.11,11.80,40.66,11.46,0.40,189.75,1.17,1.11,25.98,-0.35,26.32,418.72,-0.69,1.72,2.90,0.00,26.58,-66.74,0.05,90.96,4.76,101.34,0.95,1.34,0.00,44.58,74.75,4.57,458.64,31.42,74.90,2.92,-173.42,450.90
Elin Electronics,543725,ELIN,Electronics - Components,204.79,0.98,66.65,20.05,2.74,3.42,-7.82,26.92,34.09,17.37,503.10,0.98,3.42,35.80,0.21,0.86,516.02,2.81,0.05,1.39,0.00,59.21,0.72,0.07,81.61,7.67,58.38,0.92,1.92,0.00,79.79,23.85,10.59,148.11,56.43,23.83,5.68,287.28,1016.97
Elixir Capital,531278,,Finance & Investments,128.40,2.15,-35.29,3.23,15.62,17.82,0.02,191.68,233.23,167.51,48.43,2.15,17.82,3.27,0.01,1.13,69.64,-2.86,0.49,1.69,3.46,223.82,-18.77,0.14,89.11,7.66,211.35,0.92,6.93,3.46,260.42,-4.38,21.12,5.59,114.45,-4.38,4.05,9.47,74.47
Elnet Technolog,517477,,Construction,362.80,5.73,-5.63,1.46,9.12,39.15,0.52,437.16,0.00,0.00,139.36,5.73,39.15,1.56,0.50,0.24,132.55,-19.07,0.12,1.09,0.00,557.11,65.13,0.50,80.84,9.07,72.72,0.91,-0.92,0.00,587.63,-2.34,16.67,8.57,276.73,-2.34,4.18,35.83,145.12
Elpro Internatio,504000,,Construction,115.95,7.66,-13.65,16.92,0.79,5.25,0.24,50.77,1.31,100.85,1607.44,7.66,5.25,17.60,0.58,4.27,586.32,-8.56,0.23,1.13,0.00,244.55,-18.39,0.00,96.68,1.57,86.68,0.98,-6.75,0.00,103.75,13.97,8.67,28.05,7.68,13.96,2.94,81.78,1965.11
EMA India,522027,,Engineering,36.10,,-9.42,-11.00,0.12,,,,7.14,,-1.12,,,-9.68,-0.69,-2.31,0.04,-264.37,-1.08,-0.46,0.00,,-32.60,0.00,63.31,24.79,131.86,0.75,-0.68,0.00,,-9.76,-217.50,,-2.20,-9.86,4.91,-28.08,3.65
Emami,531162,EMAMILTD,Personal Care - Indian,779.25,9.30,62.50,33.25,1.87,84.38,2.39,20.17,2.62,1.66,2446.59,9.30,84.38,40.59,0.08,0.13,1859.08,21.97,0.04,1.30,0.00,181.15,0.29,0.01,83.75,8.27,86.83,0.92,3.75,0.00,146.07,43.66,30.40,639.12,16.90,43.66,19.86,225.86,34014.26
Emami Paper,533208,EMAMIPAP,Paper,136.93,0.42,3.87,5.96,1.02,2.67,0.71,19.42,-30.94,-5.98,774.11,0.42,2.67,7.97,0.28,7.19,1482.32,14.59,0.91,2.38,11.48,141.12,-84.34,0.00,70.78,9.88,36.18,0.90,0.26,11.48,200.29,2.36,13.15,10.52,63.99,2.36,3.18,30.47,828.43
Emami Realty Ltd,533218,EMAMIREAL,Construction,95.11,5.86,6.86,-31.45,1.51,-0.76,,2871.58,-317.44,-27.95,-35.68,5.86,-0.76,-30.92,-4.10,-15.59,1801.05,2.95,-57.25,-59.52,0.00,,-560.36,0.06,33.40,37.49,43.02,0.63,0.30,0.00,,-10.00,0.33,,466.90,-10.01,1.08,-5.11,359.93
Embassy Off.REIT,542602,EMBASSY,Construction,369.42,9.11,30.76,17.03,0.18,1.90,0.25,-9.77,-36.93,-1.12,22958.13,9.11,1.90,24.30,-0.22,19.08,42647.73,2.87,0.82,2.01,264.63,205.12,-50.85,0.03,74.92,7.41,31.44,0.93,1.26,264.63,228.57,13.52,4.71,58.95,-3.96,13.52,2.02,195.89,35017.09
Emcure Pharma,544210,EMCURE,Pharmaceuticals - Indian - Bulk Drugs & Formln,1298.30,3.69,49.27,20.75,1.23,4.10,2.44,31.58,,,2952.28,3.69,4.10,27.42,0.02,4.43,5386.09,9.55,,2.43,10.91,,-9.73,0.01,25.73,7.84,3.04,0.92,2.57,10.91,,22.38,21.63,,111.18,22.37,7.24,,24550.64
Emerald Finance,538882,,Finance & Investments,71.40,14.41,-15.84,26.40,26.80,4.59,1.51,414.46,51.33,12.85,46.88,14.41,4.59,26.59,-0.17,3.51,62.42,-24.02,0.31,1.26,7.28,31.90,-5.37,0.02,89.30,8.21,295.57,0.92,-2.09,7.28,24.04,-11.59,12.33,198.38,20.57,-11.60,8.13,125.87,215.23
Emerald Leisures,507265,,Hotels,315.35,10.00,183.34,44.21,0.03,0.28,,-61.05,-35.05,-4.57,-76.99,10.00,0.28,72.79,-0.70,-12.39,52.89,1.90,-1.57,-0.90,0.00,,-76.13,0.00,97.17,1.99,230.56,0.98,5.21,0.00,,28.26,4.20,,-19.28,28.29,2.39,-60.26,157.87
Emergent Indust.,506180,,Trading,106.25,0.14,107.81,6.19,1.36,4.28,1.06,6.65,-61.32,5.28,24.00,0.14,4.28,6.34,0.53,0.00,23.88,1.96,0.00,2.48,0.00,186.14,58.59,0.42,100.00,0.00,17.73,1.00,-4.68,0.00,66.51,10.49,10.54,57.37,51.61,10.42,5.63,118.44,48.56
Emk.Global Fin.,532737,EMKAY,Finance & Investments,179.88,1.41,-528.93,-1.55,1.24,9.33,0.47,58.74,-13.87,19.91,240.88,1.41,9.33,-1.88,1.35,1.60,227.36,-0.31,0.99,3.73,11.42,220.90,77.29,1.05,85.41,9.11,141.77,0.91,2.60,11.42,169.80,20.04,15.67,27.10,74.72,20.05,1.63,42.10,444.53
Emkay Taps & Cut,,EMKAYTOOLS,Engineering,886.00,9.14,35.84,10.20,1.81,392.65,0.19,35.81,32.91,11.51,298.91,9.14,392.65,10.50,0.34,0.09,50.90,11.42,0.02,1.14,0.00,1144.49,-0.55,0.00,70.04,20.25,146.11,0.80,3.27,0.00,651.64,38.07,26.21,41.55,34.63,37.97,7.04,,945.48
Emmbi Industries,533161,EMMBI,Packaging,108.25,0.51,19.56,9.25,1.30,1.58,-1.75,42.97,90.30,17.13,170.13,0.51,1.58,12.99,-0.43,15.72,338.48,3.09,0.94,2.22,5.33,75.94,-82.99,0.01,45.40,22.01,30.66,0.78,0.65,5.33,110.32,6.79,10.60,21.75,91.62,6.78,3.10,42.46,191.49
Emmessar Biotech,524768,,Chemicals,45.40,40.54,23.08,18.27,13.66,,-116.42,1150.00,184.62,-75.76,7.41,40.54,,20.53,0.40,0.15,8.35,13.79,0.01,1.13,0.00,79.19,26.74,0.25,73.86,15.93,115.17,0.84,1.90,0.00,22.38,35.47,14.02,92.63,12.88,35.47,6.60,61.35,22.70
Emmforce,544166,,Auto Ancillaries,154.40,7.90,,47.48,1.44,7.69,,79.31,,,,7.90,7.69,54.81,,10.35,62.17,,,,0.00,,,,16.88,41.52,16.84,0.58,,0.00,,,0.00,,15.50,,,,316.51
Empire Inds.,509525,,Diversified - Medium / Small,1078.55,1.07,9.22,8.27,1.47,2.71,4.39,36.13,23.29,-0.55,300.22,1.07,2.71,10.16,0.24,4.54,534.38,15.02,0.56,2.44,40.54,833.70,-13.70,0.12,62.98,13.51,36.18,0.86,0.74,40.54,833.22,8.66,14.01,37.78,364.92,8.66,3.53,51.36,647.13
Empower India,504351,,Trading,2.20,2.19,243.07,36.46,0.72,,0.19,-1.94,-25.60,408.18,295.90,2.19,,36.46,0.69,0.00,-2.27,0.36,0.00,1.02,0.00,1.10,0.17,0.00,48.92,43.01,260.66,0.57,-3.14,0.00,1.84,-39.88,0.81,32.23,-0.02,-39.88,3.16,102.42,256.04
EMS,543983,EMSLIMITED,Construction,814.25,5.70,-82.53,20.37,6.14,33.93,,57.74,26.58,22.90,798.13,5.70,33.93,20.99,0.01,0.46,551.64,-7.79,0.40,1.01,3.64,465.57,-4.49,0.03,86.64,9.71,230.32,0.90,-50.46,3.64,297.89,-38.95,31.95,168.23,82.54,-38.97,10.72,95.43,4521.60
eMudhra,543533,EMUDHRA,Computers - Software - Medium / Small,864.15,18.55,-392.57,57.10,5.75,33.07,2.92,95.22,-14.19,-7.27,656.29,18.55,33.07,69.51,0.05,0.10,670.62,-3.35,0.02,0.92,13.46,338.68,3.28,0.02,87.60,6.85,108.23,0.93,14.92,13.46,130.99,98.66,23.30,1009.99,44.37,98.68,18.03,400.91,7156.17
Enbee Trade,512441,,Finance & Investments,11.19,1.56,-1.10,10.29,0.12,2.22,0.25,-12.68,177.88,61.47,30.37,1.56,2.22,12.26,-3.54,20.07,0.21,-29.82,1.03,1.66,0.00,48.05,-195.26,0.00,6.35,62.95,13.03,0.37,-0.16,0.00,22.79,-0.96,8.31,5.45,-0.91,-0.96,1.40,18.22,16.03
Encode Packaging,530733,,Packaging,13.63,0.93,52.34,10.81,,,1.07,48.05,-83.33,-8.57,3.35,0.93,,36.36,-0.03,0.83,3.33,2.46,0.03,1.09,0.00,20.11,6.98,0.06,58.85,27.19,114.65,0.73,-1.47,0.00,9.54,13.22,1.19,50.04,6.94,13.03,5.29,430.00,4.30
Endurance Tech.,540153,ENDURANCE,Auto Ancillaries,2540.85,3.49,153.34,26.48,1.35,20.76,11.25,10.21,38.00,4.83,4977.44,3.49,20.76,40.65,0.09,1.12,4834.97,4.37,0.16,1.47,17.57,899.37,-0.88,0.01,66.11,17.00,66.57,0.83,3.33,17.57,620.62,33.82,14.82,400.79,74.30,33.81,9.98,170.07,35740.32
Energy Devl.Co.,532219,ENERGYDEV,Power Generation And Supply,30.94,4.90,7.70,15.75,0.77,0.78,,86.77,-413.41,-57.08,101.20,4.90,0.78,36.83,-0.46,-70.90,196.73,7.58,4.99,3.49,0.00,,-331.78,0.13,72.36,15.92,98.33,0.84,0.65,0.00,,14.27,6.58,,5.48,14.27,1.32,-28.59,146.97
Energy-Mission,,EMMIL,Engineering,354.65,3.18,-382.89,21.20,1.23,6.05,,31.89,58.73,20.75,28.96,3.18,6.05,23.52,,2.96,66.63,-2.30,,3.51,0.00,,-8.17,0.00,36.36,24.19,22.29,0.76,,0.00,,-79.99,29.62,,35.64,-80.18,9.14,,401.69
Enfuse,,ENFUSE,Computers - Software - Medium / Small,197.85,4.39,-65.70,19.72,1.68,8.01,,19.42,111.24,65.31,23.04,4.39,8.01,23.43,,1.68,21.89,-29.78,0.28,1.80,0.00,384.19,-5.06,0.00,74.33,14.90,102.92,0.85,,0.00,70.08,48.50,74.37,179.30,8.80,48.76,8.24,,175.05
Engineers India,532178,ENGINERSIN,Engineering - Turnkey Services,253.60,4.34,671.22,25.31,1.10,157.78,8.29,8.16,82.35,-7.20,2255.31,4.34,157.78,27.15,0.21,0.07,601.14,0.99,0.14,2.02,37.87,89.13,6.34,0.08,73.13,16.58,117.78,0.83,8.09,37.87,84.57,64.21,23.87,202.30,4.76,64.22,6.57,123.38,14253.39
Enkei Wheels,533477,,Auto Ancillaries,729.90,1.63,2332.22,15.83,1.05,4.25,7.70,7.70,320.38,10.67,233.25,1.63,4.25,30.52,-0.04,14.24,408.26,0.14,0.74,2.20,0.00,146.52,-12.31,0.01,88.85,3.96,48.93,0.96,3.34,0.00,201.39,22.45,6.44,295.27,34.45,22.42,6.49,147.91,1311.99
Enser,,ENSER,Computers - Software - Medium / Small,243.80,4.61,-369.95,22.33,3.98,7.84,,59.33,49.53,54.73,17.16,4.61,7.84,24.44,,1.28,29.77,-5.58,0.26,3.50,0.00,337.41,-1.49,0.02,92.66,5.58,293.23,0.94,,0.00,63.54,151.50,50.75,331.03,31.43,151.79,12.48,,212.50
Ent.Network,532700,ENIL,Entertainment / Electronic Media Software,234.05,2.05,14.69,9.32,1.91,3.35,-4.32,58.56,-161.58,-26.08,771.26,2.05,3.35,24.00,0.40,5.84,817.69,7.96,0.25,1.52,22.02,163.36,-10.05,0.05,42.70,34.77,65.88,0.65,1.09,22.02,152.34,8.76,1.11,53.14,66.92,8.76,3.15,-204.72,1115.72
Entero Healthcar,544122,ENTERO,Trading,1245.00,1.38,-118.35,38.49,3.34,1.54,,42.13,203.44,4.19,1638.05,1.38,1.54,48.01,,8.49,1941.84,-3.04,0.21,1.12,0.00,395.87,10.25,0.09,93.22,1.58,28.35,0.98,,0.00,276.04,-147.93,4.16,458.27,379.89,-147.91,7.33,258.22,5414.97
Enterprise Intl.,526574,,Trading,25.21,1.43,-20.08,19.35,59.38,5.40,2.04,88.95,-20.00,-100.00,13.76,1.43,5.40,24.37,0.57,0.00,5.59,-3.11,0.00,0.93,0.00,13.61,12.50,0.11,51.05,25.04,53.44,0.75,-0.57,0.00,22.83,68.75,-0.28,27.57,15.57,68.36,2.86,188.00,7.52
Envair Electrody,500246,,Engineering,176.25,204.45,258.75,-71.53,17.41,-26.50,,1517.50,-445.45,,7.71,204.45,-26.50,-71.53,0.07,0.00,6.07,3.86,0.06,1.16,0.00,,6.69,0.08,52.72,35.75,163.45,0.64,-11.56,0.00,,12.87,-10.86,,13.20,12.98,18.07,-136.30,81.78
EP Biocomposites,543595,,Miscellaneous,182.50,2.68,-13.22,18.36,2.83,53.33,,76.75,322.73,60.00,9.56,2.68,53.33,19.51,-0.11,1.57,9.25,-24.22,0.19,1.39,0.00,565.53,1.27,0.07,45.83,28.15,49.59,0.72,-1.99,0.00,93.53,-25.02,23.74,85.67,51.65,-24.75,5.96,,30.69
Epack Durable,544095,EPACK,Air-conditioners,253.55,1.38,-22.84,17.87,1.33,2.61,,30.37,-15.88,47.17,892.20,1.38,2.61,24.08,,10.92,1238.29,-10.05,0.43,1.81,0.00,152.07,-11.52,0.04,76.03,11.35,68.36,0.89,,0.00,100.35,9.45,10.80,132.00,55.69,9.45,4.47,103.76,2428.98
Epic Energy,530407,,Electric Equipment,24.70,5.78,533.52,35.36,1.77,,-4.67,50.32,2400.00,223.40,6.74,5.78,,53.58,0.00,0.00,3.11,0.51,0.00,1.28,0.00,6.11,0.73,0.01,100.00,0.00,329.57,1.00,-27.40,0.00,10.25,197.60,-3.07,130.60,2.15,197.89,5.02,71.24,17.81
Epigral,543332,EPIGRAL,Chlor Alkali / Soda Ash,1829.55,3.58,625.73,15.02,0.64,6.39,15.99,6.55,12.20,24.13,1254.09,3.58,6.39,19.30,0.02,4.92,2388.75,0.58,0.83,2.08,10.61,1636.90,-13.64,0.00,99.32,0.36,112.23,1.00,1.79,10.61,639.36,19.14,26.20,184.16,33.48,19.11,6.33,88.38,7601.81
EPL Ltd,500135,EPL,Packaging,220.70,1.79,44.03,9.95,1.52,3.84,5.03,24.21,-82.70,5.55,2091.50,1.79,3.84,17.41,0.12,4.34,2931.80,5.42,0.47,1.76,66.48,95.80,-11.10,0.03,70.68,8.76,30.13,0.91,1.13,66.48,99.49,11.98,13.50,94.21,29.77,11.98,5.49,135.13,7026.62
Epsom Properties,531155,,Construction,6.46,,-13.46,-20.57,7.00,-3.75,,,-133.33,,-1.28,,-3.75,-20.57,-0.46,-3.58,0.06,-514.29,-1.05,-0.07,0.00,,-28.27,0.00,35.02,42.37,65.64,0.58,-1.37,0.00,,-11.82,-556.49,,0.08,-11.73,49.86,-34.36,4.81
Epuja Spiritech,532092,,Entertainment / Electronic Media Software,4.09,33.06,-15.95,-40.99,30.00,,,1419.79,-5.13,-31.82,16.69,33.06,,-40.99,-0.11,-3.15,17.86,-16.02,0.09,0.78,0.00,,0.57,0.03,41.02,44.28,123.50,0.56,-2.03,0.00,,-5.88,-2.19,,1.76,-5.88,4.73,-77.41,31.74
Equinox India,532832,EMBDL,Construction,132.54,20.34,-36.64,-23.03,2.06,-41.61,,686.48,-685.14,-79.09,2753.41,20.34,-41.61,-22.35,-0.02,-0.30,2912.86,-6.57,0.12,2.24,0.00,,-2.91,0.02,68.80,19.38,112.74,0.81,-12.64,0.00,,-86.72,-5.49,,44.63,-86.51,3.40,-27.86,8415.37
Equippp Social,590057,EQUIPPP,Computers - Software - Medium / Small,23.99,132.26,-77.78,2491.90,1.83,-1.33,,55.08,669.23,403.23,6.75,132.26,-1.33,-1557.44,,-7.11,8.73,-37.06,0.30,1.44,0.00,,-0.75,0.00,6.55,34.60,3.85,0.65,,0.00,,-242.49,1.23,,0.10,-242.48,40.90,334.23,247.33
Equitas Sma. Fin,543243,EQUITASBNK,Banks - Private Sector,81.59,1.62,10.13,10.57,1.33,1.33,0.48,8.42,-87.59,3.90,5157.95,1.62,1.33,10.57,-1.81,35.49,861.76,2.73,5.40,6.78,14.20,94.00,-293.65,0.13,4.33,29.97,1.97,0.70,0.62,14.20,76.55,2.16,8.54,25.77,4.25,2.16,1.14,360.01,9273.90
Eraaya Lifespace,531035,,Finance & Investments,796.80,4.44,-490.42,684.83,16.04,84.00,31.83,2.49,,-87.06,13.34,4.44,84.00,713.36,0.01,0.00,8.29,-36.56,0.00,0.53,0.00,27.55,0.54,0.00,94.77,5.14,5881.98,0.95,-9640.08,0.00,13.07,-6332.46,-22.58,87780.89,4.48,-6342.16,161.74,1268.43,1205.01
ERIS Lifescience,540596,ERIS,Pharmaceuticals - Indian - Formulations,1121.00,6.74,700.93,21.34,0.91,4.40,6.48,82.21,12.29,30.64,2586.12,6.74,4.40,29.60,-0.02,7.00,6206.92,0.48,1.09,2.02,0.00,519.03,-9.24,0.05,91.92,2.52,41.72,0.97,3.39,0.00,345.81,31.39,17.72,238.12,136.64,31.39,4.88,183.39,15254.01
Eros Intl.Media,533261,EROSMEDIA,Entertainment / Electronic Media Software,19.56,0.38,1.14,-3.88,0.85,-2.03,,4.01,-252.16,-26.51,957.10,0.38,-2.03,-3.64,3.11,-1.29,341.87,11.86,0.85,2.27,0.00,,-383.93,0.27,20.65,33.47,15.06,0.67,0.07,0.00,,1.05,-0.95,,2.04,1.05,0.87,-3.58,187.61
ERP Soft Systems,530909,,Computers - Software - Medium / Small,160.00,5.42,-426.67,231.79,3.39,,-32.92,84.44,50.00,-20.42,17.53,5.42,,270.42,0.06,11.06,13.52,-0.78,0.11,1.28,0.00,16.38,-2.43,0.01,75.97,15.72,143.72,0.84,-35.70,0.00,20.68,-1600.00,1.67,1345.48,24.70,-1584.00,6.38,2112.00,63.36
Esaar (India),531502,,Finance & Investments,5.93,1.85,-40.32,6.85,0.34,1.12,,-316.21,188.99,-36.99,33.11,1.85,1.12,7.03,-4.63,-87.46,-18.77,-0.27,1.32,4.00,0.00,,-359.16,0.08,25.08,45.24,38.23,0.55,-0.09,0.00,,0.17,14.87,,-10.14,0.17,0.69,4.28,12.12
Esab India,500133,ESABINDIA,Electrodes - Welding Equipment,6253.60,7.74,100.96,41.15,1.75,436.14,2.59,14.13,16.60,13.10,306.06,7.74,436.14,43.75,0.04,0.03,305.27,33.19,0.12,1.67,81.21,1660.40,0.53,0.01,69.44,10.65,37.13,0.89,7.95,81.21,688.24,68.29,63.68,1877.57,114.10,68.24,32.67,217.50,9624.29
ESAF Small Fin,544020,ESAFSFB,Banks - Private Sector,50.66,0.66,-22.41,11.84,3.96,1.31,0.20,37.89,44.80,2.04,2491.79,0.66,1.31,11.84,-5.69,54.26,1701.42,-0.51,9.27,9.29,8.47,136.81,-830.93,0.42,7.87,38.52,5.65,0.61,0.51,8.47,89.51,2.61,7.52,7.64,29.02,2.61,0.77,41.55,2607.87
Esconet,,ESCONET,Computers - Software - Medium / Small,307.75,2.77,-221.87,37.90,2.15,5.09,,27.26,-25.99,-7.13,25.17,2.77,5.09,40.75,,0.44,38.96,-10.37,0.06,4.97,0.00,199.36,-0.48,0.00,70.29,18.54,116.73,0.81,,0.00,53.57,-206.28,36.74,742.82,30.23,-205.61,11.89,,380.38
Escorp Asset Mgt,540455,,Finance & Investments,71.44,4.15,9.92,3.31,42.54,,0.02,75.89,-83.68,-84.98,49.32,4.15,,3.31,0.73,0.00,14.54,18.90,0.00,1.09,0.00,108.23,8.47,0.08,81.65,18.35,,0.82,1.32,0.00,124.46,4.75,24.14,7.41,13.10,4.76,5.75,,79.42
Escorts Kubota,500495,ESCORTS,Automobiles - Tractors,3905.20,4.90,172.97,26.46,2.02,114.11,2.40,21.81,16.37,10.34,9176.30,4.90,114.11,29.63,0.19,0.05,3942.91,2.86,0.08,1.16,18.96,1209.26,0.98,0.02,73.13,11.45,54.36,0.89,5.37,18.96,1333.96,41.81,14.34,192.75,173.79,41.81,8.67,147.23,43151.78
Esha Media,531259,,Miscellaneous,16.80,10.50,-106.25,69.77,1.32,,3.19,28.00,537.50,3733.33,-7.29,10.50,,72.17,-0.63,-86.78,0.39,-23.05,-1.25,-0.23,0.00,,-69.28,0.00,100.00,0.00,495.74,1.00,-8.20,0.00,,-87.36,-22.61,,0.45,-87.47,8.23,37.49,13.12
Espire Hospi,532016,,Hotels,153.05,5.78,-15.84,34.35,1.01,3.01,0.75,11.35,-13.48,-13.70,3.31,5.78,3.01,65.82,-0.23,20.99,57.81,-38.98,16.51,14.53,0.00,21.56,-25.94,0.00,57.36,39.73,783.15,0.60,8.38,0.00,10.23,61.13,11.61,5037.92,3.01,61.13,5.57,268.34,206.62
Esprit,,ESPRIT,Miscellaneous,97.80,0.70,-8.95,9.43,1.05,2.41,,29.77,,,72.39,0.70,2.41,13.01,,12.15,199.26,-12.62,,3.54,0.00,,-67.65,0.02,100.00,0.00,4.99,1.00,,0.00,,15.05,15.51,,37.10,13.42,3.12,,190.92
Essar Shipping,533704,ESSARSHPNG,Shipping,50.23,51.37,2.93,-793.43,0.30,-0.45,,-286.02,-28.63,-1.55,-2807.31,51.37,-0.45,-99.69,-1.97,-25.33,-31.77,1459.09,-1.11,-0.35,0.00,,-298.29,0.02,64.86,29.82,362.95,0.70,0.45,0.00,,-22.36,-150.86,,-2.80,-22.36,-2.68,-15.92,1039.64
Essen Speciality,,ESFL,Plastics Products,156.00,2.26,-240.99,10.99,13.72,12.12,,70.52,-57.02,6.92,143.09,2.26,12.12,13.90,0.17,0.00,142.45,-1.14,0.02,0.92,0.00,169.93,11.10,0.07,25.81,37.06,25.76,0.63,4.48,0.00,103.44,-112.52,15.21,51.26,48.61,-112.51,6.86,164.75,322.91
Ester Industries,500136,ESTER,Packaging,143.95,1.27,-7.02,592.37,1.27,-0.92,,42.13,47.08,3.35,717.55,1.27,-0.92,-31.07,,-6.38,1519.66,-12.64,1.71,2.34,0.00,,-81.92,0.06,78.80,10.65,79.47,0.89,,0.00,,30.91,4.84,,47.66,30.89,2.77,-57.02,1352.47
Ethos Ltd,543532,ETHOSLTD,Trading,3046.60,7.47,-342.66,41.23,5.06,7.95,2.03,72.60,-17.59,-10.21,883.97,7.47,7.95,57.00,0.04,1.74,963.56,-2.45,0.21,1.16,0.00,900.86,2.18,0.04,82.27,9.78,101.29,0.90,20.54,0.00,525.76,242.26,15.77,755.80,296.01,242.07,13.21,354.65,7458.21
ETT Ltd,537707,,Construction,20.17,,1.78,8.84,1163.67,,0.59,,-6.98,,36.10,,,8.84,0.14,0.00,34.88,33.41,0.00,0.98,0.00,21.56,0.19,0.00,14.53,48.04,18.65,0.52,1.81,0.00,36.15,12.87,3.77,7.01,33.54,12.83,3.70,52.28,20.91
Euphoria Infotec,544094,,Computers - Software - Medium / Small,66.85,3.23,-8.25,11.84,8.43,6.39,,203.99,-48.33,-35.34,13.66,3.23,6.39,12.40,-0.26,0.98,13.07,-41.59,0.06,2.03,0.00,61.25,-3.25,0.01,8.20,66.49,21.55,0.34,-1.07,0.00,59.95,-2.92,27.02,28.05,42.28,-2.92,4.54,,19.40
Eureka Forbes,543482,,Domestic Appliances,493.15,4.36,78.90,47.33,0.61,15.15,0.55,-15.64,-5.61,2.69,4203.03,4.36,15.15,64.39,0.04,0.42,5115.79,2.86,0.02,1.45,0.00,90.73,-0.08,0.01,50.30,16.13,24.17,0.84,9.43,0.00,152.16,48.86,1.96,212.43,-17.70,48.86,3.82,296.55,9537.08
Eureka Industrie,521137,,Textiles - Cotton/Blended,3.64,0.17,2.57,-1.00,0.39,-74.83,,-12.26,-20.79,10.86,-3.64,0.17,-74.83,-1.00,0.31,-0.28,-2.36,105.65,-0.35,-1.22,0.00,,-40.13,0.00,31.74,35.46,34.32,0.65,0.35,0.00,,1.25,-193.30,,-2.68,1.25,1.04,-1.31,3.19
Euro Asia Export,530929,,Trading,17.03,0.21,15.72,61.50,1.41,,8.98,3.84,-100.00,13566.67,0.49,0.21,,61.50,0.09,0.00,0.48,31.80,0.00,2.43,0.00,1.78,7.87,0.05,67.17,10.37,31.00,0.90,21.36,0.00,2.99,9.40,4.57,727.58,3.00,9.21,10.95,,2.67
Euro India Fresh,,EIFFL,Food - Processing - Indian,149.22,3.33,155.49,43.17,2.11,1.84,5.80,65.71,-113.89,-12.45,66.70,3.33,1.84,61.26,-0.07,17.95,106.80,2.28,0.59,1.82,0.00,25.69,-10.61,0.00,56.23,11.63,20.34,0.88,6.44,0.00,23.12,38.47,5.53,937.84,29.48,38.47,7.54,-2467.13,370.07
Euro Leder Fash,526468,,Leather / Leather Products,28.28,0.38,22.07,11.00,1.04,1.30,-6.44,62.05,-100.00,14.63,14.42,0.38,1.30,13.31,-0.81,62.32,35.53,1.61,1.98,3.47,0.00,13.37,-199.92,0.25,69.41,16.18,77.97,0.84,0.75,0.00,22.42,1.96,5.48,35.88,45.89,1.94,2.22,,12.64
Euro Panel,,EUROBOND,Aluminium and Aluminium Products,194.00,1.20,-498.57,16.49,1.50,3.06,1.09,36.07,19.70,8.80,114.87,1.20,3.06,19.01,-0.11,6.27,206.01,-0.61,1.06,2.21,0.00,183.63,-24.47,0.01,64.00,15.65,49.23,0.84,3.44,0.00,79.31,13.74,19.16,134.67,58.18,13.74,5.64,252.82,475.30
Eurotex Industri,521014,EUROTEXIND,Construction,15.25,21.17,-25.35,-34.99,0.05,-1.64,,-2550.79,51.53,,-26.46,21.17,-1.64,-11.80,-4.00,-5.82,11.20,-3.48,-1.64,-1.54,0.00,,-318.82,0.03,43.57,30.84,52.50,0.69,-0.18,0.00,,-18.95,-25.47,,-18.47,-19.06,-1.28,-14.04,13.34
Evans Electric,542668,,Miscellaneous,300.00,3.98,23.10,11.65,2.15,26.60,0.49,30.38,-42.55,25.41,19.50,3.98,26.60,12.07,0.25,0.08,8.04,23.41,0.17,1.13,0.00,230.05,-0.60,0.03,65.64,25.21,180.64,0.75,3.15,0.00,171.88,22.69,29.61,68.53,23.26,23.06,8.47,,82.32
Evantra Ventures,512099,,Trading,963.90,10.10,-391.36,92.17,9.81,,2.56,44.64,118.92,-11.29,11.95,10.10,,92.17,0.04,0.00,7.77,-6.31,0.00,0.66,0.00,200.77,2.24,0.01,100.00,0.00,172.13,1.00,-40.31,0.00,111.11,-118.03,18.19,1693.78,43.06,-119.30,25.67,216.51,175.37
Eveready Inds.,531508,EVEREADY,Dry Cells,415.00,2.32,35.47,22.62,1.15,3.82,20.25,15.87,264.72,24.38,386.71,2.32,3.82,28.58,0.03,4.59,507.49,12.06,1.30,2.52,10.89,92.99,-16.41,0.00,71.43,10.37,40.68,0.90,1.91,10.89,108.33,19.60,14.34,330.17,28.38,19.60,7.58,102.73,3016.22
