Name,BSE Code,NSE Code,Industry,Current Price,Sales latest quarter,Profit after tax latest quarter,YOY Quarterly sales growth,YOY Quarterly profit growth,Sales growth,Profit growth,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,EBIT latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,NPM latest quarter,Equity Capital latest quarter,EPS latest quarter,Operating profit 2quarters back,Operating profit 3quarters back,Sales 2quarters back,Sales 3quarters back,Net profit 2quarters back,Net profit 3quarters back,Operating profit growth,Last result date,Expected quarterly sales growth,Expected quarterly sales,Expected quarterly operating profit,Expected quarterly net profit,Expected quarterly EPS,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,EBIT preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,NPM preceding quarter,Equity Capital preceding quarter,EPS preceding quarter,Market Capitalization
Jupiter Wagons,533272,JWL,Engineering,611.30,894.93,89.23,18.82,40.30,49.76,104.16,128.86,7.27,136.13,7.28,128.85,11.86,116.99,27.76,0.00,89.23,23.33,14.40,9.97,412.29,2.16,124.81,121.18,895.84,879.30,83.40,81.58,62.80,202406.00,56.08,1372.39,189.73,167.10,3.94,1112.93,147.72,8.41,156.13,7.02,149.11,10.56,138.55,34.33,104.22,0.00,104.22,13.27,9.36,399.49,2.53,25949.57
Just Dial,535648,JUSTDIAL,Miscellaneous,1218.25,280.57,68.96,13.60,186.50,18.80,127.21,80.64,86.87,86.55,11.71,74.84,1.91,153.89,12.67,80.96,141.22,100.00,28.74,24.58,85.04,16.61,60.37,48.78,265.05,260.61,92.01,71.79,127.97,202406.00,19.01,310.14,69.17,52.92,6.22,270.27,70.64,91.29,76.90,11.80,65.10,2.78,147.35,31.70,48.91,85.03,115.65,26.14,18.10,85.03,13.60,10360.03
Jyothi Infra.,531537,,Construction,30.62,0.00,-0.63,,,,,-0.63,-1.25,-0.63,0.00,-0.63,0.00,-1.88,0.00,-1.25,-1.88,,,,1.55,-12.15,0.00,0.00,0.00,0.00,0.00,0.00,,202403.00,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,1.55,0.00,4.74
Jyothy Labs,532926,JYOTHYLAB,Personal Care - Indian,518.65,741.81,101.69,7.96,5.65,9.15,33.05,133.45,13.72,147.17,13.41,133.76,1.39,132.37,30.68,0.00,101.69,51.29,17.99,13.71,36.72,2.77,118.63,135.37,677.50,732.34,90.92,103.98,32.77,202406.00,9.18,799.55,143.09,126.74,3.45,659.99,108.38,12.97,121.35,12.86,108.49,1.26,107.23,29.08,78.15,0.00,78.15,16.42,11.84,36.72,2.13,19045.28
Jyoti,504076,,Electric Equipment,80.36,62.40,5.64,18.52,-27.23,13.46,-25.86,5.46,1.57,6.60,1.72,4.88,0.08,5.23,-0.84,0.43,6.07,27.84,8.75,9.04,23.09,2.63,2.05,1.76,40.39,30.80,0.59,0.43,22.87,202403.00,14.20,35.17,2.17,0.76,0.33,41.76,2.55,0.23,2.83,1.53,1.30,0.03,1.22,0.00,1.27,-0.05,1.22,6.11,3.04,23.09,0.53,185.57
Jyoti CNC Auto.,544081,JYOTICNC,Engineering,1148.65,450.13,99.64,0.98,125.99,44.04,7836.41,133.82,2.99,136.81,8.48,128.33,20.70,107.63,7.98,0.00,99.64,48.65,29.73,22.14,45.49,4.38,54.53,,302.28,,16.76,,209.03,202403.00,,,,,,377.92,96.27,3.10,99.37,8.65,90.72,23.55,67.17,19.13,48.04,0.00,48.04,25.47,12.71,,2.44,26122.95
Jyoti Resins,514448,,Chemicals,1437.50,71.24,18.77,9.47,14.38,-1.51,44.53,21.23,4.20,25.43,0.26,25.17,0.05,25.12,6.35,0.00,18.77,61.59,29.80,26.35,12.00,15.64,21.40,20.74,62.96,61.18,16.18,15.73,38.41,202403.00,-1.09,60.51,20.04,19.68,16.40,61.92,20.56,1.25,21.81,0.29,21.52,0.00,21.52,5.08,16.44,0.00,16.44,33.20,26.55,12.00,13.70,1725.00
Jyoti Structures,513250,JYOTISTRUC,Transmisson Line Towers / Equipment,29.72,128.96,14.12,-17.24,154.41,96.91,809.09,6.37,1.09,7.46,2.08,5.38,0.58,4.80,-9.32,0.00,14.12,69.08,4.94,10.95,146.19,0.17,10.19,3.94,81.36,185.17,11.20,2.46,34460.00,202403.00,530.46,,,,,55.80,-4.26,7.17,2.91,1.76,1.15,0.07,1.08,0.00,1.08,0.00,1.08,-7.63,1.94,140.91,0.01,2518.32
Jyotirgamya Ent.,539246,,Trading,108.00,0.00,0.00,,,-100.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,202406.00,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,2.55,0.00,24.84
K C P,590066,KCP,Cement - South India,238.61,691.03,33.02,-7.14,8.94,14.90,242.67,66.72,11.13,79.24,20.26,58.98,9.56,48.03,-2.51,-1.39,50.81,35.51,9.66,7.55,12.89,2.49,98.85,73.85,777.12,700.45,95.81,50.31,100.80,202406.00,18.22,828.05,99.74,64.13,3.15,625.03,114.18,12.90,126.99,21.94,105.05,6.91,98.23,15.46,55.54,0.09,84.51,18.27,13.51,12.89,4.31,3076.19
K E C Intl.,532714,KEC,Transmisson Line Towers / Equipment,882.30,4511.89,87.58,6.32,106.90,10.85,109.26,270.37,43.13,313.50,46.51,266.99,154.95,112.04,24.46,0.00,87.58,60.25,5.99,1.94,51.42,3.41,307.89,274.32,5006.72,4499.03,96.87,55.83,36.98,202406.00,10.92,4990.39,305.48,102.64,3.99,6164.83,388.00,7.79,395.79,48.25,347.54,154.25,193.29,41.54,151.75,0.00,151.75,6.29,2.46,51.42,5.90,22682.91
K G Denim,500239,,Textiles - Cotton/Blended,27.70,66.00,-10.46,-27.75,19.54,-50.10,-0.38,-3.96,4.06,-2.46,3.15,-5.61,8.80,-11.85,-3.95,2.56,-7.90,28.64,-6.00,-15.85,25.65,-3.37,0.33,-3.56,67.12,65.29,-6.13,-9.29,53.17,202403.00,-46.67,34.82,-0.75,-11.52,-4.49,66.06,5.87,0.53,6.40,3.82,2.58,5.82,-3.24,-0.83,-2.41,0.00,-2.41,8.89,-3.65,25.65,-0.94,71.02
