Name,BSE Code,NSE Code,Industry,Current Price,Sales latest quarter,Profit after tax latest quarter,YOY Quarterly sales growth,YOY Quarterly profit growth,Sales growth,Profit growth,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,EBIT latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,NPM latest quarter,Equity Capital latest quarter,EPS latest quarter,Operating profit 2quarters back,Operating profit 3quarters back,Sales 2quarters back,Sales 3quarters back,Net profit 2quarters back,Net profit 3quarters back,Operating profit growth,Last result date,Expected quarterly sales growth,Expected quarterly sales,Expected quarterly operating profit,Expected quarterly net profit,Expected quarterly EPS,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,EBIT preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,NPM preceding quarter,Equity Capital preceding quarter,EPS preceding quarter,Market Capitalization
Jindal Steel,532286,JINDALSTEL,Steel - Sponge Iron,956.75,13617.84,1337.92,8.18,-20.69,-2.29,45.20,2839.32,34.49,2873.81,682.92,2190.89,331.84,1859.05,521.13,0.00,1337.92,49.68,20.85,9.82,101.18,13.14,2842.56,2285.43,11701.32,12250.16,1927.99,1390.10,14.12,202406.00,-1.85,12023.24,2389.35,1372.00,13.45,13486.96,2444.49,34.55,2479.04,994.90,1484.14,320.62,1163.52,230.06,933.46,0.00,933.46,18.12,6.92,100.50,9.17,97596.93
Jindal Worldwide,531543,JINDWORLD,Textiles - Products,370.10,573.79,28.17,4.43,6.18,-12.36,-34.63,55.53,0.72,56.25,8.41,47.84,8.90,38.94,10.76,0.00,28.17,27.02,9.68,4.91,20.05,1.40,34.84,42.21,391.83,410.70,12.76,13.69,-23.11,202403.00,-8.54,375.63,38.17,19.18,0.96,437.77,50.64,0.54,51.18,8.39,42.79,14.80,27.99,6.97,21.03,0.00,21.03,11.57,4.80,20.05,1.05,7421.26
Jio Financial,543940,JIOFIN,Finance & Investments,326.25,417.82,312.63,0.89,-5.81,4034.43,6282.46,343.86,61.92,405.78,5.39,400.39,0.00,400.39,87.76,0.00,312.63,100.00,82.30,74.82,6353.28,0.49,320.07,542.01,413.61,608.04,293.82,668.18,3867.31,202406.00,,,,,,418.10,320.34,77.69,398.03,5.36,392.67,0.00,392.67,82.04,310.63,0.00,310.63,76.62,74.30,6353.28,0.49,207275.90
JITF Infra Logis,540311,JITFINFRA,Miscellaneous,892.75,875.27,20.07,37.91,311.70,106.62,129.60,95.80,52.77,129.97,19.56,110.41,81.92,47.09,6.14,18.60,40.95,24.09,10.95,2.88,5.14,12.67,134.46,99.62,897.38,668.10,25.02,-5.74,82.67,202403.00,131.52,1546.80,227.57,105.11,32.51,842.81,148.45,5.57,154.02,24.39,129.63,79.40,50.23,19.62,13.66,0.00,30.60,17.61,3.63,5.14,5.31,2294.70
Jiwanram Sheo,,JIWANRAM,Textiles - Products,14.35,25.46,,,,1.72,-56.68,2.04,,,,,,,,,1.06,,,,,0.43,,,,,,,-10.42,202403.00,,,,,,17.59,1.99,,,,,,,,,,0.69,,,,0.28,35.51
JK Agri Genetics,536493,,Miscellaneous,551.65,78.96,8.58,-1.08,58.30,-10.36,-0.51,14.05,0.94,14.99,1.02,13.97,1.74,12.23,3.64,0.00,8.58,43.62,17.79,10.87,4.64,18.50,-7.12,-13.47,23.06,9.48,-6.51,-11.00,-18.91,202406.00,-8.30,8.69,-6.95,-9.06,-19.54,35.75,-14.34,4.61,-9.73,0.85,-10.58,2.00,-12.58,-3.85,-8.74,0.00,-8.74,-40.11,-24.45,4.64,-18.85,255.80
JK Lakshmi Cem.,500380,JKLAKSHMI,Cement - North India,848.25,1563.88,67.60,-9.62,-13.85,1.45,39.68,222.37,15.68,238.05,71.68,166.37,48.42,117.95,50.35,0.00,67.60,53.47,14.22,4.32,58.85,5.97,302.14,217.24,1702.84,1574.53,150.15,95.87,38.54,202406.00,2.36,1611.67,247.74,134.97,11.47,1780.85,336.19,26.30,362.49,67.87,294.62,44.62,250.00,87.94,157.01,0.00,162.06,18.88,9.10,58.85,13.34,9981.36
JK Paper,532162,JKPAPER,Paper,497.45,1713.65,139.72,8.16,-54.73,3.00,-24.78,280.33,29.00,309.33,80.30,229.03,35.59,193.44,52.65,0.00,140.79,35.20,16.36,8.22,169.40,8.25,372.24,407.28,1706.22,1650.04,236.36,305.68,-31.32,202406.00,3.10,1701.22,377.42,263.52,15.44,1718.61,358.95,57.49,416.44,63.35,353.09,34.62,318.47,39.87,275.64,0.00,278.60,20.89,16.21,169.40,16.27,8426.92
JK Tyre & Indust,530007,JKTYRE,Tyres,431.10,3639.08,211.79,-2.12,40.18,1.38,121.72,499.98,15.25,515.72,112.55,403.17,112.37,290.31,78.57,-0.49,218.30,41.15,13.74,6.01,52.14,8.11,550.18,589.14,3687.72,3897.53,227.07,248.62,44.24,202406.00,1.42,3953.03,573.29,342.25,12.71,3698.45,481.16,-8.83,496.79,112.00,384.79,108.61,251.72,76.82,186.10,-24.46,171.66,13.01,5.10,49.25,6.49,11239.80
JLA Infraville,538765,,Trading,4.06,0.00,,,,-100.00,-42.11,-0.09,,,,,,,,,0.06,,,,,0.09,,,,,,,-5.56,202403.00,,,,,,0.00,-0.09,,,,,,,,,,0.05,,,,0.08,2.63
JM Financial,523405,JMFINANCIL,Finance & Investments,103.31,1260.70,23.75,49.09,-26.62,45.44,-89.09,680.73,-831.44,696.15,14.16,681.99,407.25,-572.12,102.76,-846.86,-674.10,100.00,54.00,5.55,95.56,-2.39,662.61,593.88,1197.38,1066.65,205.94,176.56,30.56,202403.00,39.33,1486.12,846.07,421.30,1.50,1235.99,806.12,24.97,831.09,13.68,817.41,400.29,417.12,95.56,277.68,0.00,322.35,65.22,26.08,95.51,2.91,9873.74
JMD Ventures,511092,,Finance & Investments,14.02,-0.10,-0.96,-158.82,-265.52,27.29,-15.20,-0.62,-0.39,-1.04,0.02,-1.06,0.00,-1.03,-0.11,0.03,-0.93,,,,28.86,-0.32,1.10,1.26,0.13,0.40,1.18,0.94,4.02,202403.00,80.97,0.72,,,,6.09,0.85,0.39,1.32,0.01,1.31,0.00,1.23,0.33,0.96,-0.08,0.90,13.96,15.76,28.86,0.31,40.46
JMG Corporation,523712,,Trading,2.20,0.01,-0.19,0.00,-35.71,-82.67,129.73,-0.18,0.01,-0.17,0.00,-0.17,0.02,-0.19,0.00,0.00,-0.19,100.00,-1800.00,-1900.00,5.79,-0.08,0.08,0.07,0.20,0.23,0.12,0.11,100.00,202406.00,-80.79,0.04,-0.12,-0.14,-0.06,0.17,0.03,0.06,0.09,0.00,0.09,0.02,0.07,0.00,0.07,0.00,0.07,17.65,41.18,5.79,0.03,5.09
JMJ Fintech,538834,,Finance & Investments,21.31,3.07,0.46,293.59,187.50,95.29,1845.45,2.13,0.00,2.13,0.18,1.95,0.31,1.64,1.19,0.00,0.46,100.00,69.38,14.98,12.40,0.37,0.96,0.31,1.48,0.78,0.46,0.19,1381.82,202403.00,327.89,3.34,1.80,1.44,1.16,2.14,1.50,0.00,1.50,0.00,1.50,0.25,1.25,0.22,1.03,0.00,1.03,70.09,48.13,12.40,0.83,26.42
JNK,544167,JNKINDIA,Engineering,751.65,226.85,16.65,111.22,56.19,17.97,35.31,31.26,1.31,32.57,1.57,31.00,2.58,28.42,11.77,0.00,16.65,42.75,13.78,7.34,9.68,3.44,,,,,,,43.44,202403.00,,,,,,119.77,38.55,2.54,41.09,1.55,39.54,3.78,35.76,5.87,29.90,0.00,29.90,32.19,24.96,,6.18,4180.75
Jocil,,JOCIL,Chemicals,199.93,182.32,1.69,-8.89,-46.01,-18.07,-82.63,3.17,1.10,4.27,1.62,2.65,0.05,2.60,0.91,0.00,1.69,21.58,1.74,0.93,8.88,1.90,2.55,2.27,218.38,180.13,1.85,1.34,-71.07,202403.00,-16.17,151.00,1.26,-0.13,-0.15,172.37,-2.88,0.56,-2.32,1.63,-3.95,0.27,-4.22,-1.06,-3.16,0.00,-3.16,-1.67,-1.83,8.88,-3.56,177.54
John Cockerill,500147,,Engineering,5369.75,93.29,-0.03,-57.82,-100.69,2.76,-7.40,0.58,1.49,2.07,1.55,0.52,0.53,-0.01,0.01,0.00,-0.03,41.54,0.62,-0.03,4.94,-0.06,12.72,6.16,253.90,191.56,10.32,6.98,15.55,202406.00,91.98,367.75,11.35,7.38,14.94,147.06,4.76,1.75,6.51,1.33,5.18,0.46,4.72,1.09,3.62,0.00,3.62,3.24,2.46,4.94,7.33,2652.66
Johnson Con. Hit,523398,JCHAC,Air-conditioners,1925.90,995.96,36.15,75.60,188.13,20.92,125.29,56.57,10.55,67.12,16.57,50.55,1.49,49.06,12.91,0.00,36.15,26.27,5.68,3.63,27.19,13.29,-3.15,-43.58,299.56,280.15,-27.11,-56.40,233.27,202406.00,39.06,389.58,-20.45,-36.61,-13.47,771.81,81.40,1.21,84.38,15.62,68.76,1.93,65.06,16.25,50.14,-1.77,48.81,10.55,6.50,27.19,17.95,5236.52
Johnson Pharma,532154,,Trading,1.10,0.00,-0.04,,78.95,-100.00,97.86,-0.04,0.00,-0.04,0.00,-0.04,0.00,-0.04,0.00,0.00,-0.04,,,,55.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88.89,202406.00,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,55.00,0.00,60.50
Joindre Capital,531861,,Finance & Investments,56.67,13.41,1.88,99.26,218.64,43.24,-47.73,4.24,-7.01,4.24,0.16,4.08,0.16,-3.09,1.01,-7.01,-4.09,100.00,31.62,14.02,13.84,-2.96,2.66,1.52,10.26,7.00,1.82,0.90,109.02,202403.00,52.55,10.68,2.63,2.31,1.67,10.84,2.69,0.00,2.69,0.14,2.55,0.06,2.49,0.63,1.86,0.00,1.86,24.82,17.16,13.84,1.34,78.43
Jointeca Educati,534659,,Computers - Software - Medium / Small,11.29,0.06,,,,100.00,-17.24,-0.10,,,,,,,,,-0.63,,,,,-0.63,,,,,,,45.45,202403.00,,,,,,0.04,-0.09,,,,,,,,,,-0.39,,,,-0.39,11.31
Jonjua Overseas,542446,,Computers - Software - Medium / Small,11.00,2.96,,,,9.72,63.51,0.96,,,,,,,,,0.57,,,,,0.72,,,,,,,113.75,202403.00,,,,,,0.99,0.74,,,,,,,,,,0.64,,,,0.81,8.72
Josts Engg. Co.,505750,,Engineering,1025.75,61.84,3.19,12.68,65.28,8.73,37.57,5.16,0.46,5.62,0.84,4.78,0.53,4.25,1.06,0.00,3.19,35.59,8.34,5.16,0.96,6.52,3.99,2.41,41.01,38.20,2.20,1.19,22.21,202403.00,9.01,41.64,3.49,2.24,4.58,46.40,6.16,0.08,6.24,0.80,5.44,0.60,4.84,1.51,3.33,0.00,3.33,13.28,7.18,0.93,6.81,501.53
JP Associates,532532,JPASSOCIAT,Construction,9.30,1740.93,-113.28,-8.74,-524.59,-9.57,44.14,100.72,-151.19,276.14,94.54,181.60,274.87,-419.88,11.40,-326.61,-431.28,23.59,5.79,-6.51,490.92,-1.79,89.82,78.21,1895.51,1429.06,-248.09,-183.49,-43.33,202403.00,-10.76,1275.30,70.98,-279.37,-1.14,1502.59,96.92,-189.38,210.37,96.31,114.06,270.50,-459.27,16.85,-183.23,-302.83,-476.12,6.45,-12.25,490.92,-1.93,2282.77
JP Power Ven.,532627,JPPOWER,Power Generation And Supply,19.79,1754.70,348.54,2.75,81.86,20.01,21841.86,789.90,24.36,814.26,117.53,696.73,108.98,587.75,239.21,0.00,348.54,49.45,45.02,19.86,6853.46,0.51,577.26,410.81,2190.32,1349.81,172.85,68.66,147.11,202406.00,28.87,1739.46,610.70,377.34,0.55,1514.83,726.77,46.39,1075.57,116.37,959.20,108.62,548.17,-40.62,891.19,-302.41,588.79,47.98,58.83,6853.46,0.86,13563.00
JPT Securities,530985,,Finance & Investments,9.13,0.10,-0.66,0.00,-725.00,-10.64,-533.33,-0.65,0.00,-0.65,0.00,-0.65,0.00,-0.65,0.00,0.00,-0.66,100.00,-650.00,-660.00,3.01,-2.20,-0.01,-0.08,0.11,0.10,0.00,-0.08,-722.22,202403.00,-11.71,0.09,-0.14,-0.14,-0.45,0.11,-0.03,0.01,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,-27.27,-18.18,3.01,-0.07,2.75
JSL Industries,504080,,Electric Equipment,1933.60,13.88,4.05,11.04,107.69,5.65,63.24,0.52,4.44,4.96,0.31,4.65,0.07,4.58,0.53,0.00,4.05,42.44,3.75,29.18,1.17,34.50,1.40,1.33,14.44,11.76,-0.29,2.85,-4.78,202406.00,6.28,12.50,1.17,0.82,6.97,12.65,1.13,1.15,2.28,0.30,1.98,0.09,1.89,0.24,1.65,0.00,1.65,8.93,13.04,1.17,14.06,226.98
JSW Energy,533148,JSWENERGY,Power Generation And Supply,722.05,2879.46,521.76,-1.65,79.99,11.77,62.63,1417.74,166.99,1584.73,375.45,1209.28,511.06,698.22,164.06,0.00,534.16,62.98,49.24,18.55,1744.43,2.99,1110.79,1880.38,2542.77,3259.42,232.24,856.79,60.46,202406.00,13.68,3705.34,1904.51,865.86,4.84,2755.87,1168.53,130.33,1298.86,426.73,872.13,533.21,338.92,-6.35,345.27,0.00,345.27,42.40,12.53,1641.13,2.14,126197.62
JSW Holdings,532642,JSWHL,Finance & Investments,6879.85,27.23,52.58,4.25,115.85,-58.78,-47.54,24.03,0.00,24.03,0.00,24.03,0.00,24.03,6.08,0.00,52.58,100.00,88.25,193.10,11.10,47.37,24.58,86.13,27.29,89.17,34.71,63.20,-61.05,202406.00,-35.34,57.66,53.38,53.25,47.98,26.99,23.58,0.00,23.58,0.00,23.58,0.00,23.58,4.16,33.29,0.00,33.29,87.37,123.34,11.10,29.99,7636.63
JSW Infrast,543994,JSWINFRA,Miscellaneous,325.90,1009.77,292.44,14.99,-8.87,19.72,29.36,514.64,93.92,608.56,134.58,473.98,82.34,391.64,95.09,0.00,296.55,100.00,50.97,29.37,412.88,1.39,479.89,452.17,940.11,848.31,253.57,255.87,23.61,202406.00,19.90,1017.09,533.85,300.89,1.41,1096.38,581.18,103.92,685.10,133.65,551.45,134.08,417.37,88.29,329.08,0.00,329.08,53.01,30.02,406.63,1.57,68439.05
JSW Steel,500228,JSWSTEEL,Steel - Large,899.55,42943.00,845.00,1.73,-63.86,3.32,36.02,5498.00,164.00,5662.00,2209.00,3453.00,2073.00,1380.00,513.00,0.00,867.00,38.43,12.80,2.02,244.00,3.46,7164.00,7862.00,41940.00,44584.00,2450.00,2773.00,25.65,202406.00,3.45,46121.80,7364.94,3053.34,12.17,46269.00,6026.00,242.00,6268.00,2194.00,4074.00,2062.00,2012.00,690.00,1299.00,0.00,1322.00,13.02,2.86,305.00,5.31,219980.81
JTEKT India,520057,JTEKTINDIA,Auto Ancillaries,197.71,552.91,14.88,15.79,13.33,12.75,22.25,37.39,4.76,42.15,19.89,22.26,2.20,20.06,5.18,0.00,14.88,27.31,6.76,2.69,25.43,0.59,50.99,60.17,552.00,583.88,23.75,30.16,25.91,202406.00,13.27,661.34,63.87,38.10,1.50,632.08,69.70,4.27,73.97,22.98,50.99,2.14,48.85,14.56,34.30,0.00,34.30,11.03,5.43,24.45,1.35,5027.38
JTL Industries,534600,JTLIND,Steel - Medium / Small,208.77,515.38,30.70,2.10,21.01,21.70,13.14,39.69,4.18,43.87,1.89,41.98,1.26,40.72,10.02,0.00,30.70,12.55,7.70,5.96,35.44,1.79,42.51,37.41,567.39,502.10,30.18,27.92,4.57,202406.00,27.44,639.89,48.45,45.11,2.43,465.94,36.74,3.33,40.07,1.55,38.52,0.95,37.57,8.47,29.10,0.00,29.10,7.89,6.25,34.03,1.70,3881.22
Jubilant Food.,533155,JUBLFOOD,Hotels,606.70,1572.80,50.76,23.86,77.86,9.61,-27.45,310.36,197.02,337.89,168.85,169.04,114.18,224.35,16.11,169.49,208.25,76.64,19.73,3.24,131.97,3.14,277.18,235.01,1368.63,1334.54,97.20,28.92,0.66,202403.00,10.23,1471.01,277.39,7.75,0.12,1378.12,280.11,19.67,299.78,151.51,148.27,62.43,85.84,20.13,65.71,0.00,65.71,20.33,4.77,131.97,1.00,40032.81
Jubilant Inds.,533320,JUBLINDS,Chemicals,1455.90,300.32,11.46,-12.54,17.66,-14.25,-14.49,22.29,13.11,22.46,3.77,18.69,4.95,26.68,4.67,12.94,22.01,44.10,7.42,3.82,15.07,14.61,23.06,35.64,311.69,348.74,8.57,20.54,2.61,202403.00,-13.91,300.22,27.32,18.72,12.42,292.51,26.67,-46.49,26.87,3.80,23.07,4.49,-28.11,-5.13,23.68,-46.69,-22.98,9.12,8.10,15.07,-15.25,2193.62
Jubilant Ingrev.,543271,JUBLINGREA,Chemicals,640.20,1024.34,48.74,-4.71,-15.37,-12.75,-39.09,109.53,9.65,119.18,38.88,80.30,14.27,66.03,17.29,0.00,48.74,36.89,10.69,4.76,15.80,3.06,95.57,117.66,966.40,1019.94,38.56,57.49,-20.82,202406.00,-12.15,895.97,95.09,49.33,3.10,1074.44,91.19,9.50,100.69,35.72,64.97,13.62,51.35,22.10,29.25,0.00,29.25,8.49,2.72,15.80,1.84,10197.18
Jubilant Pharmo,530019,JUBLPHARMA,Pharmaceuticals - Indian - Bulk Drugs,851.40,1731.70,106.58,9.12,1676.33,6.71,269.17,251.50,409.90,265.50,90.70,174.80,71.00,499.70,17.90,395.90,481.80,67.56,14.52,6.15,15.80,30.26,218.00,241.80,1677.10,1680.30,66.40,62.10,31.45,202406.00,6.75,1793.66,257.47,85.96,5.40,1758.60,271.40,-151.10,289.20,101.00,188.20,73.00,-53.70,8.10,-0.95,-168.90,-61.80,15.43,-0.06,15.80,-3.68,13562.80
Julien Agro,536073,,Trading,27.68,15.89,0.02,959.33,122.22,967.50,-99.88,0.04,0.00,0.04,0.00,0.04,0.00,0.04,0.02,0.00,0.02,1.51,0.25,0.13,19.79,0.01,-0.09,-0.09,0.00,0.00,-0.09,-0.09,-12.50,202403.00,,,,,,5.46,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,0.00,0.21,3.85,3.85,19.79,0.11,54.78
Jullundur Motor,,JMA,Auto Ancillaries,110.42,120.87,7.48,2.51,-1.45,3.63,-7.81,8.48,1.55,10.03,0.22,9.81,0.00,9.81,2.33,0.00,7.48,14.15,7.02,6.19,4.57,3.27,4.43,3.86,100.58,94.23,4.83,3.61,-13.02,202403.00,3.66,97.68,4.68,4.47,1.96,107.64,5.41,1.41,6.82,0.21,6.61,0.00,6.61,1.64,4.96,0.00,4.96,5.03,4.61,4.57,2.17,252.21
Jumbo Bag,516078,,Packaging,45.84,28.04,0.47,15.49,9.30,3.42,81.33,2.01,0.05,2.06,0.69,1.37,0.61,0.76,0.28,0.00,0.47,43.72,7.17,1.68,8.37,0.56,2.57,1.78,25.65,27.46,-0.30,0.45,24.27,202406.00,5.36,28.93,2.07,0.82,0.98,26.93,1.68,0.28,1.96,0.57,1.39,0.70,0.69,0.09,0.60,0.00,0.60,6.24,2.23,8.78,0.72,38.37
Juniper Hotels,544129,JUNIPER,Hotels,420.40,245.28,46.75,26.45,216.09,22.62,180.13,91.08,2.90,93.98,26.04,67.94,61.07,6.87,-39.89,0.00,46.75,92.67,37.13,19.06,222.50,2.10,60.20,,168.46,,-15.65,,14.38,202403.00,,,,,,236.27,96.64,4.43,101.07,26.13,74.94,72.02,2.92,-0.62,3.54,0.00,3.54,40.90,1.50,172.50,0.21,9354.00
Jupiter Info.,534623,,Miscellaneous,39.18,2.74,1.08,53.07,-32.08,-10.95,72.43,-0.64,4.82,4.18,0.10,4.08,0.00,4.08,1.25,0.00,2.82,81.75,-23.36,102.92,10.02,1.08,-0.04,-0.05,0.48,0.37,2.34,2.54,-123.76,202403.00,30.89,0.48,-0.03,-0.09,-0.03,1.20,0.49,1.10,1.59,0.10,1.49,0.00,1.49,0.18,0.97,0.00,1.32,40.83,110.00,10.02,0.97,39.26
Jupiter Life Lin,543980,JLHL,Healthcare,1347.55,245.31,41.50,16.55,47.79,15.66,39.99,56.39,11.02,65.13,7.47,57.66,0.93,59.01,15.86,2.28,43.15,81.65,22.99,16.92,65.57,6.58,58.80,51.14,227.07,207.87,36.13,30.44,9.48,202403.00,15.67,240.44,59.09,49.94,7.62,230.38,57.05,7.77,64.97,7.65,57.32,1.01,56.16,13.93,42.35,-0.15,42.24,24.76,18.38,65.57,6.44,8835.35
