Name,BSE Code,NSE Code,Industry,Current Price,Number of equity shares 10years back,Average return on equity 5Years,Average return on equity 3Years,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization
G G Engineering,540614,,Trading,2.05,43.67,5.22,5.85,0.17,0.17,,11.40,6.60,6.52,1.37,0.00,0.00,0.00,5.79,4.80,10.74,11.78,6.44,6.20,-25.89,2.51,3.42,42896.00,0.00,250.29,72.32,41.95,2.19,3.31,21.25,34.67,34.67,26.25,863.18,303.60,,,237.01,0.00,-8.47,286.90
G K Consultants,531758,,Finance & Investments,16.45,0.53,0.18,2.10,12.26,13.25,11.65,4.69,10.35,47.22,57.55,0.00,0.00,0.00,3.02,0.29,0.99,2.07,1.41,0.69,-4.02,0.84,0.81,1810.00,0.00,53.09,85.31,34.36,0.13,2.00,18.63,19.73,18.30,17.09,1.46,3.61,3.19,13.84,759.78,0.00,0.00,8.74
G K P Printing,542666,,Trading,9.89,,1.50,0.01,9.84,9.54,,14.54,24.78,,,0.00,0.00,0.00,2.16,3.83,3.83,3.83,,,,2.57,,18038.00,0.00,144.28,222.07,109.40,1.25,0.00,72.45,61.64,61.64,62.99,22.00,,,,142.84,0.00,0.00,21.77
G M Breweries,507488,GMBREW,Breweries & Distilleries,657.20,2.29,16.96,17.10,221.49,188.77,55.11,5.80,10.32,14.27,8.47,0.00,0.00,9.14,21.20,21.39,26.63,29.66,19.22,18.54,-4.59,19.55,20.68,31100.00,9.74,1.24,1.00,1.68,14.89,14.99,11.43,12.30,11.87,11.28,760.06,1197.36,693.82,148.90,8.28,-1.02,0.00,1501.53
G M D C,532181,GMDCLTD,Mining / Minerals / Metals,396.40,31.80,11.70,14.50,127.89,128.81,101.99,0.15,0.18,0.16,0.32,0.00,0.00,168.54,20.88,13.78,13.44,12.96,10.39,10.72,6.40,24.53,25.93,128257.00,34.89,20.69,39.89,28.64,9.26,11.94,8.40,8.09,8.16,7.51,1756.95,2585.34,3890.73,4194.42,177.16,0.51,-1.75,12605.52
G M Polyplast,543239,,Plastics Products,182.00,0.01,25.79,24.29,12.16,,,11.06,13.25,13.24,15.92,0.00,0.00,0.08,31.78,32.97,30.37,29.24,25.49,25.78,1.09,9.54,7.26,197.00,1.53,71.33,95.56,73.35,13.46,14.87,34.52,32.92,32.92,32.92,34.10,,,,74.03,0.42,0.00,244.96
G N F C,500670,GNFC,Chemicals,724.35,15.54,13.94,15.22,385.00,336.03,159.58,3.53,4.05,5.10,4.35,0.00,0.00,213.26,21.25,17.48,18.25,14.39,12.10,14.60,-18.46,17.01,15.61,279909.00,30.33,22.78,36.26,76.78,10.00,11.82,6.42,7.77,6.81,6.62,4665.67,4755.04,4461.30,1216.93,76.49,7.72,-1.01,10643.67
G R Infraproject,543317,GRINFRA,Construction,1727.00,2.49,22.28,19.96,,,,0.12,0.15,-0.06,4.14,0.00,0.00,0.00,18.32,21.05,23.95,24.19,24.86,23.79,-16.05,23.95,23.01,68832.00,0.00,18.09,22.88,37.50,9.92,9.05,11.34,11.34,11.34,11.34,,,,,133.34,0.76,20.61,16698.17
G S Auto Intl.,513059,,Auto Ancillaries,36.55,1.45,-9.05,-7.57,18.64,20.93,30.16,1.48,1.86,4.35,4.48,1.95,0.00,0.00,5.45,3.78,3.78,2.45,-7.99,-7.90,76.46,5.39,4.24,7809.00,0.00,49.82,85.55,59.08,-2.18,-1.69,76.35,111.54,76.35,76.35,6.31,10.60,18.97,7.81,53.18,0.00,0.00,53.06
G S F C,500690,GSFC,Fertilizers,246.90,39.85,6.52,7.83,231.89,172.19,113.07,4.69,3.91,5.72,5.71,0.00,0.00,158.60,10.46,8.11,8.02,8.43,6.87,6.58,-7.56,9.58,9.63,187570.00,23.61,17.00,22.39,34.89,5.01,6.67,6.91,8.90,9.29,8.68,3239.62,4154.13,5220.06,2261.36,97.16,-6.37,-4.87,9838.44
G V Films,523277,,Entertainment / Electronic Media Software,0.84,36.86,-4.06,-4.36,0.25,0.28,0.88,0.00,0.25,0.00,0.01,0.00,0.00,0.00,-1.44,-1.30,-1.57,-3.86,-12.66,-4.66,10.41,-6.29,-83.10,197352.00,0.00,25.86,76.04,176.61,-1.35,-1.37,,,,,33.84,42.99,25.07,14.75,4756.69,1.80,-1.80,76.85
G-Tec Janix,,GTECJAINX,Miscellaneous,70.00,,-16.98,-16.66,7.80,11.34,,1.53,1.67,0.53,,0.00,0.00,0.00,-10.37,-12.68,-4.74,-4.74,,-9.61,,-13.02,,1675.00,0.00,180.96,1307.92,256.85,-12.31,-10.36,93.63,33.14,33.14,91.17,24.50,21.33,,,138.82,0.00,0.00,71.33
G-Tech Info.,532139,,Computers - Software - Medium / Small,1.60,0.35,-25.64,-6.15,0.37,0.66,0.94,,,,,0.00,0.00,0.00,-2.20,-18.25,-16.22,-11.41,-8.16,-15.17,28.47,-131.25,-30.43,4003.00,0.00,0.00,0.00,0.00,-9.37,-1.69,53.33,163.33,53.33,53.33,0.24,0.35,0.94,0.14,-2176.96,0.00,0.00,0.56
Gabriel India,505714,GABRIEL,Auto Ancillaries,486.50,14.36,14.56,16.34,48.47,45.37,22.66,7.16,8.40,9.54,9.10,0.00,0.00,25.27,22.13,19.01,21.29,22.95,16.25,15.33,2.93,7.36,8.00,99809.00,23.97,52.15,60.15,49.97,8.57,9.57,21.87,21.16,21.88,21.88,1481.69,2076.37,1746.71,425.19,36.64,1.15,5.24,6988.31
Gabriel Pet,544108,,Textiles - Manmade,150.00,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,,,,,,,,0.00,,,,,144.35,144.35,144.35,144.35,,,,,0.00,,,39.70
GACM Tech,531723,GATECH,Finance & Investments,1.21,28.50,,,0.07,0.11,1.97,,,,,0.00,0.00,0.00,-25.85,-43.40,-49.10,-33.97,,,48.32,-86.82,-36.51,12112.00,0.00,44.36,0.00,0.00,-36.93,-25.35,53.33,1557.25,53.33,53.33,21.47,45.81,579.76,139.13,189.52,-1.24,-0.02,59.84
GACM Tech-DVR,570005,GATECHDVR,Finance & Investments,2.91,,,,,,,,,,,,,,-1.41,-1.41,-1.41,-1.41,,,,,,15174.00,,36.42,,,,,,,,,,,,,227.69,-1.32,-0.01,17.20
Gagan Gases,524624,,Chemicals,22.09,0.45,3.99,4.22,2.35,2.74,1.79,18.12,17.00,,29.00,0.00,0.00,0.00,10.41,9.91,8.90,9.41,5.92,4.49,-30.78,10.69,11.87,7187.00,0.00,40.05,85.78,121.67,2.77,3.07,44.41,45.74,45.74,40.11,2.71,4.31,2.60,2.12,189.63,0.00,-0.06,10.00
GAIL (India),532155,GAIL,Miscellaneous,219.85,676.52,14.78,14.30,79.85,72.83,50.29,14.64,20.75,23.36,20.12,0.00,0.00,3290.19,15.89,16.32,17.03,14.84,13.03,14.53,-1.83,10.61,10.98,925222.00,43.77,27.43,22.28,20.90,9.79,9.28,8.54,12.59,9.04,7.88,60165.20,78401.90,63756.19,47701.43,9.46,-2.79,0.18,144553.55
Gajanan Sec.Serv,538609,,Finance & Investments,89.00,,0.70,0.82,360.93,356.61,,,,,,0.00,0.00,0.00,0.22,0.20,0.24,0.21,,0.65,-0.51,72.59,,204.00,0.00,0.00,10.33,20.00,0.68,0.81,24.35,24.35,24.35,24.35,3.10,3.18,3.18,,669.87,0.00,0.00,27.60
Gala Global,539228,,Printing & Stationery,3.60,0.78,2.69,0.95,7.50,7.07,,-0.12,-0.40,0.16,38.75,0.00,0.00,0.00,3.17,5.45,7.35,7.36,3.87,3.85,,2.96,3.67,35610.00,0.00,261.73,64.15,76.19,1.83,0.55,89.71,103.44,102.86,129.84,150.66,358.92,47.60,,211.22,0.00,0.35,19.67
Galactico Corpo.,542802,,Finance & Investments,3.97,,17.72,20.99,1.15,1.01,,13.84,18.86,,,0.00,0.00,0.00,19.78,16.36,15.61,15.61,,,-3.64,26.30,,35102.00,0.00,41.95,61.79,46.51,8.73,10.82,18.52,21.61,21.61,21.61,25.20,,,,274.43,0.00,0.00,59.16
Galada Finance,538881,,Finance & Investments,16.47,0.30,-2.73,0.51,16.93,16.33,18.70,,,,,0.00,0.00,0.00,5.73,3.54,3.97,5.57,0.07,-2.10,30.88,33.91,43.13,719.00,0.00,0.00,0.00,0.00,-1.80,0.31,22.60,28.57,23.34,22.60,3.15,3.31,4.50,,191.23,0.00,0.00,4.94
Galaxy Agrico,531911,,Castings & Forgings,41.55,0.27,-5.87,-6.59,15.92,13.51,14.83,4.02,4.12,4.65,3.81,0.00,0.00,0.00,-5.22,-4.41,-2.98,-2.73,-4.09,-3.81,,1.90,7.18,565.00,0.00,32.97,76.45,59.08,-4.25,-4.56,9.38,13.42,13.64,9.39,2.24,9.15,7.07,7.58,73.25,0.00,0.00,11.34
Galaxy Bearings,526073,,Bearings,1412.10,0.32,21.99,23.71,142.64,117.86,,1.83,1.56,2.06,1.17,0.00,0.00,0.00,30.62,26.71,26.03,23.39,20.50,21.60,-0.53,17.20,16.13,10985.00,0.00,94.73,81.13,115.58,16.19,18.36,23.82,10.41,10.90,12.66,62.65,40.96,4.23,,149.33,0.06,0.36,449.03
Galaxy Cloud,506186,,Food - Processing - Indian,42.07,1.56,,,0.13,1.60,0.53,0.73,1.49,2.40,99.82,0.00,0.00,0.00,-34.90,-51.72,-118.59,-90.74,,,,-18.94,-20.74,3683.00,0.00,60.86,78.67,42.71,-26.01,-27.42,54.74,63.16,54.74,54.74,54.28,151.05,30.05,16.35,-463.34,0.00,0.00,189.05
Galaxy Surfact.,540935,GALAXYSURF,Chemicals,2755.40,3.55,20.15,18.22,367.06,301.16,,4.69,5.07,5.21,,0.00,0.00,92.17,20.03,21.85,23.04,23.38,,20.82,-9.20,13.00,12.67,64037.00,34.71,56.92,61.51,56.41,13.16,12.13,29.90,27.47,27.47,28.01,9029.45,3747.22,,,84.87,0.85,-0.30,9769.16
Gallantt Ispat L,532726,GALLANTT,Steel - Medium / Small,361.00,8.13,8.46,8.25,234.30,59.82,34.62,8.72,6.05,6.18,6.88,0.00,0.00,4.83,10.87,10.10,12.94,12.60,9.23,9.02,-9.76,9.74,9.82,18355.00,3.57,13.61,23.02,12.89,5.95,6.33,5.38,7.71,7.68,9.20,354.57,398.07,342.37,152.89,81.13,0.02,0.00,8710.24
Gallops Enterp.,531902,,Construction,22.10,,1.51,1.34,2.87,2.79,,-0.16,-0.06,-0.05,,0.00,0.00,0.00,1.36,1.52,9.43,8.82,,8.64,-62.32,19.35,,1478.00,0.00,0.00,0.00,0.00,1.49,1.33,342.17,339.50,339.50,341.08,2.10,3.27,3.27,,2691.88,0.00,0.00,11.09
Gandhar Oil Ref.,544029,GANDHAR,Refineries,208.45,,20.60,22.85,,,,9.88,9.76,,,0.00,0.00,2.42,32.74,28.27,28.27,27.43,,,,6.34,,,1.16,50.37,84.50,62.75,9.48,12.34,10.56,10.56,10.56,10.56,,,,,50.95,,,2040.08
Gandhi Spl. Tube,513108,GANDHITUBE,Steel - Medium / Small,801.70,1.47,22.49,25.84,133.10,113.46,108.92,2.09,1.47,2.21,1.87,0.00,0.00,13.16,33.95,29.31,28.19,24.69,18.96,21.52,6.28,36.24,34.78,9019.00,30.26,41.76,81.89,45.67,20.13,23.06,14.14,15.70,14.23,13.73,349.19,480.13,491.96,214.75,95.34,1.42,-0.01,974.23
Ganesh Benzopl.,500153,GANESHBE,Miscellaneous,151.55,5.18,16.30,14.72,37.64,28.11,-16.28,9.18,18.75,13.85,8.79,2.52,0.00,0.00,18.67,21.57,22.76,19.82,,19.38,-16.72,29.95,29.19,40530.00,0.00,44.05,55.70,53.70,11.16,10.56,22.03,14.59,17.33,18.68,388.19,247.27,184.35,35.11,0.82,4.99,-0.05,1091.00
Ganesh Holdings,504397,,Finance & Investments,170.00,,-2.25,-2.25,54.32,,,,,,2.00,0.00,0.00,0.00,-2.19,-2.20,-1.81,-3.55,-3.33,-2.03,6.29,-46.43,-32.32,448.00,0.00,0.00,0.00,0.00,-2.15,-2.17,49.59,49.59,49.59,49.59,0.57,,,,4748.48,0.00,0.00,6.88
Ganesh Housing,526367,GANESHHOUC,Construction,956.95,4.90,9.74,21.58,101.98,126.81,147.84,0.37,0.41,0.30,-0.83,0.00,0.00,22.35,27.17,14.84,12.91,12.75,8.11,8.21,60.58,39.05,42.32,13298.00,13.30,71.23,0.07,150.24,5.36,14.29,24.01,8.57,11.73,23.43,273.95,298.56,412.36,263.96,346.31,-0.08,0.04,7979.72
Ganesha Ecosphe.,514167,GANECOS,Textiles - Processing,1412.90,,,8.51,236.82,218.73,,3.43,,,,0.00,0.00,5.01,10.06,10.24,10.24,10.24,,,,11.61,,27323.00,10.69,40.62,51.29,,,5.01,23.72,23.34,23.34,23.34,1286.95,711.75,413.93,75.93,111.84,9.87,5.49,3581.29
Ganesha Ecoverse,539041,,Textiles - Products,70.01,1.04,-0.03,4.12,12.45,12.53,11.71,0.00,0.39,-0.01,,0.00,0.00,0.00,5.50,2.21,1.66,1.65,0.09,-0.02,,-11.15,,367.00,0.00,5160.44,,,0.45,2.31,18.10,728.57,831.67,18.44,9.31,20.12,41.20,,26782.93,0.00,0.00,78.26
Ganga Forging,,GANGAFORGE,Castings & Forgings,7.70,,0.57,4.84,1.01,1.13,,2.04,0.33,,,0.00,0.00,0.00,6.35,3.46,4.13,4.13,,,-12.27,5.48,,28319.00,0.00,68.83,114.84,119.79,0.27,2.22,66.79,65.50,65.50,65.50,45.58,17.28,,,167.74,0.04,0.00,103.31
Ganga Papers,531813,,Paper,102.23,1.08,15.03,13.26,17.63,13.80,6.57,19.78,11.08,7.54,5.83,0.00,0.00,0.00,11.11,11.72,11.18,10.75,15.10,14.90,-17.25,3.71,3.92,657.00,0.00,47.42,68.97,47.58,3.90,3.72,18.44,19.00,19.12,18.24,33.99,103.57,11.78,,57.42,0.00,0.00,110.31
Ganga Pharma.,539680,,Pharmaceuticals - Indian - Formulations,24.67,0.23,1.26,0.80,13.22,13.17,,1.14,1.17,1.03,1.22,0.00,0.00,0.00,3.35,4.11,4.81,5.47,1.60,1.68,-24.56,3.91,8.01,356.00,0.00,130.03,131.85,141.18,0.88,0.55,144.90,64.92,47.44,107.20,3.05,2.44,3.34,,636.34,0.00,0.00,11.93
Ganges Securitie,540647,GANGESSECU,Finance & Investments,182.70,,1.86,1.39,337.66,208.32,,-0.03,0.06,1.63,,0.00,0.00,0.00,1.82,2.63,4.26,5.46,,2.34,-28.28,26.65,,5116.00,0.00,4.83,6.19,18.65,2.05,1.35,12.93,9.59,9.59,10.18,59.02,44.52,,,21.97,0.00,-3.44,182.76
Gangotri Textile,521176,GANGOTRI,Textiles - Cotton/Blended,1.44,3.26,,,-100.00,-99.99,-88.00,,,7.85,4.96,,,0.00,-0.80,-0.69,2.93,0.61,,,,,,10578.00,0.00,0.00,,,-1.30,-2.06,,2.74,4.39,16.25,2.28,4.40,2.12,2.45,0.00,0.00,-0.01,4.70
Ganon Products,512443,,Trading,6.80,0.93,0.69,0.46,11.55,11.49,11.13,,2.00,1125.33,185.99,0.00,0.00,0.00,5.04,4.37,6.32,4.78,2.92,3.85,-43.97,,,588.00,0.00,6.71,,394.20,0.41,0.20,41.38,43.92,43.92,40.79,9.42,9.96,2.94,2.11,-191.71,0.00,0.00,6.34
Garbi Finvest,539492,,Finance & Investments,18.59,1.17,11.53,16.85,32.95,51.56,,,,,,0.00,0.00,0.00,22.27,14.49,10.94,7.71,6.25,8.76,,76.25,72.87,1885.00,0.00,0.00,0.00,0.00,12.41,19.39,5.05,5.16,5.07,5.07,24.63,25.34,24.17,,-78.94,0.00,0.00,21.81
Garden Reach Sh.,542011,GRSE,Miscellaneous,2295.15,1.24,17.46,18.58,99.27,90.81,,0.78,0.28,0.54,0.31,0.00,0.00,73.45,23.07,22.42,20.29,17.83,13.18,15.46,16.66,6.21,3.87,60638.00,30.53,19.49,56.99,57.88,2.87,2.76,23.78,15.01,15.01,15.52,2117.49,1130.06,,,-481.37,2.18,-6.97,26291.45
Garg Furnace,530615,,Steel - Medium / Small,277.00,0.40,10.49,27.83,21.15,32.98,77.73,10.34,7.20,9.22,10.04,0.00,0.00,0.00,23.70,9.64,5.49,2.77,-14.20,2.75,16.82,1.62,-0.32,1921.00,0.00,26.60,32.97,35.48,3.34,11.24,8.51,8.28,8.68,9.03,9.92,5.29,3.82,7.58,14.52,0.00,0.00,127.66
Garment Mantra,539216,,Textiles - Products,6.19,,,6.76,3.09,2.29,,2.49,,,,0.00,0.00,0.00,8.55,12.35,12.35,12.35,,,,5.54,,6527.00,0.00,79.83,71.74,,,2.18,31.91,23.72,23.72,23.72,88.35,7.80,6.99,,141.38,0.00,0.00,62.13
Garnet Construct,526727,,Construction,25.75,1.39,5.25,1.28,65.99,56.88,46.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,6.54,5.27,4.87,3.62,4.31,22.29,15.24,16.79,5845.00,0.00,3170.51,193.15,1701.50,2.58,0.73,15.80,10.73,14.23,7.93,26.41,17.79,17.22,15.04,9072.21,0.00,0.00,35.79
Garnet Intl.,512493,,Finance & Investments,66.79,1.87,-8.13,1.14,15.72,17.61,23.34,1.37,1.81,7.99,3.36,0.00,0.00,0.00,2.48,-4.52,-10.90,-4.34,-11.11,-20.07,14.62,-4.04,-4.87,2359.00,0.00,85.31,213.70,48.45,-5.15,0.65,52.01,102.50,46.89,52.01,47.03,103.50,376.19,57.91,98.55,0.00,0.00,131.13
Garodia Chemical,530161,,Trading,7.87,0.72,,,-5.83,-5.58,-16.75,,,,0.00,,,0.00,0.00,-623.33,-314.80,-256.62,,,,,,7700.00,0.00,0.00,,,-177.23,-90.62,,14.49,14.49,,3.83,3.84,20.84,33.19,-1825.00,0.00,0.00,5.66
Garware Hi Tech,500655,GRWRHITECH,Packaging,2463.25,2.33,8.84,9.66,673.00,604.21,243.92,3.81,4.93,4.75,4.40,0.00,0.00,23.23,12.87,12.25,10.77,9.56,6.95,7.76,11.62,17.81,14.60,32022.00,13.10,8.40,15.51,21.67,7.25,8.03,12.37,15.62,13.50,10.68,1625.11,505.77,286.69,147.12,48.93,0.28,0.40,5722.68
Garware Marine,509563,,Miscellaneous,12.30,0.58,0.73,0.22,9.97,8.76,9.78,,,,0.00,0.00,0.00,0.00,0.25,1.10,1.80,-1.25,-2.02,0.85,,4.08,-13.16,6786.00,0.00,1644.99,1238.19,1302.32,0.83,0.21,36.95,19.40,19.40,22.64,2.65,1.67,5.10,3.75,1654.15,0.00,0.00,7.09
Garware Synth,514400,,Textiles - Products,18.30,0.58,,,-3.70,-4.72,-4.65,4.14,5.02,5.14,6.98,0.00,0.00,0.00,4.92,5.53,5.68,11.98,,,,6.82,4.63,13624.00,0.00,46.22,64.88,40.48,1.32,0.50,15.15,12.08,11.97,12.28,3.06,2.24,5.73,,-43.01,0.00,0.00,10.63
Garware Tech.,509557,GARFIBRES,Textiles - Products,4037.85,2.19,18.68,18.03,393.40,337.78,141.97,1.72,1.76,2.13,3.00,63.11,58.73,14.01,22.40,22.87,23.79,23.98,18.90,19.01,-1.61,19.05,17.49,42859.00,5.28,72.28,85.30,87.11,12.22,12.15,37.15,25.31,33.92,36.14,5293.00,2475.19,1553.30,135.95,87.96,0.31,6.93,8228.37
Gateway Distri,543489,GATEWAY,Miscellaneous,104.85,,12.81,13.90,,,,,,,,0.00,0.00,72.45,12.47,12.21,12.55,12.55,,13.72,-11.13,25.88,,58769.00,23.38,34.14,40.15,31.97,7.86,9.68,16.01,16.01,16.01,16.01,,,,,0.52,,,5238.74
Gautam Exim,540613,,Trading,68.73,0.03,4.75,4.01,37.68,35.54,,,,,,0.00,0.00,0.00,6.91,7.81,9.62,17.37,8.60,7.28,-40.67,0.35,0.96,58.00,0.00,31.52,71.24,30.44,1.14,1.17,20.19,11.93,11.93,11.03,6.87,15.07,,,34.19,0.00,0.00,21.18
Gautam Gems,540936,,Trading,8.72,0.02,2.20,1.75,2.76,2.69,,6.03,63.13,6.12,,0.00,0.00,0.00,3.32,3.65,3.16,3.16,2.06,2.06,-6.30,0.39,0.41,19727.00,0.00,85.18,46.45,74.20,1.53,0.84,98.22,126.22,126.22,125.56,122.08,284.16,,,115.72,0.00,0.00,35.61
Gayatri BioOrga.,524564,,Miscellaneous,6.34,5.09,,,-4.19,-4.12,1.98,,,,7.36,,0.00,0.00,-41.95,-36.72,-36.72,-52.76,,,,,,28326.00,0.00,54.64,,1.22,-26.76,-38.50,,11.72,,,50.74,16.55,129.61,21.54,251.35,-23.49,0.01,49.96
Gayatri Highways,541546,GAYAHWS,Construction,1.58,,,,-35.63,-21.22,,,,,,0.00,0.00,0.00,39.97,20.65,14.31,12.52,,,,-183.70,,34829.00,0.00,88.17,0.58,29.31,-7.00,-4.57,,,,,13.18,19.17,,,-104977.66,-2.90,0.00,37.86
Gayatri Projects,532767,GAYAPROJ,Construction,6.41,15.10,-17.90,-34.02,62.68,53.96,44.23,-0.19,2.94,4.68,0.84,0.00,0.00,0.00,1.31,6.19,6.17,5.39,-11.99,-14.71,,8.04,11.72,,0.00,138.41,153.85,130.21,-2.93,-5.16,12.07,10.08,10.08,10.08,3023.26,2446.39,438.96,287.16,195.41,-15.29,0.43,119.98
Gayatri Rubbers,,GRCL,Miscellaneous,323.30,,,,,,,,,,,,,,24.82,24.82,24.82,24.82,,,,,,169.00,,70.78,,,,,49.98,49.98,49.98,49.98,,,,,100.44,,,185.51
Gayatri Sugars,532183,,Sugar,22.40,4.37,,,-35.02,-28.17,-18.18,2.85,2.28,2.42,1.62,0.00,0.00,0.00,78.51,44.31,36.08,26.07,,,,7.14,7.36,17797.00,0.00,22.90,33.00,32.52,-4.65,1.17,5.99,2.63,3.73,5.99,8.13,11.58,40.21,5.51,-48.52,0.00,0.00,145.16
GCM Capital,538319,,Finance & Investments,7.10,1.69,-3.95,-6.96,20.31,20.27,20.22,7.36,6.47,9.49,,0.00,0.00,0.00,-6.34,-3.72,-2.61,-1.75,-1.91,-2.76,62.38,-37.14,-14.59,1348.00,0.00,1135.72,648.89,1089.21,-3.84,-6.48,45.17,71.67,53.00,41.33,2.27,2.88,7.25,,2695.67,0.00,0.00,12.03
GCM Commodity,535917,,Finance & Investments,6.56,0.74,-0.79,-0.16,19.07,18.90,22.26,-0.97,1.95,1.94,0.02,0.00,0.00,0.00,-0.11,-0.74,-1.56,-0.88,-0.91,-1.60,5.77,-41.13,-16.60,298.00,0.00,17319.49,58181.00,,-0.42,-0.04,5.44,19.25,5.94,5.44,6.52,4.07,1.80,7.20,12312.91,0.00,0.00,4.87
GCM Securit.,535431,,Finance & Investments,1.00,19.00,-17.65,-4.37,0.62,0.45,2.12,0.01,0.79,3.85,2.99,0.00,0.00,0.00,-4.12,-13.47,-12.64,-8.44,-6.68,-14.40,13.38,-146.64,-50.15,3858.00,0.00,573.14,88.89,48.08,-8.67,-3.73,100.33,134.00,100.00,100.00,65.54,222.63,311.53,674.50,1494.78,0.00,0.00,19.00
Gconnect Logitec,544156,,Miscellaneous,73.50,,,,,,,,,,,,,,42.86,42.86,42.86,42.86,,,,,,,,67.86,,,,,6.41,6.41,6.41,6.41,,,,,149.29,,,27.34
GE Power,532309,GEPIL,Engineering - Turnkey Services,404.80,6.72,-17.80,-52.28,144.53,136.36,145.54,9.34,6.18,0.68,1.64,0.00,0.00,4.03,-19.49,-3.86,5.90,7.49,-5.26,-10.03,,-3.14,0.04,56516.00,0.00,370.81,241.69,187.85,-3.85,-7.94,274.69,34.04,188.22,74.74,1929.43,5440.39,3951.63,2826.92,28.97,-1.06,-10.80,2721.49
GE Shipping Co,500620,GESHIP,Shipping,1223.30,15.08,15.52,19.96,524.22,462.39,492.82,1.71,2.76,2.16,3.62,0.00,0.00,264.42,16.16,12.35,9.88,9.57,11.45,11.64,170.63,49.17,46.00,79041.00,19.41,38.24,29.60,31.18,8.79,12.46,6.38,7.73,9.65,7.66,4595.64,4295.64,6287.41,5134.71,68.14,5.85,-5.16,17464.73
GE T&D India,522275,GET&D,Electric Equipment,1536.00,25.60,-2.94,0.72,43.85,41.07,51.23,2.45,2.13,1.53,1.31,0.00,0.00,10.24,6.96,3.68,11.22,11.09,2.77,3.17,-1.26,2.09,4.40,38865.00,9.43,185.27,201.41,174.79,-0.71,0.33,251.17,75.27,57.89,87.35,2977.82,7069.44,8407.29,6376.84,38.36,0.74,1.29,39329.26
GEE,504028,,Electrodes - Welding Equipment,121.15,2.60,6.97,6.91,65.68,60.88,22.53,4.09,4.40,4.40,4.06,0.00,0.00,0.00,9.51,9.39,8.24,8.85,5.61,5.77,27.72,8.14,7.56,6339.00,0.00,59.92,84.35,69.97,4.36,4.33,12.74,17.40,13.93,12.30,91.94,82.73,138.40,52.60,118.67,1.17,0.00,314.86
GeeCee Vent.,532764,GEECEE,Construction,382.45,1.90,3.68,4.09,231.71,205.06,156.88,0.15,0.15,1.32,0.16,0.00,0.00,1.63,4.93,4.56,5.71,6.20,5.20,4.66,-4.04,38.51,27.70,8149.00,11.99,14.85,44.41,19.11,3.27,3.65,23.66,12.30,12.42,16.07,212.36,264.30,272.78,50.04,1269.96,0.00,0.00,799.76
Geekay Wires,,GEEKAYWIRE,Steel - Medium / Small,92.52,2.50,30.78,36.57,8.60,7.80,,4.53,9.06,6.34,6.78,0.00,0.00,1.94,25.21,20.91,18.10,15.84,26.50,27.63,32.88,6.80,6.07,11565.00,13.53,70.49,68.66,89.21,9.13,11.68,11.35,11.96,11.96,11.01,81.17,35.56,,,107.90,0.00,0.00,483.51
Geetanjali Cred.,539486,,Finance & Investments,4.75,,0.38,0.00,7.11,7.13,,,,,0.81,0.00,0.00,0.00,0.00,0.78,0.76,1.24,0.72,0.36,,27.27,15.84,2348.00,,0.00,0.00,0.00,0.35,0.00,,64.00,,,0.44,0.64,2.21,,-1460.00,0.00,0.00,2.10
Gem Enviro,544199,,Miscellaneous,173.15,,,,,,,,,,,,,,69.73,69.73,69.73,69.73,,,,,,,7.37,192.85,,,,,0.49,0.49,0.49,0.49,,,,,92.34,,,390.46
Gem Spinners,521133,,Textiles - Cotton/Blended,3.52,6.14,,,0.06,0.16,0.01,,,0.00,13.77,,,0.00,-17.11,-15.31,5.95,-2.15,,,,,,29649.00,0.00,0.00,,,-9.73,-8.84,,1.42,1.42,1.42,10.56,15.34,15.96,16.94,0.00,0.00,0.00,21.61
Gemstone Invest.,531137,,Finance & Investments,1.78,7.47,1.61,1.10,3.16,3.11,2.94,,,,,0.00,0.00,0.00,1.56,2.25,2.80,2.91,1.96,1.95,-15.78,34.67,38.42,19741.00,0.00,0.00,0.00,0.00,1.56,1.09,33.00,21.18,25.00,26.29,9.57,5.46,3.44,5.98,6884.59,0.00,0.00,13.31
General Insuranc,540755,GICRE,Finance & Investments,386.10,8.60,9.99,12.78,185.04,136.48,,,,,,0.00,0.00,682.46,15.51,11.19,10.85,8.86,7.92,9.59,7.78,7.42,4.21,248100.00,20.36,0.00,0.00,0.00,2.25,3.29,8.38,14.67,14.67,9.71,34982.74,42395.08,,,-557.28,0.07,-0.32,67737.38
