Name,BSE Code,NSE Code,Industry,Current Price,Number of equity shares 10years back,Average return on equity 5Years,Average return on equity 3Years,Book value 3years back,Book value 5years back,Book value 10years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Inventory turnover ratio 7Years back,Inventory turnover ratio 10Years back,Exports percentage 3Years back,Exports percentage 5Years back,Average 5years dividend,Average return on capital employed 3Years,Average return on capital employed 5Years,Average return on capital employed 7Years,Average return on capital employed 10Years,Average return on equity 10Years,Average return on equity 7Years,Return on equity 5years growth,OPM 5Year,OPM 10Year,Number of Shareholders 1year back,Average dividend payout 3years,Average debtor days 3years,Debtor days 3years back,Debtor days 5years back,Return on assets 5years,Return on assets 3years,Historical PE 3Years,Historical PE 10Years,Historical PE 7Years,Historical PE 5Years,Market Capitalization 3years back,Market Capitalization 5years back,Market Capitalization 7years back,Market Capitalization 10years back,Average Working Capital Days 3years,Change in FII holding 3Years,Change in DII holding 3Years,Market Capitalization
Maheshwari Logi.,,MAHESHWARI,Trading,65.22,1.04,9.15,9.09,46.89,43.73,,6.78,9.04,12.55,35.93,0.00,0.00,0.30,12.39,12.86,13.80,15.79,10.48,9.92,-10.75,5.38,4.75,14216.00,0.00,47.55,64.95,43.74,3.27,3.29,15.66,17.91,18.44,16.90,220.80,318.20,130.39,,65.24,0.00,0.00,193.04
Mahickra Chem.,,MAHICKRA,Dyes And Pigments,101.00,,10.15,8.48,33.16,29.52,,5.94,8.78,,,0.00,0.00,0.29,11.34,13.68,14.78,14.78,,,-28.69,1.66,,291.00,10.62,150.93,142.94,107.69,4.89,4.11,20.82,22.67,22.67,21.91,65.30,34.80,,,148.69,0.59,-2.88,82.03
Mahindra EPC,523754,MAHEPC,Plastics Products,165.00,2.76,2.92,-3.41,67.07,61.43,41.39,3.92,4.52,3.45,3.43,0.00,0.00,1.33,-2.75,5.23,6.53,6.64,4.08,3.59,-31.01,4.08,4.89,30028.00,0.00,212.43,200.45,175.04,2.06,-2.16,104.71,46.58,29.51,20.64,396.85,315.47,399.45,283.71,200.23,0.11,0.00,460.91
Mahindra Holiday,533088,MHRIL,Hotels,460.30,19.98,12.41,31.44,4.23,2.31,36.29,0.60,1.00,0.94,7.27,0.00,0.00,0.00,9.13,8.28,10.25,12.49,15.65,14.33,16.33,17.06,15.97,74853.00,0.00,157.18,203.78,181.29,0.27,1.10,76.90,41.40,48.20,68.67,2809.61,3197.39,3846.75,2074.92,123.54,0.81,-1.22,9295.85
Mahindra Life.,532313,MAHLIFE,Construction,604.95,15.38,0.77,3.79,105.85,110.40,95.90,0.00,0.00,0.00,0.00,0.00,0.00,21.51,1.72,-0.17,1.80,4.27,4.30,2.24,-2.02,-27.33,1.78,72865.00,32.30,115.79,123.85,84.52,0.18,1.99,90.08,22.35,29.43,59.48,2924.51,1850.31,1989.22,1747.18,1410.77,-3.47,6.22,9379.02
Mahindra Logis.,540768,MAHLOG,Miscellaneous,543.05,5.95,2.61,-0.93,79.26,76.14,,,,,2.87,0.00,0.00,15.81,5.55,7.96,13.25,16.16,7.82,6.21,,4.50,4.02,66347.00,39.14,45.36,54.31,49.12,1.18,-0.09,125.98,99.28,99.28,114.91,4155.09,3761.01,,,3.02,-15.22,6.07,3912.69
Maiden Forgings,543874,,Steel - Medium / Small,92.30,,,20.15,,,,5.98,,,,0.00,0.00,0.00,15.60,14.41,14.41,14.41,,,,7.81,,,0.00,42.35,60.65,,,5.94,12.33,12.33,12.33,12.33,,,,,111.42,,,131.17
Maithan Alloys,590078,MAITHANALL,Mining / Minerals / Metals,1186.25,2.91,20.73,22.57,522.68,443.88,110.83,3.75,5.31,6.14,4.69,0.00,0.00,13.97,32.18,27.26,31.09,29.79,22.77,22.34,-14.35,20.92,19.14,34861.00,1.88,73.18,98.58,47.34,17.67,21.11,6.63,8.07,6.92,6.80,1564.75,1470.43,1224.73,93.79,256.29,1.55,-0.46,3453.36
Maitreya,,MAITREYA,Healthcare,136.50,,,27.14,,,,,,,,0.00,,,20.33,20.33,20.33,20.33,,,,,,,0.00,78.84,31.91,,,9.61,19.42,19.42,19.42,19.42,,,,,51.75,,,92.49
Maitri Enterp.,513430,,Trading,25.36,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,,,,,,12264.00,,178.84,,,,,63.99,62.50,62.50,62.50,1.11,1.58,1.52,2.57,193.80,0.00,0.00,11.16
