Name,BSE Code,NSE Code,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash beginning of last year,Cash end of last year,Free cash flow preceding year,Cash from operations preceding year,Cash from investing preceding year,Cash from financing preceding year,Net cash flow preceding year,Cash beginning of preceding year,Cash end of preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization
Meghna Infracon,538668,,Finance & Investments,459.95,11.23,11.19,-3.29,-8.01,-0.07,0.40,0.33,-16.49,-16.66,1.05,14.81,-0.80,1.20,0.40,-1.31,0.43,2.06,0.05,-1.43,0.75,2.40,0.51,-2.64,-2.55,-2.67,-0.69,2.91,1.53,0.49,499.59
Megri Soft,539012,,Computers - Software - Medium / Small,130.00,1.79,-0.60,-1.60,0.00,0.19,0.06,1.02,-1.83,0.04,-0.18,0.00,-0.14,0.20,1.53,-3.87,-5.28,-6.25,-6.80,2.22,1.02,3.29,8.04,-7.95,-3.16,-0.88,-2.47,4.21,5.00,4.91,40.83
Mehai Technology,540730,,Trading,27.80,1.55,-35.37,-36.92,35.06,-0.31,0.75,0.44,-0.73,3.27,-4.00,1.39,0.65,0.10,0.75,-36.13,,,,4.79,,,,,,,-40.84,,,,60.63
Mehta Housg. Fin,511740,,Trading,156.00,-0.05,-0.05,0.00,0.00,-0.05,0.21,0.15,-0.27,-0.27,0.00,0.00,-0.27,0.47,0.21,,,,,,,,,,,,,,,,48.08
Mehta Integrat.,511377,,Finance & Investments,33.51,0.94,0.92,-0.96,0.00,-0.02,0.05,0.04,-0.68,-0.68,0.72,0.00,0.04,0.01,0.05,-0.55,-2.24,-1.19,-2.16,-0.53,-2.22,-1.17,-2.14,1.76,1.19,2.23,0.53,0.03,0.02,0.01,16.76
Mehta Securities,511738,,Finance & Investments,27.01,-0.31,-0.31,0.31,0.00,0.00,0.04,0.05,-0.17,-0.29,0.31,0.00,0.02,0.02,0.04,-0.73,-4.06,-3.88,0.07,-0.85,-4.18,-3.96,0.32,0.48,3.98,4.15,0.62,0.27,0.07,0.03,8.35
Melstar Info.,532307,MELSTAR,Computers - Software - Medium / Small,4.75,1.55,1.54,-0.01,-0.28,1.27,0.03,1.30,1.05,-7.56,8.61,-1.21,-0.16,0.18,0.03,2.57,5.25,3.02,4.84,-6.43,-2.20,-3.49,-1.61,4.46,7.23,7.34,9.00,0.13,0.11,0.21,6.79
Mena Mani Inds.,531127,,Trading,9.02,0.84,0.08,-0.76,0.06,0.14,0.01,0.15,0.62,0.62,0.00,-0.91,-0.28,0.29,0.01,-0.85,4.03,-3.99,-21.62,-0.39,3.24,-4.73,-0.72,-17.79,-0.76,0.79,-0.46,0.14,0.09,0.01,90.51
Menon Bearings,523828,MENONBE,Bearings,139.15,36.45,26.74,-27.35,3.66,12.76,13.77,25.93,36.31,50.09,-22.95,-22.76,4.38,8.79,13.17,82.11,116.17,121.37,137.24,110.76,165.47,213.75,246.04,-130.35,-114.59,-70.14,-53.79,7.75,19.33,16.94,779.79
Menon Pistons,531727,,Auto Ancillaries,91.58,20.50,-0.27,-15.93,-3.59,0.97,0.31,1.93,23.33,41.24,-25.02,-17.23,-1.01,1.32,1.05,13.20,23.90,24.25,41.55,65.53,92.30,104.83,124.62,-89.52,-85.97,-82.14,-66.08,12.98,1.86,8.54,467.06
MEP Infrast.,539126,MEP,Construction,8.01,378.41,381.14,-16.10,-361.38,0.92,13.00,14.86,310.16,306.30,112.60,-414.62,4.29,8.71,44.85,1209.67,2489.19,3292.65,4358.83,1231.97,2502.75,3675.36,4873.01,-662.63,-454.86,-25.17,24.81,91.39,112.54,148.96,147.34
Mercantile Vent.,538942,,Miscellaneous,28.93,38.67,37.79,17.23,-4.00,51.90,6.17,58.07,21.34,21.39,-25.98,4.00,-0.58,6.75,6.17,96.83,105.96,123.01,80.23,53.92,67.33,81.71,44.04,10.26,-22.91,-14.38,-18.77,22.92,5.12,2.98,323.78
Mercury EV-Tech,531357,,Automobiles - Passenger Cars,72.22,-14.08,-56.13,-47.93,70.34,8.33,0.75,0.92,-56.13,-14.08,-47.93,70.34,8.33,0.75,9.08,-112.62,,,,-28.52,,,,,,,-95.82,,,,1267.80
Mercury Labs,538964,,Pharmaceuticals - Indian - Formulations,970.05,8.23,1.96,-6.27,-1.04,0.91,7.32,8.23,1.39,2.45,-1.06,-1.01,0.38,6.93,7.32,6.65,14.59,16.11,18.10,15.87,29.57,39.76,45.07,-26.97,-23.65,-14.98,-9.22,4.87,1.48,1.44,116.41
Mercury Trade Li,512415,,Trading,16.83,0.16,0.16,0.00,9.90,10.06,0.02,10.08,-0.38,-0.27,0.25,0.00,-0.02,0.04,0.02,-0.34,0.01,-0.16,-0.38,-0.23,0.12,-0.05,-0.27,0.43,0.00,-0.01,0.38,0.01,0.08,0.24,4.58
Meson Valves Ind,543982,,Trading,1099.35,-13.12,-30.32,-17.20,31.09,0.77,2.53,2.37,-7.68,-7.19,-0.49,7.81,0.14,2.13,2.37,-39.53,,,,-21.02,,,,,,,-18.51,4.41,,,1116.95
Metal Coatings,531810,,Steel - Medium / Small,84.90,2.77,2.26,-5.27,2.03,-0.47,0.54,0.28,9.87,11.29,-1.02,-9.80,0.47,0.08,0.78,6.52,9.66,14.35,20.35,8.46,12.18,16.14,23.09,-3.06,-5.12,-5.84,-5.94,5.62,0.65,0.47,62.24
Metro Brands,543426,METROBRAND,Leather / Leather Products,1238.75,590.08,479.01,-251.32,-322.67,16.09,31.83,112.26,289.17,380.68,-51.55,-358.84,-29.71,61.54,198.51,940.44,1410.05,1668.77,,1190.46,1728.82,2079.06,,,-1049.88,-888.80,-603.80,87.92,12.09,25.15,33684.51
Metroglobal,500159,,Trading,154.70,24.71,32.86,-38.13,-7.25,-20.67,30.50,9.83,-1.92,-2.29,32.93,-3.77,26.86,3.63,175.34,15.67,38.77,94.28,130.95,6.84,27.65,86.02,135.09,-67.40,-48.58,-48.48,-7.28,29.66,95.31,54.16,190.82
Metropolis Healt,542650,METROPOLIS,Healthcare,2016.00,264.07,200.31,-89.41,-181.20,-6.54,68.83,71.22,194.61,247.09,48.09,-292.33,2.85,65.98,93.19,617.53,1017.43,1174.07,1343.95,764.43,1228.46,1422.54,1685.20,-826.79,-781.29,-818.52,-777.73,419.70,80.24,40.51,10327.72
Meyer Apparel,531613,,Textiles - Products,1.94,0.01,0.00,-0.01,-0.01,-0.02,0.04,0.04,-0.61,-0.58,0.59,-0.01,-0.01,0.05,0.06,-2.26,-0.77,-0.58,-0.83,-2.90,-1.49,-4.94,-6.12,9.75,6.84,2.77,1.88,1.10,0.19,0.14,15.62
MFL India,526622,,Miscellaneous,0.76,-6.38,-14.58,-8.29,15.00,0.33,0.03,0.35,8.03,5.98,2.07,-8.30,-0.24,0.27,0.03,-5.87,-5.87,-21.54,-36.42,0.28,0.28,1.15,12.35,-48.05,-21.84,-5.33,-5.33,0.12,0.25,0.56,27.38
MFS Intercorp,513721,,Mining / Minerals / Metals,10.00,-0.02,-0.02,0.00,0.00,-0.02,0.14,0.12,0.06,0.06,0.00,0.00,0.06,0.08,0.14,0.11,0.06,-0.47,-0.47,0.11,0.06,0.03,0.03,-9.19,-9.19,0.04,0.00,0.01,0.01,0.00,4.32
MIC Electronics,532850,MICEL,Electronics - Components,86.41,-9.74,6.60,15.53,-5.23,0.56,0.33,7.74,-8.57,-6.47,-3.13,9.81,0.21,0.12,0.91,-60.40,-183.32,-150.44,-227.65,-74.57,-220.78,-187.74,-263.58,34.05,32.22,32.18,12.00,1.01,1.77,1.57,1913.51
Micropro Softwar,,MICROPRO,Computers - Software - Medium / Small,43.50,-7.14,-11.38,-3.54,31.75,21.07,1.69,1.81,1.55,1.63,-0.02,-2.25,-0.64,2.46,1.81,-11.68,,,,-2.68,,,,,,,-8.12,2.92,,,62.20
Mid East Port.,526251,,Finance & Investments,11.00,0.14,0.14,-0.14,0.00,0.00,0.04,0.03,0.10,0.10,-0.14,0.00,-0.04,0.08,0.04,0.35,0.63,0.50,-0.27,0.35,0.63,0.50,-0.27,0.70,-0.53,-0.70,-0.39,0.07,0.03,0.01,5.53
Mid India Inds.,500277,,Trading,8.84,-0.58,0.12,0.70,0.00,0.12,0.09,0.20,-0.04,-0.03,-0.01,0.00,-0.04,0.12,0.09,-0.01,-0.06,-0.21,0.70,-0.70,-0.75,-0.81,1.00,-0.18,0.82,0.81,0.87,0.03,0.13,0.14,14.41
Midwest Gold,526570,,Mining / Minerals / Metals,29.55,-0.41,-0.41,0.03,0.45,0.07,0.19,0.26,-1.92,-1.82,-0.12,1.98,0.05,0.14,0.19,-6.00,-5.65,-5.54,-5.42,-5.90,-5.42,-5.31,-5.19,-0.06,-0.12,-0.16,-0.07,0.13,0.21,0.04,9.66
Mihika Industrie,538895,,Trading,28.50,0.93,0.93,0.33,-1.79,-0.53,0.57,0.04,0.48,0.48,-0.27,0.00,0.21,0.36,0.57,1.61,-2.39,-4.06,-1.90,1.61,-2.39,-4.06,-1.89,0.31,5.78,3.66,0.03,0.19,0.55,0.10,28.50
Milestone Furn.,541337,,Miscellaneous,9.32,-0.14,-0.14,0.00,0.14,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.03,0.03,-0.26,-0.16,-8.11,,-0.26,-0.16,-6.46,,,-1.65,0.00,0.00,0.03,0.16,0.29,8.68
Milestone Global,531338,,Miscellaneous,33.20,-0.34,-0.36,0.04,0.14,-0.16,1.16,1.02,0.43,1.07,-0.93,0.35,0.50,0.66,1.18,2.71,2.37,1.80,3.08,3.45,3.67,3.74,6.07,-2.60,-1.37,-1.52,-0.79,0.76,0.24,1.16,16.66
MILGREY FIN.&INV,511018,,Finance & Investments,63.00,-29.36,-29.36,0.00,29.51,0.14,0.01,0.16,-31.54,-31.54,0.00,31.53,0.00,0.02,0.01,-61.07,-61.15,-62.96,-63.04,-61.07,-61.15,-62.96,-63.04,0.17,0.17,0.17,0.09,0.02,0.02,0.02,135.71
Milkfood,507621,,Food - Processing - Indian,714.00,20.34,20.75,0.68,-20.96,0.06,0.11,2.44,-36.88,-29.69,-7.13,35.86,-0.96,1.40,0.44,-7.78,-3.83,42.48,84.62,4.85,37.82,99.03,171.78,-86.57,-56.20,-41.24,-11.85,0.92,4.61,1.07,435.16
Millen. Online,511187,,Trading,2.68,0.21,0.21,0.00,-0.10,0.10,0.21,0.31,0.02,0.02,0.00,-0.02,0.00,0.21,0.21,-0.10,-0.03,0.21,0.67,-0.10,0.00,0.24,0.71,-2.32,-0.03,0.18,0.00,0.60,0.28,0.22,13.41
Milton Industri.,,MILTON,Miscellaneous,46.80,2.24,1.98,-0.02,-3.13,-0.90,3.16,3.16,-7.52,-8.35,0.78,6.22,-1.34,4.50,3.16,1.91,9.52,3.66,4.12,1.99,14.90,9.90,19.55,-12.52,-3.59,-4.63,0.43,1.83,0.98,0.73,79.54
Minal Industries,522235,,Diamond Cutting / Jewellery,4.17,-2.56,-2.94,1.30,1.10,-0.15,0.62,0.46,-17.33,-17.47,27.99,-11.31,-0.79,1.41,0.64,-15.39,-14.92,,,-15.13,-16.45,,,,,25.56,25.47,1.90,,0.26,80.03
Minaxi Textiles,531456,,Textiles - Processing,4.10,4.74,4.74,0.01,-4.76,-0.01,0.03,0.02,2.93,2.93,0.01,-3.07,-0.13,0.16,0.03,12.41,11.94,24.14,35.01,12.35,11.71,24.02,36.10,-0.16,0.49,0.42,0.15,0.03,0.09,2.29,20.26
Minda Corp,538962,MINDACORP,Auto Ancillaries,486.80,286.85,35.86,116.74,-358.54,45.05,107.94,191.98,138.60,387.40,-424.60,74.30,37.10,70.80,161.90,233.56,492.76,459.96,727.57,841.05,1376.95,1656.25,2234.59,-1596.55,-1227.46,-625.46,-296.16,499.40,353.00,33.40,11638.38
Mindspace Busine,543217,MINDSPACE,Construction,333.00,1526.50,443.30,-1458.70,-163.50,-95.70,284.30,610.00,627.00,1393.00,-750.60,-456.30,186.10,98.20,426.80,1657.90,2051.90,,,4081.30,4879.10,,,,,-1812.00,-2665.10,366.20,63.00,,19747.51
Mindteck (India),517344,MINDTECK,Computers - Software - Medium / Small,308.75,22.48,21.11,-12.73,-1.85,7.90,41.43,124.96,11.36,12.72,-6.84,-14.73,-8.85,50.28,100.34,52.99,98.82,86.25,111.25,56.85,105.72,96.71,125.14,-62.90,-63.84,-50.44,-38.18,77.66,10.52,39.14,785.19
Mini Diamonds(I),523373,,Diamond Cutting / Jewellery,85.81,-0.12,-0.11,0.15,1.56,1.59,0.23,1.82,-9.48,-6.91,-2.57,9.29,-0.19,0.42,0.23,-7.17,-0.36,3.76,-2.97,-4.30,2.51,4.61,-1.74,-0.64,-0.50,-2.76,-2.77,0.07,0.49,0.43,30.63
Minolta Finance,532164,,Finance & Investments,7.26,-0.01,-0.01,0.26,0.00,0.24,0.13,0.37,-3.58,-3.58,3.54,0.00,-0.04,0.17,0.13,-3.78,-3.68,-4.00,-8.06,-3.78,-3.68,-4.00,-8.06,8.15,4.19,3.99,3.99,0.17,0.07,0.18,7.26
Mipco Seaml Ring,505797,,Computers - Software - Medium / Small,31.75,0.16,0.16,0.00,-0.14,0.02,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.16,0.25,0.16,0.16,0.16,0.25,-0.09,0.00,0.00,0.00,0.00,0.00,0.00,11.38
MIRC Electronics,500279,MIRCELECTR,Electronics - Consumer,20.88,-4.55,-3.70,-2.21,8.00,1.24,3.87,15.99,-8.14,-8.76,7.50,-0.52,-1.78,5.64,10.60,5.64,30.45,63.00,207.88,11.17,22.26,54.36,169.91,11.28,7.93,7.73,8.61,28.91,12.99,19.01,482.22
Mirza Internatio,526642,MIRZAINT,Leather / Leather Products,44.01,49.65,20.54,-29.43,-16.77,3.45,15.75,19.20,-7.05,46.91,-53.48,-32.37,-38.94,54.69,15.75,64.41,425.06,308.19,,92.92,558.66,570.32,,,-258.15,-131.44,-28.01,12.08,7.27,6.52,608.20
Mish Designs,544015,,Textiles - Products,270.00,-6.25,-6.28,-0.03,6.90,0.62,0.20,0.20,-1.28,-1.18,-0.10,1.33,0.04,0.15,0.20,-8.56,-9.21,,,-8.31,-8.79,,,,,-0.43,-0.25,0.09,0.02,,75.60
Mishka Exim,539220,,Trading,35.56,0.06,0.07,0.18,-0.36,-0.12,0.24,0.12,0.14,0.16,-0.13,0.06,0.08,0.16,0.24,-0.21,-1.10,-0.11,,-0.20,-1.09,-0.10,,,0.03,0.42,0.18,0.18,0.83,0.34,51.38
Mishra Dhatu Nig,541195,MIDHANI,Steel - Medium / Small,465.55,215.64,136.32,-65.16,-148.30,2.19,14.29,16.61,-108.31,-35.41,-2.95,42.78,4.41,9.88,14.42,-57.47,-108.00,-101.00,,185.34,565.66,881.95,,,-729.49,-446.07,-135.88,93.95,198.00,207.93,8721.56
Mishtann Foods,539594,,Food - Processing - Indian,17.79,-53.60,-53.62,-0.25,54.27,0.43,0.05,0.47,-2.63,-2.57,-0.06,2.43,-0.20,0.24,0.05,,,,,,,,,,,,,,,0.86,1890.76
Misquita Engg.,542801,,Engineering,69.00,-3.07,-3.29,-0.13,4.39,1.20,0.00,0.00,0.59,1.15,-0.30,-0.85,0.00,0.00,0.00,-2.92,-3.89,-4.62,-6.77,-1.95,-2.19,-1.46,-3.57,-0.87,-0.95,0.43,-0.19,0.02,0.03,0.00,23.76
Mitcon Consult.,,MITCON,Miscellaneous,133.38,23.84,-20.65,-41.65,13.16,-4.64,18.69,14.05,13.28,29.75,-33.81,16.36,12.30,6.39,18.69,-24.50,-25.71,-102.63,,51.30,54.84,68.27,,,-153.10,-91.64,-80.19,27.66,10.91,19.04,235.71
Mitshi India,523782,,Trading,20.98,1.05,1.05,0.00,-1.11,-0.05,0.24,0.19,-0.09,-0.09,0.00,0.07,-0.02,0.27,0.24,-0.56,-0.16,-1.10,-1.61,-0.56,0.01,-0.90,-1.34,-0.46,-0.39,-0.40,1.23,0.32,1.28,0.16,18.46
Mitsu Chem Plast,540078,,Plastics Products,142.05,9.35,-2.75,-12.45,3.09,-0.01,0.10,0.10,-5.66,21.99,-27.43,3.40,-2.03,2.14,0.11,-6.53,-1.70,-15.46,-2.02,38.01,55.58,79.31,102.39,-104.97,-94.72,-58.16,-43.29,0.74,1.98,2.75,192.59
Mittal Life Styl,,MITTAL,Trading,2.16,-2.05,-2.73,0.88,-0.04,-1.21,1.78,0.57,-10.25,-9.28,-3.71,14.53,1.54,0.24,1.78,-8.11,-7.58,-7.64,,-6.44,-5.85,-5.88,,,-10.37,-9.91,-9.85,0.23,0.61,0.19,63.92
Miven Mach. Tool,522036,,Engineering,114.00,-0.19,-0.19,0.21,-0.03,-0.01,0.04,0.03,4.14,4.14,-0.02,-4.54,-0.42,0.46,0.25,3.91,12.58,15.15,14.89,3.89,3.70,2.53,2.35,13.16,13.12,9.35,0.66,0.73,0.17,0.37,34.24
MKP Mobility,521244,,Trading,225.00,-3.55,-3.63,-0.19,-0.07,-3.81,4.25,0.44,-1.15,-1.15,0.01,4.43,3.29,0.96,4.25,-4.85,-5.01,-5.15,-5.44,-4.77,-4.93,-5.07,-5.36,0.26,-0.16,-0.16,-0.16,1.01,1.10,1.15,76.74
MKVentures Cap.,514238,,Finance & Investments,2363.30,258.09,256.87,-12.09,-217.58,28.42,0.29,32.59,-259.39,-259.39,14.08,245.58,0.26,0.03,1.38,-2.64,-11.94,-14.25,-10.66,-1.46,-10.74,-13.05,-9.49,21.44,19.41,18.00,8.73,1.23,1.23,4.42,908.32
MMP Industries,,MMP,Aluminium and Aluminium Products,275.55,42.75,-0.75,-41.73,-2.67,-1.66,2.03,0.39,2.94,32.83,-23.84,-7.19,1.81,0.22,2.04,4.98,-18.12,-31.92,-8.86,94.54,148.49,173.34,208.45,-227.50,-201.10,-119.03,-85.06,5.06,47.73,3.17,699.98
MMTC,513377,MMTC,Trading,79.23,-352.93,-352.71,198.36,-43.42,-197.99,318.71,1327.80,753.60,753.81,1959.09,-2546.63,166.27,152.44,1345.97,399.21,-489.09,-1313.61,-1304.54,400.55,-484.22,-1305.94,-1264.23,2342.31,2238.42,2112.82,2160.35,253.65,134.34,527.42,11884.50
Modella Woollens,503772,,Trading,67.45,0.03,0.03,0.00,0.00,0.03,0.33,0.36,1.57,1.57,0.00,-1.31,0.26,0.07,0.33,4.72,6.63,6.54,5.61,4.72,6.63,6.54,5.61,0.12,0.11,0.11,0.00,2.01,0.02,0.03,6.14
Modern Dairies,519287,,Food - Processing - Indian,50.50,47.45,42.50,-4.86,-41.28,1.31,0.24,1.55,12.09,15.12,-2.97,-18.88,-6.73,6.96,0.24,69.41,73.84,85.52,125.73,79.35,92.30,111.83,161.54,-34.66,-25.61,-18.00,-9.72,1.08,1.58,1.17,117.76
Modern Engineer.,539762,,Construction,183.35,5.28,-1.39,-6.67,2.30,0.91,1.69,2.60,2.95,15.13,-12.92,-0.67,1.54,0.15,1.69,-3.36,-3.37,-0.64,-4.11,17.50,17.49,20.22,16.75,-21.86,-22.27,-22.27,-22.27,0.16,0.04,0.36,56.65
Modern Insulator,515008,,Electric Equipment,145.20,11.01,10.22,-15.68,7.71,3.04,1.19,7.99,21.58,23.47,-4.42,-22.01,-2.97,4.16,4.57,42.35,119.41,177.79,181.54,44.15,128.29,194.69,227.00,-104.10,-74.56,-29.63,-24.04,3.95,16.74,2.29,684.53
Modern Shares,509760,,Finance & Investments,50.00,1.89,1.85,0.53,1.60,4.02,4.70,5.43,1.85,1.89,0.53,1.60,4.02,4.70,8.72,1.23,-1.29,-5.92,-8.92,1.33,-1.19,-5.65,-8.61,7.54,4.39,2.98,1.57,6.70,7.74,11.15,14.66
Modern Steels,513303,,Steel - Medium / Small,20.27,0.46,0.46,0.00,0.00,0.46,0.52,0.98,0.34,0.34,0.00,-0.24,0.10,0.41,0.52,49.80,182.85,173.84,174.89,-2.51,131.51,124.01,137.36,62.90,54.26,52.10,52.47,0.12,1.11,11.36,27.89
Modern Threads,500282,MODTHREAD,Textiles - Spinning - Synthetic / Blended,63.00,24.41,14.64,-21.92,-3.06,-0.57,7.47,9.31,8.28,15.81,-9.48,-4.04,2.29,5.18,8.04,13.37,21.91,22.02,40.50,35.05,47.49,58.58,85.77,-54.74,-50.26,-39.36,-35.61,17.80,11.36,14.79,219.12
Modi Naturals,519003,,Solvent Extraction,253.00,-6.81,-40.41,-32.23,37.12,-1.92,2.27,1.54,-95.63,-5.73,-91.35,94.91,-2.17,4.44,4.09,-162.39,,,,-25.54,,,,,,,-136.96,0.75,,,331.27
Modi Rubber,500890,MODIRUBBER,Miscellaneous,99.97,-22.35,-21.47,25.03,-3.97,-1.29,7.97,6.71,-27.69,-18.13,24.47,-0.68,5.67,2.31,8.65,-78.59,-81.95,-75.91,-114.01,-65.12,-66.65,-58.59,-58.99,74.49,71.67,71.33,76.10,3.03,10.48,1.18,250.32
Modi's Navnirman,543539,,Construction,235.00,-25.45,-25.47,-14.31,44.81,5.04,2.51,2.51,-7.26,-7.26,-0.41,8.89,1.22,1.29,2.51,-48.80,,,,-48.78,,,,,,,-14.81,0.54,,,460.39
Modipon,503776,,Construction,42.50,0.01,0.01,0.00,0.00,0.01,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,2.30,4.99,17.86,0.00,2.28,4.96,1.54,17.27,0.27,0.03,0.00,0.06,0.07,0.05,49.20
Modison,506261,MODISONLTD,Electric Equipment,124.25,-3.64,-19.29,-15.66,19.38,0.08,0.46,0.97,10.14,22.50,-12.36,-13.76,-3.62,4.08,1.07,-5.91,17.65,27.82,59.46,33.22,76.31,98.75,150.34,-91.21,-70.38,-58.09,-39.15,0.41,2.24,1.59,403.19
Modulex Const.,504273,,Construction,10.27,-4.84,-4.92,3.43,1.13,-0.28,0.32,0.03,-7.70,-4.28,-3.22,7.71,0.21,0.11,0.37,-13.06,-21.73,,,-9.56,-6.51,,,,,-10.93,0.37,0.16,,,71.07
Mohini Health,,MHHL,Healthcare,64.00,14.83,13.65,-1.32,-9.68,3.82,1.14,0.06,18.98,21.88,-2.67,-19.96,-0.75,0.81,0.06,35.57,51.82,58.14,52.67,29.86,57.24,72.66,88.26,-35.00,-13.90,-5.06,5.88,0.68,0.72,0.28,116.70
Mohit Industries,531453,MOHITIND,Textiles - Processing,27.70,9.06,8.92,-1.66,-7.46,-0.05,0.09,0.17,-5.10,-4.71,0.96,3.73,-0.02,0.11,0.22,2.13,12.10,25.01,,2.87,13.31,29.01,,,-10.85,-1.20,-0.96,0.45,0.58,0.94,39.22
Mohit Paper Mill,530169,,Paper,36.50,7.89,-27.57,-35.01,28.25,1.13,1.36,2.49,-5.13,9.21,-14.34,4.31,-0.82,0.87,1.36,-48.46,-44.10,-47.11,-47.52,4.49,21.39,45.54,64.93,-112.70,-92.20,-65.04,-52.50,2.13,1.89,0.64,51.11
Mohite Industrie,532140,,Textiles - Cotton/Blended,55.99,-9.84,-19.92,-19.22,25.17,-3.89,6.90,3.01,8.83,32.51,-23.68,0.82,9.65,-20.35,6.90,-32.46,-27.41,,,28.36,39.77,,,,,-76.18,-69.96,1.74,0.86,,112.54
MOIL,533286,MOIL,Mining / Minerals / Metals,489.40,253.35,-62.74,-141.27,-85.17,26.92,13.05,790.11,-36.71,212.07,-101.65,-122.11,-11.70,24.75,812.50,30.39,42.52,579.59,402.35,825.48,1174.14,2126.54,2248.11,-135.33,126.14,777.28,450.05,1596.59,2261.92,2091.13,9958.57
Moksh Ornaments,,MOKSH,Trading,15.83,-18.41,-18.41,0.00,21.85,3.44,5.23,8.66,-21.27,-21.27,0.00,23.77,2.50,2.73,5.23,-14.13,-52.26,-57.85,-63.12,-13.72,-118.05,-123.62,-127.01,63.72,65.50,65.52,-0.41,9.46,22.89,3.82,84.94
Mold-Tek Pack.,533080,MOLDTKPAC,Packaging,804.70,78.82,-55.52,-142.86,59.46,-4.58,4.88,1.61,11.89,158.98,-148.34,-9.88,0.76,4.12,6.42,-93.72,-78.92,-124.43,-81.16,240.32,348.23,428.82,525.45,-591.16,-532.74,-426.97,-346.00,1.20,0.90,0.85,2673.92
Mold-Tek Technol,526263,MOLDTECH,Engineering - Turnkey Services,258.45,32.52,28.29,-4.52,-10.61,17.39,31.63,49.29,22.39,33.87,-11.35,-3.28,19.24,12.39,31.88,62.83,93.19,96.01,104.53,81.81,115.82,125.95,141.21,-41.51,-36.32,-29.02,-23.17,12.75,1.82,2.89,738.23
Monarch Networth,511551,MONARCH,Finance & Investments,519.00,-144.24,-150.41,11.39,93.70,-39.15,47.78,456.96,-24.83,-20.78,-17.74,-4.72,-43.23,91.02,396.06,-131.84,-107.56,-71.58,-5.56,-119.96,-90.48,-51.91,27.89,-52.47,-22.34,-1.44,-6.66,311.55,94.42,38.38,1757.84
Money Masters,535910,,Finance & Investments,151.00,0.63,0.63,-2.46,2.00,0.16,0.04,0.20,1.18,1.18,-0.42,-0.55,0.21,0.02,0.04,2.51,3.75,4.56,1.87,2.51,3.78,4.60,2.11,-13.12,-10.16,-7.52,-5.25,0.20,0.18,0.98,151.57
Moneyboxx Fin.,538446,,Finance & Investments,308.65,-223.66,-228.25,-21.27,284.33,39.40,56.58,113.64,-128.79,-124.42,-10.51,185.42,50.50,6.08,62.40,-417.82,-487.90,-472.66,-475.89,-407.46,-474.71,-458.93,-461.94,-38.39,-37.96,-37.67,-34.60,2.43,16.53,1.10,943.18
Monind,532078,,Mining / Minerals / Metals,24.92,-0.26,-0.26,0.00,0.25,-0.01,0.02,0.02,-1.17,-1.16,0.20,0.96,-0.01,0.03,0.02,-1.21,-2.55,-187.33,-94.63,-2.52,-3.86,-188.64,-95.34,188.01,101.20,1.39,1.32,0.02,0.06,0.20,9.17
Mono Pharmacare,,MONOPHARMA,Trading,40.40,-12.16,-12.17,0.56,9.80,-1.80,0.42,0.42,-40.11,-39.54,-1.16,40.73,0.04,0.38,0.42,,,,,,,,,,,,,,,,71.38
Monotype India,505343,,Finance & Investments,0.98,10.22,10.22,0.00,-10.15,0.08,0.00,0.08,7.76,7.76,0.00,-7.86,-0.10,0.10,0.00,26.43,36.49,73.64,-25.61,26.43,36.50,73.65,-24.93,-32.65,0.36,0.04,0.00,0.08,0.07,-1.59,68.90
Monte Carlo Fas.,538836,MONTECARLO,Textiles - Products,608.00,82.54,54.83,2.64,-85.22,-0.04,0.60,7.28,-50.82,-5.12,-47.52,52.92,0.28,0.32,13.58,50.00,154.31,282.54,361.04,148.07,296.73,446.10,599.47,-179.78,-175.73,-205.81,-93.27,40.85,34.91,25.97,1260.52
Moongipa Capital,530167,,Finance & Investments,36.00,-1.98,-1.99,2.15,-0.12,0.05,0.02,0.08,-1.39,-1.39,1.19,0.11,-0.09,0.12,0.02,-4.15,-2.74,-3.32,-2.55,-3.82,-2.35,-2.93,-1.62,2.07,3.36,2.72,3.76,0.14,0.05,0.55,10.98
Morarjee Text.,532621,MORARJEE,Textiles - Products,14.50,7.50,7.41,-0.15,-21.69,-14.35,16.74,4.18,17.55,17.85,-0.10,-5.90,11.85,4.89,18.33,-73.99,169.48,134.61,67.76,-72.84,172.33,285.89,402.81,-321.91,-139.13,4.03,-0.62,2.28,5.60,8.36,52.68
Morarka Finance,511549,,Finance & Investments,152.50,-0.50,-0.50,2.69,-2.25,-0.06,0.10,0.04,-0.55,-0.55,2.26,-1.80,-0.09,0.19,0.10,-1.21,-6.78,-4.41,-4.16,-1.21,-6.78,-4.41,-4.16,9.23,9.50,11.26,5.65,0.11,0.07,0.01,68.63
