Name,BSE Code,NSE Code,Industry,Current Price,Cash from operations last year,Free cash flow last year,Cash from investing last year,Cash from financing last year,Net cash flow last year,Cash beginning of last year,Cash end of last year,Free cash flow preceding year,Cash from operations preceding year,Cash from investing preceding year,Cash from financing preceding year,Net cash flow preceding year,Cash beginning of preceding year,Cash end of preceding year,Free cash flow 3years,Free cash flow 5years,Free cash flow 7years,Free cash flow 10years,Operating cash flow 3years,Operating cash flow 5years,Operating cash flow 7years,Operating cash flow 10years,Investing cash flow 10years,Investing cash flow 7years,Investing cash flow 5years,Investing cash flow 3years,Cash 3Years back,Cash 5Years back,Cash 7Years back,Market Capitalization
ACE EduTremd Ltd,530093,,Miscellaneous,3.20,0.02,0.02,0.00,0.00,0.02,5.00,0.02,-0.05,-0.05,0.00,0.00,-0.05,0.05,0.01,0.01,-0.01,-0.05,-0.06,0.01,0.00,-0.02,7.00,-7.06,-0.03,-0.01,0.00,0.01,0.01,0.03,2.93
Ace Engitech,530669,,Computers - Software - Medium / Small,21.56,-0.08,0.06,0.14,0.00,0.05,0.05,0.10,-0.41,-0.31,0.21,0.00,-0.10,0.14,0.05,-0.11,-0.34,-1.15,-1.07,-0.12,-0.35,-1.15,-1.07,0.97,1.09,0.38,-0.15,0.37,0.00,0.13,7.12
Ace Integrated,,ACEINTEG,Computers - Software - Medium / Small,34.19,0.36,0.26,-0.82,-0.07,-0.53,1.79,3.22,0.99,0.77,0.28,-1.80,-0.75,2.54,2.79,1.19,1.66,-2.43,0.06,1.51,2.54,-0.35,3.47,-11.87,-7.68,-1.70,-0.84,0.89,1.61,4.25,34.87
Ace Men,539661,,Trading,45.99,0.01,0.01,0.00,0.00,0.01,0.02,0.03,0.01,0.01,0.00,0.00,0.01,0.02,0.03,0.02,-0.01,-1.51,-2.80,0.02,-0.01,-1.51,-2.80,2.37,1.54,0.00,0.00,0.02,0.05,0.01,14.24
Ace Soft. Exp.,531525,,Computers - Software - Medium / Small,243.75,-3.32,-3.80,-4.59,12.68,4.76,0.31,5.07,2.46,-0.78,2.83,-2.29,-0.24,0.55,0.31,2.23,-3.80,-9.67,-10.09,-1.52,-6.28,-8.36,-4.01,-5.62,-1.22,-1.36,-4.02,0.37,1.12,0.75,156.00
Achyut Healthcar,543499,,Trading,56.70,-0.36,-6.37,-15.23,15.72,0.14,0.23,0.23,-3.75,-0.43,-4.81,5.21,-0.03,0.26,0.23,-17.11,-17.12,,,-7.75,-7.76,,,,,-21.64,-21.64,0.02,0.04,,95.40
ACI Infocom,517356,,Computers - Software - Medium / Small,2.44,4.29,4.29,-4.29,0.00,0.00,0.02,0.02,-2.61,-2.60,2.59,0.00,0.00,0.03,0.02,2.36,5.10,5.62,3.12,2.37,5.11,5.63,3.13,-3.17,-5.69,-5.26,-2.23,0.05,0.18,0.09,26.96
Acknit Indus.,530043,,Textiles - Products,312.00,-8.53,-12.95,-3.92,12.72,0.26,0.29,0.80,22.41,25.41,-2.99,-22.35,0.07,0.21,0.79,-4.53,16.88,19.10,18.96,9.25,42.41,51.20,63.10,-42.05,-30.82,-24.83,-13.19,0.58,1.37,1.87,94.84
Acme Resources,539391,,Finance & Investments,33.10,-1.03,-1.03,0.01,0.43,-0.59,0.87,0.28,-8.22,-8.22,0.49,7.79,0.07,0.80,0.87,-7.09,24.37,45.93,91.30,-7.06,23.39,45.72,92.18,-31.79,-7.16,-24.06,0.61,1.07,12.05,1.12,85.21
Acrow India,513149,,Diversified - Medium / Small,760.00,-0.82,-0.63,0.80,0.00,-0.02,0.03,0.01,-1.10,-1.01,-6.14,0.00,-7.15,7.18,0.03,-0.74,-2.05,-2.96,5.08,-2.43,-3.72,-4.60,-14.68,15.62,-1.54,-2.12,-3.32,5.76,5.89,6.08,48.64
Action Const.Eq.,532762,ACE,Engineering,1461.55,433.43,268.15,-368.23,-38.66,26.54,21.48,110.41,237.89,274.28,-217.51,-41.01,15.76,5.72,48.96,565.26,645.01,753.39,871.86,811.23,945.27,1106.70,1279.98,-941.74,-885.18,-823.05,-787.22,36.51,11.42,12.57,17404.64
Active Clothing,541144,,Textiles - Products,100.89,20.77,1.28,-19.45,-1.15,0.17,0.14,0.31,-3.23,14.25,-17.43,-0.94,-4.12,4.26,0.14,7.80,13.50,4.90,-33.49,45.47,51.69,55.54,49.97,-57.90,-50.05,-35.75,-37.36,4.42,3.16,0.95,156.50
AD Manum Finance,511359,,Finance & Investments,79.39,1.42,1.41,0.01,-1.10,0.33,0.23,0.56,-0.19,-1.81,1.64,-2.47,-2.65,2.88,0.25,-1.12,20.34,19.13,39.93,-2.77,18.62,17.29,38.53,2.22,2.77,2.63,2.50,8.45,0.96,0.76,59.54
