Name,BSE Code,NSE Code,Industry,Current Price,Sales latest quarter,Profit after tax latest quarter,YOY Quarterly sales growth,YOY Quarterly profit growth,Sales growth,Profit growth,Operating profit latest quarter,Other income latest quarter,EBIDT latest quarter,Depreciation latest quarter,EBIT latest quarter,Interest latest quarter,Profit before tax latest quarter,Tax latest quarter,Extraordinary items latest quarter,Net Profit latest quarter,GPM latest quarter,OPM latest quarter,NPM latest quarter,Equity Capital latest quarter,EPS latest quarter,Operating profit 2quarters back,Operating profit 3quarters back,Sales 2quarters back,Sales 3quarters back,Net profit 2quarters back,Net profit 3quarters back,Operating profit growth,Last result date,Expected quarterly sales growth,Expected quarterly sales,Expected quarterly operating profit,Expected quarterly net profit,Expected quarterly EPS,Sales preceding quarter,Operating profit preceding quarter,Other income preceding quarter,EBIDT preceding quarter,Depreciation preceding quarter,EBIT preceding quarter,Interest preceding quarter,Profit before tax preceding quarter,Tax preceding quarter,Profit after tax preceding quarter,Extraordinary items preceding quarter,Net Profit preceding quarter,OPM preceding quarter,NPM preceding quarter,Equity Capital preceding quarter,EPS preceding quarter,Market Capitalization
BNR Udyog,530809,,Finance & Investments,72.00,0.82,0.27,-24.07,800.00,84.22,299.07,0.25,0.04,0.29,0.02,0.27,0.00,0.27,0.00,0.00,0.27,100.00,30.49,32.93,3.00,0.90,0.51,0.03,0.96,0.42,0.53,4.09,269.29,202403.00,-16.14,0.35,0.07,0.06,0.21,0.84,0.18,0.04,0.22,0.02,0.20,0.00,0.20,0.00,0.20,0.00,0.20,21.43,23.81,3.00,0.67,21.60
Bodal Chemicals,524370,BODALCHEM,Dyes And Pigments,77.59,393.59,2.04,1.03,-27.40,-11.41,-82.64,25.11,5.45,30.56,17.01,13.55,15.60,-2.05,-4.10,0.00,2.04,50.34,6.38,0.52,25.16,0.16,23.49,22.21,330.00,332.49,1.24,2.21,-29.01,202403.00,-9.13,302.13,20.44,-8.21,-0.65,338.55,23.87,4.65,28.52,14.52,14.00,12.09,1.91,0.94,0.98,0.00,0.98,7.05,0.29,25.13,0.08,975.97
Bodhi Tree,543767,BTML,Entertainment / Electronic Media Software,15.24,21.86,1.06,-0.50,-67.48,50.20,3.99,1.37,0.06,1.43,0.07,1.36,0.19,1.17,0.11,0.00,1.06,129.78,6.27,4.85,12.50,0.13,1.64,1.81,13.02,16.21,0.98,1.26,12.89,202403.00,119.48,35.58,3.55,3.22,0.26,12.90,0.96,0.01,0.97,0.05,0.92,0.20,0.72,0.44,0.28,0.00,0.28,7.44,2.17,12.50,-0.02,190.43
Bohra Industries,,BOHRAIND,Fertilizers,15.85,0.00,-0.77,,-4.05,,12.24,-0.64,0.00,-0.64,0.34,-0.98,0.00,-0.98,-0.21,0.00,-0.77,,,,14.30,-0.54,-0.22,-0.28,0.00,0.00,-0.56,-0.62,18.29,202403.00,,,,,,0.00,-0.29,0.00,-0.29,0.34,-0.63,0.00,-0.63,0.00,-0.63,0.00,-0.63,,,14.30,-0.44,22.66
Bombay Burmah,501425,BBTC,Auto Ancillaries,2064.95,4161.69,261.89,1.30,18286.79,2.92,121.36,762.82,83.03,845.95,83.72,762.23,28.94,733.19,206.79,-0.10,526.40,45.03,18.33,12.65,13.96,37.53,787.07,338.84,4523.93,4086.62,411.57,68.03,68.78,202403.00,3.00,4209.41,554.43,434.59,30.98,4336.73,799.09,269.44,1071.63,81.22,990.41,52.89,934.42,203.26,458.24,-3.10,731.16,18.43,16.92,13.96,65.46,14407.57
Bombay Cycle,501430,,Diversified - Medium / Small,2011.00,2.47,0.62,9.78,34.78,7.10,55.71,0.40,0.47,0.87,0.03,0.84,0.01,0.83,0.20,0.00,0.62,80.97,16.19,25.10,0.40,15.50,0.50,0.42,2.05,2.01,0.87,1.07,-10.80,202403.00,7.41,2.16,0.45,0.40,10.00,2.67,0.58,0.56,1.14,0.04,1.10,0.01,1.09,0.25,0.84,0.00,0.84,21.72,31.46,0.40,21.00,80.44
Bombay Dyeing,500020,BOMDYEING,Textiles - Manmade,211.50,380.65,66.39,-43.20,126.97,-36.85,43.02,-43.86,70.93,27.07,7.79,19.28,5.19,14.09,-52.30,0.00,66.39,20.85,-11.52,17.44,41.31,3.21,15.49,3.36,440.60,498.01,-52.05,-119.84,-41.89,202403.00,-35.16,322.91,-6.75,-45.01,-2.18,369.22,-24.21,3897.74,-7.01,7.79,-14.80,58.41,3807.33,753.41,-73.21,3880.54,3053.92,-6.56,-19.83,41.31,147.86,4368.21
Bombay Metrics,,BMETRICS,Trading,132.95,43.69,,,,23.89,24.63,3.83,,,,,,,,,2.58,,,,,4.19,,,,,,,79.06,202403.00,,,,,,41.99,1.12,,,,,,,,,,0.81,,,,1.32,81.86
Bombay Oxygen,509470,,Finance & Investments,35376.60,12.66,8.69,295.67,502.31,2603.82,7683.78,12.04,1.37,13.41,0.05,13.36,0.00,13.36,4.67,0.00,8.69,100.00,95.10,68.64,1.50,579.33,13.68,21.39,14.07,21.80,11.86,19.57,7167.37,202403.00,190.17,63.26,61.67,61.36,4090.53,22.32,21.92,0.01,21.93,0.05,21.88,0.00,21.88,4.41,17.47,0.00,17.47,98.21,78.27,1.50,1164.67,530.65
Bombay Super Hyb,,BSHSL,Miscellaneous,192.10,30.12,3.13,-15.82,63.87,12.88,32.58,3.51,0.75,4.26,0.22,4.04,1.45,2.59,-0.54,0.00,3.13,26.13,11.65,10.39,10.49,0.30,2.92,12.80,33.76,116.67,1.57,10.64,32.20,202403.00,15.74,135.04,14.69,12.35,1.18,76.34,9.22,0.14,9.36,0.38,8.98,0.99,7.99,1.11,6.88,0.00,6.88,12.08,9.01,10.49,0.66,2015.83
Bombay Talkies,511246,,Finance & Investments,8.08,0.05,-0.05,66.67,-25.00,-75.41,-100.00,-0.04,0.00,-0.04,0.01,-0.05,0.00,-0.05,0.00,0.00,-0.05,20.00,-80.00,-100.00,5.40,-0.01,-0.06,-0.05,0.04,0.05,-0.06,-0.04,-41.67,202403.00,0.83,0.05,-0.07,-0.07,-0.01,0.01,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,-300.00,-300.00,5.40,-0.01,43.63
Bombay Wire,504648,,Steel - Medium / Small,73.00,0.00,0.03,,127.27,,6.06,-0.15,0.03,-0.12,0.00,-0.12,0.00,-0.12,-0.15,0.00,0.03,,,,0.53,0.06,-0.16,-0.10,0.00,0.00,-0.12,-0.08,-33.33,202403.00,,,,,,0.00,-0.16,0.03,-0.13,0.00,-0.13,0.00,-0.13,0.00,-0.14,0.00,-0.14,,,0.53,-0.26,38.98
Bondada Engineer,543971,,Engineering - Turnkey Services,2590.00,505.00,,,,116.07,151.69,48.12,,,,,,,,,31.44,,,,,13.91,,,,,,,121.83,202403.00,,,,,,295.72,20.36,,,,,,,,,,14.88,,,,6.80,5594.92
Bonlon Industrie,543211,,Trading,36.98,118.64,0.82,-27.24,286.36,-15.57,124.04,1.82,0.04,1.86,0.48,1.38,0.29,1.09,0.27,0.00,0.82,3.75,1.53,0.69,14.18,0.58,1.06,1.34,130.73,89.48,0.20,0.61,107.09,202403.00,-5.28,84.75,1.26,0.61,0.43,92.63,1.90,-0.19,1.71,0.49,1.22,0.30,0.92,0.24,0.69,0.00,0.69,2.05,0.74,14.18,0.49,52.45
Borosil,543212,BOROLTD,Glass & Glass Products,332.30,228.88,5.08,29.65,61.27,-6.79,-4.87,19.08,6.73,25.81,15.98,9.83,3.17,6.66,1.58,0.00,5.08,61.86,8.34,2.22,11.46,0.44,37.22,26.07,234.87,250.56,18.54,6.38,5.03,202403.00,21.16,303.57,37.51,16.83,1.41,302.45,56.70,7.72,64.42,13.04,51.38,2.24,49.14,11.85,37.30,0.00,37.30,18.75,12.33,11.45,3.25,3964.31
Borosil Renew.,502219,BORORENEW,Glass & Glass Products,508.90,283.11,-48.12,-8.39,-576.48,53.64,-211.13,-25.54,5.12,-20.48,33.58,-54.06,3.16,-57.16,-3.85,0.06,-53.32,38.96,-9.02,-18.85,13.05,-3.68,32.49,26.47,401.66,354.50,30.47,-11.53,-62.59,202403.00,74.91,620.05,28.49,-37.70,-2.60,330.01,20.12,3.88,23.96,34.74,-10.78,7.44,-18.18,-2.29,-15.60,0.04,-15.90,6.10,-4.83,13.05,-1.19,6643.06
Borosil Scienti.,544184,BOROSCI,Glass & Glass Products,220.70,102.66,12.07,13.07,4.50,9.00,3.25,18.91,1.65,20.56,4.07,16.49,0.51,15.98,3.91,0.00,12.07,63.70,18.42,11.76,8.88,1.36,,,,,,,0.73,202403.00,,,,,,88.42,13.41,1.35,14.76,4.12,10.64,0.34,10.30,2.85,7.45,0.00,7.45,15.17,8.43,,0.84,1959.71
Bosch,500530,BOSCHLTD,Auto Ancillaries,34253.90,4233.40,564.50,4.18,41.48,12.04,28.26,557.20,226.20,783.40,118.80,664.60,3.90,660.70,96.20,0.00,564.50,34.54,13.16,13.33,29.50,191.40,491.30,467.90,4130.10,4158.40,998.90,409.00,15.77,202403.00,12.27,4668.65,564.66,440.03,149.20,4205.20,578.40,213.60,733.20,117.30,615.90,3.90,670.80,152.70,472.69,58.80,518.10,13.75,11.24,29.50,175.67,101027.22
Bothra Metals,535279,,Aluminium and Aluminium Products,12.12,16.20,,,,,125.44,0.71,,,,,,,,,0.11,,,,,0.06,,,,,,,105.21,202403.00,,,,,,12.32,0.30,,,,,,,,,,0.18,,,,0.10,22.45
BPL,500074,BPL,Electronics - Components,133.55,16.18,0.32,5.48,-84.08,27.21,134.90,0.51,3.99,4.50,0.52,3.98,0.19,3.79,3.46,0.00,0.32,49.20,3.15,1.98,48.98,0.07,9.98,3.11,21.49,14.45,9.56,2.59,116.57,202403.00,34.28,19.40,4.18,3.39,0.69,14.42,2.19,0.15,2.34,0.51,1.83,0.15,1.68,0.00,1.68,0.00,1.68,15.19,11.65,48.98,0.34,654.06
Brady & Morris,505690,,Engineering,1250.00,26.00,2.52,67.31,66.89,24.58,73.76,3.79,0.10,3.89,0.18,3.71,0.20,3.51,0.99,0.00,2.52,38.58,14.58,9.69,2.25,11.20,2.59,2.51,15.93,14.30,1.93,1.77,66.67,202403.00,31.41,18.79,3.18,2.76,12.28,18.98,3.43,0.07,3.50,0.17,3.33,0.29,3.04,0.86,2.19,0.00,2.19,18.07,11.54,2.25,9.73,281.27
Brahmaputra Inf.,535693,,Construction,103.70,54.01,4.49,26.34,121.18,23.82,59.24,9.46,0.01,9.47,0.42,9.05,3.83,5.22,0.73,0.00,4.49,32.90,17.52,8.31,29.02,1.55,10.72,8.65,60.61,53.61,3.86,3.55,19.66,202403.00,27.49,68.35,12.66,5.90,2.03,52.89,14.54,0.00,14.54,0.43,14.11,8.57,5.54,0.27,5.27,0.00,5.27,27.49,9.96,29.02,1.82,300.95
Brand Concepts,543442,BCONCEPTS,Trading,652.15,58.11,1.07,39.45,-47.03,53.55,10.71,5.19,0.22,5.41,2.02,3.39,1.67,1.72,0.65,0.00,1.07,53.86,8.93,1.84,11.13,0.96,8.38,6.49,68.93,58.06,3.71,3.12,30.18,202403.00,55.06,90.03,9.94,6.01,5.40,65.51,7.61,0.43,8.04,1.63,6.41,1.74,4.67,1.61,3.06,0.00,3.06,11.62,4.67,11.11,2.75,726.02
Brandbucket Med.,543439,,Miscellaneous,8.97,25.25,,,,,,0.98,,,,,,,,,0.35,,,,,0.15,,,,,,,,202403.00,,,,,,,,,,,,,,,,,,,,,,20.85
Brawn Biotech,530207,,Trading,26.19,3.45,-0.34,-27.37,44.26,-25.82,-77.01,-0.39,0.08,-0.31,0.03,-0.34,0.00,-0.34,0.00,0.00,-0.34,16.52,-11.30,-9.86,3.00,-1.13,-0.39,-0.16,2.92,7.29,-0.42,-0.17,-410.00,202403.00,2613.63,,,,,2.84,-0.58,0.00,-0.58,0.03,-0.61,0.00,-0.61,0.00,-0.61,0.00,-0.61,-20.42,-21.48,3.00,-2.03,7.86
Bridge Securitie,530249,,Miscellaneous,30.06,0.32,0.27,-3.03,167.50,-17.53,176.47,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.04,0.00,0.27,100.00,93.75,84.38,3.36,0.80,0.14,0.04,0.15,0.10,0.01,0.04,215.25,202403.00,,,,,,0.23,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,0.00,0.19,82.61,82.61,3.36,0.57,10.10
Brigade Enterpr.,532929,BRIGADE,Construction,1362.15,1702.37,206.09,102.04,247.07,42.16,105.47,432.73,60.25,492.98,76.17,416.81,137.98,278.83,67.97,0.00,210.86,67.42,25.42,12.39,231.10,8.92,324.77,174.81,1366.58,653.97,112.50,21.89,37.88,202403.00,57.60,1030.63,260.58,51.79,2.19,1173.77,262.04,34.41,296.45,82.08,214.37,134.91,79.46,23.67,55.79,0.00,55.79,22.32,4.75,230.85,3.18,31484.16
Bright Brothers,526731,,Plastics Products,150.85,65.47,-0.22,38.50,80.00,18.35,-25.53,3.82,0.38,4.20,2.54,1.66,1.88,-0.22,0.00,0.00,-0.22,33.71,5.83,-0.34,5.68,-0.39,1.15,1.63,57.89,65.40,-2.21,-1.24,953.41,202403.00,20.31,78.68,2.63,-2.14,-3.76,55.91,2.66,0.24,2.90,2.31,0.59,1.58,-0.99,0.10,-1.09,0.00,-1.09,4.76,-1.95,5.68,-1.92,85.68
Bright Outdoor,543831,,Miscellaneous,425.10,65.44,6.03,27.97,131.92,16.59,125.92,17.21,0.04,8.27,0.04,8.23,0.13,8.10,2.07,0.00,11.84,100.00,26.81,19.64,13.93,8.14,,,,,,,85.96,202403.00,,,,,,41.24,5.45,0.45,5.90,0.06,5.84,0.21,5.63,1.43,4.20,0.00,4.20,13.22,10.18,,3.02,618.47
Bright Solar,,BRIGHT,Pumps,8.35,9.02,,,,-59.54,-7020.00,-3.06,,,,,,,,,-2.90,,,,,-1.16,,,,,,,-17750.00,202403.00,,,,,,0.52,-0.53,,,,,,,,,,-3.10,,,,-1.24,20.87
Brightcom Group,532368,BCG,Computers - Software - Medium / Small,8.98,1690.32,321.48,14.16,15.96,30.11,30.57,518.03,0.16,518.19,72.27,445.92,0.10,445.82,124.35,0.00,321.48,100.00,30.65,19.02,403.70,1.59,815.73,509.67,2865.17,1683.07,543.93,320.68,27.14,202306.00,32.33,2227.26,662.89,575.34,2.85,1367.92,391.37,0.58,391.95,69.23,322.72,0.10,322.62,93.46,229.15,0.00,229.15,28.61,16.75,403.58,1.14,1812.09
Brijlaxmi Leas.,532113,,Finance & Investments,7.78,0.58,-0.02,-21.62,-110.00,-17.19,1050.00,0.19,0.00,0.19,0.00,0.19,0.34,-0.15,-0.13,0.00,-0.02,100.00,32.76,-3.45,6.46,-0.03,0.86,0.53,1.01,0.65,0.38,0.14,105.36,202403.00,33.84,0.87,0.64,0.30,0.46,0.93,0.72,0.00,0.72,0.00,0.72,0.35,0.37,0.10,0.27,0.00,0.27,77.42,29.03,6.46,0.42,5.03
Brisk Technovisi,544101,,Computers - Hardware,130.00,11.19,,,,46.70,0.50,0.58,,,,,,,,,0.48,,,,,2.40,,,,,,,-1.56,202403.00,,,,,,15.67,1.95,,,,,,,,,,1.52,,,,7.60,26.00
Britannia Inds.,500825,BRITANNIA,Food - Processing - MNC,5445.45,4069.36,536.61,1.15,-3.76,2.88,5.27,783.65,57.34,840.99,79.93,761.06,26.44,734.62,198.01,0.00,536.61,44.89,19.26,13.19,24.09,22.35,871.38,688.88,4432.88,4010.70,586.50,455.45,11.86,202403.00,2.96,4129.49,755.02,652.71,27.10,4256.33,819.75,47.66,870.31,78.09,792.22,31.09,758.23,202.57,557.79,-2.90,555.66,19.26,13.10,24.09,23.10,131163.64
Bronze Infra,534731,,Construction,1.26,-0.88,-0.07,-466.67,-800.00,28.26,481.25,-0.07,0.00,-0.07,0.00,-0.07,0.00,-0.07,0.00,0.00,-0.07,,,,17.28,-0.04,0.32,0.08,14.92,4.01,0.32,0.08,647.83,202303.00,,,,,,14.24,-0.18,0.00,-0.18,0.00,-0.18,0.00,-0.18,0.00,-0.18,0.00,-0.18,-1.26,-1.26,17.28,-0.10,2.17
Brookfield India,543261,BIRET,Construction,264.83,535.90,4.61,77.20,-85.90,48.75,-102.94,396.13,17.83,413.96,102.53,311.43,274.25,37.18,32.58,0.00,4.61,99.61,73.92,0.86,10910.14,0.10,268.95,211.12,399.71,314.09,1.96,-27.01,53.65,202403.00,54.69,485.85,335.14,-57.85,-1.21,530.78,376.96,30.36,407.32,104.96,302.36,272.60,29.76,13.19,16.57,0.00,16.57,71.02,3.12,11107.93,0.38,12712.24
Brooks Lab.,533543,BROOKS,Pharmaceuticals - Indian - Bulk Drugs & Formln,87.00,17.72,-9.61,40.52,-124.01,25.78,-3.57,-9.53,0.65,-8.88,0.46,-9.34,0.27,-9.61,0.00,0.00,-9.61,28.22,-53.78,-54.23,26.25,-3.66,-1.10,-3.91,24.32,15.70,-1.64,-4.47,32.21,202403.00,29.49,20.33,-5.03,-5.77,-2.20,21.75,-3.37,0.16,-3.21,0.43,-3.64,0.21,-3.85,0.03,-3.88,0.00,-3.88,-15.49,-17.84,26.25,-1.48,228.35
BSE,,BSE,Miscellaneous,2594.00,544.77,106.89,110.37,20.63,72.19,121.81,152.44,27.99,180.43,26.50,153.93,0.00,153.93,47.04,0.00,106.89,100.00,27.98,19.62,27.07,7.91,189.20,114.09,362.02,259.61,118.41,440.09,97.96,202403.00,76.79,458.97,188.52,159.18,11.76,426.10,146.44,21.79,168.23,24.86,143.37,0.00,143.37,37.10,106.27,0.00,106.27,34.37,24.94,27.09,7.99,35116.62
BSEL ALGO,532123,,Construction,12.26,8.24,9.52,-4.85,-28.04,-56320.00,-35.02,7.75,0.98,8.73,0.01,8.72,0.00,8.72,-0.80,0.00,9.52,100.00,94.05,115.53,82.62,1.15,10.56,16.16,10.98,16.48,8.71,12.80,1926.21,202403.00,,,,,,-7.59,-7.99,0.50,-7.49,0.01,-7.50,0.00,-7.50,-1.66,-5.84,0.00,-5.84,,,82.62,-0.71,101.29
BSL,514045,BSL,Textiles - Processing,201.40,156.34,2.52,31.68,-51.54,41.27,-38.77,16.41,0.06,16.47,4.40,12.07,9.07,3.00,0.48,0.00,2.52,37.74,10.50,1.61,10.29,2.45,15.84,15.06,178.69,160.42,2.52,2.27,22.03,202403.00,42.01,227.81,22.02,6.68,6.49,171.00,17.89,0.13,18.02,4.42,13.60,8.47,5.13,1.21,3.92,0.00,3.92,10.46,2.29,10.29,3.81,207.27
Burnpur Cement,532931,BURNPUR,Cement - North India,9.23,0.51,-16.45,-98.91,-38.35,-8.10,-29.52,-3.54,0.00,-3.54,-0.01,-3.53,15.03,-18.56,-2.11,0.00,-16.45,100.00,-694.12,-3225.49,86.12,-1.91,2.98,3.03,43.40,49.72,-19.16,-18.35,-435.30,202403.00,36.60,67.92,-82.24,-102.13,-11.86,40.74,-23.45,0.03,-23.42,1.88,-25.30,19.86,-45.16,0.00,-45.16,0.00,-45.16,-57.56,-110.85,86.12,-5.24,79.53
Butterfly Gan Ap,517421,BUTTERFLY,Domestic Appliances,868.00,166.38,-17.64,-10.93,-1230.77,-11.86,-84.25,-19.77,-1.04,-18.69,4.54,-23.23,1.37,-26.72,-6.95,-2.12,-19.76,30.17,-11.88,-10.60,17.88,-11.05,25.11,19.69,307.97,218.98,14.59,14.73,-71.36,202403.00,-11.61,193.55,7.82,2.26,1.27,237.95,2.36,1.38,3.74,4.59,-0.85,1.93,-2.78,-0.62,-2.16,0.00,-2.16,0.99,-0.91,17.88,-1.21,1551.97
C D S L,,CDSL,Miscellaneous,2425.95,240.78,129.26,92.98,104.85,46.33,52.70,147.89,28.55,176.44,8.01,168.43,0.02,168.41,38.98,0.00,129.42,100.00,61.42,53.75,104.50,12.37,128.47,79.54,207.31,149.68,108.97,73.68,53.12,202403.00,52.52,228.29,130.74,122.67,11.72,214.48,130.44,21.48,151.92,6.90,145.02,0.03,144.99,37.51,107.42,0.00,107.48,60.82,50.11,104.50,10.28,25351.19
C J Gelatine,507515,,Chemicals,23.00,11.25,0.42,12.05,110.00,11.54,230.43,0.75,-0.66,0.79,0.55,0.24,0.36,-0.82,-0.62,-0.70,-0.21,26.31,6.67,3.73,4.81,-0.44,-0.12,0.55,9.61,10.52,-1.11,-0.34,19.38,202403.00,12.50,11.83,0.57,0.06,0.13,9.53,0.73,-0.69,0.74,0.00,0.74,0.34,-0.30,0.00,0.41,-0.70,-0.29,7.66,4.30,4.81,-0.60,11.07
C P C L,500110,CHENNPETRO,Refineries,986.25,17720.18,612.38,-1.60,-39.02,-12.96,-23.28,1041.72,3.49,1045.21,150.75,894.46,50.94,843.52,231.14,0.00,612.38,8.60,5.88,3.46,148.91,41.12,1804.42,949.82,16544.56,14744.80,1190.56,548.32,-21.45,202403.00,-10.13,13250.83,883.86,709.65,47.66,17375.90,679.57,2.48,682.05,151.03,531.02,49.97,481.05,121.06,359.99,0.00,359.99,3.91,2.07,148.91,24.17,14686.38
C P S Shapers,,CPS,Textiles - Products,247.05,18.40,,,,-0.44,-69.92,0.92,,,,,,,,,-0.08,,,,,-0.38,,,,,,,-34.72,202403.00,,,,,,17.62,2.22,,,,,,,,,,0.82,,,,3.90,51.88
C.E. Info System,543425,MAPMYINDIA,Computers - Software - Medium / Small,2337.65,106.90,37.94,47.51,35.40,34.80,24.90,39.50,12.39,51.89,4.15,47.74,0.77,46.97,8.72,0.00,38.25,79.33,36.95,35.78,10.81,7.02,40.45,37.39,91.08,89.41,33.09,32.00,31.51,202403.00,35.61,121.25,49.49,43.89,8.05,92.02,35.06,11.54,46.60,3.75,42.85,0.76,42.09,11.05,30.75,0.00,31.04,38.10,33.73,10.81,5.69,12640.17
Cadsys (India),,CADSYS,Computers - Software - Medium / Small,215.00,107.10,,,,23.54,68.18,11.56,,,,,,,,,6.61,,,,,4.39,,,,,,,112.52,202403.00,,,,,,108.01,13.90,,,,,,,,,,7.27,,,,6.36,161.30
Calcom Vision,517236,,Electronics - Components,146.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202403.00,,,,,,,,,,,,,,,,,,,,,,196.69
California Soft.,532386,CALSOFT,Computers - Software - Medium / Small,17.27,1.01,0.15,4950.00,133.33,55.07,181.82,0.39,0.00,0.39,0.18,0.21,0.00,0.21,0.06,0.00,0.15,100.00,38.61,14.85,15.46,0.10,0.22,0.39,1.03,0.98,0.04,0.21,30.83,202403.00,1189.96,,,,,1.26,0.57,0.00,0.57,0.18,0.39,0.00,0.39,0.17,0.22,0.00,0.22,45.24,17.46,15.46,0.14,26.69
Cambridge Tech.,532801,CTE,Computers - Software - Medium / Small,127.10,57.07,4.53,-7.40,1292.11,13.32,-32.03,9.34,3.31,12.65,2.63,10.02,4.19,5.83,1.30,0.00,4.53,94.48,16.37,7.94,19.63,2.82,-0.99,-0.49,43.52,52.75,-4.25,-3.59,12.25,202403.00,16.76,61.59,3.75,-3.39,-1.73,52.89,13.32,0.83,14.15,2.38,11.77,2.29,9.48,0.59,8.89,0.00,8.89,25.18,16.81,19.63,4.69,249.52
Camex,524440,,Dyes And Pigments,68.42,37.59,1.55,-6.86,150.00,7.53,337.97,2.10,0.25,2.35,0.08,2.27,0.18,2.09,0.54,0.00,1.55,12.21,5.59,4.12,10.21,1.52,1.11,-0.29,35.22,34.13,0.99,-0.24,686.44,202403.00,7.97,36.85,0.60,0.33,0.33,34.37,1.22,0.52,1.74,0.08,1.66,0.12,1.54,0.38,1.16,0.00,1.16,3.55,3.38,10.21,1.14,69.84
Camlin Fine,532834,CAMLINFINE,Chemicals,105.10,401.69,-33.44,-5.86,-507.36,-4.07,-233.83,-13.25,-44.04,-7.49,20.05,-27.54,16.17,-93.51,-11.72,-49.80,-81.79,34.87,-3.30,-8.83,16.75,-4.61,25.14,38.71,405.88,419.60,-20.83,12.01,-64.98,202403.00,-3.18,406.26,24.79,-11.24,-0.63,385.89,23.33,1.66,24.99,20.58,4.41,14.14,-9.73,4.54,-11.79,0.00,-14.28,6.05,-3.70,16.75,-0.70,1760.07
Campus Activewe.,543523,CAMPUS,Leather / Leather Products,289.95,363.86,32.75,4.63,42.76,-2.42,-23.31,63.88,2.53,66.41,18.60,47.81,4.02,43.79,11.04,0.00,32.75,49.87,17.56,9.00,152.63,1.07,24.47,66.20,258.66,353.76,0.32,31.48,-16.87,202403.00,-1.22,349.44,55.37,32.21,1.06,472.01,56.25,1.36,57.61,18.36,39.25,5.78,33.47,8.58,24.89,0.00,24.89,11.92,5.27,152.61,0.82,8852.31
Cams Services,543232,CAMS,Miscellaneous,3664.60,310.46,102.99,24.56,38.50,16.95,23.45,143.35,11.43,154.78,18.10,136.68,2.11,134.57,31.58,0.00,102.99,100.00,46.17,33.17,49.14,21.06,122.11,110.05,275.08,261.30,83.78,75.68,19.86,202403.00,17.20,306.23,133.51,112.09,22.79,289.68,129.38,9.91,139.29,18.45,120.84,2.12,118.72,30.19,88.53,0.00,88.53,44.66,30.56,49.12,18.17,18027.18
Can Fin Homes,511196,CANFINHOME,Finance - Housing,926.10,926.83,209.03,21.35,26.07,28.49,20.86,857.23,0.81,858.04,4.16,853.88,583.93,269.95,60.93,0.00,209.03,100.00,92.49,22.55,26.63,15.70,749.19,769.47,871.02,823.96,158.07,183.45,26.14,202403.00,28.70,1060.42,972.24,383.67,28.81,901.24,824.11,0.69,824.80,3.09,821.71,566.02,255.69,55.55,200.14,0.00,200.14,91.44,22.21,26.63,15.03,12331.40
Canara Bank,532483,CANBK,Banks - Public Sector,119.60,29286.12,3951.76,20.50,18.44,28.68,39.40,16088.13,8098.02,24186.15,0.00,24186.15,19226.09,4960.06,1166.85,0.00,3990.70,100.00,54.93,13.63,1814.13,4.36,16430.69,14461.24,27289.61,25450.79,3828.85,3754.82,49.31,202403.00,29.00,32832.69,18795.77,-429.20,-0.47,28492.24,16490.91,7137.94,23628.85,0.00,23628.85,18620.26,5008.59,1270.33,3790.21,0.00,3826.55,57.88,13.43,,4.18,108485.00
Canarys,,CANARYS,Computers - Software - Medium / Small,50.10,44.00,,,,0.67,3.02,8.01,,,,,,,,,5.34,,,,,0.95,,,,,,,-4.50,202403.00,,,,,,31.01,4.30,,,,,,,,,,2.65,,,,0.65,281.48
Candour Techtex,522292,,Trading,47.48,42.17,-0.15,804.94,-108.57,209.79,-149.77,0.41,1.11,1.52,1.01,0.51,0.85,-0.34,-0.19,0.00,-0.15,7.37,0.97,-0.36,16.94,-0.09,1.06,0.11,56.68,41.87,-0.03,-0.36,783.33,202403.00,551.63,,,,,44.01,0.55,0.42,0.97,0.90,0.07,0.67,-0.60,-0.08,-0.52,0.00,-0.52,1.25,-1.18,16.94,-0.31,80.42
Cantabil Retail,533267,CANTABIL,Textiles - Products,257.50,194.12,17.16,11.61,1.66,11.74,-9.09,43.93,3.06,45.49,17.34,28.15,7.84,21.81,3.46,1.50,18.35,60.96,22.63,8.84,16.73,2.19,29.56,34.43,135.11,111.77,7.50,12.27,-0.55,202403.00,11.62,124.75,34.88,14.24,1.70,175.77,54.23,1.39,55.62,16.91,38.71,7.76,30.95,6.84,24.10,0.00,24.10,30.85,13.71,16.33,2.95,2153.68
Capacit'e Infra.,540710,CAPACITE,Construction,310.60,598.89,51.76,34.06,139.08,7.40,21.40,108.84,9.93,118.77,22.28,96.49,23.41,73.08,21.27,0.00,51.81,32.49,18.17,8.65,84.60,6.12,62.45,70.51,421.61,430.45,19.85,19.09,-7.22,202403.00,9.98,473.41,79.10,30.07,3.55,480.68,87.13,5.38,92.51,26.88,65.63,24.87,40.76,11.18,29.53,0.00,29.58,18.13,6.15,73.56,3.85,2627.81
