Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization
Mystic Electron.,535205,,Trading,4.14,,,35.89,43.10,-98.25,-100.00,,,38.67,39.77,11.68,0.00,35.89,43.10,11.48,2.56,11.48,2.44,-8.70,0.58,-0.19,0.66,-0.07,8.19
N D Metal Inds.,512024,,Mining / Minerals / Metals,110.00,-69.28,-60.55,34.78,-10.78,-40.00,-47.59,-11.40,-13.30,74.35,-9.38,-7.74,-0.30,34.78,-10.78,-6.62,,-6.62,,-0.01,-0.09,0.02,-0.07,0.10,27.28
N G Industries,530897,,Healthcare,172.00,12.42,-0.91,98.82,28.60,1.79,1.52,-0.33,2.04,65.01,16.93,11.29,6.80,98.82,28.60,18.31,12.49,18.31,12.49,0.00,2.07,1.80,2.62,2.51,57.62
N K Industries,519494,NKIND,Solvent Extraction,51.27,1.14,-65.25,14.36,14.16,2.13,-79.71,-40.47,-39.31,-5.57,15.72,-16.83,10.23,14.36,14.16,8.30,6.31,8.30,6.31,1.25,-2.64,-6.71,-2.70,-7.71,30.81
N R Agarwal Inds,516082,NRAIL,Paper,507.00,4.12,-0.38,29.90,5.57,10.73,6.58,3.10,9.11,9.60,-0.89,3.57,23.44,29.90,5.57,14.17,74.11,14.17,74.11,0.42,92.26,68.16,147.33,122.99,862.87
N2N Technologies,512279,,Computers - Software - Medium / Small,23.60,,,25.87,11.84,-100.00,163.93,,33.43,24.98,12.47,,6.93,25.87,11.84,6.67,6.68,6.67,6.81,0.00,-1.94,-0.99,-1.95,-0.99,7.62
Naapbooks,543351,,Computers - Software - Medium / Small,63.72,42.06,28.59,52.29,63.98,7.80,20.44,,,46.14,50.32,,,16.22,,,,,,,0.66,,1.00,,57.47
NACL Industries,524709,NACLIND,Pesticides / Agrochemicals - Indian,75.95,14.29,15.50,,,15.24,17.39,13.46,10.83,-40.79,-8.14,-13.28,-1.17,,,,,,,-0.15,35.67,21.81,91.81,66.69,1514.32
Nag. Agri Tech.,531832,,Miscellaneous,19.19,11.75,-4.50,20.51,,0.38,-2.57,2.99,32.33,21.08,,,,20.51,,,0.22,,0.22,0.04,-0.65,-0.28,-0.63,-0.26,17.98
Naga Dhunseri,,NDGL,Finance & Investments,3596.05,59.53,63.61,-16.03,30.65,75.48,75.48,-5.69,,-13.99,31.68,16.06,,-16.03,30.65,-12.51,,-12.51,,0.00,45.80,,47.11,,359.61
Nagarjuna Fert.,539917,NAGAFERT,Fertilizers,12.83,44.64,19.69,,,-12.15,-7.60,5.05,3.29,,,,,,,,,,,-0.14,-738.51,-461.97,-398.80,-151.90,767.30
Nagpur Power,532362,,Mining / Minerals / Metals,132.65,,,,14.21,-66.67,-93.33,,,-78.16,15.20,-35.49,7.24,,14.21,,7.05,,7.05,0.59,0.33,-1.14,0.40,-1.10,173.77
Nagreeka Cap.,532895,NAGREEKCAP,Finance & Investments,28.70,79.35,-16.97,320.04,17.87,40.36,40.36,13.22,14.53,76.24,32.49,11.97,8.14,320.04,17.87,42.67,16.77,42.67,16.77,0.00,-16.65,-14.41,-0.45,-0.52,36.22
Nagreeka Exports,521109,NAGREEKEXP,Textiles - Cotton/Blended,34.00,13.24,-1.62,39.63,14.83,-10.82,-18.49,-1.33,-1.19,50.83,4.29,1.77,-4.21,39.61,14.80,29.17,2.13,29.20,2.15,4.45,1.62,2.21,13.50,15.61,106.24
Nahar Capital,532952,NAHARCAP,Finance & Investments,323.00,-19.44,-0.11,-42.21,-13.98,-11.27,-20.05,-3.35,,-42.46,-12.55,-7.22,,-42.21,-13.98,-21.30,,-21.30,,0.48,81.92,57.49,100.42,61.20,540.72
Nahar Indl. Ent.,519136,NAHARINDUS,Textiles - Cotton/Blended,139.90,1.25,-4.64,45.02,20.79,-2.70,-11.59,-2.22,-2.23,-4.34,-7.63,-11.90,-12.43,43.71,20.37,-23.73,-17.34,-22.84,-16.67,2.47,37.25,26.46,99.03,98.04,604.46
Nahar Poly,523391,NAHARPOLY,Packaging,279.00,25.50,17.69,-55.06,-14.14,4.34,9.46,13.01,,-23.09,16.49,-0.63,,-55.06,-14.14,-15.72,,-15.72,,1.19,49.20,31.42,56.59,35.99,685.99
Nahar Spinning,500296,NAHARSPING,Textiles - Products,302.70,13.03,5.76,,,0.05,1.40,5.25,3.31,-21.34,-16.66,-10.03,-12.17,,,,,,,0.73,110.29,69.53,209.88,156.85,1091.70
Nakoda Group,541418,NGIL,Food - Processing - Indian,43.50,15.18,-1.94,,,7.62,-8.42,10.31,,-55.60,-36.62,-20.13,,,,,,,,-13.31,0.37,0.42,2.51,2.07,77.50
Naksh Precious,539402,,Trading,8.71,-3.78,-50.59,27.82,16.00,-25.90,-70.00,-38.45,-28.58,25.15,,,,27.82,15.99,15.54,-38.47,15.55,-12.18,-27.64,-1.33,-0.67,-1.34,-0.36,9.16
Nalin Lease Fin.,531212,,Finance & Investments,46.06,10.85,8.20,15.17,17.49,11.93,11.93,13.59,7.74,17.69,11.35,20.11,16.62,15.17,2.17,10.87,11.07,22.50,19.11,1.46,2.77,1.90,4.01,2.94,30.21
Nalwa Sons Invst,532256,NSIL,Finance & Investments,4518.35,9.41,15.46,10.40,6.79,14.39,36.95,14.69,9.17,17.96,11.59,19.18,7.69,10.40,6.79,17.64,7.04,17.64,7.04,0.01,54.86,37.22,67.23,45.03,2322.44
Nam Securities,538395,,Finance & Investments,120.00,8.31,9.93,8.27,-3.77,28.75,0.91,76.25,72.01,7.06,-2.41,7.76,13.67,8.27,-14.14,3.17,12.02,11.92,18.59,0.00,0.27,0.24,0.36,0.31,64.70
Naman In-Store,,NAMAN,Engineering,97.00,121.16,,514.24,,193.88,193.88,,,202.58,,,,170.41,,,,,,,,,,,102.32
Nanavati Venture,543522,,Trading,49.60,31.96,115.95,20.51,,61.54,66.73,66.44,,20.84,,,,-23.18,,,,,,,0.12,,0.16,,23.16
Nandan Denim,532641,NDL,Textiles - Products,47.77,22.62,6.66,170.42,16.26,4.68,-0.82,7.39,8.44,13.19,-1.19,-4.30,1.24,170.39,16.26,-6.61,1.08,-6.60,1.62,0.14,22.75,36.82,74.38,90.81,688.56
Nandani Creation,,JAIPURKURT,Textiles - Products,48.79,-1.83,5.69,-30.52,-13.72,4.41,3.29,13.12,,-0.39,9.04,19.84,,-33.58,-20.98,-7.02,,-1.00,,-20.99,0.74,,2.97,,56.03
Naperol Invest.,500298,,Finance & Investments,1022.00,-79.64,-65.69,,,1.06,1.06,-49.65,-38.18,,,,,,,,,,,0.00,10.26,36.67,15.90,58.41,587.33
Narayana Hrudaya,539551,NH,Healthcare,1211.30,24.78,11.89,365.36,67.84,18.33,10.91,15.07,16.44,78.41,31.54,25.88,25.32,365.36,67.84,37.63,-20.78,37.63,50.88,0.00,371.65,206.17,525.79,326.76,24754.22
Narbada Gems,519455,,Diamond Cutting / Jewellery,55.91,30.43,15.76,35.77,28.68,1.49,36.63,32.79,17.96,36.66,30.51,58.41,32.02,21.54,10.64,16.81,11.65,54.66,28.01,10.04,3.28,2.01,5.43,3.27,118.29
Narendra Prop.,531416,,Construction,43.05,,,44.74,34.93,-100.00,,,98.12,73.65,44.50,125.99,13.75,44.74,34.93,36.48,15.13,36.48,15.13,0.13,-1.25,-0.76,-0.61,-0.35,30.61
Narmada Agrobase,543643,NARMADA,Miscellaneous,22.40,-5.07,0.93,12.84,15.33,12.84,0.53,5.39,,3.74,6.28,8.64,,12.84,15.24,-2.66,,19.10,,-5.34,0.76,0.53,1.95,1.52,30.36
Narmada Gelatine,526739,,Chemicals,385.00,10.47,7.66,40.46,17.73,2.87,6.82,7.08,3.38,39.41,18.74,22.46,-0.52,40.46,17.73,23.75,0.07,23.75,0.15,2.65,11.19,9.42,14.95,12.84,232.90
Narmada Macplast,517431,,Plastics Products,16.91,-20.99,-27.34,,,-7.56,-19.58,-15.63,,14.47,-11.42,-15.80,,,-32.24,-32.70,,,,0.00,0.00,0.04,0.03,0.06,6.13
Natco Pharma,524816,NATCOPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1213.70,24.90,13.81,49.30,17.05,8.15,7.16,10.25,18.40,40.49,15.57,15.22,25.42,50.19,17.54,15.76,29.40,16.21,30.44,0.84,617.85,519.06,772.66,663.36,21738.58
Nath Bio-Genes,537291,NATHBIOGEN,Miscellaneous,217.25,7.10,10.05,-12.94,-0.90,9.97,9.97,12.91,9.37,-9.32,2.26,8.13,4.07,-12.94,-0.90,9.59,2.44,12.32,4.22,4.75,40.36,32.54,50.22,41.46,412.86
Nath Industries,502587,,Paper,71.25,4.29,19.35,-67.65,-33.54,9.41,-2.50,17.28,14.69,-17.70,13.69,16.90,10.38,-67.65,-40.42,-21.25,-19.78,-14.85,-15.27,-0.04,10.38,6.44,16.66,10.63,135.38
National Fitting,531289,,Castings & Forgings,131.80,14.37,5.69,55.61,15.59,-2.05,-2.05,1.88,7.61,29.95,8.22,-4.79,6.26,55.61,15.59,-8.73,4.76,-7.58,5.68,0.00,2.83,4.77,5.14,8.37,119.71
National High,543385,NHIT,Construction,131.00,,,639.46,,35.30,35.30,,,929.77,,,,,,,,,,,,,,,17189.83
National Plastic,531287,,Plastics Products,410.10,44.28,28.34,83.62,37.39,2.25,28.44,22.48,14.44,42.37,28.60,26.94,13.70,83.62,37.39,43.56,20.45,43.56,20.45,1.72,4.38,2.79,10.53,7.40,249.34
National Standar,504882,,Construction,4699.00,8.22,9.11,22.70,25.37,-31.85,23.17,-21.01,-15.17,17.65,25.85,-18.36,-10.78,22.70,25.37,-13.72,-7.24,-13.72,-7.24,0.00,12.42,22.25,17.29,38.74,9398.00
Natl. Aluminium,532234,NATIONALUM,Aluminium and Aluminium Products,190.70,13.66,2.72,10.70,0.34,5.71,0.28,8.26,6.85,17.44,-0.60,11.18,7.06,10.70,0.65,15.02,15.29,14.18,11.45,0.00,1538.57,1275.61,1974.06,1799.25,35024.57
Natl. Gen. Inds.,531651,,Steel - Medium / Small,77.88,-11.42,-6.11,54.10,78.75,-1.47,-4.33,-2.85,-2.33,87.28,20.23,4.88,14.48,54.10,78.75,9.57,19.96,9.57,19.96,0.00,-0.14,0.26,0.01,0.61,43.07
Natl. Oxygen,507813,,Chemicals,144.75,4.41,-0.41,,,8.80,-4.93,3.29,5.78,-36.01,-27.52,-13.72,25.33,,,5.30,3.57,5.00,3.36,0.00,-0.05,-2.57,2.93,1.67,72.99
Natl. Plastic,526616,,Plastics Products,67.89,8.77,-2.49,-16.77,-5.27,7.74,2.32,0.60,2.62,12.50,2.06,4.56,2.42,-16.77,-5.27,90.34,6.20,90.34,6.20,0.00,2.66,2.22,6.29,6.62,61.98
Natl. Plywood,516062,,Miscellaneous,4.55,-8.97,-1.54,-44.23,28.31,6.27,-4.80,3.52,10.40,-26.67,57.53,22.08,2.88,,,,,26.17,1.96,,6.50,2.90,6.66,3.00,11.21
Natl.Fertilizer,523630,NFL,Fertilizers,135.50,25.55,13.64,-14.04,-12.45,5.68,5.68,17.54,,-5.00,-5.41,4.21,,-14.04,-12.45,-4.48,,-4.48,,0.00,188.65,185.14,518.62,523.81,6647.37
Natraj Proteins,530119,,Solvent Extraction,50.00,-2.34,-5.99,27.82,-15.10,-5.13,-2.46,-4.69,-7.62,-11.20,-13.61,24.87,-16.97,27.82,-15.10,11.44,-23.87,11.44,-23.87,-9.38,2.39,1.79,5.81,5.78,18.74
Natura Hue Chem,531834,,Miscellaneous,7.48,0.00,18.47,29.93,43.10,-14.29,-16.67,-38.44,-28.15,30.06,,1.25,0.87,29.93,43.10,21.90,12.33,21.90,12.33,0.00,-0.18,-0.08,-0.16,-0.06,3.10
Natural Biocon,543207,,Trading,11.20,370.38,97.52,,16.47,200.00,160.42,90.25,,,13.90,11.11,,57.07,16.47,9.40,,9.40,,-7.74,0.06,,0.11,,12.73
Natural Capsules,524654,,Pharmaceuticals - Indian - Bulk Drugs & Formln,318.40,25.03,21.06,1.80,21.00,9.17,26.15,,,22.76,28.82,,,1.73,20.94,,,,,2.19,8.79,,14.61,,297.25
Naturite Agro,538926,,Food - Processing - Indian,83.75,-9.08,15.63,-17.79,54.31,5.75,5.75,10.53,12.18,-13.01,34.08,9.25,1.92,-17.79,54.31,9.12,4.29,9.12,4.29,0.00,0.14,0.18,0.31,0.27,44.35
Naturo Indiabull,543579,,Trading,15.20,81.45,,9.70,74.42,43.26,43.26,,,15.97,92.28,,,-73.70,14.96,,,,,,1.08,,1.44,,28.67
Nava,513023,NAVA,Diversified - Large,757.40,14.43,5.32,27.28,23.99,4.99,5.39,16.01,8.25,12.31,5.09,32.98,13.02,30.50,29.24,55.17,14.59,50.64,12.23,3.31,645.95,428.94,1303.98,918.18,10989.91
Navigant Corp.,539521,,Finance & Investments,36.21,41.07,24.57,48.32,17.23,12.48,12.48,25.12,49.89,44.22,18.60,27.18,46.57,48.32,17.23,29.78,7.16,29.78,51.09,5.23,0.82,0.60,1.15,0.84,11.42
Navin Fluo.Intl.,532504,NAVINFLUOR,Chemicals,3623.90,20.53,15.70,-2.40,9.21,11.10,11.10,15.76,15.56,5.55,12.71,11.90,18.07,-2.45,9.15,8.13,14.58,8.31,14.76,-1.41,302.11,210.15,363.00,267.59,17970.56
Navkar Corporat.,539332,NAVKARCORP,Miscellaneous,110.50,-13.52,-2.06,-30.92,-36.20,5.63,-1.51,2.30,2.21,-22.51,-15.15,-10.94,-7.32,-30.92,-36.20,-33.28,-38.65,-32.77,-24.25,1.43,42.78,62.18,76.23,102.77,1663.23
Navkar Urban.,531494,,Construction,13.82,36.07,-34.46,26.40,-28.62,-12.62,-12.62,-10.84,-10.76,-0.84,-23.38,-5.51,-12.49,-3.65,-39.35,-9.41,-21.79,3.68,-11.54,-0.06,0.83,1.79,2.25,4.64,310.15
Navneet Educat.,508989,NAVNETEDUL,Printing & Stationery,156.65,28.14,3.97,88.39,4.75,3.74,3.74,5.96,6.98,43.64,0.88,0.48,3.75,89.12,4.99,2.21,5.84,1.74,5.29,0.98,120.88,129.03,178.67,204.46,3543.66
Navoday Enterpri,543305,,Miscellaneous,7.66,-24.33,-7.13,-2.86,-1.17,-28.55,-8.50,,,-12.64,-6.65,,,-28.30,,,,,,,0.48,,0.63,,5.90
Nazara Technolo.,543280,NAZARA,Telecommunications - Service Provider,871.40,35.83,46.32,96.50,61.25,4.33,45.85,29.13,,50.59,42.26,14.05,,82.09,50.88,-33.08,,2.01,,-4.27,28.05,,53.51,,6669.79
NB Footwear,523242,,Leather / Leather Products,6.99,,,12.96,-36.90,,,,,12.96,-36.90,,0.00,12.96,-36.90,,0.00,,0.00,0.00,-0.23,-0.18,-0.23,-0.18,9.44
NBCC,534309,NBCC,Miscellaneous,157.40,14.48,0.97,33.52,7.30,13.77,10.60,4.98,9.88,33.97,5.35,4.26,7.16,33.52,7.30,5.51,7.55,5.51,7.55,0.00,299.25,318.37,458.03,487.29,28332.00
NBI Indl. Fin.,,NBIFIN,Finance & Investments,2540.10,81.67,15.54,69.71,13.11,9.77,27.46,-25.42,16.14,121.92,19.53,-27.30,15.94,69.71,13.11,-28.11,12.57,-28.29,12.38,14.30,7.13,13.17,8.68,15.90,624.06
NCC,500294,NCC,Construction,320.15,37.90,10.08,41.47,3.40,0.15,34.02,12.75,11.11,23.42,2.36,14.00,8.21,40.10,2.49,73.49,54.87,76.53,56.72,2.32,450.11,321.53,1154.86,1029.59,20100.53
NCC Blue Water,519506,,Aquaculture,9.61,,,2.38,-21.00,,,,,2.37,-3.64,5.34,26.42,2.38,-21.00,10.54,12.93,10.54,12.93,0.00,0.46,-2.36,0.62,0.41,7.45
NCL Industries,502168,NCLIND,Cement - South India,237.95,10.59,13.81,-14.01,15.37,1.38,-0.07,11.59,13.01,-7.88,9.71,9.67,20.82,-14.01,15.37,4.92,14.24,8.08,15.74,-0.36,87.08,64.70,162.40,125.66,1076.32
NCL Res. & Finl.,530557,,Finance & Investments,1.20,79.45,25.75,444.01,71.04,5.95,5.95,5.50,-10.60,367.23,66.38,66.85,3.40,444.02,71.04,65.63,5.64,65.63,5.64,-2.79,0.66,0.40,0.80,0.52,128.44
NDA Securities,511535,,Finance & Investments,42.84,3.65,2.14,16.35,44.04,14.46,14.46,1.30,3.83,23.01,37.08,8.81,18.94,10.47,41.11,61.75,10.06,65.14,10.49,-22.90,0.31,0.21,0.41,0.44,25.48
NDL Ventures,500189,NDLVENTURE,Entertainment / Electronic Media Software,98.60,,,26.61,14.91,3.76,-90.03,,,-77.62,14.96,-48.02,-32.38,26.61,14.90,-45.96,-33.51,-44.74,-32.46,2.44,-25.31,-24.30,-14.48,18.10,332.00
NDR Auto Compon.,543214,NDRAUTO,Auto Ancillaries,865.00,74.03,,65.56,,53.16,53.16,,,60.43,,,,65.59,,,,,,-0.80,19.60,,25.42,,1028.71
NDR INVIT Trust,,NDRINVIT,Construction,103.75,,,,,,,,,,,,,,,,,,,,,,,,3994.38
NDTV,532529,NDTV,Entertainment / Electronic Media Software,221.00,1.14,-1.48,,,-4.16,-4.11,-3.93,-2.14,,,8.94,6.54,,,8.17,6.05,8.17,6.05,8.26,37.86,-4.52,62.42,23.30,1424.91
Nectar Lifesci.,532649,NECLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,31.63,3.04,-9.51,28.14,-36.35,0.26,-8.71,0.43,0.31,13.73,-9.29,-5.45,-5.75,28.14,-36.35,-28.94,-22.28,-28.94,-22.28,-11.45,-11.57,21.70,84.23,138.70,709.36
Neelamalai Agro,508670,,Tea,4200.00,-4.89,-7.09,-1.23,11.39,1.64,0.41,-1.97,,-1.88,11.37,10.55,,-1.23,11.58,11.10,,10.97,,4.43,24.46,17.77,25.57,16.72,261.26
Neelkanth,512565,,Trading,41.31,34.71,4.27,100.00,19.61,1.61,-13.33,24.13,1.42,42.19,72.63,26.09,-10.14,100.00,19.61,12.97,25.25,12.97,25.25,4.65,0.07,-0.22,0.31,0.18,18.01
Neelkanth Rock,531049,,Miscellaneous,13.21,,,196.25,31.95,-54.05,,,,263.42,38.58,22.68,13.47,196.25,31.95,,37.41,,37.41,1.34,0.15,0.08,0.27,0.15,6.66
Neeraj Paper Mkt,539409,,Trading,19.50,13.25,-8.88,11.61,1.09,-19.25,-24.41,-11.50,-8.47,8.64,-11.84,-14.57,-9.84,11.61,1.09,-3.84,-2.31,-3.84,-2.31,0.00,0.56,0.59,2.73,6.32,21.45
Neil Industries,539016,,Finance & Investments,17.60,4.36,-19.43,37.29,28.02,-26.32,1.35,-19.26,-17.43,11.95,16.57,15.80,13.43,37.29,28.02,24.22,18.49,24.22,18.49,0.00,0.74,0.75,1.33,1.24,34.41
Nelcast,532864,NELCAST,Castings & Forgings,152.25,27.24,8.15,64.52,0.95,5.77,8.51,11.96,9.42,27.59,5.42,6.45,7.65,64.52,0.95,2.41,6.00,2.41,6.00,0.04,25.99,29.46,54.50,53.95,1324.60
NELCO,504112,NELCO,Telecommunications - Equipment,766.25,12.31,10.89,24.67,1.20,4.13,15.01,12.14,9.05,9.82,9.28,15.12,41.59,24.67,1.20,20.83,13.17,20.83,13.17,0.00,17.05,12.44,33.03,24.68,1748.60
Neo Infracon,514332,,Construction,17.56,-36.39,78.73,,14.01,-32.38,-4.25,-5.26,,-32.25,16.15,-4.21,,,14.01,,,,,4.95,0.77,,1.90,,9.32
Neogem India,526195,,Diamond Cutting / Jewellery,2.95,,,-12.64,,-61.91,-100.00,,,,,,,-12.64,,-19.34,,-19.34,,0.00,-0.34,-0.89,-0.31,-0.59,2.41
Neogen Chemicals,542665,NEOGEN,Chemicals,1625.00,27.10,23.64,4.40,11.22,19.53,28.06,30.00,25.06,21.96,21.73,28.50,25.76,0.21,5.31,19.69,5.27,24.52,25.63,-7.44,38.05,24.01,76.39,49.60,4287.01
NESCO,505355,NESCO,Construction,928.95,32.57,13.48,28.12,15.02,18.69,19.80,12.05,15.46,28.51,14.99,10.94,16.70,28.12,15.02,11.50,17.75,11.49,17.74,0.00,253.60,203.61,327.83,273.55,6545.39
Nestle India,500790,NESTLEIND,Food - Processing - MNC,2569.20,22.25,16.65,23.52,19.55,9.53,10.42,15.05,10.36,21.21,15.69,16.88,11.37,23.52,19.55,21.43,13.48,21.43,13.48,0.00,2530.36,1856.27,3579.74,2712.45,247711.29
Net Avenue,,CBAZAAR,Trading,16.60,23.81,,,,7.08,7.08,,,,,,,,,,,,,,,,,,35.61
Net Pix Shorts,543247,,Entertainment / Electronic Media Software,33.00,25.99,,28.82,,28.89,28.89,,,31.19,,,,28.82,,,,,,0.00,-0.10,,-0.13,,10.56
Netlink Solns(I),509040,,Computers - Software - Medium / Small,158.55,219.67,33.63,101.17,87.07,-6.22,-6.22,-6.76,14.64,112.24,92.81,27.45,71.79,101.17,87.07,28.75,61.84,25.85,59.15,8.86,2.60,1.44,3.11,1.68,40.10
Nettlinx,511658,,Telecommunications - Service Provider,104.50,-2.51,9.72,139.93,27.07,-2.60,-2.60,8.09,14.27,54.59,12.35,15.13,27.19,136.26,25.70,19.00,54.84,19.93,55.66,-2.14,2.18,1.71,4.70,4.07,252.63
Netweb Technol.,543945,NETWEB,Computers - Hardware,2743.70,71.80,41.02,109.71,95.17,62.73,62.73,,,93.15,76.13,,,-2.54,23.24,,,,,,31.49,,46.29,,15465.05
Network People,,NPST,Computers - Software - Medium / Small,1620.00,102.59,47.96,191.39,81.68,2.68,25.42,,,143.99,70.89,,,158.28,25.09,,,,,,7.38,,9.83,,3140.53
Netwrk.18 Media,532798,NETWORK18,Entertainment / Electronic Media Software,82.70,25.49,12.69,,-10.57,5.83,5.83,29.88,13.19,-43.98,5.50,19.15,1.09,,-10.57,-1.25,,-1.25,,0.00,9.47,-76.04,452.87,195.65,8658.26
Neueon Towers,532887,,Transmisson Line Towers / Equipment,3.16,,-70.73,-18.08,13.23,-70.25,-92.98,-67.69,-63.13,28.75,14.88,10.44,-48.09,-18.08,13.23,8.84,,8.84,,,,,,,17.86
Neuland Labs.,524558,NEULANDLAB,Pharmaceuticals - Indian - Bulk Drugs,7830.00,18.49,18.51,61.82,78.56,13.51,22.84,15.20,12.84,46.83,50.28,23.63,20.41,61.82,78.56,23.68,22.73,30.34,27.30,-3.48,123.27,73.52,185.42,120.35,10045.77
New India Assura,540769,NIACL,Finance & Investments,242.90,9.59,9.49,-12.07,40.49,13.94,8.33,11.56,14.75,-13.28,51.02,12.81,27.79,-12.07,40.49,-8.41,14.80,12.12,26.06,0.00,1091.16,589.75,1316.51,709.77,40029.92
New Light Appare,540243,,Trading,20.00,-15.36,-11.78,164.48,5.73,4.01,-1.29,6.97,8.30,6.92,-5.38,19.03,0.71,164.48,5.73,37.41,,37.41,24.91,-60.21,-0.26,-0.08,-0.16,0.02,4.39
New Swan,544082,,Auto Ancillaries,67.25,0.80,4.32,31.92,12.68,3.24,3.24,,,25.87,19.64,,,-24.96,-19.68,,,,,,6.29,,12.58,,127.88
Newgen Software,540900,NEWGEN,Computers - Software - Medium / Small,993.95,23.01,15.53,26.70,19.87,19.23,16.45,16.80,17.14,17.77,17.65,24.60,20.23,26.61,19.68,25.87,-2.30,27.45,20.24,-10.72,148.73,102.27,192.55,134.74,13944.29
Newjaisa Tech,,NEWJAISA,Trading,118.30,85.89,,105.34,,59.49,59.49,,,101.06,,,,-86.09,,,,,,,,,,,380.73
Newtime Infra.,531959,,Construction,16.16,,124.54,31.47,17.78,-42.31,-23.08,,45.05,74.78,42.23,41.43,28.88,31.33,17.71,14.76,17.98,14.87,18.30,-4.86,-4.45,-3.37,-0.30,-0.38,848.16
Next Mediaworks,532416,NEXTMEDIA,Entertainment / Electronic Media Software,6.98,25.33,-10.98,8.55,-26.35,2.40,5.85,-9.34,-3.86,28.62,-14.29,-23.60,-18.97,8.55,-26.35,,,,,0.00,-16.02,-16.17,-13.18,-5.40,46.69
Nexus Select,543913,NXST,Construction,142.05,,,,,,,,,,,,,,,,,,,,,,,,21520.58
Nexus Surgical,538874,,Trading,14.24,-2.47,10.15,11.87,31.35,-9.09,-19.16,41.87,44.08,19.49,37.42,20.13,12.41,11.87,31.35,17.57,15.43,17.57,15.43,0.00,0.17,0.04,0.23,0.08,7.79
NGL Fine Chem,524774,NGLFINE,Pharmaceuticals - Indian - Bulk Drugs,2368.45,8.41,16.52,-11.45,13.86,11.98,19.60,18.59,15.35,-11.07,10.57,12.20,18.18,-11.45,13.86,14.54,22.63,14.54,22.63,-1.07,35.69,24.46,49.76,35.42,1463.71
NHC Foods,517554,,Trading,45.89,11.30,10.90,19.42,12.40,3.68,6.95,6.12,3.90,16.71,16.87,10.23,3.42,19.42,12.40,18.65,-0.16,18.65,4.25,-1.06,1.67,1.21,4.91,3.83,54.40
NHPC Ltd,533098,NHPC,Power Generation And Supply,100.15,-0.05,1.41,2.03,9.14,1.62,-3.60,1.59,2.69,0.36,-0.25,-1.02,1.47,2.03,9.14,2.92,10.55,2.61,9.48,-3.55,3547.53,3008.11,5000.47,4915.13,100601.06
NIBE,535136,,Engineering,1982.00,380.81,170.97,453.63,366.44,16.35,165.84,88.91,40.15,503.22,320.65,111.31,63.47,412.52,237.45,130.91,76.37,138.67,80.53,-12.68,5.24,2.65,8.81,4.46,2602.80
Nicco Parks,526721,,Recreation / Amusement Parks,150.15,65.44,7.43,107.51,22.38,4.47,3.52,8.44,,198.47,22.88,19.17,,107.51,22.38,20.40,,20.40,,3.17,11.18,9.05,15.69,12.28,702.70
Nidan Laborator.,,NIDAN,Healthcare,37.90,5.86,3.80,-3.30,56.72,-0.37,-0.37,,,-2.61,2.28,,,-13.64,46.44,,,,,,2.18,,6.24,,52.68
Nidhi Granites,512103,,Finance & Investments,143.00,535.57,,113.37,,61.16,61.16,,,374.01,,,,22.12,,,,,,-0.08,,,,,114.40
Nihar Info Glob.,531083,,Computers - Software - Medium / Small,5.78,-12.52,-11.33,,,18.85,-36.58,11.02,19.85,,,,,,,,,,,-10.27,-0.54,-0.16,-0.35,-0.04,6.02
NIIT,500304,NIITLTD,Computers - Education,103.60,-31.87,-18.91,-28.93,-14.75,1.01,2.75,-13.61,-10.72,-31.24,-17.26,-9.47,0.38,-27.68,-11.02,2.69,15.06,-0.26,12.77,0.57,92.59,65.66,44.23,51.07,1401.53
NIIT Learning,543952,NIITMTS,Computers - Education,449.90,,,,,14.08,14.08,,,,,,,,,,,,,,,,,,6103.08
Nikhil Adhesives,526159,,Chemicals,125.00,4.74,4.80,-5.40,20.52,6.24,-5.51,11.73,9.28,-0.21,12.27,15.70,8.85,-5.43,20.50,27.57,8.97,30.64,10.80,0.00,15.66,9.10,27.93,19.34,574.28
Nikki Glob.Fin.,531272,,Finance & Investments,8.46,,,,,-41.25,-78.98,,,,,,,,,,,,,3.06,-0.09,-0.07,-0.09,-0.07,2.89
Niks Technology,543282,,Computers - Software - Medium / Small,451.25,152.40,,41.16,,90.00,90.00,,,41.30,,,,33.95,,,,,,-18.00,0.19,,0.27,,19.18
Nila Infrastruct,530377,NILAINFRA,Construction,12.74,24.00,-2.89,167.05,-11.13,6.30,13.92,-0.75,6.63,9.67,-10.53,-4.25,-0.84,167.05,-11.13,-3.92,-3.31,-3.90,-0.48,0.00,5.00,10.64,21.78,28.95,501.81
