Name,BSE Code,NSE Code,Industry,Current Price,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,Sales growth 10years median,Sales growth 5years median,Sales growth 7Years,Sales growth 10Years,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,EBIDT growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,Profit growth 7Years,Profit growth 10Years,Change in promoter holding 3Years,Average Earnings 5Year,Average Earnings 10Year,Average EBIT 5Year,Average EBIT 10Year,Market Capitalization
City Union Bank,532210,CUB,Banks - Private Sector,166.75,8.43,6.95,19.67,8.33,7.80,10.66,7.51,7.55,12.37,6.88,7.03,6.94,19.57,8.14,10.28,10.01,10.57,11.35,0.00,756.41,638.95,3471.44,3083.29,12350.72
Cityman,521210,,Construction,26.46,,,-25.77,0.55,-100.00,-100.00,,,-25.77,0.55,-3.26,-1.81,-25.77,0.55,-2.57,2.77,-2.57,2.77,0.00,0.36,0.02,0.40,0.04,30.96
CL Educate,540403,CLEDUCATE,Miscellaneous,84.52,20.45,-1.25,46.36,-5.02,9.35,9.35,2.76,3.84,286.41,-1.80,-0.13,0.17,47.19,-4.14,-0.97,-4.84,-1.62,-1.32,2.89,4.42,10.36,9.41,19.71,456.85
Clara Industries,543435,,Packaging,234.10,,,,,11.42,11.42,,,,,,,,,,,,,,,,,,96.79
Class. Gl. Fin.,538433,,Finance & Investments,1.10,9.22,-18.69,-12.64,0.00,-8.33,-8.33,-15.26,30.51,20.51,11.84,-3.53,,-12.64,0.00,-12.82,,-12.27,,0.00,0.03,0.03,0.04,0.04,4.04
Classic Filament,540310,,Trading,35.00,,,-3.85,-19.73,-30.79,-77.30,,,-3.85,-19.73,8.14,,-3.85,-19.73,8.14,,8.14,,57.33,-0.09,-0.09,-0.09,-0.09,21.40
Classic Leasing,540481,,Finance & Investments,14.00,98.32,28.81,,55.18,60.00,60.00,25.40,25.57,151.98,60.55,48.60,41.42,51.83,55.18,36.87,,36.87,,0.00,0.02,0.02,0.08,0.05,4.20
Clean Science,543318,CLEAN,Chemicals,1482.50,15.59,15.01,7.11,20.08,22.21,22.21,,,9.40,20.32,,,7.09,-49.37,,,,,,221.20,,295.92,,15751.86
CLIO Infotech,530839,,Computers - Software - Medium / Small,6.66,35.72,13.40,26.94,16.00,-65.79,-100.00,-3.32,-11.52,-12.64,17.61,21.90,-24.67,26.94,16.00,21.90,-15.67,21.90,-15.67,0.00,-0.36,-0.20,0.03,0.01,7.33
CMI,517330,CMICABLES,Cables - Power,4.36,-64.63,-47.64,,,13.76,-59.52,-28.90,-12.98,,,,,,,,,,,-43.44,-24.67,-5.00,-5.14,14.61,7.00
CMM Infraproj,,CMMIPL,Construction,2.00,36.89,6.27,-4.35,-26.66,10.35,7.82,-5.45,3.10,-38.11,-26.97,-20.43,-4.31,-4.35,-26.66,-48.78,-28.38,-34.43,-14.87,-45.65,-5.31,-0.84,-0.25,4.93,3.13
CMS Info Systems,543441,CMSINFO,Miscellaneous,508.05,20.14,14.59,27.40,29.88,20.45,20.45,,,27.10,24.99,,,23.43,27.43,,,,,,233.01,,331.77,,8269.11
CNI Research,512018,,Finance & Investments,8.17,,20.92,30.70,29.77,-8.41,-42.18,28.51,13.68,30.75,29.91,38.40,30.33,30.70,29.77,38.22,22.96,38.22,30.20,0.00,-0.44,-0.23,-0.43,-0.22,93.80
Coal India,533278,COALINDIA,Mining / Minerals / Metals,472.00,16.49,7.40,43.29,16.43,4.97,2.95,8.94,7.26,36.08,12.82,17.93,8.51,43.29,16.43,22.14,9.76,22.01,9.49,-3.00,22448.80,17400.81,31137.90,25253.35,290880.74
Coastal Corporat,501831,COASTCORP,Aquaculture,228.85,-2.74,-6.23,-37.39,-34.62,3.72,0.59,-1.64,6.59,1.34,-13.99,1.59,4.22,-38.82,-36.15,-12.99,-9.42,-11.62,-8.42,5.74,15.40,16.63,30.44,34.51,306.53
Coastal Roadways,520131,,Miscellaneous,25.57,5.67,-6.01,53.70,24.12,-3.42,-3.42,-5.37,-4.20,17.31,14.41,3.14,15.13,53.70,24.12,22.60,8.50,22.60,8.50,0.00,0.21,0.03,0.40,0.36,10.61
Cochin Malabar,508571,,Miscellaneous,218.20,,,40.63,26.83,,,,,95.05,49.31,24.02,15.67,40.63,26.83,17.11,7.39,17.11,7.39,0.00,-0.37,-0.58,0.05,-0.32,38.62
