Name,BSE Code,NSE Code,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization
SMC Global Sec.,543263,SMCGLOBAL,Finance & Investments,162.50,1466.82,20.94,0.00,1074.79,1414.76,52.06,4746.60,208.80,0.00,73.38,135.41,27.46,70.26,3109.28,2181.83,4.10,0.00,16.59,4746.60,927.45,0.00,6.49,522.87,2.00,2358.53,0.00,829.42,10.47,943.80,563.73,129.64,196.70,10.03,480.25,588.55,629.32,373.49,494.20,753.50,332.98,37.56,63.54,34.83,42.98,1701.40
SMIFS Cap. Mkt.,508905,,Finance & Investments,54.80,0.09,5.59,0.00,123.06,0.01,0.00,132.20,5.41,0.00,2.06,1.94,0.00,91.42,3.76,0.56,0.00,9.70,0.03,132.20,3.20,0.00,0.02,0.28,10.00,2.10,0.00,0.00,0.56,0.01,4.35,3.35,5.41,0.00,2.21,2.72,51.20,21.10,0.18,0.39,0.21,0.20,4.55,6.81,7.53,30.63
Smiths & Founder,513418,,Castings & Forgings,5.02,2.24,10.20,0.00,8.74,0.00,2.91,22.94,24.28,0.00,5.53,18.85,0.00,0.00,3.89,1.33,0.00,0.00,0.00,22.94,3.14,0.00,1.96,1.80,1.00,0.02,0.02,0.09,10.20,2.91,3.12,18.76,24.28,0.00,2.99,1.70,1.79,0.49,4.75,3.87,2.26,5.83,5.81,6.28,5.85,51.21
SML ISUZU,505192,SMLISUZU,Automobiles - LCVs / HCVs,2088.00,421.27,14.48,0.00,271.11,119.00,145.52,1212.52,609.99,0.00,254.10,348.52,2.57,0.00,824.61,819.55,0.00,0.00,27.35,1212.52,382.91,5.62,579.73,168.97,10.00,48.69,50.54,331.88,1.45,264.52,97.14,355.90,609.99,11.18,129.65,247.74,174.48,154.40,261.38,246.45,40.83,0.00,388.61,379.87,215.36,3021.33
Smruthi Organic,540686,,Pharmaceuticals - Indian - Bulk Drugs,165.95,11.70,11.45,0.00,58.17,5.59,0.11,118.19,122.20,0.00,85.17,40.00,1.43,0.13,75.42,42.06,0.00,0.00,1.49,118.19,39.50,0.00,29.78,41.03,10.00,0.57,0.04,28.64,1.14,5.70,34.94,37.04,122.20,1.99,42.52,33.37,20.60,29.88,9.90,27.67,32.67,42.84,31.00,29.94,29.73,189.94
SMS Lifesciences,540679,SMSLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,842.70,100.72,3.02,0.00,173.79,95.04,5.45,390.52,273.58,0.00,45.22,223.34,6.00,0.04,155.27,144.56,0.00,0.00,3.73,390.52,75.89,3.01,81.21,51.35,10.00,1.49,13.40,59.13,0.30,100.49,69.81,228.36,273.58,0.85,37.75,30.07,,,64.69,47.10,,,129.78,118.34,,254.78
SMS Pharma.,532815,SMSPHARMA,Pharmaceuticals - Indian - Bulk Drugs,231.60,280.77,8.47,0.00,562.02,251.31,2.75,1068.25,576.41,0.00,164.40,437.26,30.27,45.10,533.89,331.72,0.00,0.00,2.75,1068.25,360.85,0.59,233.70,236.23,1.00,36.20,1.15,151.32,8.47,254.06,288.06,412.02,576.41,33.19,217.92,135.85,70.12,104.84,254.58,143.77,149.13,167.00,457.36,281.26,290.45,1960.54
SMVD Poly Pack,,SMVD,Plastics Products,12.70,28.07,10.03,0.00,-40.48,28.97,3.84,9.71,36.68,0.00,11.63,2.88,0.00,0.50,4.97,36.70,0.00,0.00,0.00,9.71,-6.99,0.00,2.27,1.29,10.00,0.23,0.17,6.42,1.00,32.81,32.20,25.05,36.68,0.38,30.93,20.10,7.92,,33.09,30.23,16.18,,26.26,21.90,15.74,12.74
SNL Bearings,505827,,Bearings,371.00,0.10,3.61,0.00,55.91,0.06,0.07,66.52,31.71,0.00,16.92,15.30,0.11,14.22,49.02,4.99,0.00,0.00,0.00,66.52,44.06,0.07,10.87,6.37,10.00,16.98,0.00,2.53,0.36,0.13,21.82,14.79,31.71,1.24,19.16,16.13,11.07,9.63,0.08,0.09,0.70,6.48,13.02,10.76,9.36,133.93
Snowman Logistic,538635,SNOWMAN,Miscellaneous,77.27,277.80,167.09,0.00,250.97,104.85,153.47,746.42,802.44,0.00,285.00,524.66,13.98,34.68,148.03,94.11,0.00,43.49,8.88,746.42,100.06,181.84,12.08,82.79,10.00,9.46,0.73,37.32,16.71,258.32,52.06,517.43,802.44,8.39,80.46,-0.57,11.83,28.82,220.42,93.11,138.27,146.15,460.99,413.32,447.91,1291.09
Sobha,532784,SOBHA,Construction,1961.00,1939.73,94.85,0.00,2419.23,1419.35,607.48,13696.49,1399.64,0.00,500.23,951.75,0.00,114.93,11242.75,10405.23,0.00,0.00,375.73,13696.49,2039.56,26.22,9376.41,164.53,10.00,673.30,5349.40,616.55,10.70,2026.83,2449.28,899.41,1399.64,1.76,3746.51,3253.81,3987.41,2964.56,3051.64,2603.89,2221.95,1404.41,903.43,677.74,594.58,20973.64
Sobhagya Mercant,512014,,Diversified - Medium / Small,29.58,13.76,0.24,0.00,46.96,0.94,6.10,87.00,3.67,0.00,1.35,2.47,0.00,0.13,84.36,38.86,0.00,0.00,0.00,87.00,58.38,0.10,1.90,19.11,10.00,2.95,0.00,20.41,0.84,7.04,40.21,2.32,3.67,0.00,6.19,0.01,0.01,0.01,6.75,0.20,0.14,0.08,1.74,0.00,0.00,24.85
Sofcom Systems,538923,,Computers - Software - Medium / Small,33.62,0.00,4.16,0.00,1.22,0.00,0.00,5.42,0.23,0.00,0.22,0.01,0.00,0.00,5.15,0.05,0.00,0.00,0.00,5.42,5.10,0.00,0.00,1.09,10.00,0.00,0.00,0.05,0.42,2.88,0.33,0.01,0.23,0.00,0.65,0.83,2.15,0.02,2.52,1.99,2.74,0.00,0.01,0.01,0.01,13.97
Softrak Venture,531529,,Finance & Investments,13.90,0.00,45.08,0.00,0.26,0.00,0.68,46.09,0.00,0.00,0.00,0.00,0.00,0.00,38.52,0.75,0.00,0.00,0.00,46.09,37.77,0.00,0.00,38.34,10.00,0.04,0.00,0.00,4.51,0.68,43.43,0.00,0.00,0.00,42.83,43.04,42.81,,0.16,0.23,0.00,,0.00,0.00,0.00,62.65
Softsol India,532344,,Computers - Software - Medium / Small,354.95,0.00,15.18,0.00,160.29,0.00,0.00,203.62,51.46,0.00,18.89,32.57,0.00,133.96,20.51,15.17,2.50,0.00,0.63,203.62,5.34,0.00,0.00,15.34,10.00,4.30,0.00,3.61,1.68,0.00,13.18,32.01,48.64,0.01,18.22,8.62,15.28,43.85,0.38,0.00,0.00,0.00,27.21,26.57,30.11,524.05
Softtech Enginee,543470,SOFTTECH,Computers - Software - Medium / Small,383.90,38.51,12.82,0.00,113.27,26.50,21.59,195.03,66.97,0.00,24.29,66.75,0.00,15.40,107.15,57.82,0.00,8.69,0.08,195.03,77.42,7.14,0.00,45.79,10.00,1.41,0.17,10.23,1.02,48.09,74.45,42.67,66.97,5.05,60.03,38.07,,,36.59,15.79,,,24.67,8.82,,492.13
Solar Industries,532725,SOLARINDS,Chemicals,10022.45,1137.84,18.10,0.00,3287.50,969.43,168.41,5577.04,2608.76,0.00,581.04,2027.72,489.79,369.91,2434.94,1501.42,0.00,213.49,21.99,5577.04,1464.05,32.87,846.82,844.85,2.00,287.26,0.00,552.65,9.05,1194.69,1552.06,1701.83,2210.20,282.03,605.03,520.34,416.67,468.92,807.56,603.40,501.16,483.61,1287.53,1042.88,776.77,90693.23
Solara Active,541540,SOLARA,Pharmaceuticals - Indian - Bulk Drugs & Formln,580.60,1011.50,36.00,0.00,897.91,1001.15,11.70,2350.96,1895.10,0.00,531.14,1267.89,256.37,1.70,800.75,1242.85,0.00,0.00,3.61,2350.96,451.96,12.12,359.70,348.52,10.00,8.60,7.20,313.01,4.80,1012.85,853.01,1363.96,1895.10,238.47,723.02,207.07,,,620.73,538.06,,,1381.58,1217.80,,2391.20
Solex Energy,,SOLEX,Electric Equipment,1480.00,96.16,8.00,0.00,38.24,57.01,8.93,211.96,61.80,0.00,7.25,54.63,0.09,14.68,151.53,115.04,0.08,0.00,11.10,211.96,85.45,0.00,66.39,46.69,10.00,0.19,2.33,49.18,0.80,65.94,50.23,54.55,61.80,0.84,39.66,26.72,3.40,,12.10,6.46,1.20,,0.93,1.26,1.61,1184.00
Solid Stone Co,513699,,Trading,33.80,18.05,5.38,0.00,16.29,17.14,3.14,54.24,6.89,0.00,4.68,1.38,0.00,0.96,50.76,26.34,0.00,0.00,0.00,54.24,36.88,0.50,31.74,6.80,10.00,0.09,0.00,2.45,0.54,20.28,37.17,2.21,6.89,0.00,37.08,33.21,31.81,22.42,18.62,15.89,16.64,12.87,1.21,1.32,2.05,18.18
Solitaire Mach.,522152,,Engineering,108.60,2.03,4.54,0.00,13.50,2.03,0.00,27.70,11.61,0.00,5.13,6.48,5.72,0.78,12.68,7.62,0.00,0.00,2.63,27.70,5.48,0.00,5.48,6.00,10.00,0.89,3.13,1.58,0.45,0.53,6.78,6.24,10.94,1.72,7.87,6.21,5.54,3.85,0.03,0.00,0.00,1.26,6.71,5.93,7.15,49.31
Som Datt Finance,511571,,Finance & Investments,114.35,0.00,10.01,0.00,25.44,0.00,0.00,35.69,0.05,0.00,0.02,0.05,0.00,32.20,1.86,0.21,0.00,0.00,0.03,35.69,1.65,0.00,0.00,0.00,10.00,1.86,0.00,0.06,1.00,0.00,1.45,0.03,0.05,0.00,0.15,3.51,11.73,6.85,0.00,0.00,0.00,0.00,0.01,0.02,0.84,114.46
Som Distilleries,507514,SDBL,Breweries & Distilleries,113.75,166.47,39.00,0.00,522.96,133.03,109.17,1169.48,505.41,0.00,114.33,504.63,68.36,0.00,555.55,428.44,0.00,0.00,62.15,1169.48,194.34,0.00,182.31,237.79,2.00,13.33,8.57,118.97,19.31,242.20,154.53,391.08,505.41,97.17,58.09,100.78,123.05,,208.21,168.96,73.83,,414.26,206.86,67.75,2204.16
Soma Papers,516038,,Paper,74.99,0.05,1.40,0.00,-1.17,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.01,0.00,0.00,0.04,0.29,0.28,0.00,0.00,0.00,10.00,0.28,0.00,0.00,0.14,0.00,0.05,0.00,0.00,0.00,0.10,-0.25,0.30,0.34,0.00,0.00,0.00,0.00,0.00,0.00,1.05,10.50
Soma Textiles,521034,SOMATEX,Trading,33.50,1.62,33.23,12.53,55.30,0.00,4.75,111.50,8.58,0.00,5.70,3.17,0.00,24.80,39.23,21.42,0.00,0.00,11.24,111.50,18.07,0.04,0.00,1.72,10.00,11.97,0.57,0.18,3.30,4.75,2.27,2.88,8.58,0.00,-71.96,-59.30,-34.48,86.07,106.39,110.39,123.13,189.04,16.83,24.76,29.92,110.66
Somany Ceramics,531548,SOMANYCERA,Ceramics - Tiles / Sanitaryware,827.20,377.52,8.20,0.00,711.94,262.62,271.61,1983.79,1319.56,0.00,304.39,1120.88,9.60,14.57,821.45,842.26,0.00,13.45,16.60,1983.79,136.91,42.41,346.58,337.22,2.00,70.90,10.29,559.26,4.25,534.23,365.04,1015.17,1319.56,47.26,397.43,469.68,404.34,110.31,460.50,574.26,497.26,170.70,758.82,712.91,527.38,3391.81
Somi Conv.Belt.,533001,SOMICONVEY,Miscellaneous,191.90,15.22,11.78,0.00,59.27,16.33,1.28,110.45,75.34,0.00,49.36,25.76,1.83,0.00,80.35,37.93,0.00,0.00,1.16,110.45,56.58,0.00,26.15,40.89,10.00,8.45,0.57,16.13,1.18,17.61,53.16,25.99,75.34,1.89,56.11,51.47,44.23,26.90,22.21,24.99,26.52,17.11,26.52,26.52,33.95,226.05
Sona BLW Precis.,543300,SONACOMS,Auto Ancillaries,649.50,387.81,586.45,0.00,1987.58,233.06,154.75,3585.28,2268.34,0.00,671.15,1597.20,139.85,541.27,1177.32,667.79,0.00,27.12,38.59,3585.28,718.53,154.76,311.59,582.14,10.00,197.79,0.00,269.44,58.54,291.37,620.19,1472.74,1945.68,91.10,481.99,76.10,83.49,-9.73,442.86,145.26,157.87,158.62,1085.27,274.69,105.24,38090.60
