Name,BSE Code,NSE Code,Industry,Current Price,Debt,Equity capital,Preference capital,Reserves,Secured loan,Unsecured loan,Balance sheet total,Gross block,Revaluation reserve,Accumulated depreciation,Net block,Capital work in progress,Investments,Current assets,Current liabilities,Book value of unquoted investments,Market value of quoted investments,Contingent liabilities,Total Assets,Working capital,Lease liabilities,Inventory,Trade receivables,Face value,Cash Equivalents,Advance from Customers,Trade Payables,Number of equity shares preceding year,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Capital work in progress preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 7Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 7Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization
Lakshmi Mills,502958,,Textiles - Composite,6975.00,140.06,6.96,0.00,861.75,110.27,0.00,1116.86,224.09,0.00,54.52,237.22,1.59,801.59,64.64,111.06,0.00,0.00,16.93,1116.86,19.78,0.00,32.98,22.36,100.00,3.83,0.00,29.72,0.07,110.27,33.27,169.57,224.09,45.27,41.06,33.05,19.78,118.62,83.07,85.44,63.79,66.91,156.70,152.84,152.79,485.49
Lambodhara Text.,590075,LAMBODHARA,Textiles - Cotton/Blended,152.25,56.88,5.19,0.00,105.60,39.98,16.05,192.29,150.97,7.69,42.21,112.38,0.01,33.68,71.34,26.45,0.00,24.43,0.64,192.29,61.01,0.04,17.94,7.68,5.00,3.45,0.00,2.56,1.04,56.03,34.54,108.77,150.97,0.78,28.30,27.59,26.74,19.57,42.03,46.61,53.04,64.28,81.93,70.97,66.44,158.00
Lancer Containe.,539841,,Miscellaneous,51.16,111.88,114.27,0.00,286.04,59.05,223.75,561.92,192.16,0.00,60.90,142.11,0.01,6.94,162.81,66.14,0.00,0.00,0.00,561.92,114.57,0.29,2.72,112.46,5.00,35.42,1.37,42.34,18.47,282.80,329.03,131.27,192.16,0.00,4.50,,,,30.93,,,,64.99,,,1203.38
Lancor Holdings,509048,LANCORHOL,Construction,42.71,92.46,8.10,0.00,121.30,90.24,20.06,302.44,47.59,0.00,9.45,37.67,4.73,4.76,226.05,137.53,0.00,0.00,37.94,302.44,150.22,0.00,186.19,23.19,2.00,1.81,7.56,10.41,6.08,110.30,166.32,38.14,47.59,4.29,280.80,264.86,193.66,122.74,206.23,165.25,150.61,141.90,38.86,40.38,43.00,311.77
Landmarc Leisur.,532275,,Entertainment / Electronic Media Software,0.92,12.31,80.00,0.00,-54.74,0.00,11.80,42.60,14.66,0.00,14.64,0.01,1.13,0.08,11.29,6.11,0.00,0.28,1.10,42.60,8.86,0.00,0.06,0.03,1.00,0.18,0.00,1.88,80.00,11.80,8.80,0.02,14.66,1.15,9.45,5.46,6.99,28.50,9.19,3.07,5.09,17.41,0.01,0.02,1.65,73.60
Landmark Cars,543714,LANDMARK,Trading,723.10,627.02,20.65,0.00,518.30,193.16,236.83,1551.42,748.46,0.00,239.93,593.62,1.77,16.28,897.59,712.05,0.00,0.00,35.46,1551.42,551.41,263.29,568.08,130.71,5.00,31.91,82.63,114.20,3.96,429.99,369.57,508.53,748.46,5.75,171.92,180.80,,,345.06,409.39,,,326.00,391.51,,2988.35
Landmark Prop.,533012,LPDC,Construction,9.89,0.00,13.41,0.00,30.27,0.00,0.00,44.84,0.03,0.00,0.02,0.00,0.00,0.00,15.07,1.12,0.00,0.00,0.82,44.84,13.95,0.00,11.43,0.00,1.00,3.46,0.74,0.04,13.41,0.00,14.92,0.01,0.03,0.00,18.85,18.26,13.66,11.95,0.00,0.00,0.00,0.00,0.01,0.02,0.01,132.68
Larsen & Toubro,500510,LT,Engineering - Turnkey Services,3530.35,116322.22,274.93,0.00,86084.31,78930.87,37391.35,339093.61,61430.58,0.00,18258.42,42963.82,3045.01,45647.82,182116.88,176600.73,14267.58,0.00,18987.85,339093.61,33898.09,2282.45,6620.19,48770.95,2.00,15358.39,26874.76,53292.88,140.55,120650.44,54963.18,42641.00,58756.10,3065.57,54719.52,48266.80,34550.38,24587.07,133505.42,124578.88,92806.93,80845.52,44319.32,21193.94,16677.11,485369.51
Lasa Supergeneri,540702,LASA,Pharmaceuticals - Indian - Bulk Drugs & Formln,22.80,22.08,50.10,0.00,46.58,0.00,21.77,150.87,228.70,0.00,109.74,109.76,2.51,0.00,37.89,48.87,0.17,0.00,0.00,150.87,11.10,0.00,19.04,3.59,10.00,1.50,0.11,14.05,5.01,21.77,-3.51,118.96,228.70,4.64,23.78,1.71,32.61,,19.46,84.60,115.78,,142.95,161.69,118.83,114.23
Last Mile Enter.,526961,,Construction,785.00,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,1.17,,,,,,,,,,,,,,,,,1614.68
Latent View,543398,LATENTVIEW,Computers - Software - Medium / Small,505.80,23.99,20.59,0.00,1353.82,0.33,21.13,1455.88,53.35,0.00,30.15,27.50,0.00,328.98,1062.59,53.03,0.35,248.40,0.30,1455.88,1014.51,23.75,346.78,113.14,1.00,415.80,0.91,9.95,20.49,21.46,659.46,23.19,53.35,0.00,290.54,133.72,,27.60,51.86,35.54,,13.31,30.36,37.11,,10419.37
Latteys Industri,,LATTEYS,Engineering,16.61,16.89,11.50,0.00,6.94,11.29,1.02,48.80,13.22,0.00,5.70,8.96,0.00,0.01,39.01,28.98,0.70,0.00,0.00,48.80,25.94,0.29,20.73,16.61,2.00,0.07,0.68,10.39,5.75,12.31,20.75,7.53,13.22,0.07,20.17,16.93,7.18,,12.91,12.08,9.73,,6.58,7.16,4.69,95.50
Laurus Labs,540222,LAURUSLABS,Pharmaceuticals - Indian - Bulk Drugs & Formln,429.00,2577.40,107.79,0.00,4003.16,1928.12,649.28,8387.03,5652.20,0.00,1762.19,3890.01,422.84,123.98,3834.97,3112.28,0.00,0.00,153.92,8387.03,2439.70,70.35,1845.41,1662.92,2.00,141.65,81.85,1051.24,53.87,2015.09,2245.65,3408.62,4802.52,550.78,1643.97,723.27,663.24,218.58,1481.69,1035.93,841.75,542.82,2170.62,1629.07,1229.94,23128.57
Laxmi Cotspin,,LAXMICOT,Textiles - Cotton/Blended,31.13,50.19,17.15,0.00,45.80,37.93,4.35,120.01,87.83,0.00,64.06,34.80,3.62,0.20,78.54,50.11,0.00,0.00,0.00,120.01,72.10,0.00,52.69,3.83,10.00,0.84,0.43,3.66,1.71,42.28,61.00,23.77,87.83,3.13,47.24,55.56,50.83,34.39,31.66,45.89,54.64,33.33,27.24,34.75,41.60,53.39
Laxmi Goldorna,,LGHL,Construction,334.00,52.78,20.87,0.00,24.57,27.29,4.44,107.91,1.39,0.00,0.45,0.82,0.00,15.39,99.94,20.12,1.93,0.00,0.00,107.91,90.24,0.00,52.34,35.39,10.00,0.73,75.04,4.67,2.09,31.73,60.71,0.94,1.39,0.00,45.62,37.96,9.72,9.76,14.43,16.32,5.38,6.16,0.09,0.03,0.07,697.11
Laxmi Organic,543277,LXCHEM,Chemicals,255.75,142.79,55.16,0.00,1742.47,347.30,58.42,2827.22,1018.00,0.00,303.40,878.74,444.16,125.85,1477.24,891.13,0.00,20.01,236.81,2827.22,625.26,7.04,283.34,583.44,2.00,317.08,23.37,762.13,26.52,405.72,633.87,714.60,1018.00,447.06,669.14,231.83,130.56,,149.45,175.33,103.79,,325.06,345.68,202.41,7070.16
Laxmipati Engg,537669,,Miscellaneous,70.35,40.11,5.75,0.00,-3.68,8.16,29.53,46.17,33.54,0.00,3.70,30.23,1.59,0.00,13.90,8.01,0.00,0.00,0.00,46.17,11.41,0.00,9.59,3.16,10.00,0.06,0.36,1.93,0.58,37.69,7.93,29.84,33.54,1.59,6.67,5.85,1.47,0.64,24.55,11.69,4.38,4.54,17.41,15.35,12.15,40.45
LCC Infotech,532019,LCCINFOTEC,Computers - Education,4.00,2.93,25.32,0.00,-22.85,0.32,2.83,7.52,14.92,0.00,13.11,0.38,0.00,0.52,4.34,4.84,0.00,0.00,0.00,7.52,2.21,0.00,0.00,3.98,2.00,0.03,0.00,0.91,12.66,3.15,18.86,1.81,14.92,0.00,19.68,19.66,18.34,17.26,2.71,0.81,0.47,0.20,1.91,2.09,2.21,50.63
Le Lavoir,539814,,Miscellaneous,269.95,0.00,3.24,0.00,2.68,0.00,0.58,7.85,2.59,0.00,0.26,2.00,1.08,0.00,4.75,1.93,0.00,0.00,0.00,7.85,2.82,0.00,0.00,1.03,10.00,0.56,0.25,0.06,0.32,0.58,3.13,2.33,2.59,0.00,2.64,2.72,0.06,0.01,0.57,0.00,0.00,0.00,0.36,0.01,0.00,87.46
Le Merite Export,,LEMERITE,Trading,140.30,88.66,23.48,0.00,72.58,81.97,0.67,197.73,5.76,0.00,3.26,2.10,8.32,2.25,179.30,99.59,1.08,0.00,0.00,197.73,166.53,0.00,15.67,88.98,10.00,44.91,1.59,11.85,2.35,82.64,160.66,2.50,5.76,6.97,73.27,48.54,,,53.99,37.79,,,1.62,1.74,,329.44
Le Travenues,544192,IXIGO,Travel Agencies,159.30,10.03,37.12,0.00,336.64,0.54,9.49,583.40,311.24,0.00,19.26,291.98,7.73,47.74,201.52,156.28,0.00,47.74,0.00,583.40,48.94,9.49,0.00,11.89,1.00,92.58,7.89,36.09,36.97,7.07,60.79,288.64,297.61,0.00,-4.82,,,,7.84,,,,6.49,,,6171.64
Lead Financial S,531288,,Finance & Investments,18.00,0.00,3.30,0.00,2.62,0.00,0.07,10.46,2.28,0.00,0.17,2.11,0.00,0.04,0.69,0.03,0.03,0.00,2.10,10.46,0.66,0.00,0.00,0.03,10.00,0.04,4.50,0.00,0.33,0.07,-0.66,2.11,2.28,0.00,0.07,3.03,-0.72,-1.55,0.13,0.24,0.13,1.01,2.11,2.11,2.12,5.93
Lead Reclaim,,LRRPL,Miscellaneous,32.85,4.16,7.34,0.00,3.84,2.66,0.00,18.90,7.67,0.00,4.82,5.60,0.00,0.62,12.36,6.69,0.00,0.00,0.00,18.90,8.80,0.00,4.51,2.29,10.00,1.24,0.58,3.23,0.73,2.66,8.19,2.85,7.67,1.90,1.21,,,,3.94,,,,2.79,,,24.12
Leading Lea. Fin,540360,,Finance & Investments,2.95,107.46,10.67,0.00,3.19,0.00,107.46,124.40,0.24,0.00,0.13,0.11,0.00,7.00,117.29,3.05,7.00,0.00,0.00,124.40,114.24,0.00,0.03,0.00,1.00,4.89,0.00,0.34,10.67,56.77,68.41,0.16,0.24,0.00,66.31,13.58,0.09,1.23,57.28,6.69,0.71,1.34,0.00,0.00,0.00,31.48
Lee & Nee Soft.,517415,,Computers - Software - Medium / Small,10.22,0.10,55.77,0.00,0.79,0.00,0.01,58.32,26.12,0.00,1.58,24.73,0.00,8.25,11.04,1.57,0.00,0.00,0.00,58.32,9.51,0.00,0.00,0.33,10.00,2.30,0.01,0.30,5.58,0.01,1.77,24.54,26.12,0.00,6.49,6.02,15.15,7.52,0.04,0.15,0.00,0.00,24.51,24.49,24.50,57.00
Lehar Footwears,532829,,Leather / Leather Products,160.60,67.50,17.68,0.00,84.62,63.24,2.30,220.16,101.17,25.57,27.76,81.00,0.00,0.00,137.93,98.29,0.00,0.00,4.77,220.16,96.04,0.70,63.36,51.79,10.00,3.33,2.88,34.27,1.57,65.54,83.33,73.41,101.17,4.11,38.76,43.64,43.95,30.72,33.36,40.10,42.35,21.47,58.28,54.74,50.00,283.93
Lemon Tree Hotel,541233,LEMONTREE,Hotels,145.20,2335.84,791.85,0.00,175.04,1745.73,431.10,4033.04,3717.44,0.00,760.11,3641.78,24.84,13.33,205.34,359.12,0.00,0.00,20.17,4033.04,63.05,446.72,13.84,71.48,10.00,53.74,9.66,85.88,79.22,2176.83,-0.94,2957.33,3717.44,482.18,111.85,-122.83,-109.98,,2159.47,1195.57,798.67,,3193.78,1603.77,1418.34,11503.42
Lerthai Finance,502250,,Finance & Investments,398.00,0.00,0.70,0.00,9.44,0.00,0.00,10.55,0.00,0.00,0.00,0.01,0.00,3.13,7.41,0.12,0.00,0.00,0.00,10.55,7.29,0.00,0.00,0.00,10.00,7.25,0.00,0.11,0.07,0.00,9.38,0.00,0.00,0.00,8.67,9.75,1.48,1.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27.86
Lesha Industries,533602,,Trading,3.90,20.82,11.00,0.00,14.44,0.00,0.18,49.73,11.52,0.00,0.32,0.55,0.00,3.47,1.46,24.00,0.00,0.00,0.00,49.73,-1.72,0.00,0.03,0.76,1.00,0.04,0.00,2.26,11.00,0.18,-0.46,11.20,11.52,2.25,0.31,0.84,10.44,16.57,0.46,2.13,1.06,9.20,7.37,7.39,7.47,42.90
Lex Nimble Solu.,541196,,Computers - Software - Medium / Small,74.20,0.00,4.19,0.00,11.19,0.00,0.00,16.15,0.44,0.00,0.43,0.02,0.00,0.00,9.91,0.44,0.00,0.00,0.00,16.15,9.47,0.00,0.00,0.30,10.00,8.36,0.00,0.01,0.42,0.00,14.35,0.01,0.44,0.00,1.48,0.89,4.63,,0.00,0.00,0.00,,0.06,0.20,0.23,31.09
Lexus Granito,,LEXUS,Ceramics - Tiles / Sanitaryware,42.51,58.03,20.19,0.00,-10.87,35.57,33.51,120.72,136.00,0.00,78.72,43.73,0.25,0.01,68.82,62.28,0.00,0.00,0.00,120.72,33.53,0.10,53.93,12.20,10.00,0.07,6.29,27.88,1.92,69.08,44.40,57.28,136.00,0.28,38.77,52.92,20.42,9.47,66.96,64.06,80.79,30.84,45.27,59.53,45.05,85.83
LGB Forge,533007,LGBFORGE,Castings & Forgings,12.78,29.74,23.82,0.00,-3.65,23.45,3.59,78.97,40.00,0.00,22.39,12.08,0.00,0.00,62.29,44.73,0.00,0.00,2.94,78.97,33.69,0.68,28.13,31.24,1.00,0.48,0.00,21.73,23.82,27.04,38.48,17.61,40.00,0.00,22.98,14.65,13.28,17.60,13.10,10.94,17.90,35.75,24.18,24.95,8.76,304.44
Libas Consumer,,LIBAS,Food - Processing - Indian,18.10,14.74,26.34,0.00,52.11,0.00,9.88,98.83,7.25,0.00,5.91,1.15,0.00,0.35,81.62,18.94,0.00,0.00,0.00,98.83,77.42,0.00,27.58,39.43,10.00,8.41,0.00,4.00,2.63,9.88,66.97,1.34,7.25,0.00,46.04,40.03,,,17.91,16.07,,,3.47,2.21,,47.68
Liberty Shoes,526596,LIBERTSHOE,Leather / Leather Products,381.00,147.31,17.04,0.00,192.03,87.04,73.11,463.78,363.53,0.00,203.43,164.55,0.01,0.00,291.72,157.69,0.00,0.00,21.92,463.78,203.64,76.82,158.41,97.79,10.00,6.51,3.57,66.83,1.70,160.15,210.65,160.10,363.53,0.20,210.87,201.04,191.56,142.86,97.23,108.77,136.15,116.66,153.49,88.24,92.60,649.24
Libord Finance,511593,,Finance & Investments,14.80,0.00,15.70,0.00,2.14,0.00,0.13,18.46,0.11,0.00,0.10,0.00,0.00,11.43,1.68,0.05,0.00,0.00,0.00,18.46,1.63,0.00,0.00,0.98,10.00,0.12,0.00,0.00,1.57,0.13,3.14,0.00,0.11,0.00,2.49,2.38,6.44,4.11,0.00,0.00,1.79,0.10,0.01,0.07,0.04,23.24
Libord Securitie,531027,,Finance & Investments,20.02,0.00,5.00,0.00,-0.51,0.00,0.00,4.57,0.06,0.00,0.06,0.00,0.00,1.68,2.74,0.09,0.00,0.19,0.06,4.57,2.65,0.00,0.00,0.53,10.00,0.00,0.00,0.00,0.50,0.00,2.10,0.00,0.06,0.00,2.11,1.96,3.39,3.26,0.00,0.00,0.00,0.00,0.00,0.03,0.02,10.01
LIC Housing Fin.,500253,LICHSGFIN,Finance - Housing,813.50,252618.40,110.08,,31366.58,,,291333.66,,,,388.79,0.20,6337.43,2121.60,6673.67,,,,291333.66,-4552.07,170.75,0.00,9.94,2.00,1655.18,,0.02,55.01,244912.88,-4778.23,388.48,373.01,0.84,-5412.35,-10349.83,-10755.98,-6690.99,207925.20,170657.14,126337.06,82036.41,281.87,168.08,102.37,44747.60
Life Insurance,543526,LICI,Finance & Investments,997.35,8.67,6325.00,0.00,76421.87,0.00,0.00,5316047.12,24664.30,1.97,4191.03,4074.77,0.00,4993128.29,197099.31,63794.98,4243008.27,0.00,0.00,5316047.12,133304.33,0.00,0.00,0.00,10.00,41824.47,0.00,0.00,632.50,0.00,138048.41,20473.26,24664.30,331.46,102324.68,190263.76,,,3.67,269400.60,,,17722.51,25193.53,,630823.63
Likhami Consult.,539927,,Miscellaneous,137.20,0.00,9.95,0.00,24.74,0.00,0.00,34.86,0.05,0.00,0.04,0.01,0.00,13.89,7.63,0.17,0.00,0.00,0.00,34.86,7.46,0.00,0.00,0.62,10.00,0.22,0.00,0.09,0.99,0.00,7.27,0.01,0.05,0.00,9.97,9.32,0.76,0.03,0.00,0.00,0.00,0.00,0.01,0.01,0.01,136.51
Likhitha Infra.,543240,LIKHITHA,Construction,470.00,0.00,19.73,0.00,290.44,0.00,0.00,349.72,37.50,0.00,15.46,27.92,0.00,5.39,311.27,39.07,52.77,0.00,90.53,349.72,272.20,0.00,107.59,76.58,5.00,90.20,0.00,22.46,3.94,0.00,162.26,22.04,37.50,0.00,83.00,41.06,18.70,5.35,0.16,9.85,4.50,0.24,11.68,13.79,4.23,1854.14
Lime Chemicals,507759,,Chemicals,27.00,5.02,6.50,0.00,-4.76,0.08,5.67,10.67,9.64,0.00,4.15,5.71,0.00,0.11,4.21,8.72,0.00,0.00,2.84,10.67,0.51,0.00,0.39,2.33,10.00,0.28,0.01,2.97,0.65,5.75,1.74,5.49,9.64,0.00,-3.65,-2.99,-6.90,-21.70,12.04,15.83,29.96,26.81,2.59,8.96,8.95,17.56
Linc,531241,LINC,Printing & Stationery,577.85,19.01,14.87,0.00,187.91,0.00,0.97,296.36,165.88,0.00,76.48,111.12,9.05,0.22,164.60,68.25,0.00,0.00,5.34,296.36,96.93,19.01,90.92,51.46,10.00,13.11,4.09,55.66,1.49,0.97,85.79,89.39,165.88,0.98,63.32,94.87,96.10,76.28,9.22,62.04,50.80,33.59,67.84,74.90,47.00,859.40
Lincoln Pharma.,531633,LINCOLN,Pharmaceuticals - Indian - Formulations,626.80,1.07,20.03,0.00,572.81,0.00,2.00,700.29,197.47,0.00,46.95,179.33,3.48,138.92,446.74,92.28,0.00,0.00,0.23,700.29,355.53,0.00,77.17,161.77,10.00,13.83,0.82,72.44,2.00,2.00,205.60,150.53,197.47,6.71,152.63,150.72,124.96,66.47,0.52,33.61,64.48,68.14,110.64,120.91,102.71,1255.46
Linde India,523457,LINDEINDIA,Chemicals,8426.20,20.69,85.28,0.00,3349.25,0.00,22.05,4779.71,3020.47,0.00,1258.03,1821.54,483.48,26.53,1942.11,1031.40,0.00,0.00,167.54,4779.71,912.27,20.69,85.04,481.02,10.00,979.83,229.88,624.34,8.53,22.05,1116.04,1762.44,3020.47,225.23,350.29,-108.58,-143.96,-67.23,6.90,1199.36,1445.35,1527.81,1989.19,2161.55,2572.75,71858.65
Link Pharma Chem,524748,,Chemicals,45.20,9.22,4.44,0.00,9.27,1.98,6.78,25.95,13.88,0.00,4.88,9.94,0.00,2.93,11.53,11.01,0.00,3.62,0.23,25.95,8.68,0.00,6.21,5.15,10.00,0.09,0.00,1.76,0.44,8.76,9.82,9.00,13.88,0.00,6.36,2.97,3.51,3.59,3.66,2.64,4.73,9.08,8.71,9.14,9.57,20.07
Lippi Systems,526604,,Engineering,16.43,0.81,7.00,0.00,14.87,0.00,0.17,23.95,17.34,0.00,9.91,6.57,0.00,0.00,3.50,1.06,0.00,0.00,0.00,23.95,3.25,0.00,0.00,0.56,10.00,0.07,0.00,0.07,0.70,0.17,2.90,7.43,17.34,0.00,5.26,6.09,5.95,5.33,6.53,6.90,15.61,9.84,13.73,15.34,17.32,11.50
LKP Finance,507912,,Finance & Investments,149.90,84.53,12.57,0.00,344.45,48.49,36.04,456.36,1.71,0.00,0.15,1.56,0.00,336.53,59.64,4.91,142.19,186.20,35.22,456.36,54.73,0.00,0.00,0.00,10.00,45.83,0.00,0.00,1.26,121.19,58.46,1.61,1.71,0.00,44.45,47.33,128.01,232.80,45.78,36.13,95.66,115.70,1.55,1.65,2.70,188.42
LKP Securities,540192,,Finance & Investments,21.20,20.93,16.33,0.00,62.27,8.15,12.78,251.62,34.27,0.00,12.97,21.31,0.00,5.11,223.76,152.08,0.00,2.73,67.15,251.62,71.68,0.00,0.00,22.99,2.00,109.29,0.00,122.75,7.84,21.55,55.59,23.52,33.10,0.00,39.29,46.34,58.54,48.15,18.32,28.06,65.81,36.30,15.16,5.84,4.56,167.87
Lloyds Engineeri,539992,LLOYDSENGG,Engineering,71.67,75.31,114.46,0.00,296.74,3.19,49.01,571.28,65.06,0.00,31.72,77.49,10.65,4.90,448.28,139.57,0.00,0.00,57.90,571.28,367.58,14.49,101.98,151.81,1.00,125.22,89.13,28.00,104.69,52.20,188.98,33.34,65.06,25.55,99.59,94.29,86.12,0.04,4.81,1.18,0.00,0.00,14.04,11.54,11.52,8203.62
Lloyds Enterpris,512463,,Trading,32.29,124.87,127.21,0.00,1537.50,96.68,28.19,2406.05,196.21,0.00,87.11,109.09,10.65,1245.98,795.36,332.77,0.00,951.10,130.63,2406.05,570.52,15.00,219.18,152.35,1.00,179.10,65.64,28.71,127.21,69.92,233.42,33.34,65.08,25.55,1.95,0.06,0.13,,2.12,0.00,0.00,,0.00,0.00,0.00,4107.71
Lloyds Luxuries,,LLOYDS,Miscellaneous,105.65,0.00,22.50,0.00,39.95,0.00,0.00,68.19,35.23,0.00,16.52,18.40,0.78,0.02,10.20,4.92,10.07,0.00,0.00,68.19,5.28,0.00,5.28,0.89,10.00,2.53,1.80,1.97,2.25,0.00,-1.23,18.71,35.23,1.36,0.33,,0.18,,33.08,,6.11,,14.87,,9.19,239.33
Lloyds Metals,512455,LLOYDSME,Mining / Minerals / Metals,749.00,32.20,50.53,0.00,2760.41,0.00,4.37,3936.37,914.97,0.00,382.60,1233.77,1268.15,29.27,1127.02,985.45,0.00,0.00,100.06,3936.37,145.08,32.20,231.09,79.91,1.00,286.95,305.82,395.07,50.48,4.37,438.17,532.37,914.97,373.10,107.72,108.45,61.27,-57.85,154.95,92.51,26.03,21.42,361.67,358.18,319.89,37843.47
Logica Infoway,543746,,Trading,254.75,107.93,2.85,0.00,44.18,41.81,22.10,218.24,3.74,0.00,3.26,0.90,0.00,12.77,192.93,154.50,0.08,0.00,0.00,218.24,144.63,0.00,92.81,80.79,10.00,0.67,0.09,41.90,1.71,63.91,103.27,0.48,3.74,0.00,67.39,,,,44.14,,,,0.64,,,435.73
Lokesh Mach.,532740,LOKESHMACH,Engineering,417.10,118.05,18.50,0.00,177.50,88.09,0.00,390.58,252.67,0.00,130.19,171.43,15.85,1.30,187.60,132.67,0.00,0.00,30.16,390.58,127.68,0.00,117.45,48.40,10.00,8.49,0.00,36.63,1.79,88.09,108.53,122.48,252.67,15.68,108.50,85.33,79.61,54.05,87.00,77.13,97.36,125.07,116.23,101.75,85.71,771.51
Longspur Intl,504340,,Trading,7.52,0.00,13.65,0.00,15.34,0.00,0.49,30.93,0.12,0.00,0.06,0.03,0.00,1.00,0.31,1.94,0.00,0.00,0.00,30.93,-1.63,0.00,0.00,0.00,10.00,0.12,0.00,1.56,1.24,0.49,-1.47,0.06,0.12,0.00,-0.89,1.76,0.60,0.80,1.47,0.00,0.31,0.00,0.01,0.03,0.05,10.26
Longview Tea,526568,,Trading,40.97,0.00,3.00,0.00,14.81,0.00,0.05,18.04,0.42,0.00,0.07,0.31,0.00,7.85,14.83,0.20,0.00,0.20,0.33,18.04,14.63,0.00,0.00,0.00,10.00,0.17,0.00,0.00,0.30,0.05,9.36,0.35,0.42,0.00,8.44,7.32,5.71,6.40,0.00,0.00,0.60,0.60,0.31,0.00,0.00,12.29
Looks Health,534422,,Healthcare,6.26,0.00,10.50,0.00,4.30,0.00,0.00,14.85,1.49,0.00,0.85,0.50,0.00,0.00,0.21,0.01,0.00,0.00,0.08,14.85,0.20,0.00,0.00,0.00,10.00,0.08,0.00,0.00,1.05,0.00,0.29,0.64,1.49,0.00,0.19,-0.02,0.00,5.29,0.00,0.00,8.40,0.00,0.93,1.35,1.63,6.57
Lords Chloro,500284,LORDSCHLO,Chlor Alkali / Soda Ash,132.50,43.11,25.15,0.00,139.33,9.75,12.73,262.35,226.96,0.00,103.25,135.13,24.09,0.35,86.78,33.28,0.00,0.27,0.00,262.35,66.14,6.27,21.83,25.70,10.00,33.85,3.02,8.85,2.52,22.48,73.39,123.70,226.96,10.85,36.97,18.60,28.20,6.79,64.62,68.15,67.36,17.29,120.76,124.33,82.79,333.24
Lords Ishwar,530065,,Hotels,17.00,2.83,7.47,0.00,-1.92,0.00,3.10,9.37,15.89,0.00,10.04,5.72,0.00,1.01,2.43,0.66,0.00,0.00,0.04,9.37,1.77,0.00,0.49,1.01,10.00,0.58,0.00,0.20,0.75,3.10,1.49,5.85,15.89,0.00,1.01,1.86,1.40,3.13,3.10,4.27,4.74,4.78,5.96,6.46,7.03,12.70
Lorenzini Appar.,540952,LAL,Textiles - Processing,22.36,19.00,15.67,0.00,5.04,5.66,10.22,62.16,14.49,0.00,6.26,5.98,0.00,9.89,54.68,31.08,0.03,0.00,0.12,62.16,37.65,3.00,32.19,11.67,1.00,0.19,0.08,10.05,15.70,15.88,21.86,8.23,14.49,0.00,16.72,11.76,4.01,,8.94,3.26,2.23,,2.30,1.70,1.88,350.39
Lotus Chocolate,523475,,Food - Processing - Indian,590.00,5.29,12.84,,26.29,,,69.77,,,,15.64,0.58,0.00,48.27,22.40,,,,69.77,31.16,0.00,10.92,26.90,10.00,5.69,,15.48,,,,,,,,,,,,,,,,,,757.53
Lotus Eye Hospit,532998,LOTUSEYE,Healthcare,57.81,0.00,20.80,0.00,38.61,0.00,0.67,66.63,90.18,0.00,46.00,48.65,0.08,0.00,14.02,6.23,0.00,0.00,0.88,66.63,7.79,0.00,3.21,1.26,10.00,7.04,0.33,3.46,2.08,0.67,10.00,44.18,90.18,0.00,8.05,1.06,2.57,-0.11,0.40,0.22,0.48,0.18,40.54,44.14,41.32,120.25
Lovable Lingerie,533343,LOVABLE,Textiles - Products,139.45,10.06,14.80,0.00,161.54,3.89,2.64,210.74,47.25,0.00,22.04,23.80,0.00,89.86,86.59,15.79,0.00,0.00,1.83,210.74,77.70,3.16,55.01,21.87,10.00,0.45,0.00,6.70,1.48,6.53,70.68,25.21,47.25,0.00,55.39,83.46,99.04,57.60,0.00,0.00,14.63,11.50,23.66,24.72,45.74,206.39
Loyal Equipments,539227,,Engineering,209.65,12.22,10.20,0.00,19.38,10.57,1.53,53.93,27.22,0.00,13.00,13.05,0.00,0.09,39.45,20.47,0.00,0.00,0.00,53.93,28.83,0.00,17.08,12.87,10.00,8.31,3.40,3.55,1.02,12.10,21.07,14.22,27.22,0.00,22.01,17.36,8.88,3.91,15.43,7.71,4.04,2.06,10.31,4.88,5.13,213.85
Loyal Textile,514036,LOYALTEX,Textiles - Composite,595.70,622.16,4.82,0.00,285.77,662.27,0.00,1087.45,637.37,0.00,306.58,333.46,0.00,2.01,721.03,795.27,0.00,0.00,0.00,1087.45,547.92,0.00,415.59,158.49,10.00,16.86,0.00,111.96,0.48,662.27,634.50,330.79,637.37,3.10,278.09,253.17,214.47,160.17,379.52,486.10,559.93,583.38,318.67,392.20,452.03,287.14
LTIMindtree,540005,LTIM,Computers - Software - Large,5486.70,2070.60,29.60,0.00,19987.60,40.70,2029.90,27544.30,8572.30,0.00,3591.50,4980.80,550.70,8743.60,12093.00,5743.20,1541.30,8096.30,712.80,27544.30,6693.20,2029.90,3.00,5706.00,1.00,2816.00,0.00,1493.90,29.58,1541.20,7315.40,3679.10,6890.40,902.30,2031.60,1783.60,1144.40,720.16,798.30,0.00,0.00,110.01,1906.00,929.90,541.90,162495.96
