Name,BSE Code,NSE Code,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Current ratio,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,52w Index,Down from 52w high,Up from 52w low,From 52w high,Mkt Cap To Debt Cap,Dividend Payout Ratio,Graham,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Altman Z Score,Market cap to quarterly profit,Market Capitalization
Restile Ceramics,515085,,Ceramics - Tiles / Sanitaryware,5.17,54.05,254.11,-168.57,0.07,,,272.34,-163.64,5.26,-30.71,54.05,,-98.18,-0.79,-42.98,8.42,2.25,-1.28,-0.30,0.00,,-75.83,0.01,77.78,11.62,85.30,0.88,-8.99,0.00,,-118.19,-21.01,,0.26,-118.16,4.49,-175.21,50.81
Retina Paints,543902,,Paints / Varnishes,82.00,9.80,-18.37,59.60,2.35,2.49,,146.48,234.42,25.97,18.40,9.80,2.49,69.99,-0.13,8.72,28.60,-36.99,0.29,1.61,0.00,9.44,-5.33,0.00,88.66,6.29,110.26,0.94,-3.26,0.00,13.76,-13.30,8.05,798.56,12.29,-13.34,7.18,,114.30
Retro Green,519191,,Tea,8.90,4.02,18.63,17.26,16.20,,0.15,38.00,-58.82,-45.59,8.80,4.02,,17.26,0.80,0.79,1.78,4.83,0.04,1.02,0.00,14.30,-0.87,0.03,22.91,44.72,31.66,0.55,1.81,0.00,10.67,16.02,8.14,15.72,0.84,16.08,3.22,114.86,8.04
Rex Pipes&Cables,,REXPIPES,Plastics Products,68.00,0.50,17.61,7.94,1.39,3.37,0.46,32.12,-10.80,23.59,31.39,0.50,3.37,9.47,-0.08,5.95,52.91,7.05,0.90,2.03,0.00,81.53,-38.67,0.05,38.46,24.78,25.93,0.75,1.21,0.00,61.16,7.53,15.27,27.86,43.94,7.57,5.10,,64.26
Rex Sealing,543744,,Packaging,182.00,1.32,-38.25,9.70,4.77,12.19,1.47,48.42,321.28,10.09,15.00,1.32,12.19,10.94,-0.01,0.99,17.20,-7.66,0.16,1.41,0.00,196.35,-5.82,0.00,85.10,8.57,115.13,0.91,5.53,0.00,129.53,-117.76,15.28,44.19,67.36,-118.82,6.88,106.32,40.40
Rexnord Electr.,531888,,Engineering,139.10,1.61,247.29,9.78,4.01,7.26,1.55,50.94,40.63,12.18,71.11,1.61,7.26,12.88,0.18,2.04,82.25,0.80,0.44,1.20,0.00,109.14,-7.99,0.11,64.02,15.67,49.41,0.84,1.69,0.00,98.22,34.78,18.26,44.85,43.79,34.65,5.91,86.24,155.23
Rhetan TMT Ltd,543590,,Steel - Medium / Small,14.75,18.15,-64.79,158.66,4.00,4.43,,128.32,66.90,-13.67,89.04,18.15,4.43,175.51,-0.05,4.08,99.99,-17.61,0.18,1.32,0.00,1.52,-1.32,0.00,86.03,7.58,102.05,0.92,-7.38,0.00,1.10,84.56,9.15,4009.10,1.04,84.56,19.21,,1175.40
RHI Magnesita,534076,RHIM,Refractories / Intermediates,642.75,3.51,113.18,24.61,2.48,5.84,10.90,38.23,-754.90,2.20,3845.72,3.51,5.84,36.61,0.01,-4.86,4299.26,2.63,0.14,1.43,-51.39,,-3.62,0.01,42.66,22.56,27.67,0.77,6.07,-51.39,,49.05,18.67,339.37,69.99,49.05,6.52,323.81,13272.88
Riba Textiles,531952,,Textiles - Products,87.10,0.34,17.65,7.33,1.33,3.28,-14.75,25.49,26.49,31.36,89.39,0.34,3.28,9.64,-0.29,8.55,154.97,3.20,0.77,1.92,0.00,88.08,-76.54,0.03,83.78,8.22,86.11,0.92,0.55,0.00,130.75,4.22,9.63,9.88,64.89,4.20,3.53,35.92,84.06
Rich Universe,530271,,Trading,19.84,,2172.48,-176.11,1.56,,,,-216.67,,7.39,,,-176.11,-0.09,-16.78,8.25,0.07,0.20,2.66,0.00,,-10.22,0.00,87.28,7.38,120.44,0.93,143.80,0.00,,-482.77,-0.17,,11.30,-479.33,2.19,-102.71,14.38
