Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Narbada Gems,519455,,Diamond Cutting / Jewellery,55.91,6.28,19.02,-0.21,0.15,-0.06,0.05,-0.11,0.57,-0.68,-0.22,-0.46,0.00,-0.46,-1.10,-2.42,17.70,-0.22,118.29
Narendra Prop.,531416,,Construction,43.05,-0.99,11.22,6.47,0.01,6.48,0.00,6.48,0.14,6.34,0.62,5.72,0.00,5.72,57.66,50.98,7.16,8.05,30.61
Narmada Agrobase,543643,NARMADA,Miscellaneous,22.40,0.45,18.26,0.45,0.01,0.46,0.08,0.38,0.25,0.13,0.03,0.10,0.00,0.10,2.46,0.55,13.55,0.07,30.36
Narmada Gelatine,526739,,Chemicals,386.00,4.70,49.86,6.68,0.19,6.87,0.48,6.39,0.11,6.28,1.66,4.62,0.00,4.62,13.40,9.27,,7.64,233.50
Narmada Macplast,517431,,Plastics Products,16.91,-0.08,0.21,-0.05,0.12,0.07,0.00,0.07,0.01,0.06,-0.03,0.09,0.00,0.09,-23.81,42.86,,0.25,6.13
Natco Pharma,524816,NATCOPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,1212.25,268.10,897.90,339.10,29.00,368.10,41.00,327.10,2.70,324.40,48.60,275.80,0.00,275.80,37.77,30.72,36.50,15.11,21712.61
Nath Bio-Genes,537291,NATHBIOGEN,Miscellaneous,219.95,5.78,44.92,4.08,0.26,4.34,0.99,3.35,1.53,1.82,0.23,1.59,0.00,1.59,9.08,3.54,19.00,0.84,418.00
Nath Industries,502587,,Paper,71.25,3.60,89.41,-4.95,5.70,0.75,1.83,-1.08,0.61,-1.69,-3.01,1.32,0.00,1.32,-5.54,1.48,19.00,0.69,135.38
National Fitting,531289,,Castings & Forgings,134.00,2.48,20.85,2.41,0.45,2.86,0.88,1.98,0.33,1.65,0.91,0.74,0.00,0.74,11.56,3.55,9.08,0.81,121.71
National High,543385,NHIT,Construction,131.00,183.24,217.80,161.78,6.38,167.01,58.04,108.97,59.27,50.85,-12.40,62.16,1.15,63.26,74.28,28.54,,0.87,17189.83
National Plastic,531287,,Plastics Products,418.00,5.76,53.20,4.93,0.17,5.10,0.74,4.36,1.74,2.62,0.80,1.81,0.00,1.81,9.27,3.40,6.08,2.98,254.14
National Standar,504882,,Construction,4699.00,2.58,9.43,0.82,2.91,3.73,0.00,3.73,0.04,3.69,0.99,2.70,0.00,2.70,8.70,28.63,20.00,1.35,9398.00
Natl. Aluminium,532234,NATIONALUM,Aluminium and Aluminium Products,191.25,773.81,3671.37,767.03,55.39,822.42,255.44,566.98,0.72,566.26,44.38,521.88,0.00,521.88,20.89,14.21,918.32,2.84,35125.59
Natl. Gen. Inds.,531651,,Steel - Medium / Small,77.88,-0.03,2.86,-0.03,0.35,0.32,0.09,0.23,0.04,0.19,0.00,0.19,0.00,0.19,-1.05,6.64,4.67,0.34,43.07
Natl. Oxygen,507813,,Chemicals,144.75,-0.02,12.10,1.73,0.27,2.00,0.73,1.27,0.43,0.84,0.00,0.84,0.00,0.84,14.30,6.94,4.80,1.75,72.99
Natl. Plastic,526616,,Plastics Products,66.76,2.07,33.09,5.32,0.28,5.60,0.66,4.94,0.69,4.25,1.89,2.37,0.00,2.37,16.08,7.16,9.13,2.60,60.95
Natl. Plywood,516062,,Miscellaneous,4.55,-2.30,10.23,0.84,0.05,0.89,0.14,0.75,0.09,0.66,0.00,0.65,0.00,0.65,8.21,6.35,,0.26,11.21
Natl.Fertilizer,523630,NFL,Fertilizers,135.20,318.50,6257.45,-332.94,179.04,-153.90,88.92,-242.82,83.63,-326.45,-90.50,-235.95,0.00,-235.95,-5.32,-3.77,490.58,-4.81,6632.64
Natraj Proteins,530119,,Solvent Extraction,50.00,-1.10,50.03,1.15,0.02,1.17,0.11,1.06,0.66,0.40,0.14,0.27,0.00,0.27,2.30,0.54,3.75,0.72,18.74
Natura Hue Chem,531834,,Miscellaneous,8.25,-0.01,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,0.00,-0.02,,,4.15,-0.05,3.42
Natural Biocon,543207,,Trading,10.95,0.09,0.86,0.18,0.00,0.18,0.00,0.18,0.00,0.18,0.05,0.13,0.00,0.13,20.93,15.12,11.37,0.11,12.44
Natural Capsules,524654,,Pharmaceuticals - Indian - Bulk Drugs & Formln,318.20,4.72,37.62,5.77,0.21,5.98,1.87,4.11,1.12,2.99,1.20,1.79,0.00,1.79,15.34,4.76,7.01,1.95,297.06
Naturite Agro,538926,,Food - Processing - Indian,83.75,0.08,1.48,-0.11,0.00,-0.11,0.03,-0.14,0.03,-0.17,0.00,-0.18,0.00,-0.18,-7.43,-12.16,5.30,-0.34,44.35
Naturo Indiabull,543579,,Trading,15.20,0.99,10.41,1.05,,,,,,,,,,0.65,,,,0.64,28.67
Nava,513023,NAVA,Diversified - Large,756.80,410.19,881.44,347.22,116.85,466.16,78.27,387.89,90.70,295.10,-46.37,248.17,-2.09,341.48,39.39,38.98,29.03,17.00,10981.20
Navigant Corp.,539521,,Finance & Investments,36.21,0.94,2.97,0.61,,,,,,,,,,0.44,,,,1.40,11.42
Navin Fluo.Intl.,532504,NAVINFLUOR,Chemicals,3615.55,75.67,697.10,201.77,4.00,205.77,7.60,198.17,14.01,184.16,47.79,136.36,0.00,136.36,28.94,19.56,9.91,27.50,17929.15
Navkar Corporat.,539332,NAVKARCORP,Miscellaneous,110.55,12.33,103.55,17.62,-0.44,20.48,6.86,13.62,3.66,6.66,3.32,6.65,-3.30,3.35,17.02,6.42,150.52,0.22,1663.98
Navkar Urban.,531494,,Construction,13.82,0.90,5.27,0.57,0.75,1.40,0.26,1.14,0.01,1.05,0.13,0.99,-0.08,0.92,10.82,18.79,19.88,0.04,310.15
Navneet Educat.,508989,NAVNETEDUL,Printing & Stationery,156.65,-1.72,409.02,53.05,4.25,57.30,19.69,37.61,4.41,33.20,10.26,22.94,0.00,22.94,12.97,5.61,45.24,1.01,3543.66
Navoday Enterpri,543305,,Miscellaneous,7.66,0.43,7.11,0.09,,,,,,,,,,0.11,,,,0.14,5.90
Nazara Technolo.,543280,NAZARA,Telecommunications - Service Provider,871.55,36.33,289.32,27.31,5.66,35.49,16.04,19.45,2.92,14.01,4.64,3.26,-2.52,9.37,9.44,4.11,13.00,0.39,6670.94
NB Footwear,523242,,Leather / Leather Products,6.99,-0.04,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,,,14.50,-0.02,9.44
NBCC,534309,NBCC,Miscellaneous,157.35,117.29,2813.36,104.20,48.37,157.34,1.67,155.67,0.01,150.89,37.25,111.84,-4.77,113.64,3.70,4.17,180.00,0.60,28323.00
NBI Indl. Fin.,,NBIFIN,Finance & Investments,2540.00,0.52,4.70,4.19,0.00,4.19,0.00,4.19,0.00,4.19,1.43,2.76,0.00,2.76,89.15,58.72,1.23,11.23,624.03
NCC,500294,NCC,Construction,320.35,505.41,4949.03,464.61,23.79,502.77,53.08,449.69,142.66,292.66,89.69,200.22,-14.37,202.97,9.39,4.30,121.97,3.04,20113.09
NCC Blue Water,519506,,Aquaculture,9.61,-0.03,0.00,-0.06,0.17,0.11,0.00,0.11,0.00,0.11,0.03,0.08,0.00,0.08,,,7.75,0.10,7.45
NCL Industries,502168,NCLIND,Cement - South India,240.00,57.16,434.88,38.54,7.50,46.04,12.97,33.07,5.86,27.21,16.39,10.82,0.00,10.82,8.86,2.49,45.23,2.39,1085.59
NCL Res. & Finl.,530557,,Finance & Investments,1.20,0.89,1.02,0.34,0.05,0.39,0.01,0.38,0.00,0.38,-0.04,0.42,0.00,0.42,33.33,41.18,58.17,0.00,128.44
NDA Securities,511535,,Finance & Investments,43.69,0.39,1.16,0.00,0.00,0.00,0.03,-0.03,0.01,-0.04,-0.67,0.63,0.00,0.63,0.00,54.31,,1.24,25.99
NDL Ventures,500189,NDLVENTURE,Entertainment / Electronic Media Software,98.60,-0.92,0.00,-1.24,1.49,0.25,0.00,0.25,0.00,0.25,0.00,0.25,0.00,0.25,,,33.67,0.07,332.00
NDR Auto Compon.,543214,NDRAUTO,Auto Ancillaries,860.85,12.94,130.26,10.85,5.25,16.10,2.98,13.12,0.55,12.57,2.60,9.96,0.00,9.96,8.33,7.65,5.95,8.37,1023.77
NDR INVIT Trust,,NDRINVIT,Construction,103.75,,,,,,,,,,,,,,,,,,3994.38
NDTV,532529,NDTV,Entertainment / Electronic Media Software,222.00,-8.55,66.96,-14.75,14.79,-11.72,3.00,-14.72,0.56,-3.52,-2.44,-12.84,11.76,-1.08,-22.03,-19.18,25.79,0.09,1431.36
Nectar Lifesci.,532649,NECLIFE,Pharmaceuticals - Indian - Bulk Drugs & Formln,31.64,42.19,388.81,18.09,17.92,36.01,14.85,21.16,19.66,1.50,-2.17,3.68,0.00,3.68,4.65,0.95,22.43,0.16,709.58
Neelamalai Agro,508670,,Tea,4200.00,-0.93,5.54,-2.61,5.43,2.82,0.18,2.64,0.02,2.62,0.33,2.29,0.00,2.29,-47.11,41.34,0.62,36.81,261.26
Neelkanth,512565,,Trading,41.31,0.27,0.00,-0.20,0.02,-0.18,0.03,-0.21,0.08,-0.29,0.00,-0.28,0.00,-0.28,,,4.36,-0.64,18.01
Neelkanth Rock,531049,,Miscellaneous,13.21,-0.04,0.00,-0.05,0.64,0.59,0.00,0.59,0.13,0.46,0.08,0.37,0.00,0.37,,,5.04,0.73,6.66
Neeraj Paper Mkt,539409,,Trading,19.50,0.87,49.32,0.71,0.03,0.74,0.09,0.65,0.57,0.08,0.04,0.04,0.00,0.04,1.44,0.08,11.00,0.04,21.45
Neil Industries,539016,,Finance & Investments,17.60,0.70,0.72,0.56,0.00,0.56,0.00,0.56,0.00,0.56,0.08,0.47,0.00,0.47,77.78,65.28,19.55,0.24,34.41
Nelcast,532864,NELCAST,Castings & Forgings,152.25,25.61,313.18,18.82,2.00,20.82,6.46,14.36,8.37,5.99,1.50,4.48,0.00,4.48,6.01,1.43,17.40,0.51,1324.60
NELCO,504112,NELCO,Telecommunications - Equipment,765.50,16.32,81.98,16.82,0.85,17.67,7.95,9.72,2.07,7.65,1.99,5.66,0.00,5.66,20.52,6.90,22.82,2.48,1746.89
Neo Infracon,514332,,Construction,17.56,0.43,4.39,0.44,0.29,0.73,0.05,0.68,0.15,0.53,0.04,0.48,0.00,0.48,10.02,10.93,5.31,0.90,9.32
Neogem India,526195,,Diamond Cutting / Jewellery,3.00,-0.14,0.00,-0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,8.17,0.00,2.45
Neogen Chemicals,542665,NEOGEN,Chemicals,1616.75,20.29,203.92,32.59,1.75,34.34,4.29,30.05,9.34,20.71,6.40,14.31,0.00,14.31,15.98,7.02,24.94,5.74,4265.24
NESCO,505355,NESCO,Construction,928.95,113.83,157.24,99.46,20.35,119.81,9.22,110.59,1.60,108.99,24.08,84.91,0.00,84.91,63.25,54.00,14.09,12.05,6545.39
Nestle India,500790,NESTLEIND,Food - Processing - MNC,2569.90,1095.12,4830.53,1095.48,33.69,1129.17,101.70,1027.47,37.01,990.46,253.82,736.64,0.00,736.64,22.68,15.25,,7.64,247778.78
Net Avenue,,CBAZAAR,Trading,16.60,-0.26,14.32,-2.09,,,,,,,,,,-0.32,,,,-2.58,35.61
Net Pix Shorts,543247,,Entertainment / Electronic Media Software,33.00,-1.74,0.35,0.02,,,,,,,,,,0.06,,,,0.19,10.56
Netlink Solns(I),509040,,Computers - Software - Medium / Small,159.00,-0.28,1.37,0.73,2.77,3.50,0.05,3.45,0.00,3.45,0.68,2.77,0.00,2.77,53.28,202.19,2.53,10.95,40.21
Nettlinx,511658,,Telecommunications - Service Provider,104.60,2.26,5.46,-0.62,1.27,0.65,0.25,0.40,0.23,0.17,0.11,0.06,0.00,0.06,-11.36,1.10,11.46,0.05,252.87
Netweb Technol.,543945,NETWEB,Computers - Hardware,2703.05,34.25,123.39,15.16,1.23,16.39,1.23,15.16,1.00,14.16,3.64,10.53,0.00,10.53,12.29,8.53,,2.07,15235.94
Network People,,NPST,Computers - Software - Medium / Small,1621.15,16.53,31.53,9.85,0.10,3.43,1.06,2.37,0.00,2.37,0.56,1.81,0.00,5.65,32.58,17.71,,2.91,3142.76
Netwrk.18 Media,532798,NETWORK18,Entertainment / Electronic Media Software,82.50,-171.71,1483.72,57.19,35.01,92.20,36.24,55.96,78.76,-22.80,12.39,-35.19,0.00,-35.19,3.85,-2.37,517.68,-0.35,8637.32
Neueon Towers,532887,,Transmisson Line Towers / Equipment,3.16,-0.38,0.03,-0.29,0.36,0.07,23.45,-23.38,0.00,-23.38,0.00,-23.37,0.00,-23.37,-966.67,-77900.00,,-4.13,17.86
Neuland Labs.,524558,NEULANDLAB,Pharmaceuticals - Indian - Bulk Drugs,7851.20,121.26,407.07,119.86,8.06,127.92,13.47,114.45,4.29,110.16,25.62,84.54,0.00,84.54,29.44,20.77,12.90,65.89,10072.97
New India Assura,540769,NIACL,Finance & Investments,242.35,866.25,10182.36,109.39,40.73,150.12,0.00,150.12,0.00,150.12,6.19,123.72,0.00,123.72,1.07,1.22,824.00,0.77,39939.28
New Light Appare,540243,,Trading,20.00,0.04,1.43,-0.90,0.01,-0.89,0.01,-0.90,0.02,-0.92,0.00,-0.92,0.00,-0.92,-62.94,-64.34,,-4.19,4.39
New Swan,544082,,Auto Ancillaries,68.30,,,,,,,,,,,,,,,,,,129.88
Newgen Software,540900,NEWGEN,Computers - Software - Medium / Small,991.05,71.70,283.44,91.97,7.05,99.02,6.25,92.77,1.06,91.71,14.54,77.17,0.00,77.17,32.45,27.23,69.54,5.51,13903.60
Newjaisa Tech,,NEWJAISA,Trading,118.75,4.05,30.45,6.06,,,,,,,,,,4.67,,,,129.72,382.18
Newtime Infra.,531959,,Construction,16.42,1.34,0.50,0.11,-0.14,0.11,0.00,0.11,0.87,-0.90,0.00,-2.69,-0.14,-2.83,22.00,-538.00,17.03,-0.06,861.81
Next Mediaworks,532416,NEXTMEDIA,Entertainment / Electronic Media Software,6.96,0.26,10.03,-0.62,1.25,0.63,2.03,-1.40,4.60,-6.00,0.07,-3.66,0.00,-6.07,-6.18,-60.52,66.89,-0.55,46.56
Nexus Select,543913,NXST,Construction,142.05,386.74,0.00,-2.95,0.00,-2.95,0.00,-2.95,0.00,-2.95,0.00,-2.95,0.00,-2.95,,,,,21520.58
Nexus Surgical,538874,,Trading,14.27,0.05,0.14,-0.13,0.00,-0.13,0.00,-0.13,0.00,-0.13,-0.03,-0.10,0.00,-0.10,-92.86,-71.43,5.47,-0.18,7.81
NGL Fine Chem,524774,NGLFINE,Pharmaceuticals - Indian - Bulk Drugs,2355.40,10.95,74.17,11.87,1.45,13.32,1.92,11.40,0.32,11.08,2.55,8.53,0.00,8.53,16.00,11.50,3.09,13.81,1455.65
NHC Foods,517554,,Trading,45.88,1.37,57.24,1.80,0.21,2.01,0.30,1.71,0.42,1.29,0.57,0.73,0.00,0.73,3.14,1.28,11.86,0.62,54.39
NHPC Ltd,533098,NHPC,Power Generation And Supply,100.40,720.92,2028.77,888.11,425.27,1313.38,304.29,1009.09,110.83,898.26,152.99,656.73,0.00,745.27,43.78,36.74,10045.03,0.65,100852.18
NIBE,535136,,Engineering,1982.00,7.12,62.27,4.74,0.26,5.00,0.98,4.02,0.93,3.09,0.73,2.35,0.00,2.35,7.61,3.77,10.42,1.98,2602.79
Nicco Parks,526721,,Recreation / Amusement Parks,150.15,4.55,18.89,3.93,1.59,5.52,0.59,4.93,0.05,4.88,1.23,3.65,0.00,3.65,20.80,19.32,4.68,0.78,702.70
Nidan Laborator.,,NIDAN,Healthcare,37.90,3.34,10.18,1.64,,,,,,,,,,1.22,,,,0.88,52.68
Nidhi Granites,512103,,Finance & Investments,143.00,0.78,5.93,0.21,0.11,0.32,0.13,0.19,0.06,0.13,0.09,0.04,0.00,0.04,3.54,0.67,0.75,0.08,114.40
Nihar Info Glob.,531083,,Computers - Software - Medium / Small,5.78,-0.02,1.25,0.15,0.01,0.16,0.00,0.16,0.06,0.10,0.02,0.08,0.00,0.08,12.00,6.40,8.16,0.08,6.02
NIIT,500304,NIITLTD,Computers - Education,103.65,7.12,60.05,-10.68,11.95,2.06,4.13,-2.07,0.27,-3.13,6.32,-10.49,-0.79,-9.45,-17.79,-17.62,26.77,-0.70,1402.21
NIIT Learning,543952,NIITMTS,Computers - Education,449.15,90.12,385.68,86.98,0.50,90.49,14.59,75.90,8.01,64.88,10.94,56.16,-3.01,53.94,22.55,14.56,,,6092.91
Nikhil Adhesives,526159,,Chemicals,126.50,7.56,160.68,8.68,0.10,8.78,1.38,7.40,1.88,5.52,1.89,3.63,0.00,3.63,5.40,2.26,4.60,0.79,581.18
Nikki Glob.Fin.,531272,,Finance & Investments,8.30,-0.02,0.00,-0.03,0.15,0.12,0.00,0.12,0.00,0.12,0.00,0.11,0.00,0.11,,,3.42,0.32,2.84
Niks Technology,543282,,Computers - Software - Medium / Small,451.25,0.51,1.41,0.42,,,,,,,,,,0.21,,,,5.78,19.18
Nila Infrastruct,530377,NILAINFRA,Construction,12.74,4.06,43.15,0.57,3.03,3.60,0.33,3.27,2.88,0.39,0.12,0.02,0.00,0.02,1.32,0.05,39.39,0.00,501.81
Nila Spaces,542231,NILASPACES,Construction,9.80,7.31,0.00,-4.13,0.33,-3.80,0.03,-3.83,0.00,-3.83,-1.06,-2.77,0.00,-2.77,,,39.39,-0.07,386.01
Nilachal Refract,502294,,Refractories / Intermediates,51.25,-0.18,0.26,-0.28,0.03,-0.25,0.65,-0.90,0.00,-0.90,-0.11,-0.80,0.00,-0.80,-107.69,-307.69,20.36,-0.39,104.35
NILE,530129,,Mining / Minerals / Metals,1340.10,17.16,217.08,12.96,0.04,13.00,0.71,12.29,0.95,11.34,2.93,8.41,0.00,8.41,5.97,3.87,3.00,28.02,402.03
Nilkamal Ltd,523385,NILKAMAL,Plastics Products,1976.00,72.78,828.89,97.13,5.57,102.70,28.65,74.05,9.61,64.44,16.20,48.21,0.00,48.24,11.72,5.82,14.92,32.31,2948.19
Nimbus Projects,511714,,Construction,49.47,-2.22,0.54,-3.10,0.80,-2.30,0.06,-2.36,6.45,-8.81,-0.04,-8.77,0.00,-8.77,-574.07,-1624.07,10.84,-8.09,53.62
NINtec Systems,539843,NINSYS,Computers - Software - Medium / Small,492.15,4.54,10.41,1.29,1.32,2.61,0.23,2.38,0.00,2.38,0.46,1.92,0.00,1.92,12.39,18.44,6.88,1.03,914.20
Nippon Life Ind.,540767,NAM-INDIA,Finance & Investments,667.55,259.16,348.34,208.84,39.69,248.53,8.16,240.37,1.16,239.21,41.47,198.02,0.00,198.02,59.95,56.85,622.02,3.18,42149.23
Niraj Cement,532986,NIRAJ,Construction,51.75,3.44,313.46,6.03,-1.85,7.18,0.31,6.87,0.23,3.64,1.70,3.26,-3.00,1.94,1.92,1.04,43.11,0.48,207.80
Nirav Commercial,512425,,Aluminium and Aluminium Products,706.85,-0.09,3.51,0.22,0.00,0.22,0.01,0.21,0.03,0.18,0.05,0.13,0.00,0.13,6.27,3.70,0.39,3.32,27.57
Nirlon,500307,,Construction,429.45,119.80,148.12,116.60,0.36,116.96,14.91,102.05,29.33,72.72,23.01,49.71,0.00,49.71,78.72,33.56,90.12,5.52,3870.19
Nirman Agri,,NIRMAN,Miscellaneous,242.00,3.21,,,,,,,,,,,,,,,,,144.27
Nirmitee Robotic,543194,,Miscellaneous,123.10,-0.09,3.84,0.70,,,,,,,,,,0.45,,,,1.25,44.33
Nitco,532722,NITCO,Trading,79.86,-14.14,105.78,-16.16,-0.09,-15.36,7.07,-22.43,18.81,-42.13,0.00,-41.24,-0.89,-42.13,-15.28,-38.99,71.86,-5.86,573.87
Nitin Castings,508875,,Castings & Forgings,859.95,2.95,29.90,1.86,0.22,2.08,0.40,1.68,0.04,1.64,0.95,0.69,0.00,0.69,6.22,2.31,2.57,1.34,442.13
Nitin Spinners,532698,NITINSPIN,Textiles - Cotton/Blended,361.30,102.73,654.80,70.96,1.36,72.32,21.30,51.02,10.28,40.74,2.20,38.54,0.00,38.54,10.84,5.89,56.22,6.86,2031.23
Nitiraj Engineer,,NITIRAJ,Electronics - Components,252.45,3.57,11.37,0.97,0.17,1.14,0.96,0.18,0.04,0.14,0.30,-0.17,0.00,-0.17,8.53,-1.50,10.25,-0.17,258.79
Nitta Gelatin,506532,,Chemicals,824.20,32.49,145.62,26.55,0.35,26.90,3.52,23.38,0.27,23.11,6.34,16.18,0.00,16.77,18.23,11.52,9.08,17.82,748.35
Nivaka Fashions,542206,,Trading,4.30,-0.22,1.12,0.26,0.00,0.26,0.03,0.23,0.00,0.23,0.04,0.20,0.00,0.20,23.21,17.86,10.27,0.02,44.16
Niyogin Fintech,538772,,Finance & Investments,68.25,-1.79,33.73,-3.75,2.57,-1.18,1.69,-2.87,0.44,-3.31,0.04,-2.50,0.00,-3.35,-11.12,-9.93,94.21,-0.27,649.37
NLC India,513683,NLCINDIA,Power Generation And Supply,238.25,904.65,5134.04,1236.04,712.74,1957.57,471.58,1485.99,220.79,1256.41,419.85,835.47,-8.79,836.59,24.08,16.41,1386.64,5.98,33036.60
NMDC,526371,NMDC,Mining / Minerals / Metals,250.00,2007.17,5851.37,2162.35,1228.23,2153.50,93.39,2060.11,11.77,3285.42,1008.48,1414.24,1237.08,2271.58,36.95,24.17,293.07,7.75,73265.12
NMDC Steel,543768,NSLNISP,Steel - Medium / Small,57.46,-409.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,,16839.29
NMS Global,522289,,Miscellaneous,73.38,0.99,3.77,0.02,0.02,0.04,-0.01,0.05,0.04,0.01,0.00,0.02,0.00,0.02,0.53,0.53,3.01,0.07,22.09
NOCIL,500730,NOCIL,Chemicals,280.30,48.85,392.72,49.73,2.94,52.67,13.87,38.80,0.27,38.53,10.21,28.32,0.00,28.32,12.66,7.21,166.57,1.70,4671.10
Noida Tollbridg.,532481,NOIDATOLL,Construction,13.45,0.62,4.54,-0.94,0.70,-0.24,9.84,-10.08,0.00,-10.08,0.00,-10.09,0.00,-10.09,-20.70,-222.25,186.20,-0.54,250.45
Norben Tea,519528,NORBTEAEXP,Tea,13.10,-0.97,0.74,0.07,0.03,0.10,0.16,-0.06,0.29,-0.35,0.12,-0.48,0.00,-0.48,9.46,-64.86,11.75,-0.41,15.39
Norris Medicines,524414,,Pharmaceuticals - Indian - Bulk Drugs & Formln,12.28,-0.04,1.21,0.55,0.01,0.56,0.18,0.38,0.37,0.01,0.56,-0.54,0.00,-0.54,45.45,-44.63,9.93,-0.54,12.28
North Eastn.Car.,534615,NECCLTD,Miscellaneous,25.50,6.44,73.38,5.76,0.04,5.80,0.72,5.08,2.37,2.71,1.58,1.12,0.00,1.12,7.85,1.53,50.20,0.12,242.82
Northern Spirits,542628,,Trading,195.60,14.14,388.98,7.88,0.00,2.49,0.08,2.41,2.27,0.14,0.00,0.14,0.00,3.55,4.64,0.26,,2.21,313.96
Northlink Fiscal,539110,,Finance & Investments,69.50,-0.01,0.14,-0.01,0.00,-0.01,0.01,-0.02,0.00,-0.02,-0.03,0.01,0.00,0.01,-7.14,7.14,5.25,0.02,36.48
Nouveau Global,531465,,Trading,0.49,-0.13,0.00,-5.47,4.92,-0.55,0.01,-0.56,0.02,-0.58,0.01,-0.58,0.00,-0.58,,,18.55,-0.03,9.09
Nova Agritech,544100,NOVAAGRI,Fertilizers,65.01,15.05,73.17,15.41,0.05,15.46,0.65,14.81,3.02,11.79,3.72,8.07,0.00,8.07,21.06,11.03,,1.24,601.48
Nova Iron &Steel,513566,,Steel - Sponge Iron,24.30,-1.12,166.20,-10.86,1.04,-9.82,2.48,-12.30,1.46,-13.76,1.01,-14.78,0.00,-14.78,-6.53,-8.89,,-4.09,87.81
Novartis India,500672,,Trading,1100.00,19.77,76.13,9.32,16.37,25.69,2.08,23.61,0.30,23.31,-1.71,25.02,0.00,25.02,12.24,32.86,12.34,10.13,2715.99
Novateor Resear.,542771,,Personal Care - Indian,43.75,-0.17,0.44,-0.14,,,,,,,,,,0.03,,,,0.06,21.15
NPR Finance,530127,,Finance & Investments,25.64,0.20,3.44,0.07,0.00,0.07,0.04,0.03,0.08,-0.05,0.03,-0.08,0.00,-0.08,2.03,-2.33,6.00,-0.13,15.35
NRB Bearings,530367,NRBBEARING,Bearings,351.70,35.73,312.44,64.33,-5.19,66.74,10.46,56.28,7.34,41.34,6.37,40.14,-7.60,34.97,20.59,12.99,19.38,3.57,3408.76
NRB Indl Bearing,535458,NIBL,Bearings,37.70,-1.90,21.81,0.74,0.54,1.28,2.42,-1.14,2.60,-3.74,0.00,-3.73,0.00,-3.73,3.39,-17.10,4.85,-1.54,91.42
NTC Industries,526723,,Cigarettes,131.55,1.64,10.25,2.17,-0.79,1.38,0.51,0.87,0.12,0.75,1.89,-1.14,0.00,-1.14,21.17,-11.12,11.94,-0.95,157.12
NTPC,532555,NTPC,Power Generation And Supply,370.00,11362.15,44252.92,11942.40,1083.88,13026.28,3848.46,9177.82,2859.54,6318.28,1446.73,4860.67,0.00,4871.55,26.99,11.01,9696.67,5.01,358776.66
Nucleus Soft.,531209,NUCLEUS,Computers - Software - Medium / Small,1423.05,47.65,206.20,82.74,9.73,92.47,3.61,88.86,0.26,88.60,20.95,67.65,0.00,67.65,40.13,32.81,26.77,25.27,3810.00
Nupur Recyclers,,NRL,Trading,86.74,1.90,19.74,0.73,1.51,2.24,0.02,2.22,0.03,2.19,0.57,1.63,0.00,1.63,3.70,8.26,22.88,0.24,595.39
Nureca,543264,NURECA,Trading,270.55,-4.25,21.23,-3.46,2.15,-1.31,0.56,-1.87,0.10,-1.97,-0.44,-1.53,0.00,-1.53,-16.30,-7.21,10.00,-1.53,270.55
Nutech Global,531304,,Trading,19.99,0.27,7.75,0.44,0.04,0.48,0.09,0.39,0.35,0.04,0.04,0.00,0.00,0.00,5.68,0.00,3.20,0.00,6.40
Nutricircle,530219,,Food - Processing - Indian,261.90,-0.28,0.65,-0.35,0.00,-0.35,0.00,-0.35,0.00,-0.35,0.00,-0.35,0.00,-0.35,-53.85,-53.85,0.27,-12.88,7.12
Nuvama Wealth,543988,NUVAMA,Finance & Investments,5100.80,444.55,612.79,235.15,6.85,242.00,31.38,210.62,98.59,112.03,26.63,85.40,0.00,85.40,38.37,13.94,,,18054.38
Nuvoco Vistas,543334,NUVOCO,Cement - North India,371.90,410.41,2928.50,380.44,-403.34,382.90,239.13,143.77,137.45,-399.48,-600.54,605.94,-405.80,201.06,12.99,20.69,357.16,5.63,13282.63
Nuway Organic,531819,,Trading,27.30,-0.06,0.00,0.00,0.00,0.00,0.45,-0.45,0.00,-0.45,0.00,-0.46,0.00,-0.46,,,,-0.48,26.18
Nyssa Corp.,504378,,Finance & Investments,6.65,0.64,0.21,-1.22,0.17,-1.05,-0.01,-1.04,0.00,-1.04,-0.14,-0.90,0.00,-0.90,-580.95,-428.57,3.00,-0.30,19.95
O N G C,500312,ONGC,Oil Drilling / Allied Services,273.35,20523.20,164066.72,20539.43,-4786.26,23197.83,6743.59,16454.24,2068.11,6941.47,463.24,8735.40,-7444.66,6478.23,12.52,7.68,6290.14,3.57,343881.96
