Name,BSE Code,NSE Code,Industry,Current Price,Operating profit preceding quarter,Sales preceding year quarter,Operating profit preceding year quarter,Other income preceding year quarter,EBIDT preceding year quarter,Depreciation preceding year quarter,EBIT preceding year quarter,Interest preceding year quarter,Profit before tax preceding year quarter,Tax preceding year quarter,Profit after tax preceding year quarter,Extraordinary items preceding year quarter,Net Profit preceding year quarter,OPM preceding year quarter,NPM preceding year quarter,Equity Capital preceding year quarter,EPS preceding year quarter,Market Capitalization
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,65.50,-39.44,72.95,-93.49,18.31,-73.06,10.70,-83.76,286.73,-372.61,7.98,-378.47,-2.12,-380.59,-128.16,-518.81,11.67,-65.21,382.29
ABans Enterprise,512165,,Trading,135.55,12.13,343.21,2.55,1.17,3.72,0.34,3.38,1.85,1.53,0.10,1.31,0.00,1.44,0.74,0.42,13.95,0.94,189.09
Abans Holdings,543712,AHL,Finance & Investments,484.40,38.42,572.26,27.46,0.58,28.04,0.19,27.85,2.39,25.46,2.87,21.00,0.00,22.58,4.80,3.95,,4.19,2429.07
Abate As Indust,531658,,Trading,28.70,-0.02,0.00,-0.17,0.02,-0.17,0.00,-0.17,0.00,-0.15,0.00,-0.17,0.02,-0.15,,,5.02,-0.30,14.41
Abbott India,500488,ABBOTINDIA,Pharmaceuticals - Multinational,27616.45,387.69,1343.08,280.12,49.64,329.76,17.34,312.42,4.01,308.41,76.99,231.42,0.00,231.42,20.86,17.23,21.25,108.91,58684.97
ABC Gas (Int.),513119,,Trading,91.58,-0.16,0.00,-0.17,0.00,-0.17,0.01,-0.18,0.00,-0.18,0.23,-0.41,0.00,-0.41,,,1.98,-2.07,18.13
ABC India,520123,,Miscellaneous,112.30,1.52,37.00,1.47,1.04,1.55,0.32,1.23,0.60,1.59,-0.33,0.96,0.96,1.92,3.97,2.59,5.41,3.54,60.83
Abhinav Capital,532057,,Finance & Investments,207.75,3.13,2.34,2.26,0.00,2.26,0.00,2.26,0.08,2.18,0.58,1.60,0.00,1.60,96.58,68.38,,2.31,143.86
Abhinav Leasing,538952,,Finance & Investments,2.65,0.37,5.16,1.23,-0.08,1.15,0.02,1.13,1.11,0.02,0.00,0.03,0.00,0.03,23.84,0.58,5.00,0.01,13.25
Abhishek Finle.,538935,,Finance & Investments,37.00,0.06,0.06,0.00,0.01,0.03,0.02,0.01,0.00,-0.01,0.03,-0.03,-0.02,-0.05,0.00,-50.00,4.26,-0.12,15.78
Abhishek Infra.,539544,,Construction,7.14,-0.05,0.41,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,0.00,0.30,73.17,73.17,3.25,0.59,3.60
Abhishek Integr.,,AILIMITED,Construction,69.45,0.74,13.76,0.80,,,,,,,,,,0.34,,,,0.57,41.82
Abirami Fin.,511756,,Finance & Investments,58.20,-0.17,0.00,-0.26,0.31,0.05,0.01,0.04,0.00,0.04,0.00,0.04,0.00,0.04,,,,0.07,31.43
ABM Knowledge,531161,,Computers - Software - Medium / Small,148.00,2.10,15.80,2.78,1.58,4.36,0.30,4.06,0.05,4.01,0.86,3.14,0.00,3.14,17.59,19.87,,1.57,296.03
ABS Marine,,ABSMARINE,Shipping,357.00,,,,,,,,,,,,,,,,,,876.45
ACC,500410,ACC,Cement - North India,2647.60,904.72,4790.91,468.52,54.82,589.76,176.75,413.01,15.24,331.35,95.69,282.86,-66.42,235.66,9.78,5.90,,12.55,49718.59
Accedere,531533,,Computers - Software - Medium / Small,85.50,0.07,0.52,-0.04,0.01,0.01,0.08,-0.07,0.00,-0.11,-0.02,-0.03,-0.04,-0.09,-7.69,-9.62,4.76,-0.10,43.01
Accel,517494,,Computers - Software - Medium / Small,22.00,4.96,49.30,3.64,3.66,7.30,1.94,5.36,1.84,3.52,4.21,-0.68,0.00,-0.70,7.38,-1.42,11.46,-0.12,126.64
AccelerateBS Ind,543938,,Computers - Software - Medium / Small,339.00,0.55,2.80,0.71,,,,,,,,,,0.58,,,,2.96,72.85
Accelya Solution,532268,ACCELYA,Computers - Software - Medium / Small,1740.00,45.88,119.46,44.63,13.57,46.57,8.22,38.35,0.48,49.50,13.21,27.81,11.63,36.29,37.36,23.28,,24.31,2597.82
Accent Microcell,,ACCENTMIC,Pharmaceuticals - Indian - Bulk Drugs & Formln,284.00,19.51,,,,,,,,,,,,,,,,,597.62
Accord Synergy,,ACCORD,Telecommunications - Service Provider,28.30,0.33,13.57,0.29,,,,,,,,,,0.37,,,,1.07,9.83
Accuracy Shippi.,,ACCURACY,Miscellaneous,13.40,4.42,177.55,12.03,-0.24,11.79,3.14,8.65,2.21,6.44,0.73,5.71,0.00,5.71,6.78,3.22,15.06,0.38,201.74
ACE EduTremd Ltd,530093,,Miscellaneous,3.20,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,-0.01,,,9.16,-0.01,2.93
Ace Engitech,530669,,Computers - Software - Medium / Small,21.56,-0.02,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,0.00,-0.03,,,,-0.09,7.12
Ace Integrated,,ACEINTEG,Computers - Software - Medium / Small,34.18,-0.14,2.21,0.38,0.06,0.44,0.04,0.40,0.01,0.39,0.15,0.24,0.00,0.24,17.19,10.86,10.20,0.24,34.86
Ace Men,539661,,Trading,46.00,-0.08,4.16,-0.73,0.00,-0.73,0.00,-0.73,0.00,-0.73,0.00,-0.73,0.00,-0.73,-17.55,-17.55,3.10,-2.36,14.24
Ace Soft. Exp.,531525,,Computers - Software - Medium / Small,243.75,-0.15,1.94,-0.25,0.13,-0.12,0.09,-0.21,0.00,-0.21,0.01,-0.21,0.00,-0.21,-12.89,-10.82,4.68,-0.45,156.00
Achyut Healthcar,543499,,Trading,56.70,0.03,0.81,-0.29,,,,,,,,,,-0.01,,,,-0.01,95.40
ACI Infocom,517356,,Computers - Software - Medium / Small,2.44,0.02,0.14,0.06,0.00,0.06,0.00,0.06,0.00,0.06,0.04,0.02,0.00,0.02,42.86,14.29,11.05,0.00,26.96
Acknit Indus.,530043,,Textiles - Products,312.00,4.02,52.98,4.52,0.04,4.56,0.86,3.70,0.59,3.11,0.85,2.26,0.00,2.26,8.53,4.27,3.04,7.43,94.84
Acme Resources,539391,,Finance & Investments,33.10,2.52,20.59,12.39,0.02,12.41,0.00,12.41,0.10,12.31,2.86,9.45,0.00,9.45,60.17,45.90,25.74,3.67,85.21
Acrow India,513149,,Diversified - Medium / Small,760.00,-0.08,0.00,-0.72,0.65,-0.07,0.05,-0.12,0.00,-0.12,0.08,-0.20,0.00,-0.20,,,0.64,-3.12,48.64
Action Const.Eq.,532762,ACE,Engineering,1463.70,102.74,613.84,73.29,3.12,76.41,4.99,71.42,3.38,68.04,20.89,47.15,0.00,47.15,11.94,7.68,23.82,4.00,17430.22
Active Clothing,541144,,Textiles - Products,100.89,5.36,43.91,2.34,-0.01,2.33,0.45,1.88,1.38,0.50,0.11,0.39,0.00,0.39,5.33,0.89,15.51,0.25,156.50
AD Manum Finance,511359,,Finance & Investments,79.39,2.51,0.84,0.61,0.00,0.61,0.01,0.60,0.19,0.41,0.14,0.27,0.00,0.27,72.62,32.14,7.50,0.36,59.54
Adani Energy Sol,539254,ADANIENSOL,Power Generation And Supply,1003.95,1470.64,3357.66,1203.20,502.46,1705.66,415.55,1290.11,630.49,659.62,220.02,389.45,0.00,439.60,35.83,13.09,1099.81,3.49,111989.86
Adani Enterp.,512599,ADANIENT,Trading,3177.30,3225.86,28943.84,3606.66,-14.52,3974.24,895.43,3078.81,1524.74,1171.97,449.32,946.47,-382.10,780.68,12.46,3.53,109.98,6.34,362212.56
Adani Green,541450,ADANIGREEN,Power Generation And Supply,1781.20,1666.00,2598.00,2264.00,265.00,2654.00,392.00,2262.00,1338.00,799.00,307.00,583.97,-125.00,507.00,87.14,22.48,1564.00,3.21,282147.88
Adani Ports,532921,ADANIPORTS,Miscellaneous,1482.20,4195.68,5796.85,3270.68,-884.53,3659.53,846.36,2813.17,622.56,917.23,-221.84,2278.73,-1273.38,1139.07,56.42,39.31,422.47,5.36,320175.78
Adani Power,533096,ADANIPOWER,Power Generation And Supply,719.00,4645.34,10242.06,1907.41,553.26,2460.67,816.95,1643.72,746.00,897.72,-4344.76,5242.48,0.00,5242.48,18.62,51.19,3856.94,13.59,277313.90
Adani Total Gas,542066,ATGL,Miscellaneous,888.70,288.03,1114.78,189.20,9.49,198.69,30.86,167.83,32.11,135.72,37.81,97.91,0.00,97.91,16.97,8.78,109.98,0.89,97740.14
Adani Wilmar,543458,AWL,Solvent Extraction,334.00,504.19,13872.64,118.11,313.04,431.15,91.82,339.33,210.09,129.24,36.83,93.61,0.00,93.61,0.85,0.67,129.97,0.72,43409.26
Adarsh Plant,526711,,Packaging,35.98,0.21,4.16,0.11,0.00,0.11,0.02,0.09,0.03,0.06,0.00,0.06,0.00,0.06,2.64,1.44,9.91,0.06,35.65
ADC India,523411,,Telecommunications - Equipment,2100.00,8.08,34.52,-1.13,0.19,-0.94,0.05,-0.99,0.08,-1.07,-0.23,-0.84,0.00,-0.84,-3.27,-2.43,4.60,-1.83,966.00
Adcon Capital,539506,,Finance & Investments,0.86,0.18,0.33,-0.41,0.00,-0.41,0.00,-0.41,0.00,-0.41,0.01,-0.42,0.00,-0.42,-124.24,-127.27,3.55,-0.01,17.05
