Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,Change in DII holding,DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
Brady & Morris,505690,,Engineering,1250.00,281.27,33.44,0.00,12.06,18.86,0.33,43.97,73.98,4.31,0.00,43.13,287.15,0.23,103.64,3.71,1.29,0.00,6.00,5.00,1.69,1.91,1725.00,73.98,29.27,99.05,5.46,,89.59,25.30,295.24,147.95,55.28,99.05,104.19,25.98,0.00,0.00,0.00,0.04,66.36,25.32,11.71,38.99,1501.00
Brahmaputra Inf.,535693,,Construction,102.65,297.89,17.35,0.00,1.74,2.60,1.24,10.61,74.05,8.29,100.00,23.53,495.32,2.90,59.55,0.80,0.69,0.00,5.00,4.00,0.34,3.81,5119.00,0.00,10.93,57.73,2.74,,325.50,5.81,88.99,403.43,100.34,57.73,446.05,25.52,0.00,0.00,0.00,0.42,51.88,8.74,1.83,7.42,4372.00
Brand Concepts,543442,BCONCEPTS,Trading,653.00,726.97,66.34,0.15,12.91,8.54,1.12,26.01,48.71,2.83,0.00,60.14,784.55,1.11,50.54,3.08,0.78,0.00,2.00,4.00,1.95,2.28,7469.00,48.71,12.99,71.19,5.58,,103.40,14.16,105.80,122.90,96.81,71.19,148.52,48.78,0.00,0.00,0.04,2.52,26.48,31.95,11.57,42.68,5213.00
Brandbucket Med.,543439,,Miscellaneous,8.97,20.85,24.53,0.00,0.26,,0.00,,4.60,5.48,0.00,34.07,19.99,2.32,34.14,,2.15,,0.00,1.00,,,706.00,4.60,,,3.20,,,1.04,16.76,,,,,95.39,0.00,0.00,0.00,0.00,,,,,318.00
Brawn Biotech,530207,,Trading,26.19,7.86,,0.00,1.55,-10.58,0.00,-27.07,53.64,-20.64,0.00,34.16,7.46,0.30,16.86,3.31,1.42,0.00,4.00,4.00,1.13,2.87,4160.00,53.64,-22.13,133.25,3.16,,137.90,-10.56,,87.75,144.12,133.25,98.62,46.02,0.00,0.00,-0.24,0.35,21.03,-5.91,-6.15,-12.86,6139.00
Bridge Securitie,530249,,Miscellaneous,30.06,10.10,19.42,0.00,10.64,32.10,0.00,75.36,0.48,7.26,0.00,34.07,9.84,0.34,2.83,0.00,0.64,0.00,6.00,4.00,0.49,1.71,8884.00,0.48,53.68,0.00,3.20,,314.81,27.53,9.92,0.00,,0.00,,99.52,0.00,0.00,0.00,0.00,1.28,-98.20,-66.02,-88.89,9485.00
Brigade Enterpr.,532929,BRIGADE,Construction,1360.15,31437.93,78.34,0.15,8.64,2.34,1.50,11.63,43.72,3.04,0.00,33.28,35170.61,23.11,157.91,0.15,0.31,0.00,5.00,5.00,0.29,4.69,76977.00,43.72,11.47,37.25,2.89,,13.72,5.92,263.50,2289.78,245.43,37.25,2497.96,17.58,14.86,1.13,-1.17,23.84,140.64,8.41,1.24,6.34,68712.00
Bright Brothers,526731,,Plastics Products,150.85,85.68,,0.66,1.27,-2.60,0.61,-6.80,54.22,1.64,0.00,34.93,115.69,0.57,119.10,8.66,0.90,0.00,5.00,5.00,1.33,2.72,4338.00,54.22,1.97,100.22,3.72,,8.06,0.94,,54.51,88.87,100.22,43.16,45.78,0.00,0.00,0.00,0.00,127.85,-3.38,-2.20,-5.00,4479.00
Bright Outdoor,543831,,Miscellaneous,425.10,618.47,38.56,0.00,4.23,10.37,0.09,16.17,72.72,3.50,0.00,40.64,598.25,1.45,100.50,0.00,3.16,0.00,4.00,3.00,0.69,1.56,814.00,72.72,12.61,156.67,4.46,,255.55,11.84,157.89,156.67,,156.67,,20.10,7.18,0.14,0.00,0.00,71.20,11.88,5.70,10.45,384.00
Bright Solar,,BRIGHT,Pumps,8.35,20.87,,0.00,0.71,-7.31,0.02,-11.22,0.20,-19.18,0.00,,17.83,2.50,11.77,2.47,4.02,0.00,2.00,2.00,0.20,1.54,3303.00,0.20,-13.16,481.31,,,742.63,-9.22,,341.96,287.09,481.31,147.74,99.80,0.00,0.00,0.00,0.00,12.33,0.33,0.11,0.16,3303.00
Brightcom Group,532368,BCG,Computers - Software - Medium / Small,8.98,1812.09,1.28,0.00,0.26,19.82,0.00,22.30,18.38,407.35,2.50,34.11,400.36,201.79,34.69,,6.87,0.00,7.00,6.00,1.07,0.99,662441.00,17.92,22.31,147.63,3.70,,185.54,24.82,73.99,147.63,,147.63,,70.76,10.70,0.17,-0.02,0.15,26.24,29.42,18.95,21.33,575405.00
Brijlaxmi Leas.,532113,,Finance & Investments,7.78,5.03,6.61,0.00,1.16,3.48,3.93,21.41,24.58,10.62,0.00,23.18,21.64,0.65,6.70,,2.38,0.00,4.00,3.00,0.15,5.03,7141.00,24.58,243.27,0.00,1.78,,32.14,10.50,13.31,0.00,,0.00,,75.42,0.00,0.00,0.00,0.00,4.89,6.62,-0.45,-2.85,7084.00
Brisk Technovisi,544101,,Computers - Hardware,130.00,26.00,13.00,0.00,3.83,29.41,0.00,41.75,59.98,12.80,0.00,115.53,21.02,0.20,33.95,117.73,3.36,0.00,5.00,5.00,3.95,1.42,467.00,59.98,42.92,27.86,4.42,,6.25,28.38,87.40,-0.04,31.00,27.86,3.10,40.02,0.00,,,0.00,,65.75,29.66,50.57,
Britannia Inds.,500825,BRITANNIA,Food - Processing - MNC,5446.55,131190.13,61.43,1.32,33.31,23.19,0.52,57.15,50.55,2.31,0.00,61.74,132808.74,24.09,163.64,8.00,0.90,0.00,7.00,3.00,1.82,2.34,263623.00,50.55,48.26,8.56,33.46,,31.74,33.95,571.91,-8.60,62.58,8.56,45.42,15.57,18.23,-0.76,0.79,15.63,146.73,48.59,24.05,66.62,260444.00
Bronze Infra,534731,,Construction,1.26,2.17,2.35,0.00,0.37,1.83,0.57,17.37,1.93,25.77,0.00,36.76,4.74,1.73,3.37,,0.67,0.00,6.00,3.00,0.84,8.73,7786.00,1.93,14.82,243.42,3.11,,-132.66,2.31,6.39,243.42,,243.42,0.00,98.05,0.00,0.00,0.00,0.01,2.83,3.61,0.58,3.33,7786.00
Brookfield India,543261,BIRET,Construction,265.94,12765.52,,,1.11,-0.02,1.18,-0.04,43.90,3.77,0.00,35.88,24329.11,48.00,233.57,,0.43,0.00,3.00,4.00,0.09,1.96,,43.90,-0.23,14.99,1.41,,-126.05,3.58,,14.99,,14.99,,,,,,,248.70,4.10,0.89,1.52,
Brooks Lab.,533543,BROOKS,Pharmaceuticals - Indian - Bulk Drugs & Formln,87.00,228.35,,0.00,3.49,-19.58,0.09,-28.08,63.59,-8.05,0.00,34.70,233.31,2.62,24.99,5.42,0.93,0.00,4.00,4.00,0.79,1.53,11432.00,63.59,-69.44,74.94,3.58,,57.86,-20.70,,37.35,99.53,74.94,61.95,32.55,0.00,0.00,0.00,3.86,28.23,-27.70,-18.39,-23.43,10028.00
BSE,,BSE,Miscellaneous,2600.75,35207.99,77.17,0.58,10.66,5.91,0.00,15.20,0.00,2.06,0.00,52.68,30745.16,13.54,243.93,,0.94,0.00,8.00,5.00,0.21,2.34,440058.00,0.00,19.97,48.33,14.52,,-1090.43,6.64,561.76,48.33,,48.33,,51.91,13.04,1.01,1.42,12.69,199.40,11.89,3.38,7.68,442114.00
BSEL ALGO,532123,,Construction,12.40,102.45,4.08,0.00,0.22,2.72,0.00,5.61,16.45,29.67,0.00,36.76,101.25,8.26,55.47,0.00,0.95,,6.00,2.00,0.03,2.02,60259.00,16.45,6.70,5899.34,3.11,,4850.96,3.04,61.70,5899.34,,5899.34,,83.55,0.00,0.00,0.00,0.00,53.28,9.69,4.52,9.52,54971.00
BSL,514045,BSL,Textiles - Processing,202.20,208.09,18.53,0.49,1.86,1.94,3.88,10.36,56.71,7.38,0.00,21.29,644.95,1.03,109.48,2.17,0.50,50.48,3.00,4.00,1.15,5.13,9849.00,56.71,6.45,78.64,2.79,,178.05,7.73,163.94,260.27,24.47,78.64,206.10,40.99,0.00,0.00,0.00,2.30,101.12,11.94,4.12,18.97,9902.00
Burnpur Cement,532931,BURNPUR,Cement - North India,9.34,80.48,,0.00,,-90.26,,,1.98,-5.61,0.00,29.59,494.96,8.61,-52.48,25.34,0.00,0.00,4.00,2.00,1.22,-0.24,54789.00,1.98,-43.99,0.03,3.08,,-33.79,-1271.95,,0.03,,0.03,0.00,98.02,0.00,0.00,0.00,0.00,-40.97,-2.67,-33.85,,51918.00
Butterfly Gan Ap,517421,BUTTERFLY,Domestic Appliances,868.00,1551.97,190.89,0.00,5.32,1.57,0.01,2.81,75.00,0.96,0.00,89.61,1510.55,1.79,163.42,4.68,0.86,0.00,5.00,1.00,1.79,1.78,16024.00,75.00,5.60,51.69,6.87,,22.26,2.71,123.28,57.71,75.57,51.69,81.59,18.67,0.00,0.00,-0.14,6.33,159.76,30.26,10.11,19.83,15258.00
C D S L,,CDSL,Miscellaneous,2411.00,25194.95,60.11,0.65,17.21,25.91,0.00,31.31,15.00,2.23,0.00,34.07,25143.44,10.45,140.03,,3.33,0.00,7.00,6.00,0.50,1.11,777030.00,15.00,46.40,30.03,3.20,,227.47,31.21,355.48,30.03,,30.03,,45.51,18.16,2.91,-0.47,21.33,116.15,30.32,19.73,23.80,809315.00
C J Gelatine,507515,,Chemicals,23.00,11.07,14.55,0.00,2.34,2.22,4.15,12.71,61.37,5.15,0.00,39.79,30.67,0.48,9.83,1.36,0.20,0.00,7.00,5.00,1.19,7.25,4944.00,61.37,4.91,28.74,3.67,,162.19,4.83,,241.50,36.31,28.74,249.08,38.62,0.00,0.00,0.00,0.01,15.02,6.39,0.65,3.11,4884.00
C P C L,500110,CHENNPETRO,Refineries,987.35,14702.75,5.39,2.75,1.70,15.95,0.32,36.46,67.29,22.42,0.00,8.02,17394.40,14.89,577.05,8.67,0.16,0.00,5.00,7.00,3.91,1.98,106619.00,67.29,26.92,2.54,1.74,,16.96,21.45,1537.52,24.10,26.03,2.54,47.60,16.11,15.86,1.16,-0.49,0.75,421.79,45.54,21.28,77.91,99496.00
C P S Shapers,,CPS,Textiles - Products,247.05,51.88,70.11,0.00,4.32,4.22,0.77,42.29,71.29,4.27,0.00,30.63,59.37,0.21,57.10,1.43,0.75,2.40,1.00,4.00,2.06,10.01,331.00,71.29,13.91,26.25,5.02,,89.07,10.45,67.28,178.98,103.04,26.25,255.78,25.66,0.00,0.00,0.29,3.06,,42.63,16.25,473.08,406.00
C.E. Info System,543425,MAPMYINDIA,Computers - Software - Medium / Small,2344.65,12678.03,94.65,0.13,19.21,18.38,0.04,22.30,52.91,1.44,0.00,34.11,12630.29,5.41,121.90,6.18,3.57,,5.00,5.00,0.52,1.11,155675.00,52.91,33.31,100.70,3.70,,254.93,22.48,260.67,4.66,143.95,100.70,47.91,35.64,6.73,0.75,0.44,4.73,101.03,27.41,18.09,21.71,162163.00
Cadsys (India),,CADSYS,Computers - Software - Medium / Small,211.05,158.34,20.07,0.00,2.77,7.03,1.46,16.65,47.71,9.22,0.00,34.11,233.40,0.75,76.20,,1.86,0.00,5.00,2.00,1.11,4.08,680.00,47.71,13.79,104.30,3.70,,106.93,8.87,135.63,104.30,,104.30,,52.29,0.00,0.00,0.00,0.00,63.15,9.05,4.82,9.62,363.00
Calcom Vision,517236,,Electronics - Components,147.90,199.03,155.52,0.00,,,,,64.00,,0.00,74.31,,1.35,,,,,0.00,0.00,,,7013.00,64.00,,,6.50,,,,,,,,,25.25,7.56,0.00,0.00,3.18,,,,,7119.00
California Soft.,532386,CALSOFT,Computers - Software - Medium / Small,16.40,25.34,40.90,0.00,2.07,2.64,0.68,5.21,35.73,2.47,0.00,34.11,33.60,1.55,7.90,,1.96,0.00,5.00,3.00,0.18,1.92,13985.00,35.73,3.04,1249.36,3.70,,1494.96,3.88,8.44,1249.36,,1249.36,,64.27,0.00,0.00,0.00,0.00,7.49,1.61,0.86,1.69,14241.00
Cambridge Tech.,532801,CTE,Computers - Software - Medium / Small,126.95,249.23,44.68,0.00,2.20,2.48,1.07,5.28,46.91,5.38,0.00,34.11,314.25,1.96,57.29,,1.78,82.38,5.00,2.00,0.92,2.00,12345.00,46.91,7.05,104.92,3.70,,126.03,6.19,60.53,104.92,,104.92,0.00,51.05,0.10,0.05,0.00,0.00,50.32,9.41,5.29,8.92,12287.00
Camex,524440,,Dyes And Pigments,68.42,69.84,20.18,0.00,1.69,5.76,0.19,8.82,48.47,8.56,0.00,37.72,66.41,1.02,40.11,13.87,3.83,12.75,8.00,4.00,2.36,1.47,3635.00,48.47,8.72,61.13,1.55,,84.45,8.78,55.31,51.78,32.39,61.13,23.05,51.51,0.00,0.00,0.00,0.01,36.74,4.83,1.33,2.12,3607.00
Camlin Fine,532834,CAMLINFINE,Chemicals,105.05,1759.23,,0.00,2.05,-3.38,0.79,-7.09,48.03,0.47,12.43,39.79,2348.73,16.75,51.64,1.69,0.67,84.13,4.00,3.00,0.81,2.31,58165.00,42.06,0.77,64.52,3.67,,114.95,0.56,,139.65,129.70,64.52,204.83,45.73,1.69,0.70,0.80,4.55,52.16,10.16,2.33,5.70,62098.00
Campus Activewe.,543523,CAMPUS,Leather / Leather Products,289.35,8833.99,98.81,0.00,13.51,7.84,0.27,14.86,73.88,1.58,0.00,73.86,8986.94,30.53,21.35,1.63,0.97,0.00,6.00,5.00,1.27,1.75,284564.00,73.88,13.89,29.80,2.81,,97.80,13.06,37.51,132.71,105.07,29.80,207.98,13.10,5.22,-0.72,0.72,7.79,18.12,23.01,10.86,23.81,265079.00
Cams Services,543232,CAMS,Miscellaneous,3661.95,18014.15,53.42,1.29,19.67,26.89,0.11,39.78,0.00,2.59,0.00,52.68,17899.33,4.92,186.10,,1.92,0.00,7.00,6.00,0.91,1.37,413343.00,0.00,50.21,20.83,14.52,,31.13,32.31,548.92,20.83,,20.83,,26.32,53.78,6.09,-3.16,19.91,159.56,46.42,26.62,38.24,446888.00
Can Fin Homes,511196,CANFINHOME,Finance - Housing,928.80,12367.37,16.45,0.65,2.86,2.15,7.34,18.79,29.99,7.32,0.00,20.22,43772.89,13.32,326.23,,1.30,0.00,6.00,6.00,0.10,8.02,96918.00,29.99,9.25,0.09,2.80,,-36.36,8.71,643.29,0.09,,0.09,,30.60,11.51,0.45,-0.58,27.88,273.91,8.36,2.04,18.50,92795.00
Canara Bank,532483,CANBK,Banks - Public Sector,119.55,108439.65,7.14,2.69,1.19,1.06,14.87,17.94,62.93,6.94,0.00,9.46,1327054.99,907.07,101.57,,2.58,0.00,7.00,8.00,0.08,15.83,759083.00,62.93,6.63,0.00,1.18,,-123.28,6.00,196.20,0.00,,0.00,,12.10,10.57,-0.64,0.10,14.39,86.05,5.33,0.84,14.79,644770.00
Canarys,,CANARYS,Computers - Software - Medium / Small,50.95,286.25,32.23,0.00,3.87,13.93,0.10,44.00,56.59,4.99,0.00,34.11,270.42,5.62,13.19,4.69,3.19,0.00,2.00,1.00,1.18,3.16,2107.00,56.59,26.73,207.46,3.70,,149.22,12.66,20.55,15.18,270.11,207.46,77.83,39.79,0.00,,,3.62,,41.22,15.49,54.20,
Candour Techtex,522292,,Trading,47.44,80.35,,0.00,2.90,-1.61,1.39,-3.76,35.40,1.00,0.00,34.16,111.92,1.69,16.31,61.45,0.71,0.00,2.00,3.00,2.80,2.39,3782.00,35.40,1.33,5.41,3.16,,3.95,1.52,,5.44,7.99,5.41,8.01,64.09,0.50,0.00,0.00,0.00,16.94,6.19,4.38,7.73,3935.00
Cantabil Retail,533267,CANTABIL,Textiles - Products,256.55,2145.74,35.10,0.36,6.56,8.83,1.03,22.32,73.28,4.42,0.00,31.14,2446.54,8.36,39.03,0.87,0.45,0.00,5.00,3.00,0.89,2.12,16152.00,73.28,13.91,10.76,2.37,,103.43,13.57,80.83,340.92,99.33,10.76,429.49,22.26,4.46,2.31,0.00,0.00,27.13,25.29,12.15,35.25,13977.00
Capacit'e Infra.,540710,CAPACITE,Construction,311.30,2633.74,21.92,0.00,1.73,4.17,0.22,9.33,31.70,9.57,44.89,33.28,2753.29,8.46,179.30,12.35,1.66,0.00,5.00,6.00,0.67,1.90,62145.00,17.47,10.51,103.54,2.89,,188.25,8.35,239.49,-95.90,230.77,103.54,31.33,49.37,11.12,3.86,2.31,7.82,156.29,16.90,3.96,9.78,52079.00
Capfin India,539198,,Finance & Investments,261.50,74.91,,0.00,28.93,-16.14,0.00,-16.28,18.15,-0.94,0.00,23.18,74.85,0.29,9.04,0.59,16.00,0.00,2.00,4.00,0.08,1.10,601.00,18.15,-195.83,0.00,1.78,,285.65,-25.77,,1241.00,0.00,0.00,1241.00,81.84,0.00,0.00,0.00,0.00,10.68,7.41,6.01,6.06,339.00
Capital India,530879,,Finance & Investments,105.95,823.60,,0.10,1.31,-0.50,1.44,-1.47,73.04,6.81,0.00,23.18,1383.65,7.77,80.10,1.44,1.79,0.00,6.00,4.00,0.38,2.89,1339.00,73.04,-163.24,10.89,1.78,,-85.11,5.17,51.97,10.89,,10.89,,26.97,0.00,0.00,0.00,0.00,77.90,-0.06,-5.08,-6.76,1347.00
Capital Small,544120,CAPITALSFB,Banks - Private Sector,344.85,1553.27,13.91,0.00,,1.40,11.93,18.27,18.85,7.50,0.00,12.74,7954.41,4.50,,,10.01,0.00,6.00,4.00,0.10,13.09,89964.00,18.85,7.57,0.00,1.94,,1.80,7.48,,0.00,,0.00,,46.70,1.38,,,33.09,,6.40,1.24,16.62,
Capital Trade Lk,538476,,Finance & Investments,54.00,329.30,33.95,0.00,5.98,5.01,3.01,21.76,40.33,6.00,0.00,23.18,473.44,6.10,9.03,0.00,3.28,0.00,6.00,5.00,0.18,3.52,5053.00,40.33,117.99,0.00,1.78,,-44.97,12.29,17.97,0.00,,0.00,,59.67,0.00,0.00,0.00,0.00,5.59,8.65,2.40,7.61,5090.00
Capital Trust,511505,CAPTRUST,Finance & Investments,114.05,186.59,86.39,0.00,2.43,1.18,1.04,2.86,66.95,5.50,0.00,23.18,242.01,1.64,46.88,,2.02,0.00,7.00,5.00,0.42,2.40,9496.00,66.95,40.47,0.00,1.78,,-7.12,7.44,37.23,0.00,,0.00,,14.89,17.28,0.01,0.00,0.00,45.56,-15.82,-16.86,-46.94,9268.00
Caplin Point Lab,524742,CAPLIPOINT,Pharmaceuticals - Indian - Formulations,1476.55,11223.30,24.56,0.30,4.88,18.88,0.00,22.97,70.62,5.31,0.00,26.15,10672.53,7.60,304.93,2.22,4.63,0.00,5.00,5.00,0.69,1.06,81409.00,70.62,22.93,116.93,3.36,,217.60,20.95,642.61,194.36,105.55,116.93,182.98,24.95,3.33,0.49,0.65,1.08,219.22,26.32,19.14,25.59,79438.00
Capri Global,531595,CGCL,Finance & Investments,216.55,17864.10,63.96,0.06,4.66,2.07,2.71,7.55,69.89,4.37,0.00,23.18,27596.39,82.49,46.51,,1.07,0.00,2.00,5.00,0.17,3.51,29874.00,69.89,213.29,21.57,1.78,,-96.70,7.93,59.53,21.57,,21.57,,15.09,0.85,0.04,0.03,14.18,43.24,8.98,2.16,7.46,7261.00
Capricorn System,512169,,Computers - Software - Medium / Small,13.04,5.21,,0.00,1.42,-3.81,0.00,-4.00,59.66,-3.01,0.00,34.11,4.99,0.40,9.21,,10.83,0.00,3.00,5.00,0.21,1.07,755.00,59.66,-5.34,0.00,3.70,,162.71,-4.01,,0.00,,0.00,,40.34,0.00,0.00,0.00,0.00,9.58,1.85,1.20,1.32,749.00
Caprihans India,509486,,Plastics Products,152.45,200.17,,0.00,0.40,-3.52,1.59,-11.88,51.00,1.99,0.00,34.93,947.73,1.31,371.68,5.06,0.68,0.00,3.00,1.00,0.50,2.91,7661.00,51.00,1.26,80.46,3.72,,93.38,1.34,,91.26,69.88,80.46,80.68,48.98,0.00,0.00,0.00,0.01,269.34,4.84,-1.90,-88.75,7504.00
Caprolactam Chem,507486,,Chemicals,60.00,27.60,138.01,0.00,4.97,1.73,1.06,3.67,53.97,2.31,0.00,39.79,33.37,0.46,12.07,6.12,0.22,0.00,4.00,2.00,0.60,2.09,8087.00,53.97,4.86,33.56,3.67,,40.38,6.61,10.86,-26.03,111.73,33.56,52.14,46.03,0.00,0.00,0.00,0.00,11.61,40.25,23.34,62.65,8016.00
Captain Pipes,538817,,Plastics Products,18.94,279.74,70.28,0.00,10.98,10.40,0.23,17.47,73.78,2.40,0.00,34.93,285.55,14.77,1.73,5.65,0.87,11.08,5.00,3.00,1.99,1.50,35827.00,73.78,20.03,56.65,3.72,,63.30,15.62,3.24,74.81,52.62,56.65,70.78,26.23,0.00,0.00,0.00,0.00,1.44,16.56,5.30,10.56,19830.00
Captain Polyplas,536974,,Plastics Products,51.65,286.04,17.23,0.00,2.96,6.76,1.11,20.41,69.52,8.40,15.60,34.93,383.83,5.54,17.48,5.26,1.36,0.00,5.00,3.00,1.20,2.66,18270.00,58.67,13.40,219.02,3.72,,205.91,12.40,35.14,192.75,87.29,219.02,61.02,30.47,0.00,0.00,0.00,0.00,13.94,11.30,2.52,8.14,18374.00
Captain Techno.,540652,,Castings & Forgings,203.00,207.26,56.02,0.10,8.71,8.40,0.36,18.41,73.56,2.78,0.00,32.30,215.65,1.02,23.31,4.46,0.83,18.34,7.00,3.00,1.42,2.19,309.00,73.56,19.39,123.88,3.65,,95.22,13.83,43.60,83.21,122.51,123.88,81.85,26.46,0.00,0.00,0.00,0.00,19.69,18.30,6.80,15.23,309.00
Carborundum Uni.,513375,CARBORUNIV,Abrasives And Grinding Wheels,1722.65,32774.68,71.04,0.25,10.48,11.87,0.05,15.51,41.23,2.13,0.00,76.40,32388.64,19.03,164.29,2.49,1.95,0.00,6.00,3.00,1.17,1.28,52943.00,41.23,15.56,52.71,14.73,,79.70,16.10,299.36,150.00,85.54,52.71,182.83,17.99,11.72,1.09,-0.78,29.06,148.49,19.66,11.90,15.42,56669.00
CARE Ratings,534804,CARERATING,Miscellaneous,1089.40,3254.82,32.40,1.68,4.53,12.73,0.03,14.47,0.00,4.73,0.00,37.27,3215.99,2.99,240.23,,8.57,2.48,5.00,6.00,0.41,1.12,52468.00,0.00,14.67,24.75,5.77,,594.14,17.62,426.62,24.75,,24.75,,50.20,22.91,1.24,0.57,26.89,226.33,18.66,11.44,12.66,54539.00
Career Point,533260,CAREERP,Miscellaneous,396.25,720.90,12.63,0.77,1.37,9.51,0.07,11.29,63.68,10.13,0.00,94.56,748.86,1.82,292.21,2.58,3.43,0.00,5.00,5.00,0.17,1.13,12938.00,63.68,17.32,36.44,4.67,,497.95,11.71,454.14,36.44,,36.44,,36.27,0.05,-0.01,0.00,0.00,263.57,3.05,2.18,2.43,12507.00
Cargosol Logist.,543621,,Miscellaneous,35.60,36.31,,0.00,1.61,-6.61,1.28,-15.94,73.53,-4.50,0.00,38.47,63.74,1.02,22.08,,1.21,0.00,2.00,2.00,1.76,2.41,423.00,73.53,-4.88,100.19,3.17,,67.37,-4.50,,100.19,,100.19,,26.47,0.00,0.00,0.00,0.00,26.26,13.24,6.85,19.58,423.00
Cargotrans Marit,543618,,Miscellaneous,62.00,25.30,14.21,0.00,1.83,9.77,0.17,14.74,73.53,10.02,0.00,38.47,26.16,0.41,33.97,,4.08,0.00,3.00,4.00,3.39,1.51,307.00,73.53,25.28,45.20,3.17,,33.66,12.63,57.75,45.20,,45.20,,26.47,0.00,0.00,0.00,0.00,29.61,27.16,13.75,22.86,273.00
Carnation Inds.,530609,,Castings & Forgings,7.33,2.54,,0.00,,-37.12,,,43.66,-7.88,0.00,32.30,4.44,0.35,-8.39,,0.07,,3.00,3.00,0.00,-0.46,2329.00,43.66,,,3.65,,,-27.69,,,,,,56.33,0.00,0.00,0.00,0.00,-6.97,,-69.44,,2329.00
Cartrade Tech,543333,CARTRADE,Miscellaneous,786.80,3714.41,63.19,0.00,1.77,3.39,0.05,2.86,0.00,2.90,0.00,62.62,3727.44,4.72,441.48,,3.33,0.00,6.00,3.00,0.20,1.17,289384.00,0.00,2.88,54.59,1.77,,363.86,4.27,174.05,54.59,,54.59,,25.33,69.71,-2.22,0.58,4.96,436.22,3.16,1.74,1.68,305593.00
Carysil,524091,CARYSIL,Ceramics - Tiles / Sanitaryware,841.95,2260.25,39.05,0.24,6.36,7.50,0.85,17.61,43.84,3.99,0.00,39.00,2550.37,2.68,132.01,2.07,0.68,77.63,4.00,3.00,0.88,2.20,57986.00,43.84,11.28,73.55,6.37,,125.41,12.03,253.22,173.69,100.62,73.55,200.76,47.96,0.87,0.23,0.01,7.32,113.32,17.84,8.34,18.79,58189.00
Caspian Corporat,534732,,Miscellaneous,74.10,312.68,39.43,0.07,11.54,7.92,1.41,34.13,74.96,3.44,0.00,34.07,346.18,4.22,6.42,,1.59,0.00,4.00,1.00,0.90,3.69,3069.00,74.96,15.99,260.37,3.20,,243.36,13.17,16.48,260.37,,260.37,,25.03,0.00,0.00,0.00,0.00,4.59,2.30,0.75,3.67,3040.00
Castrol India,500870,CASTROLIND,Chemicals,208.70,20643.05,23.53,3.59,9.73,26.28,0.04,42.54,51.00,6.37,0.00,39.79,19520.21,98.91,21.45,4.95,1.47,0.00,7.00,5.00,1.56,1.53,377234.00,51.00,61.95,30.41,3.67,,-5.31,34.88,65.45,6.39,97.80,30.41,73.78,23.11,9.51,-0.87,0.45,16.37,19.07,60.76,28.07,45.89,339597.00
Catvision Ltd,531158,,Trading,28.91,15.74,,0.00,0.66,-1.01,0.00,-1.27,29.82,-5.37,0.00,34.16,9.85,0.55,42.93,1.99,2.16,0.00,6.00,3.00,0.78,1.10,4587.00,29.82,-2.87,57.23,3.16,,124.63,-1.61,103.08,203.74,20.97,57.23,167.47,69.86,0.00,0.00,0.00,0.31,31.94,0.20,-1.56,-2.24,3870.00
CCL Internationa,531900,,Construction,26.70,51.25,34.86,0.00,1.10,2.16,0.47,3.21,61.25,4.55,1.70,23.53,65.47,1.92,24.25,2.57,1.78,0.00,5.00,3.00,0.52,1.46,2686.00,60.21,4.30,164.81,2.74,,416.94,3.87,20.44,256.65,35.67,164.81,127.50,38.75,0.01,0.00,0.00,0.00,23.49,-2.96,-3.05,-4.26,2403.00
CCL Products,519600,CCL,Tea,598.35,7989.65,31.97,0.92,4.76,8.16,0.97,15.85,46.26,3.79,0.00,30.73,9442.18,13.35,125.35,2.27,0.75,0.00,3.00,0.00,0.87,1.83,55495.00,46.26,11.37,68.33,1.36,,192.11,10.01,229.83,230.30,23.45,68.33,185.42,23.89,8.12,0.35,0.29,21.73,111.42,15.76,11.52,19.68,61202.00
CDG Petchem,534796,,Trading,29.45,9.07,,0.00,10.18,-3.02,13.14,-44.80,62.10,3.52,0.00,34.16,20.44,0.31,2.89,24.45,0.99,0.00,4.00,3.00,2.19,21.05,1531.00,62.10,5.28,85.73,3.16,,68.98,4.25,,61.25,30.23,85.73,5.75,35.80,0.00,0.00,0.00,2.11,5.26,5.51,-1.27,-16.48,1527.00
CEAT,500878,CEATLTD,Tyres,2851.10,11532.71,17.05,0.43,2.82,6.91,0.44,18.12,47.21,8.85,0.00,27.49,13265.13,4.05,999.41,6.05,0.37,0.00,8.00,4.00,1.22,2.43,114397.00,47.21,15.73,39.22,2.88,,-28.12,11.64,1890.12,-23.07,122.93,39.22,60.65,16.73,20.16,0.17,1.62,15.91,850.34,9.38,2.19,6.14,116509.00
