Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Dividend yield,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Earnings yield,Pledged percentage,Industry PE,Enterprise Value,Number of equity shares,Book value,Inventory turnover ratio,Quick ratio,Exports percentage,Piotroski score,G Factor,Asset Turnover Ratio,Financial leverage,Number of Shareholders,Unpledged promoter holding,Return on invested capital,Debtor days,Industry PBV,Credit rating,Working Capital Days,Earning Power,Graham Number,Cash Conversion Cycle,Days Payable Outstanding,Days Receivable Outstanding,Days Inventory Outstanding,Public holding,FII holding,Change in FII holding,Change in DII holding,DII holding,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
Plaza Wires,544003,PLAZACABLE,Cables - Power,87.50,382.82,104.01,0.00,3.18,2.58,0.35,4.26,69.83,2.45,0.00,41.72,390.51,4.38,27.32,4.86,2.25,0.00,3.00,2.00,1.40,1.19,57605.00,69.83,4.25,109.70,4.61,,181.83,5.53,22.74,175.75,13.27,109.70,79.32,30.17,0.00,-2.20,-2.12,0.00,,16.31,6.95,15.23,48137.00
PMC Fincorp,534060,,Finance & Investments,4.57,244.10,21.49,0.00,2.14,8.40,0.16,10.94,20.03,5.57,0.00,23.18,261.71,53.41,2.16,0.00,1.50,0.00,8.00,5.00,0.12,1.17,129874.00,20.03,837.97,0.00,1.78,,8.43,10.37,3.21,0.00,,0.00,,79.96,0.00,0.00,0.00,0.00,1.73,-4.40,-5.07,-7.66,127488.00
PNB Gilts,532366,PNBGILTS,Finance & Investments,135.90,2446.35,36.53,0.00,1.86,0.29,16.85,5.18,74.07,6.10,0.00,23.18,24549.66,18.00,73.87,,1.58,0.00,5.00,4.00,0.07,17.31,82765.00,74.07,222.44,0.00,1.78,,39.08,6.14,80.06,0.00,,0.00,,25.91,0.02,0.01,0.00,0.00,70.00,4.83,-0.44,-6.33,81673.00
PNB Housing,540173,PNBHOUSING,Finance - Housing,794.15,20626.30,13.54,0.00,1.37,2.19,3.68,11.80,28.13,8.55,0.00,20.22,73144.21,25.97,574.93,,1.53,0.00,4.00,5.00,0.10,4.66,133177.00,28.13,9.27,2.71,2.80,,-68.18,8.61,872.21,2.71,,2.71,,39.98,25.00,0.30,-0.98,6.88,422.06,8.27,1.60,10.18,124656.00
PNC Infratech,539150,PNCINFRA,Construction,481.55,12353.68,13.56,0.10,2.42,6.44,1.55,19.21,56.07,10.05,0.00,23.53,19000.31,25.65,202.11,7.32,1.73,0.00,6.00,5.00,0.61,2.72,98897.00,56.07,32.11,68.91,2.74,,75.63,12.23,401.50,56.65,62.12,68.91,49.87,5.12,11.85,0.87,-0.28,26.96,167.03,14.78,5.51,16.21,92706.00
PNGS Gargi FJ,543709,,Trading,610.00,587.31,69.44,0.00,20.23,26.92,0.07,34.10,72.08,2.06,0.00,60.14,588.73,0.96,30.16,1.37,0.53,0.00,4.00,5.00,1.61,1.08,711.00,72.08,27.35,13.59,5.58,,211.06,29.79,77.22,353.68,61.98,13.59,402.06,27.81,0.00,0.00,0.12,0.12,21.38,45.73,28.79,43.23,509.00
POCL Enterprises,539195,,Mining / Minerals / Metals,432.95,241.44,13.57,0.46,3.54,9.81,1.54,29.65,41.58,11.17,0.00,36.48,345.09,0.56,122.22,17.06,0.79,0.00,8.00,6.00,6.20,2.65,6412.00,41.58,16.36,23.37,3.89,,44.74,18.86,295.79,41.01,6.60,23.37,24.23,58.42,0.00,0.00,0.00,0.00,92.43,20.95,8.24,28.58,6130.00
Poddar Housing,523628,PODDARHOUS,Construction,91.96,66.81,,0.00,0.67,-6.76,5.99,-34.90,53.03,-2.41,32.78,33.28,585.56,0.73,138.76,-0.09,0.15,0.00,3.00,0.00,0.04,6.45,3716.00,35.65,-4.29,197.27,2.89,,5515.14,-1.83,,197.27,,197.27,,45.85,1.11,-0.17,0.00,0.00,270.75,-1.30,-4.39,-16.07,3724.00
Poddar Pigments,524570,PODDARMENT,Dyes And Pigments,451.20,478.74,16.61,0.78,1.37,8.00,0.00,8.98,62.43,8.83,0.00,37.72,447.06,1.06,328.37,4.25,4.27,0.00,6.00,3.00,1.02,1.03,10313.00,62.43,10.76,67.11,1.55,,115.62,10.07,447.98,122.09,27.26,67.11,82.24,37.14,0.20,-0.28,0.00,0.24,276.82,12.22,7.99,8.94,9831.00
Pokarna,532486,POKARNA,Miscellaneous,712.25,2208.26,24.17,0.09,3.73,7.88,0.66,16.62,56.66,7.16,0.00,34.07,2515.41,3.10,191.05,1.43,1.19,0.00,8.00,4.00,0.59,1.96,20682.00,56.66,11.51,63.51,3.20,,109.89,14.69,348.02,195.30,110.21,63.51,242.01,27.93,4.27,0.22,0.91,11.16,163.58,14.61,5.78,13.85,19709.00
Polo Hotels,526687,,Hotels,8.29,18.54,,0.00,0.30,-0.52,1.21,-1.40,51.81,-0.82,11.64,47.22,90.31,2.24,27.72,23.00,0.11,0.00,6.00,2.00,0.00,2.72,4704.00,45.78,-2.08,12629.00,4.25,,-126509.00,-0.43,,1314.00,11406.25,12629.00,91.25,48.18,0.00,0.00,0.00,0.00,28.22,-0.41,-0.37,-0.96,3973.00
